11年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 8,Ｎエｰシンブラｰヴァ, 34,田辺裕, 1.8, 43,   1, -26,10, 81.1, ⑬⑫, 9, 7, メイショウマサシゲ,---,花田大, 1.6, 35,* -9, -28,10,327.9, ②②, 9,10,Ｈスズカアンペｰル, 66,浜中俊, 1.2, 68,   3,   3, 9, 53.1,⑩⑩⑧, 8,15,Ｍスギノエンデバｰ, 73,小牧太, 0.6, 82,  -4,* 13,12,168.3, ⑫⑬
13,10,Ｉシゲルミカン, 47,花田大, 1.8, 43,   7, -35,12,192.1, ⑥⑥,10, 1, エｰティｰドンタク,---,幸英明, 1.6, 41, -19, -12, 8,158.1, ⑩⑩,10, 6,Ｇサクラプリエｰル, 68,岩田康, 2.2, 56,   6, -17, 3,  5.2,⑥⑤⑤, 9, 2,Ｉヘッドライナｰ, 83,幸英明, 0.7, 78,*  8,   0, 6, 14.8, ④③
10,18,Ｈトｰブプリンセス, 48,北村友, 1.9, 42,  -2, -24,16,372.1, ⑭⑮,11,10, ヒシマイケル,---,松山弘, 2.5, 31, -25, -16,11,331.8, ⑪⑪,11,11,Ｋアイアンクリッパｰ, 53,国分優, 2.6, 53,   2, -13,10,154.0,⑪⑪⑪,10,12,Ｂエｰシンホワイティ, 91,北村友, 0.7, 77,   5,   3, 8, 16.7, ⑥⑥
11,15,Ｌマｰブルメｰカｰ, 35,松山弘, 1.9, 43,   6, -34, 9, 52.6, ⑩⑧,,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｅトウカイミステリｰ, 84,池添謙, 0.9, 76,   0,   5,10, 25.6, ⑪⑪
12, 4,Ｅデンコウデア, 51,藤岡康, 2.2, 39,  -4, -25, 6, 35.4, ④⑰,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｋファリダット, 75,武豊  , 1.0, 76,  -7,  11,11, 52.9, ⑭⑮
14,11,Ｍシゲルアマガキ, 34,鮫島良, 2.4, 38,  -2, -31,18,650.0, ⑯⑭,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｌベイリングボｰイ, 75,国分恭, 1.5, 69,  -5,   3,14,228.6, ⑮⑭
15, 1,Ｑコスモブジｰ, 28,高倉稜, 2.4, 39, -11, -19,15,310.1, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｊシゲルキョクチョウ, 77,高倉稜, 1.5, 67,   6,  -9,15,335.3, ⑤⑨
16, 7,Ｆトウケイオリオン, 49,飯田祐, 2.5, 35,   6, -42, 7, 38.6, ⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 3,Ｏミスネバｰ, 33,小坂忠, 2.6, 36,* 10, -48,11,173.3, ②②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 5,Ｒクレｰルドリュヌ, 26,川須栄, 3.0, 32,* 10, -53, 5, 12.8, ③③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:19,610円 複勝:16=4,610円 17=470円 13=450円 枠連:14,140円",,,,,,,,,,,,"単勝:2,780円 複勝:05=250円 11=110円 09=120円 枠連:2,000円",,,,,,,,,,,,"単勝:440円 複勝:08=180円 05=250円 03=160円 枠連:1,570円",,,,,,,,,,,,"単勝:640円 複勝:09=180円 13=360円 14=110円 枠連:1,590円",,,,,,,,,,,
"馬連:77,640円 ワイド:16-17=9,760円 13-16=7,250円 13-17=760円",,,,,,,,,,,,"馬連:1,770円 ワイド:05-11=550円 05-09=570円 09-11=150円",,,,,,,,,,,,"馬連:1,720円 ワイド:05-08=690円 03-08=380円 03-05=610円",,,,,,,,,,,,"馬連:4,760円 ワイド:09-13=1,460円 09-14=290円 13-14=640円",,,,,,,,,,,
"馬単:214,340円 3連複:134,530円 3連単:2,690,240円",,,,,,,,,,,,"馬単:5,560円 3連複:1,080円 3連単:17,930円",,,,,,,,,,,,"馬単:3,560円 3連複:2,470円 3連単:16,480円",,,,,,,,,,,,"馬単:8,460円 3連複:3,080円 3連単:26,290円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,仲秋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂワンダｰドレッシｰ, 66,川田将,, 63,*  2,   0, 5,  6.9, ②②, 1,17,Ａエメラルドヴァレｰ, 69,小牧太,, 76,  14,* -5, 1,  2.0, ⑨⑧, 1, 4,Ｂディアブラｰダ, 74,佐藤哲,, 80,   5,* 10, 2,  4.2, ⑦⑦, 1,12,Ａエｰシンビｰトロン, 81,武豊  ,, 75,* 11,*  7, 1,  2.6, ①①
 2, 1,Ｅウォｰタｰメジャｰ, 63,幸英明, 0.1, 62,*  4,  -3, 1,  3.3, ①①, 2,10,Ｋシャイニンオｰラ, 54,岩田康, 0.2, 72,  12,* -6, 7, 14.8, ⑩⑨, 2, 5,Ａタイキパｰシヴァル, 80,藤岡康, 0.2, 77,* 10,   0, 4,  5.7, ①①, 2,16,Ｂエアインシャラｰ, 81,岩田康, 0.5, 71,* 11,   3, 2,  3.0, ②②
 3,13,Ｃゴｰルドディガｰ, 64,北村友, 0.1, 62,  -9,* 10, 6,  7.8, ⑬⑪, 3,13,Ｊマｰルｰト, 56,国分優, 0.5, 68,  13, -12, 8, 22.8, ⑧⑩, 3, 2,Ｃマイネルカリバｰン, 74,田辺裕, 0.2, 77,   6,   6, 3,  4.3, ④⑤, 3, 4,Ｅマルコフジ, 70,浜中俊, 1.1, 66,   4,*  7, 4,  7.6, ⑨⑧
 4, 4,Ｆエスケｰプマジック, 58,和田竜, 0.5, 59,   0,  -3, 2,  4.1, ⑤⑤, 4,18,Ｄスズカルンバ, 63,花田大, 0.6, 67,* 17, -20, 5, 11.3, ⑤③, 4, 8,Ｇドリｰムフォワｰド, 65,熊沢重, 0.6, 74,   6,   1, 8, 41.2, ⑥⑥, 4,10,Ｃシゲルケンシン, 73,小牧太, 1.2, 64,   5,   5, 3,  7.6, ⑧⑨
 5,15,Ｄトルベジｰノ, 63,川須栄, 0.7, 57,*  2,  -6, 4,  5.9, ③③, 5, 7,Ｏメイショウミルキｰ, 48,酒井学, 0.6, 68,   9,* -6,15,249.3, ⑭⑯, 5, 1,Ｆトｰホウシンバル, 67,和田竜, 0.7, 73,   7,  -2, 5, 11.5, ③③, 5,11,Ｋテイエムキングダム, 65,熊沢重, 1.5, 63,   8,  -3,10, 73.2, ⑤③
 6, 5,Ｐシｰスアｰヴ, 32,国分優, 0.8, 56,  -3,  -3,10,106.6, ⑧⑧, 6, 5,Ｂメイショウルピナス, 66,佐藤哲, 0.7, 68,  15, -17, 4, 11.2, ⑥⑥, 6, 7,Ｅジョｰアカリン, 70,岩田康, 0.7, 71,   2,   4, 7, 17.6, ⑧⑧, 6, 2,Ｐメイショウキルタｰ, 57,川田将, 1.5, 63,   8,  -2, 9, 70.7, ④④
 7, 7,Ａナムラバｰク, 66,国分恭, 1.2, 52,   1, -10, 3,  5.1, ⑥④, 7, 4,Ｆフェリスヴァｰズ, 58,川須栄, 0.8, 66,   7,* -7,10, 36.6, ⑬⑮, 7, 3,Ｈホｰマンフリップ, 64,川田将, 1.1, 67,   7,  -7, 1,  2.8, ⑤④, 7,13,Ｍビットプレスト, 61,田辺裕, 1.6, 62,   7,  -1,11, 95.2, ⑦⑤
 8, 8,Ｈアオイシャトル, 52,吉田豊, 1.3, 50,  -5,  -4, 8, 89.7, ⑨⑨, 8,16,Ｇシルヴァｰスプｰン, 58,藤岡康, 0.8, 65,* 17, -23, 2,  7.7, ②②, 8, 6,Ｄショウナンカッサイ, 72,幸英明, 1.1, 67,*  8, -10, 6, 11.9, ②②, 8, 3,Ｇサｰランスロット, 69,和田竜, 1.8, 60,   5,  -2, 7, 37.9, ⑥⑥
 9,10,Ｎメイショウザイラｰ, 37,鮫島良, 1.6, 50,  -9,  -3,16,445.7, ⑪⑩, 9, 8,Ｃカチドキ, 66,田辺裕, 0.8, 65,   9, -10,11, 37.2, ⑪⑬,,,,,,,,,,,,, 9, 5,Ｄトイボックス, 70,幸英明, 1.8, 59,  -3,*  9, 5, 11.7, ⑮⑭
10, 3,Ｇナリタハピネス, 53,大下智, 1.6, 49, -12,   0, 9,102.4, ⑭⑬,10, 1,Ｈバノックバｰン, 57,幸英明, 1.2, 61,  12, -21, 3,  7.9, ⑰⑪,,,,,,,,,,,,,10,15,Ｆサトノモンスタｰ, 69,鮫島良, 1.9, 59,   2,   1, 6, 12.9, ⑩⑩
11, 9,Ｍアスタｰプリンセス, 40,太宰啓, 1.8, 47, -14,   0,15,314.9, ⑮⑯,11,12,Ｍトｰセンサイレンス, 51,プレブ, 1.5, 58,  12, -23, 6, 12.4, ⑯⑫,,,,,,,,,,,,,11, 8,Ｊエリモミヤビ, 65,国分優, 2.5, 53,   0,  -1,14,255.2, ⑪⑪
12,16,Ｉエドモンドシチｰ, 49,熊沢重, 1.9, 47,   0, -15, 7, 77.2, ⑦⑥,12,15,Ｅグッドワン, 61,藤懸貴, 1.6, 55,* 16, -34,12,142.0, ⑦④,,,,,,,,,,,,,12, 7,Ｏレｰザｰブレイド, 60,松山弘, 2.6, 53,  -3,   2,15,300.4, ⑯⑬
13,14,Ｋグランゴｰル, 41,松山弘, 2.2, 45, -16,  -1,11,108.3, ⑯⑮,13, 9,Ｉインタクトラヴ, 56,北村友, 2.1, 51,  13, -36, 9, 24.6, ④⑦,,,,,,,,,,,,,13, 6,Ｉイメｰジレイナ, 66,森一馬, 2.9, 49,  -3,  -1,16,311.3, ⑬⑫
14,12,Ｌミセスボス, 41,野元昭, 2.2, 43,  -8, -10,12,225.9, ⑩⑫,14, 2,Ｌラスティンメモリｰ, 54,太宰啓, 2.1, 50,* 16, -39,13,153.0, ③⑤,,,,,,,,,,,,,14,14,Ｎスペシャルピｰス, 60,太宰啓, 3.1, 48,  -2,  -3,12,110.2, ⑫⑮
15, 2,Ｊニシノニシキ, 49,藤岡康, 2.7, 39,   1, -23,13,240.0, ④⑦,15,14,Ｎレイメイフライト, 50,高倉稜, 2.4, 48,  10, -35,14,245.7, ⑫⑭,,,,,,,,,,,,,15, 9,Ｌキュｰトシルフ, 63,藤懸貴, 3.2, 48,  -3,  -2,13,170.4, ⑭⑯
16,11,Ｏメイショウトモミ, 33,森一馬, 2.9, 36, -12, -12,14,244.0, ⑫⑭,16, 3,Ｐリアリｰサムシング, 42,熊沢重, 2.5, 48,   1, -20,18,369.5, ⑱⑱,,,,,,,,,,,,,16, 1,Ｈスマｰトスパイダｰ, 66,国分恭, 3.8, 43,   7, -21, 8, 53.6, ③⑦
,,,,,,,,,,,,17, 6,Ｒプリンセスオウカ, 31,国分恭, 2.8, 45,   5, -31,16,271.3, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11,Ｑミスアイｰカメ, 37,高田潤, 5.2,  7,* 17, -89,17,280.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:690円 複勝:06=220円 01=140円 13=250円 枠連:1,210円",,,,,,,,,,,,単勝:200円 複勝:17=130円 10=290円 13=480円 枠連:570円,,,,,,,,,,,,単勝:420円 複勝:04=150円 05=170円 02=150円 枠連:0円,,,,,,,,,,,,単勝:260円 複勝:12=120円 16=130円 04=160円 枠連:260円,,,,,,,,,,,
"馬連:1,220円 ワイド:01-06=480円 06-13=880円 01-13=570円",,,,,,,,,,,,"馬連:1,480円 ワイド:10-17=610円 13-17=920円 10-13=2,360円",,,,,,,,,,,,"馬連:1,230円 ワイド:04-05=430円 02-04=330円 02-05=380円",,,,,,,,,,,,馬連:270円 ワイド:12-16=160円 04-12=350円 04-16=470円,,,,,,,,,,,
