11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:5,230円 3連複:3,910円 3連単:31,690円",,,,,,,,,,,,"馬単:2,600円 3連複:4,430円 3連単:18,470円",,,,,,,,,,,,"馬単:5,860円 3連複:10,980円 3連単:75,720円",,,,,,,,,,,,"馬単:5,000円 3連複:9,570円 3連単:50,890円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂコｰダリｰ, 55,川須栄,, 61,* -6,  11, 4, 10.0, ①①, 1, 4, ヒシワイルド,---,国分恭,, 69, -14,* 20, 9, 54.8, ⑫⑪, 1,12,Ｃデンコウジュピタｰ, 75,北村友,, 85, -17,* 32, 2,  4.2, ⑩⑨, 1, 7,Ａオルフェｰヴル, 96,池添謙,,109,   1,* 42, 1,  1.7,⑤⑥⑤
 2,11,Ｃクラヴェジｰナ, 53,福永祐, 0.0, 63,* -8,* 15, 1,  1.9, ③③, 2, 8, カネトシカトリｰヌ,---,浜中俊, 0.0, 67, -11,* 14, 8, 29.6, ⑦⑤, 2, 3,Ｉシャドウエミネンス, 66,川田将, 0.1, 82,*-13,  23, 8, 14.9, ②②, 2, 5,Ｂウインバリアシオン, 94,安藤勝, 0.4,104,   0,  36, 2,  4.5,⑦⑧⑥
 3,12,Ｅロｰレルブレット, 49,酒井学, 0.2, 60, -10,* 15, 6, 14.9, ⑥⑦, 3,13, プレザントライフ,---,安藤勝, 0.2, 66, -12,  12, 1,  1.6, ⑧⑧, 3,11,Ｄフクラムサイフ, 69,浜中俊, 0.3, 80, -15,  24, 3,  4.8, ⑥⑥, 3,11,Ｇフレｰルジャック, 81,福永祐, 0.8,102,   0,  35, 3,  6.4,⑧⑦⑧
 4,10,Ａタイセイシュバリエ, 57,浜中俊, 0.2, 60,  -9,* 14, 2,  3.6, ⑤⑤, 4, 7, マイネヴォヤｰジ,---,和田竜, 0.4, 64, -10,   6, 5, 14.7, ④④, 4, 7,Ｇスタｰダムオｰラ, 66,国分優, 0.5, 75, -14,  19, 9, 37.3, ④④, 4, 3,Ｄスマｰトロビン, 87,小牧太, 0.9, 90,*  4,  18, 5, 18.8,①①①
 5, 8,Ｋジョウショｰキング, 31,国分恭, 0.4, 60, -12,* 17,14,351.6, ⑫⑪, 5, 2, ショウナンラムジ,---,川田将, 0.6, 59,* -9,   1, 4,  9.6, ③③, 5, 6,Ｂナイスミｰチュｰ, 75,武豊  , 0.5, 77, -15,  22, 5,  6.7, ⑤⑤, 5, 6,Ｃショウナンマイティ, 92,武豊  , 1.0, 98,  -1,  32, 4,  7.7,⑨⑩⑨
 6, 9,Ｇデンコウデア, 48,藤岡康, 0.5, 54,* -6,   5, 9, 68.5, ②②, 6,11, アリスマイン,---,池添謙, 0.7, 58, -12,   4, 2,  5.0, ⑤⑥, 6, 1,Ｋドラゴンライズ, 64,幸英明, 0.7, 74, -14,  17, 6, 12.8, ③③, 6,12,Ｆダノンミル, 82,岩田康, 1.2, 92,   2,  22, 7, 50.5,④④④
 7, 1,Ｄヴァンヘルシング, 50,岩田康, 0.8, 55, -11,  11, 3,  7.2, ⑬⑫, 7,10, キョウワエレガント,---,熊沢重, 0.8, 59, -13,   6,13,274.9, ⑨⑨, 7, 4,Ａエバｰグリｰン, 77,川須栄, 0.7, 76, -17,  21, 1,  4.1, ⑦⑦, 7, 4,Ｊイグアス, 74,四位洋, 1.3, 89,   2,  18, 8, 54.2,②②②
 8,13,Ｊザプレジデント, 34,渡辺薫, 0.9, 52, -10,   7,13,312.4, ⑨⑧, 8, 3, オレンジブルｰム,---,北村友, 1.1, 56, -19,  11, 7, 29.6, ⑬⑬, 8, 2,Ｆスズカセクレタｰボ, 68,岩田康, 0.7, 72,*-11,  12, 4,  6.6, ①①, 8, 1,Ｅステラロッサ, 82,川田将, 1.5, 89,   1,  19, 6, 32.8,③③③
 9,15,Ｆダンツフォワｰド, 49,太宰啓, 1.1, 45,* -7,  -2, 5, 13.1, ④④, 9, 1, ステインアライブ,---,武豊  , 1.3, 54, -15,   3, 3,  8.4, ⑪⑫, 9,10,Ｅプロスアンドコンズ, 69,福永祐, 0.9, 75, -18,  22, 7, 14.3, ⑪⑩, 9,10,Ｋナムラオウドウ, 74,北村友, 1.5, 94,  -2,  30,10,173.7,⑩⑪⑪
10, 7,Ｉリｰノレオン, 37,幸英明, 1.3, 46, -12,   2, 7, 52.1, ⑧⑨,10, 9, マイネルバルビゾン,---,幸英明, 1.3, 49,* -8, -12, 6, 27.5, ②②,10, 9,Ｍトｰワテレサ, 57,国分恭, 1.0, 77, -21,* 26,10, 96.2, ⑫⑬,10, 9,Ｈカｰマイン, 80,和田竜, 1.7, 93,  -2,  25, 9,107.5,⑪⑨⑩
11, 3,Ｏデンコウチャレンジ,  0,和田竜, 1.4, 50, -14,   7,11,186.9, ⑭⑭,11,12, キョウワドリｰム,---,渡辺薫, 1.5, 50, -13,  -5,11,184.1, ⑩⑩,11,13,Ｈメリｰポピンズ, 66,高倉稜, 1.4, 69, -19,  17,11,158.2, ⑬⑫,11, 2,Ｌトリノ, 72,高倉稜, 2.7, 75,  -1,   7,11,338.0,⑥⑤⑦
12, 6,Ｍリアルブラック, 30,北村友, 1.5, 41, -10,  -4,10,155.7, ⑦⑥,12, 6, アキノサフラン,---,国分優, 1.7, 46, -12,  -9,10,154.3, ⑥⑦,12, 8,Ｌマｰティンジｰン, 61,渡辺薫, 1.4, 67, -17,  11,12,159.1, ⑨⑧,,,,,,,,,,,,
13, 2,Ｎリバｰマンサｰナ, 21,国分優, 1.5, 44, -14,   4,12,300.2, ⑪⑬,13, 5, トｰワオモカゲ,---,藤岡康, 3.4, 26,* -6, -44,12,204.4, ①①,13, 5,Ｊリバｰクリｰク, 64,藤岡康, 1.7, 63, -18,  11,13,226.1, ⑧⑪,,,,,,,,,,,,
14, 5,Ｈウィンドミルシチｰ, 45,高倉稜, 1.6, 43, -11,   0, 7, 52.1, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 4,Ｌヒシタイトル, 30,松山弘, 1.8, 43, -16,   4,15,386.0, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:4),,,,,,,,,,,
"単勝:1,000円 複勝:14=250円 11=120円 12=360円 枠連:320円",,,,,,,,,,,,"単勝:5,480円 複勝:04=860円 08=500円 13=110円 枠連:8,870円",,,,,,,,,,,,"単勝:420円 複勝:12=170円 03=390円 11=190円 枠連:3,750円",,,,,,,,,,,,単勝:170円 複勝:07=110円 05=130円 11=170円 枠連:180円,,,,,,,,,,,
"馬連:880円 ワイド:11-14=410円 12-14=1,540円 11-12=560円",,,,,,,,,,,,"馬連:26,790円 ワイド:04-08=4,090円 04-13=1,720円 08-13=860円",,,,,,,,,,,,"馬連:3,820円 ワイド:03-12=1,100円 11-12=290円 03-11=1,170円",,,,,,,,,,,,馬連:270円 ワイド:05-07=140円 07-11=220円 05-11=430円,,,,,,,,,,,
"馬単:2,670円 3連複:2,960円 3連単:18,030円",,,,,,,,,,,,"馬単:71,840円 3連複:18,980円 3連単:206,090円",,,,,,,,,,,,"馬単:5,700円 3連複:3,630円 3連単:25,410円",,,,,,,,,,,,"馬単:380円 3連複:510円 3連単:1,430円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西脇特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａタマモルｰキｰ, 69,川田将,, 64,*  1,*  3, 1,  1.4,④④③, 1, 8,Ｆホクセツダンス, 71,浜中俊,, 75,* -2,  14, 2,  3.4, ③③, 1, 7,Ｂダｰトムｰア, 80,川田将,, 86,   6,* 18, 1,  2.1,⑨⑥⑥, 1, 5,Ｄクランチタイム, 71,幸英明,, 71,*  5,   6, 3,  5.7, ①①
 2, 1,Ｅスカイノレイ, 54,川須栄, 0.2, 62,  -1,*  4, 9, 76.2,⑤⑥⑦, 2,16,Ｎヒノデポベｰダ, 58,高倉稜, 0.1, 72,* -1,  10,15,270.3, ①①, 2, 3,Ａキラウエア, 85,小牧太, 0.2, 84,   5,* 18, 2,  3.5,⑥⑧⑨, 2,14,Ｂウエストハｰバｰ, 74,川須栄, 0.0, 70,*  4,   6, 2,  4.2, ③③
 3,14,Ｈメイショウチルチェ, 49,石橋守, 0.4, 62,*  2,  -2, 5, 17.8,②②②, 3, 6,Ｅキクノレジｰナ, 72,岩田康, 0.1, 73,* -1,  12, 4, 13.5, ②②, 3, 2,Ｄタコ, 79,浜中俊, 0.3, 84,*  8,  12, 4, 13.0,②②②, 3, 7,Ｅマッキンリｰ, 71,太宰啓, 0.2, 68,  -2,  11, 5,  6.8, ⑦⑦
 4, 7,Ｆキュｰルエキュｰル, 53,福永祐, 0.7, 59,   0,  -1, 7, 34.3,③③④, 4, 5,Ｊザッハトルテ, 66,国分恭, 0.4, 71,  -3,  11, 9, 40.0, ④④, 4,13,Ｆウインベルカント, 79,渡辺薫, 0.6, 82,   5,  14, 5, 13.8,⑪⑨⑦, 4, 3,Ｃケイアイブリザｰド, 73,和田竜, 0.3, 69,   3,   6, 4,  5.7, ④④
 5, 4,Ｃストライクホｰク, 56,和田竜, 1.7, 53,*  2, -13, 3, 11.8,①①①, 5, 7,Ａマイユクｰル, 77,北村友, 0.5, 70,  -7,* 15, 3,  3.5, ⑬⑬, 5,11,Ｃトップコマチ, 79,和田竜, 0.8, 80,   7,   9, 8, 34.5,⑤③③, 5, 8,Ｇアテｰナｰズブレス, 68,北村友, 0.3, 68, -15,* 22, 6, 11.9, ⑮⑭
 6,11,Ｂソルビアンコ, 62,花田大, 1.7, 52,  -2,  -7, 4, 14.5,⑩⑩⑧, 6,15,Ｏダノンスズラン, 57,川田将, 0.6, 70, -10,* 17,10, 47.5, ⑭⑭, 6, 1,Ｅピサノルビｰ, 79,池添謙, 1.0, 79,   4,  13,11, 88.4,⑩⑪⑩, 6, 4,Ａミッドタウンレディ, 76,川田将, 0.5, 66,   1,   5, 1,  4.2, ⑤⑤
 7, 3,Ｋロックフェアレディ, 42,国分優, 2.1, 50,   0, -13, 8, 51.5,⑥⑦⑥, 7,13,Ｇタマモワルツ, 71,小牧太, 0.6, 68,  -5,  12, 8, 31.2, ⑪⑧, 7,15,Ｈハスラｰ, 77,岩田康, 1.0, 77,   6,   8, 6, 14.5,④⑤⑤, 7,16,Ｆパｰプルセンリョ, 68,赤木高, 0.6, 65,   0,   5, 9, 20.6, ⑥⑥
 8,10,Ｌトモロビｰト, 40,渡辺薫, 2.3, 50,  -5,  -5,10, 76.7,⑪⑪⑪, 8, 1,Ｄミニｰバロｰズ, 72,幸英明, 0.7, 69,  -5,  11, 5, 15.5, ⑨⑨, 8, 5,Ｏビップピュアレディ, 69,幸英明, 1.0, 81,   3,* 16,12,102.6,⑫⑫⑬, 8, 6,Ｈシゲルトウドリ, 68,高倉稜, 0.6, 65, -11,* 16, 8, 20.0, ⑬⑬
 9, 6,Ｐヘヴンリｰブリス, 32,松山弘, 3.0, 45,  -4, -14,11, 77.8,⑨⑨⑨, 9, 3,Ｉピノブラン, 69,野元昭, 0.8, 68,  -4,   9,11, 61.9, ⑩⑦, 9, 4,Ｇメイショウスクラム, 77,武豊  , 1.3, 77,   5,   9, 3, 11.5,⑧⑦⑧, 9,10,Ｍウィズインカチドキ, 55,花田大, 0.9, 63,  -8,  10,13,232.1, ⑪⑪
10, 8,Ｇアドマイヤアロング, 53,幸英明, 3.0, 45,  -5, -10, 2,  5.9,⑮⑯⑩,10, 9,Ｃトップオブザヘヴン, 73,藤懸貴, 0.9, 67,  -4,   8, 6, 19.0, ⑧⑪,10,14,Ｍカリズマクレスト, 75,高倉稜, 1.4, 75,   3,  10,16,303.7,⑬⑬⑫,10, 1,Ｉケンブリッジシｰザ, 66,国分恭, 1.5, 57,  -4,   1,10, 78.6, ⑧⑧
11,16,Ｄレディｰコロンブス, 54,北村友, 3.1, 43,*  1, -23, 6, 24.4,⑧⑤⑤,11,14,Ｈオウハ, 69,赤木高, 1.0, 68, -11,* 16, 7, 23.0, ⑯⑮,11,10,Ｉパミｰナ, 77,国分恭, 1.6, 75,   4,   9,10, 46.7,⑦⑩⑪,11, 2,Ｊバンブｰマンユｰ, 60,藤懸貴, 1.5, 57,  -4,   1,11, 92.5, ⑨⑨
12, 9,Ｉスズカルビコン, 49,藤懸貴, 3.4, 41,  -3, -17,13,122.5,⑦⑧⑫,12, 4,Ｍサックアクロア, 59,鮫島良, 1.3, 65,  -7,   7,12,105.0, ⑫⑫,12,16,Ｊキクノセンヒメ, 76,藤岡康, 1.7, 75,   3,  10,15,291.2,⑮⑮⑭,12, 9,Ｌタムロガッツ, 60,岩田康, 1.7, 56,*  5,  -9, 7, 18.4, ②②
