11年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 5,Ｄジョウノメジャｰ, 56,村田一, 1.7, 46,   3, -22, 8, 24.4,④⑦⑧, 9, 7,Ｄメイアイヘルプユｰ, 65,丸田恭, 1.1, 59,*  5, -17, 8, 32.3,①①①, 9, 5,Ｈマイスタｰ, 40,上野翔, 4.3, 48,   1, -18, 9,165.4,⑧⑨⑨,,,,,,,,,,,,
10, 8,Ｉシンハヤブサ, 50,黛弘人, 1.7, 49,   1, -19, 6, 15.3,⑪⑫⑫,10, 8,Ｉミッドナイトブルｰ, 55,西村太, 1.2, 61,  -2,  -3,10, 76.6,⑤⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
10, 7,Ｅアドマイヤキララ, 56,丸山元, 1.7, 47,*  6, -27, 7, 20.0,②②③,11,12,Ｆバイザルｰマｰ, 61,黛弘人, 1.4, 57,*  3, -20, 9, 43.3,⑭③④,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Ｃグレｰトチャｰルズ, 58,秋山真, 1.9, 45,   4, -25, 3,  6.5,⑧⑧⑩,12, 1,Ｈキャラクテｰル, 60,古川吉, 1.6, 56,   2, -18, 6, 18.4,④④②,,,,,,,,,,,,,,,,,,,,,,,,
13, 3,Ｌベルウッドハピネス, 28,長谷川, 2.7, 42,   2, -27,13,251.7,⑫⑪⑪,13, 2,Ｌアグネスパンジｰ, 47,勝浦正, 1.7, 55,  -2,  -9,13,210.0,⑫⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 5,Ｎヒップホップダンス, 44,横山和, 2.1, 51,   0, -21,12,159.1,②⑦⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 3,Ｏカチドキハル, 36,丹内祐, 5.4, 15,  -1, -64,15,512.8,⑧⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,
"単勝:4,430円 複勝:10=760円 02=210円 09=130円 枠連:3,730円",,,,,,,,,,,,"単勝:290円 複勝:09=160円 10=2,070円 14=770円 枠連:1,000円",,,,,,,,,,,,"単勝:1,210円 複勝:06=270円 07=320円 04=780円 枠連:3,960円",,,,,,,,,,,,単勝:160円 複勝:04=110円 02=160円 枠連:0円,,,,,,,,,,,
"馬連:12,310円 ワイド:02-10=2,570円 09-10=1,420円 02-09=380円",,,,,,,,,,,,"馬連:21,530円 ワイド:09-10=4,940円 09-14=1,880円 10-14=14,940円",,,,,,,,,,,,"馬連:3,930円 ワイド:06-07=1,250円 04-06=2,910円 04-07=1,600円",,,,,,,,,,,,"馬連:270円 ワイド:02-04=170円 04-05=960円 02-05=1,290円",,,,,,,,,,,
"馬単:30,060円 3連複:7,700円 3連単:115,580円",,,,,,,,,,,,"馬単:35,860円 3連複:104,740円 3連単:682,590円",,,,,,,,,,,,"馬単:8,210円 3連複:20,590円 3連単:135,830円",,,,,,,,,,,,"馬単:410円 3連複:3,020円 3連単:8,270円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 5R  芝1500m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,HTB賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂグインネヴィア, 49,吉田隼,, 59,*  0,* -4, 1,  2.1,②②②, 1, 7, ニケ,---,勝浦正,, 55,*-15,   4, 5, 18.9,①①①, 1, 4,Ｉエルドラゴン, 56,川島信,, 67,*  0,  11, 8, 45.3,⑥④③, 1, 2,Ｄリッツィｰスタｰ, 76,宮崎北,, 85,*  7,  12, 3,  5.3,①①①
 2, 2,Ｆクロンヌドｰル, 40,池添謙, 0.3, 56,  -2,* -6, 2,  3.5,④⑤③, 2, 8, エイブルトップガン,---,丸山元, 0.0, 56,*-17,   5, 3,  5.9,②②②, 2, 2,Ａアドマイヤプレミア, 76,藤岡佑, 0.1, 72,   0,* 16, 1,  2.2,⑨⑨⑥, 2, 6,Ａハｰバｰコマンド, 81,吉田隼, 0.0, 86,   5,* 16, 1,  1.8,④③④
 3, 1,Ａサウンドアフリｰト, 57,川島信, 0.3, 57,*  0, -10, 5, 12.3,①①①, 3, 3, ストラスペイ,---,吉田隼, 0.1, 58, -20,* 10, 1,  1.7,④⑤⑥, 3, 9,Ｃラグナロク, 71,古川吉, 0.2, 65,*  0,   8, 5, 16.3,④③②, 3, 5,Ｃセトノメジャｰ, 80,柴山雄, 0.3, 84,   3,* 16, 5, 28.1,⑤⑥⑤
 4, 3,Ｅベルウッドワンキｰ, 42,松田大, 0.4, 55,  -2,  -7, 4,  8.5,⑥⑥④, 4, 9, タマモオｰロラ,---,川島信, 0.3, 56, -19,   5, 7, 22.7,⑤④③, 4, 8,Ｆセイカミカワ, 66,吉田隼, 0.3, 65,*  1,   6, 9, 51.0,②②①, 4, 3,Ｂミッションモｰド, 81,田面木, 0.7, 77,*  6,   4, 2,  3.9,②②②
 5, 7,Ｃマイネルサムアップ, 47,鈴来直, 1.2, 48,  -1, -19, 6, 19.5,⑧④⑤, 5, 2, カｰステンボッシュ,---,荻野琢, 0.6, 54, -25,* 10, 9, 43.1,⑩⑩⑪, 5, 3,Ｅゴｰルドルｰスタｰ, 69,三浦皇, 0.3, 67,   0,  11, 2,  3.3,⑧⑦⑤, 5, 1,Ｇマルラニビスティｰ, 70,藤岡佑, 0.7, 81,   5,   8, 6, 30.4,③④③
 6, 6,Ｄマイネルフェイブル, 46,丹内祐, 1.3, 46,  -3, -18, 3,  4.7,⑤⑦⑦, 6, 5, ジョｰラプタｰ,---,古川吉, 0.6, 51, -20,   4, 8, 24.4,⑥⑥④, 6, 6,Ｂフィルハｰマジック, 71,丹内祐, 0.4, 66,*  0,   8, 4, 10.7,③⑤④, 6, 7,Ｅシャイニｰブレｰヴ, 76,古川吉, 0.8, 78,   4,   8, 4,  6.7,⑥⑤⑥
 7, 5,Ｇパレストレパング, 36,的場勇, 2.0, 40,  -4, -25, 7, 89.7,⑦⑧⑧, 7, 1, トミケンウエスト,---,柴山雄, 0.8, 50, -23,   4, 4, 17.8,⑧⑦⑨, 7, 1,Ｄロｰレルキングダム, 70,柴山雄, 0.9, 62,  -1,   6, 3,  4.4,⑤⑧⑧, 7, 4,Ｆクロカンブッシュ, 76,津村明, 2.7, 59,   2, -13, 7, 60.4,⑦⑦⑦
 8, 8,Ｈビレッジオブベスト, 36,黛弘人, 2.2, 37,*  0, -35, 8,116.6,③③⑥, 8, 4, ロイヤルチョイス,---,池添謙, 0.8, 50, -24,   6, 2,  4.9,⑪⑪⑩, 8, 5,Ｇニシノシャイナｰ, 62,丸山元, 2.2, 54,   0,  -5, 6, 23.5,⑦⑥⑨,,,,,,,,,,,,
,,,,,,,,,,,, 9,11, タイキパピヨン,---,藤岡佑, 1.0, 49, -23,   2,10, 53.8,⑦⑨⑧, 9, 7,Ｈエルヴィスバロｰズ, 60,村田一, 2.9, 48,*  0, -15, 7, 31.3,①①⑦,,,,,,,,,,,,
,,,,,,,,,,,,10,10, ヒトメボレ,---,三浦皇, 2.3, 30, -22, -16, 6, 19.9,⑨⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11, 6, ユメイチズ,---,的場勇, 2.5, 26, -18, -24,11, 82.7,③③⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,
単勝:210円 複勝:04=120円 02=150円 01=280円 枠連:0円,,,,,,,,,,,,"単勝:1,890円 複勝:07=300円 08=170円 03=110円 枠連:2,410円",,,,,,,,,,,,"単勝:4,530円 複勝:04=820円 02=120円 09=330円 枠連:3,540円",,,,,,,,,,,,単勝:530円 複勝:02=190円 06=120円 枠連:0円,,,,,,,,,,,
馬連:390円 ワイド:02-04=210円 01-04=590円 01-02=740円,,,,,,,,,,,,"馬連:5,370円 ワイド:07-08=1,220円 03-07=630円 03-08=230円",,,,,,,,,,,,"馬連:3,010円 ワイド:02-04=1,240円 04-09=4,290円 02-09=540円",,,,,,,,,,,,"馬連:390円 ワイド:02-06=170円 02-05=1,000円 05-06=630円",,,,,,,,,,,
"馬単:790円 3連複:1,740円 3連単:5,090円",,,,,,,,,,,,"馬単:15,250円 3連複:2,700円 3連単:32,870円",,,,,,,,,,,,"馬単:8,200円 3連複:8,990円 3連単:73,420円",,,,,,,,,,,,"馬単:1,020円 3連複:2,290円 3連単:12,800円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 6R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,礼文特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂインプレッシヴ, 64,西村太,, 68,   1,   5, 2,  4.2,③③③, 1, 5,Ｂプリティスタｰ, 66,吉田隼,, 68,*  2,   5, 2,  4.7, ①①, 1, 4,Ｆウインディｰリング, 68,三浦皇,, 82,  -3,* 20, 2,  3.8,⑤⑤⑤, 1,14,Ｌルリニガナ, 61,津村明,, 76,*  7,   2, 4,  8.0, ①①
 2, 5,Ｄトｰセンルクリア, 63,丸山元, 0.0, 70,  -1,* 12, 3,  5.1,⑨⑨⑧, 2, 9,Ａサクラティアモ, 70,宮崎北, 0.4, 63,*  1,   2, 1,  1.5, ②②, 2, 8,Ｈエムアイボニｰタ, 58,柴山雄, 0.3, 75,  -1,  13, 8, 45.4,④③③, 2, 7,Ｇケイツｰノｰス, 65,黛弘人, 0.4, 71,  -5,*  9,10, 33.9, ⑪⑪
 3, 6,Ａノベンバｰペガサス, 70,秋山真, 0.0, 67,*  3,   4, 1,  2.1,①①①, 3, 1,Ｈノブヴィクトリｰ, 50,的場勇, 0.6, 64,  -2,   2, 5, 14.8, ④⑤, 3, 5,Ｃタイキエイワン, 70,荻野琢, 0.3, 72,*  3,   6, 4,  6.1,②②②, 3,13,Ｆハギノハｰトフル, 65,丸山元, 0.4, 71,   1,   4,11, 50.4, ⑥⑦
 4, 3,Ｆメイショウフジッコ, 60,長谷川, 0.2, 67,   2,   5, 7, 19.8,⑥⑤④, 4, 4,Ｃトゥインクルスノｰ, 63,岩部純, 0.6, 61,  -8,*  5, 4, 11.8, ⑥⑥, 4, 6,Ｅカワキタライジン, 68,吉田隼, 0.4, 77,  -4,  17, 5,  6.6,⑥⑥⑥, 4, 2,Ｂサニｰエリザベス, 71,丸田恭, 0.5, 71,   3,   2, 2,  5.3, ⑤③
 5, 9,Ｅデルマラクシュミｰ, 62,古川吉, 0.7, 62,   1,   2, 5, 14.5,⑦⑦⑦, 5, 6,Ｆツカサリボン, 58,上野翔, 0.7, 61,  -1,   0, 6, 16.1, ③③, 5, 2,Ｂマイネルインゼル, 72,丹内祐, 0.5, 68,*  4,  -1, 1,  3.5,①①①, 5, 6,Ｃマスタｰグレイマン, 70,川島信, 0.5, 71,   5,  -1, 1,  2.9, ③④
 6,10,Ｃサフランルｰデンス, 63,四位洋, 0.9, 63,   2,  -1, 4,  8.3,⑤⑥⑤, 6, 7,Ｄデステニｰアロｰ, 61,丸田恭, 1.1, 56, -14,*  6, 7, 22.5, ⑨⑧, 6, 7,Ｇナンヨｰストロング, 59,勝浦正, 0.5, 74,  -4,  15, 7, 24.3,⑦⑦⑦, 6, 3,Ｄシルクマタドｰル, 70,宮崎北, 0.6, 69,  -2,   4, 5, 10.9, ⑦⑥
 7, 2,Ｈサルヴァトｰレピサ, 58,松田大, 1.1, 64,*  3,  -5, 6, 17.2,②②②, 7, 8,Ｅディアエスペランサ, 58,藤岡佑, 1.2, 55,  -2,  -4, 3,  9.1, ⑤④, 7, 3,Ｄエムオｰハンズ, 68,横山和, 0.7, 75,  -7,* 18, 6,  9.1,⑧⑧⑧, 7,12,Ｍエルクロス, 59,吉田隼, 0.7, 68,  -2,   2,14,157.5, ⑨⑧
 8, 7,Ｇソルシエｰル, 58,藤岡佑, 1.1, 63,  -2,   3, 8, 58.8,⑩⑩⑨, 8, 2,Ｇスリｰキティ, 51,柴原央, 1.5, 51, -10,  -1, 8, 99.6, ⑦⑦, 8, 1,Ａタツクｰル, 78,丸山元, 0.9, 67,  -2,   5, 3,  4.6,③④④, 8, 9,Ｉショウナンスマイル, 62,三浦皇, 0.7, 69,  -4,   5, 3,  5.6, ⑩⑬
 9, 1,Ｊスプリングフェスタ, 55,勝浦正, 1.4, 58,   2,  -6, 9, 61.4,④④⑥, 9, 3,Ｉクリノハマナス, 43,横山和, 2.2, 43, -12,  -6, 9,167.6, ⑧⑨,,,,,,,,,,,,, 9, 8,Ａマリエンベルク, 71,勝浦正, 0.7, 66,  -6,*  6, 7, 14.6, ⑬⑫
10, 8,Ｉパイパｰルヴァティ, 57,的場勇, 1.9, 60,   0,  -6,10, 91.0,⑧⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,10, 1,Ｅプリンセスミカ, 68,秋山真, 0.8, 66,  -6,   5, 8, 15.0, ⑫⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｈマイネルマサムネ, 63,丹内祐, 0.9, 65,*  6,  -8, 6, 14.3, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 4,Ｊマルサンアップル, 62,古川吉, 1.1, 62,  -2,  -3,13,120.4, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｋヤマニンアｰシｰ, 61,柴山雄, 1.1, 63, -12,*  8, 9, 24.6, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｎアポロジェニｰ, 52,村田一, 1.3, 60,   4, -12,12, 67.8, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,
"単勝:420円 複勝:04=150円 05=150円 06=110円 枠連:1,080円",,,,,,,,,,,,単勝:470円 複勝:05=130円 09=110円 01=280円 枠連:280円,,,,,,,,,,,,単勝:380円 複勝:04=160円 08=780円 05=200円 枠連:0円,,,,,,,,,,,,"単勝:800円 複勝:14=360円 07=1,040円 13=1,440円 枠連:3,240円",,,,,,,,,,,
馬連:990円 ワイド:04-05=320円 04-06=200円 05-06=230円,,,,,,,,,,,,馬連:300円 ワイド:05-09=150円 01-05=640円 01-09=350円,,,,,,,,,,,,"馬連:7,620円 ワイド:04-08=1,560円 04-05=530円 05-08=3,020円",,,,,,,,,,,,"馬連:11,400円 ワイド:07-14=3,960円 13-14=4,920円 07-13=18,300円",,,,,,,,,,,
"馬単:2,150円 3連複:790円 3連単:5,770円",,,,,,,,,,,,"馬単:1,130円 3連複:1,060円 3連単:7,010円",,,,,,,,,,,,"馬単:10,360円 3連複:11,060円 3連単:67,230円",,,,,,,,,,,,"馬単:16,760円 3連複:120,900円 3連単:541,210円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
