11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羅生門ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂゴｰルデンアタック, 62,幸英明,, 69,* -7,* 11, 2,  3.8, ③③, 1, 5,Ｊギュスタｰヴクライ, 56,リスポ,, 70,  -3,* 10, 6, 13.2,⑦⑨⑧, 1,16,Ｂリッカアリュｰル, 71,小牧太,, 78,* 13,   3, 8, 25.9, ①①, 1, 3,Ｂアドバンスウェイ, 84,小牧太,, 83,*  9,  11, 3,  5.3, ①①
 2, 2,Ａコロカムイ, 69,小林徹, 0.0, 69,* -6,* 11, 1,  1.6, ①①, 2, 4,Ｉラルゴ, 56,熊沢重, 0.3, 66,  -2,   2,11, 46.8,③⑤③, 2,14,Ｇノボジュピタｰ, 67,国分恭, 0.4, 76,   7,*  5, 5,  8.5, ⑥⑤, 2,13,Ｃキタノアラワシ, 83,秋山真, 0.5, 81,   4,* 12, 2,  3.6, ⑩⑨
 3, 3,Ｃダノンスプリｰム, 55,岩田康, 1.2, 60, -12,   5, 4, 18.7, ⑤⑤, 3,13,Ａソルデマｰヨ, 65,四位洋, 0.3, 66,  -4,*  6, 1,  3.9,⑭⑫⑪, 3, 7,Ｊピサノプレミアム, 65,浜中俊, 0.8, 68,  -2,* 10,10, 50.3, ⑫⑪, 3, 2,Ａナムラカクレイ, 88,安藤勝, 0.7, 78,   5,   9, 1,  2.8, ⑦⑧
 4, 7,Ｄシャドｰボｰル, 55,秋山真, 1.6, 54,* -7,  -3, 6, 41.0, ②②, 4, 1,Ｂアドマイヤサイモン, 64,川田将, 0.3, 65,* -1,  -1, 2,  4.4,②②②, 4,11,Ｈスナｰクヒロイン, 66,国分優, 1.0, 69,   9,  -2, 4,  7.5, ③④, 4,14,Ｆルティラｰレ, 82,長谷川, 0.8, 79,   5,   9, 6, 14.0, ⑧⑩
 5, 1,Ｅピエナクリスタル, 51,国分恭, 2.0, 52,  -9,  -5, 3,  5.1, ④④, 5, 8,Ｅアストリンジャｰ, 62,藤岡佑, 0.3, 66,  -3,*  6, 5,  9.4,⑬⑪⑩, 5, 4,Ｅシゲルカサギヤマ, 69,岩田康, 1.0, 69,   4,   2, 2,  4.0, ⑦⑦, 5, 4,Ｋダノンアスカ, 79,渡辺薫, 0.9, 78,   1,* 13,11, 65.8, ⑭⑭
 6, 9,Ｇニュｰセレクト, 48,安藤光, 2.3, 49, -10,  -5, 7, 56.6, ⑥⑥, 6, 3,Ｋタイセイジｰニアス, 53,福永祐, 0.3, 64,*  0,  -2, 9, 31.3,①①①, 6,15,Ｃミッドタウンレディ, 70,福永祐, 1.1, 70,* 11,  -6, 1,  3.6, ②②, 6, 7,Ｇスマｰトブレｰド, 81,幸英明, 0.9, 78,   4,   9, 8, 23.6, ⑨⑦
 7, 5,Ｆマルブツロｰマン, 48,芹沢純, 2.5, 47, -19,   1, 8,171.7, ⑩⑨, 7,12,Ｄクレスコグランド, 64,岩田康, 0.4, 68,  -5,*  9, 4,  6.0,⑮⑬⑬, 7, 6,Ｆドリｰムゲイル, 68,上野翔, 1.4, 63,   1,   2,12, 69.1, ⑩⑧, 7,11,Ｅウインプレミアム, 82,藤岡佑, 0.9, 79,   3,* 12, 7, 18.3, ⑫⑫
 8, 4,Ｉツルミアクセル, 34,熊沢重, 3.0, 43, -14,  -9, 5, 28.7, ⑦⑦, 8,10,Ｆロｰマンレジェンド, 62,藤田伸, 0.6, 61,* -1,  -6, 3,  4.6,④③④, 8, 3,Ｉシルクデイブレイク, 66,芹沢純, 1.4, 66,   8,  -5, 6,  8.6, ⑤③, 8, 1,Ｉトウショウクエスト, 81,池添謙, 0.9, 76,   7,   5, 5, 11.8, ③②
 9,10,Ｋテイエムオジャル, 26,国分優, 4.5, 29, -22, -14, 9,183.2, ⑪⑪, 9,14,Ｇミッキｰオｰラ, 58,武豊  , 0.7, 61,  -2,  -3, 7, 15.5,⑨⑧⑦, 9,12,Ｎチャｰムドライフ, 58,熊沢重, 1.6, 63,   1,   1,15,200.0, ⑪⑨, 9,12,Ｌメイショウイッキ, 79,石橋守, 1.1, 77,   3,  10,12, 81.6, ⑬⑬
10, 8,Ｈキングラウレル, 42,石橋守, 4.6, 28, -19, -18,11,267.3, ⑨⑩,10, 7,Ｍダンスオブウォｰ, 52,佐藤哲, 0.7, 62,  -4,   2,13,189.9,⑩⑩⑫,10, 5,Ｄドクトルジバゴ, 69,四位洋, 1.8, 59,  -4,   3, 7, 14.7, ⑬⑬,10, 6,Ｄアグネスマクシマム, 82,小林徹, 1.3, 75,   3,   8, 9, 33.5, ⑪⑪
11, 6,Ｊカノンハｰモニｰ, 31,田村太, 4.8, 26, -17, -21,10,265.7, ⑧⑧,11, 2,Ｌメイショウマキビ, 52,古川吉, 0.8, 61,  -2,  -4,16,282.6,⑤⑥⑤,11, 8,Ａウォｰタｰサウンド, 75,安藤勝, 2.2, 54,  -8,   3, 3,  7.2, ⑭⑮,11, 9,Ｊマジックボンバｰ, 81,武豊  , 2.0, 69,   6,  -3, 4, 10.1, ⑤⑤
,,,,,,,,,,,,12,15,Ｏバｰガンディミック, 37,国分恭, 1.6, 56,  -4,  -6,15,250.6,⑫⑮⑭,12, 2,Ｍウォｰタｰリメイン, 59,古川吉, 2.2, 56,  -9,*  6,16,282.6, ⑮⑭,12,10,Ｍブラックシャドウ, 76,熊沢重, 2.3, 67,   6,  -6,13,129.3, ⑥④
,,,,,,,,,,,,13, 9,Ｈアウグｰリオ, 57,秋山真, 2.1, 49,  -1, -21,10, 45.4,⑧⑦⑨,13, 1,Ｋミキノクレシェンド, 63,幸英明, 2.3, 58,   8, -13, 9, 26.5, ④⑥,13, 5,Ｈストｰリｰテリング, 81,浜中俊, 2.6, 63,*  8, -11,10, 57.7, ②③
,,,,,,,,,,,,14,11,Ｎトップシュｰル, 51,幸英明, 2.7, 45,  -1, -32,14,201.5,⑥④⑥,14,13,Ｌプロテクトジアｰス, 62,佐藤哲, 3.3, 47,   1, -15,14,103.4, ⑨⑩,14, 8,Ｎチャレンジシチｰ, 69,田村太, 3.3, 58,   7, -15,14,295.2, ④⑥
