11年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3100m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 2,Ｋマンボマンボ, 38,田中勝, 1.4, 42, -11,  -3,13,175.7, ⑫⑫, 9, 1, モルフェサイレンス,,大江原,211.8,,,, 5, 13.0,⑤⑧⑨,,,,,,,,,,,,, 9, 6,Ｏエルドラゴン, 71,柴田善, 1.3, 77,* 15,  -8,12, 91.1,③②②
10,11,Ｍカフェボリンジャｰ, 35,後藤浩, 1.5, 40, -13,  -3, 3,  9.5, ⑭⑭,10, 3, ショウナンサミット,,大庭和,212.5,,,,10, 23.6,②②④,,,,,,,,,,,,,10,13,Ｈアポカリプス, 79,宮崎北, 2.0, 72,  14, -11,14,116.4,④⑥④
11,12,Ｌヒカリレｰザｰ, 37,大庭和, 1.6, 44, -10,  -4,12, 95.7, ⑬⑬,11, 8, サｰストンムｰン,,浜野谷,212.6,,,, 4, 13.0,⑪⑩⑪,,,,,,,,,,,,,11, 7,Ｎレオキュｰト, 74,大庭和, 2.6, 71,  11,  -7,15,144.9,⑭⑮⑮
12, 6,Ｊミキノウインク, 41,菅原隆, 1.8, 39,  -9,  -9,15,308.6, ⑩⑩,12, 6, シデンカイ,,山本康,214.8,,,, 9, 19.0,⑩⑥⑥,,,,,,,,,,,,,12, 4,Ｊホワイトショウフク, 78,ベリｰ, 2.8, 69,  11, -10,10, 52.8,⑫⑬⑭
13,14,Ｆトウショウテイスト, 46,武士沢, 1.8, 38,  -4, -17, 7, 28.4, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｐトウショウクラウン, 69,柴田大, 3.3, 66,  13, -21,11, 71.2,⑥⑤⑦
14,15,Ｎカルブンクルス, 31,嶋田純, 2.4, 34, -16,  -7,14,223.7, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｍロｰレルカンタｰタ, 76,田中勝, 3.4, 65,  12, -19,16,187.9,⑨⑨⑩
15, 9,Ｈタツユタカ, 43,丸山元, 2.4, 34,  -9, -15, 9, 73.3, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｌニシノスロｰン, 77,北村宏, 4.2, 61,  14, -30, 8, 44.4,⑤④⑤
16, 4,Ｐタケデンザオｰ, 26,嘉藤貴, 4.9, 15,  -8, -38,16,411.4, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,
単勝:550円 複勝:05=140円 08=110円 01=230円 枠連:380円,,,,,,,,,,,,"単勝:1,030円 複勝:07=210円 09=120円 12=150円 枠連:500円",,,,,,,,,,,,単勝:140円 複勝:07=100円 01=190円 03=160円 枠連:0円,,,,,,,,,,,,"単勝:1,080円 複勝:10=290円 01=260円 03=140円 枠連:1,690円",,,,,,,,,,,
馬連:440円 ワイド:05-08=190円 01-05=640円 01-08=350円,,,,,,,,,,,,"馬連:1,110円 ワイド:07-09=430円 07-12=600円 09-12=220円",,,,,,,,,,,,馬連:450円 ワイド:01-07=180円 03-07=160円 01-03=530円,,,,,,,,,,,,"馬連:5,020円 ワイド:01-10=1,560円 03-10=700円 01-03=500円",,,,,,,,,,,
"馬単:1,180円 3連複:1,110円 3連単:6,120円",,,,,,,,,,,,"馬単:2,940円 3連複:1,310円 3連単:10,080円",,,,,,,,,,,,"馬単:620円 3連複:790円 3連単:2,350円",,,,,,,,,,,,"馬単:9,380円 3連複:4,450円 3連単:43,320円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1600m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄモエレフルｰル, 56,北村宏,, 62,  -3,   4, 4,  7.1, ⑥⑦, 1,16, ルネッタアスｰル,---,宮崎北,, 61, -10,*  5, 7, 17.0, ⑬⑬, 1,12,Ｇサクラシャイニｰ, 66,松岡正,, 79,   2,* 14, 7, 26.6, ⑩⑨, 1, 6,Ａアスカトップレディ, 85,蛯名正,, 89,   3,  13, 4,  5.4, ③③
 2, 6,Ｃサトノレオパｰド, 57,横山典, 0.1, 61, -12,* 18, 2,  4.1, ⑬⑬, 2, 7, ピエモンテ,---,北村宏, 0.2, 57,  -6,  -6,10, 26.3, ⑥⑥, 2, 7,Ａペガサスヒルズ, 74,横山典, 0.9, 71,   2,   4, 2,  3.0, ⑥④, 2, 3,Ｄリｰチコンセンサス, 82,横山典, 0.3, 85,   0,* 15, 5, 10.3, ⑦⑥
 3, 7,Ｋマイネルコランダム, 34,ベリｰ, 0.2, 61,  -6,   8, 7, 33.7, ⑩⑩, 3, 5, ラクリモｰサ,---,三浦皇, 0.3, 58,  -7,  -4, 4,  9.4, ⑨⑨, 3,11,Ｂドンビザッツウェイ, 74,田中勝, 1.2, 68,  -1,   7, 1,  2.5, ⑫⑪, 3,12,Ｆデルマドゥルガｰ, 82,後藤浩, 0.4, 86,  -3,* 18, 3,  5.0, ⑫⑪
 4,10,Ｆカジノロワイヤル, 45,三浦皇, 0.4, 60,  -5,   5, 1,  2.5, ⑪⑪, 4,17, ダイワフェリス,---,武士沢, 0.3, 53,*  1, -19,13, 75.7, ②②, 4, 3,Ｈスノウプリンス, 64,丸山元, 1.2, 70,  -2,*  8,10, 44.0, ⑪⑫, 4, 1,Ｈリヴァｰレ, 80,江田照, 0.5, 83,   0,  10, 2,  4.9, ⑤⑤
 5, 5,Ａパイライトパワｰ, 58,千葉直, 0.4, 57,*  2,  -8, 5, 11.1, ①①, 5,14, レッドルイｰザ,---,横山典, 0.3, 56, -13,*  4, 1,  2.6, ⑯⑮, 5, 9,Ｋジャイアン, 61,柴田善, 1.4, 67,   1,   2, 8, 27.5, ⑨⑧, 5, 9,Ｃアグネスワルツ, 83,柴田善, 0.6, 80,   1,   6, 1,  3.7, ④④
 6,14,Ｂロｰレンルｰナ, 57,蛯名正, 0.6, 56,*  1, -10, 3,  4.6, ③②, 6, 1, ファｰゴ,---,田中勝, 0.4, 57, -12,*  4, 3,  7.0, ⑭⑭, 6, 4,Ｄキングダムキング, 72,北村宏, 1.4, 67,*  3,  -1, 4,  8.5, ②②, 6, 4,Ｋカトルズリップス, 79,武士沢, 0.6, 76,*  7,  -3,11, 67.5, ①①
 7, 1,Ｉロｰドラディアント, 41,田辺裕, 1.1, 48,  -1, -13, 6, 15.3, ④③, 7,11, コンサｰトレディ,---,田辺裕, 0.4, 55, -10,  -1, 2,  4.5, ⑫⑫, 7,10,Ｃセイウンオウサム, 72,嶋田純, 1.5, 65,   2,  -1, 3,  6.5, ⑦⑤, 7, 8,Ｂクｰデグレイス, 84,田辺裕, 0.7, 80,  -2,  10, 7, 11.5, ⑧⑦
 8, 8,Ｊコスモマチェドニア, 39,中谷雄, 1.8, 42,  -4, -17, 9, 74.2, ⑧⑧, 8,10, サウススカｰレット,---,柴田善, 0.5, 53,  -4, -13, 8, 19.4, ④⑤, 8, 6,Ｆセイカフォルテ, 68,石橋脩, 1.5, 66,*  5,  -4, 9, 30.5, ①①, 8, 2,Ｇマイネプリンセス, 81,三浦皇, 0.8, 82,  -3,  12, 8, 19.2, ⑩⑨
 9,12,Ｈソｰワンダｰフル, 41,石橋脩, 2.2, 38,  -4, -23,12,257.3, ⑨⑨, 9,15, チャペルプリンセス,---,伊藤直, 0.9, 52, -17,*  3, 6, 14.9, ⑱⑱, 9, 8,Ｉヒズラストノｰト, 63,田辺裕, 2.3, 60,   0,  -3, 6, 20.0, ⑧⑩, 9, 7,Ｌテｰオｰティアラ, 78,ベリｰ, 0.9, 80,  -4,  12,10, 52.4, ⑬⑬
10, 9,Ｇマスタｰズキング, 42,松岡正, 2.3, 37,  -2, -31, 8, 34.5, ②④,10,18, コナセラｰ,---,蛯名正, 0.9, 51, -14,  -1, 5, 14.0, ⑰⑰,10, 2,Ｌヒアズルッキング, 60,三浦皇, 2.4, 59,   2,  -8,11,113.6, ⑤⑦,10,10,Ｅマジックビクトリア, 82,柴田大, 1.0, 78,  -4,  10,12,141.9, ⑪⑫
11, 3,Ｍセイウンノカナタ, 31,武士沢, 2.5, 34,  -3, -30,12,257.3, ⑤⑥,11, 4, ロｰズフラッシュ,---,嶋田純, 1.0, 47,  -7, -15,12, 65.0, ⑧⑧,11, 1,Ｅドナリサ, 69,蛯名正, 2.5, 58,   2,  -9, 5, 17.0, ④⑥,11,13,Ｉレッドエレンシア, 80,田中勝, 1.1, 76,  -3,   6, 6, 10.6, ⑨⑩
12, 4,Ｌスタｰインザライト, 32,嶋田純, 2.5, 35, -10, -19,11,157.9, ⑫⑫,12, 2, イエロｰシュシュ,---,後藤浩, 1.1, 47, -10, -12,15,104.3, ⑪⑪,12, 5,Ｊウィッシュボｰン, 62,高嶋活, 3.4, 51,*  4, -19,12,166.6, ③③,12,11,Ｊレジェンドブルｰ, 79,松岡正, 1.2, 76,  -1,   3, 9, 50.6, ⑥⑧
13, 2,Ｅリトルモア, 47,丸山元, 2.8, 30,  -3, -35,10,116.0, ⑦⑤,13,13, ウエスタンルｰチェ,---,石橋脩, 1.2, 45,  -7, -19,14, 98.1, ⑦⑦,,,,,,,,,,,,,13, 5,Ｍヴィｰヴァヴォドカ, 73,北村宏, 2.0, 59,*  4, -19,13,153.7, ②②
,,,,,,,,,,,,14, 9, パリｰナチャン,---,熊沢重, 1.2, 47,  -8, -16,17,321.4, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 8, コスモウンディｰネ,---,松岡正, 1.7, 41,*  0, -36, 9, 26.0, ③④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 6, ヤマタケデヒア,---,江田照, 1.7, 40,* -1, -35,16,173.0, ⑤③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,12, アプロｰズ,---,丸山元, 2.3, 33,*  3, -51,11, 62.8, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 3, ピンクバｰド,---,中谷雄, 2.5, 32, -14, -24,18,334.3, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:710円 複勝:11=230円 06=160円 07=820円 枠連:1,120円",,,,,,,,,,,,"単勝:1,700円 複勝:16=540円 07=710円 05=330円 枠連:3,430円",,,,,,,,,,,,"単勝:2,660円 複勝:12=290円 07=130円 11=120円 枠連:340円",,,,,,,,,,,,"単勝:540円 複勝:06=190円 03=240円 12=170円 枠連:2,690円",,,,,,,,,,,
"馬連:1,370円 ワイド:06-11=600円 07-11=4,500円 06-07=2,170円",,,,,,,,,,,,"馬連:20,480円 ワイド:07-16=5,720円 05-16=2,800円 05-07=3,310円",,,,,,,,,,,,"馬連:2,810円 ワイド:07-12=930円 11-12=930円 07-11=190円",,,,,,,,,,,,"馬連:2,700円 ワイド:03-06=730円 06-12=520円 03-12=790円",,,,,,,,,,,
"馬単:3,210円 3連複:16,660円 3連単:87,940円",,,,,,,,,,,,"馬単:41,280円 3連複:70,740円 3連単:494,390円",,,,,,,,,,,,"馬単:7,630円 3連複:2,090円 3連単:25,190円",,,,,,,,,,,,"馬単:5,040円 3連複:4,280円 3連単:27,490円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,百日草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａコスモオオゾラ, 59,中谷雄,, 50,*-14,*  7, 2,  2.6,③③②, 1, 6, セコンドピアット,---,蛯名正,, 65,*-10,   2, 1,  1.5, ②②, 1, 5,Ｆベストディｰル, 58,蛯名正,, 74,*-10,* 12, 1,  2.0,④④③, 1,13,Ｅイチエイクリッパｰ, 75,石橋脩,, 77,   2,* 17, 5, 13.2, ⑭⑭
 2,12,Ｄスｰパｰムｰン, 43,横山典, 0.3, 46, -17,*  7, 1,  2.2,⑥⑤⑤, 2, 7, マロンクン,---,江田照, 0.0, 62,* -5,  -5, 6, 22.0, ①①, 2, 2,Ｉクラウドチェンバｰ, 34,横山典, 0.3, 67, -12,   9, 2,  4.0,③③④, 2, 4,Ｃトキノエクセレント, 76,三浦皇, 0.2, 77,   5,* 11, 1,  2.5, ⑧⑨
 3, 9,Ｆマイネルバイカ, 41,松岡正, 0.5, 51, -18,* 10, 4, 17.2,⑫⑫⑩, 3, 3, シャドウライフ,---,横山典, 0.2, 64, -15,*  8, 3,  7.0, ⑤⑤, 3, 9,Ｈスプリングピｰス, 45,後藤浩, 0.5, 67, -12,   8, 8, 26.3,⑧⑥⑤, 3, 9,Ｂブレｰヴゴｰルド, 78,ベリｰ, 0.4, 75,   6,   8, 3,  5.5, ⑨⑧
 4, 5,Ｉガンガンユコウゼ, 36,北村宏, 0.6, 44, -17,   4, 3,  9.4,⑤⑥⑥, 4, 4, パｰフェクトミｰ,---,石橋脩, 0.2, 64, -10,   3, 4, 15.8, ③③, 4, 8,Ｄサトノプレジデント, 60,北村宏, 0.6, 67, -13,   9, 4,  9.9,⑤⑤⑦, 4, 8,Ｆタイキジャガｰ, 75,後藤浩, 0.6, 72,   4,   9,10, 36.0, ⑩⑪
 5, 6,Ｃマイネアスタリスク, 45,柴田大, 0.7, 44, -18,   5, 8, 22.5,⑦⑦⑦, 5, 1, ルミナススカイ,---,丸山元, 0.3, 64, -17,*  9, 7, 22.7, ⑧⑦, 5, 6,Ｅアドマイヤリリｰフ, 58,田辺裕, 0.6, 68, -16,* 14, 6, 16.5,⑨⑨⑨, 5,14,Ｌコスモケンジ, 71,松岡正, 0.7, 73,   8,   3, 4, 10.8, ⑦⑥
 6, 1,Ｌブルｰナボｰニャ, 24,田辺裕, 0.7, 45, -18,*  7, 9, 41.3,⑩⑨⑨, 6, 5, ヴェルティゴ,---,田辺裕, 0.7, 59, -17,   5, 5, 18.1, ⑨⑨, 6, 1,Ｂヒシマｰベラス, 63,丸山元, 0.8, 64, -15,   8, 5, 11.4,⑦⑧⑧, 6, 3,Ｋリｰサムダイチ, 72,武士沢, 0.8, 71,   3,   8, 6, 20.4, ⑫⑫
 7, 2,Ｂティティカカ, 51,丸山元, 0.7, 37,*-13,  -8, 5, 18.4,①①①, 7, 8, ロｰドパルジファル,---,三浦皇, 1.3, 51, -17,  -5, 9, 65.5, ⑦⑧, 7, 4,Ｃツクバヤマノオｰ, 61,柴田善, 1.0, 59,*-11,  -3, 7, 22.1,①①①, 7, 1,Ａトシギャングスタｰ, 78,田辺裕, 0.8, 73,* 13,  -3, 2,  3.8, ①①
 8,11,Ｇハシルヨアニキ, 41,三浦皇, 0.8, 41, -15,  -2, 7, 19.3,④④④, 8,11, コスモキャリｰ,---,松岡正, 2.0, 44, -21,  -8, 8, 31.2, ⑩⑪, 8, 7,Ｇキｰプビリｰビング, 51,柴田大, 1.0, 58,*-10,  -4, 9, 44.3,②②②, 8,10,Ｄビッグジャンパｰ, 76,江田照, 1.1, 70,   5,   5, 7, 22.7, ⑬⑩
 9,10,Ｊコスモガラサ, 35,ベリｰ, 1.3, 36, -16,  -5, 6, 19.3,⑨⑧⑧, 9,10, バリバリ,---,嶋田純, 2.1, 42, -22,  -7,12,210.8, ⑫⑫, 9, 3,Ａマイネエカテリｰナ, 66,松岡正, 1.1, 60, -12,  -1, 3,  7.0,⑥⑦⑥, 9, 6,Ｍオヤシオ, 66,柴田大, 1.6, 67,   8,  -4,13, 66.8, ⑥④
10, 3,Ｋスリｰオｰシャン, 29,江田照, 1.5, 31, -15, -13,10, 74.4,②②③,10, 9, ガルチデフィｰト,---,荻野琢, 2.5, 35, -21, -15,13,253.3, ⑪⑩,,,,,,,,,,,,,10, 2,Ｈタマモワルツ, 74,嶋田純, 1.7, 65,* 11, -11, 9, 34.2, ②②
11, 8,Ｈクリノエルヴィス, 37,宮崎北, 1.8, 31, -19,  -7,12,297.3,⑧⑩⑫,11,14, バグダッドカフェ,---,柴田善, 2.6, 32, -16, -23, 2,  6.7, ⑥⑥,,,,,,,,,,,,,11, 5, スズヨノｰベル,---,宮崎北, 1.7, 64,   6,  -3,14,166.4, ④⑦
12, 4,Ｅジャングルスタｰ, 42,武士沢, 3.2, 12, -20, -28,11,147.6,⑪⑪⑪,12,13, ウエスタンバロン,---,田中勝, 2.7, 29, -12, -30,11,170.5, ④④,,,,,,,,,,,,,12,11,Ｊクｰルフォｰマ, 74,北村宏, 1.8, 63,   3,  -1,11, 49.0, ⑪⑬
,,,,,,,,,,,,13, 2, トキワヅクシ,---,菅原隆, 4.3, 15, -29, -27,14,363.9, ⑬⑬,,,,,,,,,,,,,13,12,Ｉトウショウノｰヴァ, 74,丸山元, 2.3, 60,   7,  -9, 8, 29.4, ⑤⑤
,,,,,,,,,,,,14,12, バニラビｰンズ,---,武士沢, 6.0, -3, -40, -34,10,114.1, ⑭⑭,,,,,,,,,,,,,14, 7,Ｇココカラ, 74,柴田善, 2.4, 60,* 11, -17,12, 49.6, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:260円 複勝:07=110円 12=120円 09=240円 枠連:290円,,,,,,,,,,,,単勝:150円 複勝:06=110円 07=310円 03=180円 枠連:790円,,,,,,,,,,,,単勝:200円 複勝:05=110円 02=130円 09=450円 枠連:420円,,,,,,,,,,,,"単勝:1,320円 複勝:13=260円 04=130円 09=180円 枠連:610円",,,,,,,,,,,
馬連:280円 ワイド:07-12=150円 07-09=410円 09-12=550円,,,,,,,,,,,,"馬連:1,270円 ワイド:06-07=490円 03-06=240円 03-07=1,360円",,,,,,,,,,,,"馬連:400円 ワイド:02-05=200円 05-09=700円 02-09=1,520円",,,,,,,,,,,,"馬連:1,730円 ワイド:04-13=640円 09-13=880円 04-09=310円",,,,,,,,,,,
"馬単:620円 3連複:1,030円 3連単:3,280円",,,,,,,,,,,,"馬単:1,430円 3連複:2,260円 3連単:7,710円",,,,,,,,,,,,"馬単:610円 3連複:2,920円 3連単:8,720円",,,,,,,,,,,,"馬単:4,990円 3連複:2,360円 3連単:22,080円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
