11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾟﾙｾｳｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂトｰセンピアス, 49,平野優,, 56,*-11,*  2, 3,  6.6, ③③, 1, 5, ハナズゴｰル,---,丸田恭,, 71,  -8,* 15,11, 60.3, ⑯⑮, 1, 9,Ａメジロオｰドリｰ, 75,吉田豊,, 80,   8,* 14, 2,  6.3, ⑧⑧, 1,10,Ｈセレスハント, 85,田辺裕,, 91,  13,* 17, 8, 38.7, ⑩⑩
 2, 3,Ａクリノダイキンボシ, 55,田辺裕, 0.3, 54, -15,*  3, 1,  2.1, ④⑥, 2, 8, チェリｰメドゥｰサ,---,田辺裕, 0.2, 66,  -5,   4, 8, 28.4, ⑤④, 2, 1,Ｊシャイニングサヤカ, 64,黛弘人, 0.1, 81,   6,* 17,10, 27.0, ⑨⑩, 2, 6,Ｃナニハトモアレ, 90,安藤勝, 0.0, 89,   9,* 20, 5,  8.5, ⑫⑫
 3,10,Ｇデリケｰトアｰチ, 35,嶋田純, 0.5, 48,*-10,  -8, 4,  6.8, ①①, 3, 7, パストフォリア,---,北村宏, 0.3, 67,  -6,*  7, 2,  3.5, ⑪⑪, 3, 8,Ｃエアワンピｰス, 72,石橋脩, 0.2, 79,  11,   8, 3,  7.4, ⑥⑥, 3, 8,Ｅブライトアイザック, 88,江田照, 0.4, 88,  14,  11, 6,  8.9, ⑧⑧
 4, 1,Ｆスズノライジン, 37,勝浦正, 0.6, 49, -18,*  1, 6, 14.4, ⑥⑧, 4,16, ダイワズｰム,---,吉田隼, 0.5, 63,  -5,  -1,10, 36.9, ⑧⑦, 4, 4,Ｆデラコリｰナ, 69,柴田善, 0.2, 79,   6,* 14, 9, 16.4, ⑩⑨, 4, 9,Ａナムラタイタン, 91,熊沢重, 0.7, 86,  16,   6, 1,  2.8, ⑦⑦
 5, 7,Ｄエルザブラバント, 43,松岡正, 1.0, 44, -14,  -9, 5,  7.0, ⑦④, 5,10, ケｰジｰヒトメボレ,---,松岡正, 0.7, 63,  -9,   4,15,184.1, ⑮⑭, 5, 5,Ｋアフロディｰテ, 64,北村宏, 0.4, 76,  11,   5, 4,  9.7, ⑤⑤, 5, 5,Ｇピｰスオブパワｰ, 85,田中勝, 0.7, 84,  13,  10, 9, 41.9, ⑨⑨
 6, 6,Ｃベルウッドブレット, 48,宮崎北, 1.0, 43, -14,  -9, 2,  5.9, ⑤⑤, 6,13, ウィケットキｰパｰ,---,蛯名正, 0.8, 61,  -6,  -2, 1,  2.9, ⑫⑫, 6,13,Ｉマイネイディｰル, 65,蛯名正, 0.6, 73,* 12,  -1, 7, 14.0, ④③, 6, 4,Ｍシャイニングアワｰ, 78,北村宏, 0.9, 85,* 19,   1, 7, 19.9, ③②
 7, 2,Ｋヒシデュランダル,  4,丸田恭, 1.0, 45, -17,  -3,11,102.6, ⑨⑨, 7,14, トゥルｰマｰトル,---,吉田豊, 0.8, 59,* -3,  -6, 6, 12.8, ④③, 7,10,Ｂサンデｰスイセイ, 73,田中勝, 0.7, 72,   4,  11, 8, 15.4, ⑬⑬, 7, 3,Ｂツクバホクトオｰ, 91,吉田豊, 1.0, 82,  17,   3, 3,  6.2, ⑥⑤
 8,11,Ｅブリッサ, 42,武士沢, 1.3, 39, -15, -10, 7, 42.6, ⑧⑦, 8, 1, ヴィオラｰネ,---,横山典, 0.8, 59,  -6,   0, 4,  8.9, ⑩⑨, 8, 7,Ｄチェルカトロｰバ, 72,柴山雄, 0.8, 73,   4,  11,13,244.8, ⑪⑪, 8,11,Ｆケイアイテンジン, 88,蛯名正, 1.0, 83,  17,   2, 2,  4.5, ④④
 9, 9,Ｊクレバｰタイガｰ, 23,大野拓, 1.4, 42, -18,  -6, 9, 57.0, ⑪⑪, 9, 6, アイティロｰズ,---,丹内祐, 1.0, 59,  -9,   1, 7, 26.0, ⑭⑯, 9, 3,Ｈヨシサプライズ, 66,平野優, 0.8, 71,   8,   4,12,214.9, ⑦⑦, 9, 1,Ｄトｰホウオルビス, 89,大庭和, 1.4, 81,* 18,  -3, 4,  7.6, ②③
