11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,大津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:750円 3連複:1,080円 3連単:3,380円",,,,,,,,,,,,"馬単:850円 3連複:910円 3連単:3,720円",,,,,,,,,,,,"馬単:7,200円 3連複:20,230円 3連単:109,150円",,,,,,,,,,,,"馬単:21,970円 3連複:20,350円 3連単:197,580円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂニシオドリｰム, 67,高橋亮,, 73,* 14,  -4, 3,  5.4, ②②, 1, 1,Ａアストロロジｰ, 69,川田将,, 67,*  0,* -4, 1,  2.8, ③④, 1, 9,Ｅジｰワンボｰイ, 71,藤岡康,, 73,*  5,   5, 2,  5.5,④②③, 1, 2,Ｅカレンチャン, 76,川田将,, 89,* 12,   6, 1,  1.9, ③③
 2, 9,Ｃシゲルカイチョウ, 65,福永祐, 0.8, 61,   6,  -3, 2,  3.7, ⑧⑥, 2, 6,Ｇメイショウヤタロウ, 60,福永祐, 0.0, 67,  -2,* -1, 2,  3.5, ⑧⑧, 2, 7,Ｋタガノシュｰマン, 61,国分恭, 0.0, 75,*  5,   4, 5, 16.4,①①①, 2, 8,Ｄドリｰムバレンチノ, 78,松山弘, 0.4, 79,   2,* 11, 2,  6.5, ⑬⑬
 3,13,Ｊジャベリン, 49,国分恭, 0.9, 63,   8,  -6,12,150.2, ④④, 3, 8,Ｈダイヤノゲンセキ, 60,浜中俊, 0.4, 61,* -1,  -8, 6, 20.9, ⑤⑥, 3, 3,Ａピサノルビｰ, 77,岩田康, 0.1, 75,   3,*  7, 1,  1.7,⑤⑦⑤, 3,12,Ｌタイガｰストｰン, 71,四位洋, 0.6, 75,  -5,* 15, 8, 36.6, ⑮⑮
 4, 5,Ｌファンドリソフィア, 48,北村友, 1.1, 56,  -1,*  1, 8, 32.0, ⑬⑪, 4, 5,Ｄスマｰトリバティｰ, 64,岩田康, 0.5, 63,  -3,* -5, 4,  6.7, ⑫⑬, 4, 6,Ｄナリタシルクロｰド, 71,高倉稜, 0.1, 71,   3,   6, 3,  7.6,③⑥④, 4, 9,Ｋメイショウカｰタｰ, 73,難波剛, 0.7, 75,   1,*  8,11, 53.2, ⑭⑭
 5, 8,Ｇダノンスプリｰム, 57,岩田康, 1.1, 60,   5,  -4, 7, 29.3, ⑨⑧, 5,15,Ｃアクアシャンデリア, 65,松山弘, 1.1, 53,*  0, -18, 9, 29.5, ⑥⑤, 5, 1,Ｂカスガ, 75,佐藤哲, 0.3, 73,   3,   7, 7, 24.3,⑦⑩⑥, 5,15,Ｃユメイッポ, 78,赤木高, 0.8, 75,   6,   2, 7, 25.9, ⑩⑩
 6, 7,Ｋケイエスブライト, 48,国分優, 1.1, 56,   3,  -3,13,289.8, ⑩⑨, 6,10,Ｂブラボｰスキｰ, 67,北村友, 1.1, 52,  -3, -14, 3,  5.2, ⑬⑩, 6, 2,Ｃメイショウダイクン, 72,国分優, 0.4, 69,   2,   5, 9, 45.8,⑧⑧⑪, 6,11,Ｆロｰズカットダイヤ, 76,秋山真, 0.8, 76,   7,   1, 3,  7.6, ⑨⑨
 7, 3,Ｉキンシゴｰルド, 52,高倉稜, 1.2, 55,  -1,*  0,11, 87.4, ⑫⑬, 7,11,Ｍワンダｰエレメント, 40,野元昭, 1.1, 53,*  1, -21,14,487.5, ②②, 7,11,Ｇシルクマッドネス, 70,和田竜, 0.6, 73,   2,*  8, 4,  8.3,⑪⑪⑧, 7, 5,Ｏマルカベスト, 62,福永祐, 1.0, 75,  10,  -5, 6, 24.9, ⑦⑥
 8, 4,Ｄエｰシンボダイジュ, 65,川田将, 1.4, 57,   8, -11, 5, 16.9, ③③, 8,16,Ｎテイエムヒナマツリ, 31,藤岡康, 1.4, 53, -10,  -6,13,384.2, ⑮⑭, 8, 4,Ｆスプリングバレル, 71,川須栄, 0.9, 68,   2,   1, 6, 24.0,⑩⑨⑩, 8, 4,Ｍジョウショｰアロｰ, 70,高倉稜, 1.1, 71,   3,   0,15,361.6, ⑪⑪
 9,12,Ａラディアｰレ, 75,酒井学, 1.7, 58,* 14, -19, 1,  2.2, ①①, 9, 2,Ｅアグネスクロｰバｰ, 63,高倉稜, 1.5, 48,*  1, -28, 8, 25.3, ①①, 9, 8,Ｉアイファｰジャンボ, 68,川田将, 1.2, 66,   4,  -4,10, 59.9,②③②, 8, 7,Ｉリッタｰヴォルト, 74,上村洋, 1.1, 71,   3,   0, 9, 38.6, ⑫⑫
10, 6,Ｅエｰシンホｰマｰ, 59,和田竜, 1.8, 53,   6, -12, 6, 17.9, ⑦⑤,10, 3,Ｋアスｰルアラテラ, 50,和田竜, 1.5, 51,  -3, -20, 7, 24.2, ⑦⑨,10, 5,Ｊレオアラシ, 65,浜中俊, 1.2, 65,   3,  -3, 8, 27.9,⑥④⑨,10,10,Ｊアキノパンチ, 73,芹沢純, 1.2, 71,   8,  -6,14,248.1, ④⑧
11,10,Ｆクリスワｰルド, 59,中村将, 1.8, 53,   7, -13,10, 84.9, ⑥⑦,11, 7,Ｆレッドストラｰダ, 61,武豊  , 1.6, 48,  -2, -24, 5, 16.4, ⑨⑦,11,10,Ｈエストレｰラ, 68,小牧太, 1.4, 61,   3,  -5,11,125.3,⑨⑤⑦,11,14,Ｂレジェトウショウ, 81,熊沢重, 1.3, 71,  10,  -9, 5,  8.8, ⑥⑤
12,15,Ｎナリタグロｰリｰ, 37,川須栄, 1.9, 50,   2,  -9, 9, 70.7, ⑪⑫,12,13,Ｉマイネルデフィ, 50,丹内祐, 1.7, 48,*  0, -28,11,140.0, ④③,,,,,,,,,,,,,12, 6,Ａアスタｰエンペラｰ, 84,古川吉, 1.3, 72,* 15, -14, 4,  7.6, ①①
13,16,Ｍキョウワブリット, 45,渡辺薫, 2.3, 45,  -7,  -4,14,370.2, ⑮⑮,13, 9,Ｊエリモフロンティア, 50,四位洋, 1.9, 45,  -3, -25,10, 52.9, ⑪⑪,,,,,,,,,,,,,13,13,Ｇビｰチアイドル, 75,和田竜, 2.2, 59,  10, -20,10, 50.0, ⑤④
14,11,Ｏモチヅキ, 35,赤木高, 2.5, 43,  -7,  -5,16,508.2, ⑭⑭,14,14,Ｌスズカミニオン, 46,川須栄, 2.2, 43,  -7, -21,12,191.3, ⑭⑮,,,,,,,,,,,,,14, 3,Ｈロックオブサリサ, 75,小牧太, 2.3, 56,   6, -18,12, 79.5, ⑧⑦
15, 2,Ｈアスタｰポメリｰ, 52,浜中俊, 2.9, 44,   6, -21, 4,  9.6, ⑤⑩,15, 4,Ｏアスタｰファイタｰ, 29,上野翔, 2.3, 41,  -3, -30,16,540.5, ⑩⑫,,,,,,,,,,,,,15, 1,Ｎパッションロｰズ, 70,国分優, 2.9, 51,* 13, -34,13,227.1, ②②
16, 1,Ｐサカジロロイヤル, 31,野元昭, 4.0, 34, -15, -11,15,444.5, ⑯⑯,16,12,Ｐウｰシエンダｰ, 28,田中克, 3.3, 31, -17, -22,15,521.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:6),,,,,,,,,,,
"単勝:540円 複勝:14=190円 09=170円 13=2,620円 枠連:1,220円",,,,,,,,,,,,単勝:280円 複勝:01=130円 06=140円 08=330円 枠連:290円,,,,,,,,,,,,"単勝:550円 複勝:09=160円 07=300円 03=110円 枠連:1,250円",,,,,,,,,,,,単勝:190円 複勝:02=130円 08=180円 12=590円 枠連:620円,,,,,,,,,,,
"馬連:1,370円 ワイド:09-14=600円 13-14=7,210円 09-13=5,760円",,,,,,,,,,,,馬連:460円 ワイド:01-06=230円 01-08=820円 06-08=740円,,,,,,,,,,,,"馬連:3,950円 ワイド:07-09=1,260円 03-09=210円 03-07=530円",,,,,,,,,,,,"馬連:660円 ワイド:02-08=310円 02-12=1,210円 08-12=2,330円",,,,,,,,,,,
"馬単:2,540円 3連複:41,360円 3連単:161,720円",,,,,,,,,,,,"馬単:930円 3連複:2,540円 3連単:8,150円",,,,,,,,,,,,"馬単:6,940円 3連複:2,130円 3連単:25,320円",,,,,,,,,,,,"馬単:950円 3連複:5,490円 3連単:17,930円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1400m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,こぶし賞,,,,,,,,,,,,,,,,,,,,,,
