11年 7月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
 9, 4,Ｍジョウショｰコトミ, 48,赤木高, 1.2, 56,  -2,  -1,12,111.7,⑪⑫⑫, 9, 7, レジャイｰル,,今村康,207.2,,,, 9, 74.7,⑥⑨⑧, 9,12,Ｇサｰノ, 75,松山弘, 1.7, 70,   7,  -4,11, 50.1,⑫⑫⑩, 9,11,Ｉエリモアラルマ, 80,松山弘, 1.4, 79,   5,  11,12,114.5,⑭⑭⑭
10,15,Ｈファｰマペニｰ, 52,安藤光, 1.3, 58,  -4,   3,14,356.4,⑯⑮⑮,10, 8, フミノイダテン,,難波剛,208.4,,,,11,115.5,⑪⑪⑩,10, 5,Ｈウインスカイハイ, 74,浜中俊, 1.7, 70,   7,  -4, 7, 26.0,⑧⑪⑫,10,10,Ｍヒカリアスティル, 77,酒井学, 1.5, 76,   7,   5,13,116.4,⑫⑫⑫
11, 1,Ｂロブストニケ, 60,国分優, 1.5, 53,*  1, -13, 2,  4.1,①①①,,,,,,,,,,,,,11, 9,Ｎタマモアルプス, 61,藤岡康, 2.4, 64,   5,  -6,12, 52.0,⑮⑭⑬,11, 6,Ｃツルマルスピリット, 83,小牧太, 1.6, 74,  10,  -1, 1,  3.1,④⑥⑦
12,11,Ｎロングエクセル, 45,松山弘, 1.7, 53,  -1,  -9,15,493.9,⑨⑨⑩,,,,,,,,,,,,,12, 1,Ｉマサシ, 73,国分優, 2.6, 62,   9, -17, 8, 27.8,④⑤⑦,12,13,Ｆキングオブヘイロｰ, 82,川田将, 1.9, 73,  11,  -6, 7, 11.3,⑤③③
13,12,Ｇテイエムセｰラｰ, 52,酒井学, 1.7, 51,  -1, -10,13,338.1,⑤⑦⑪,,,,,,,,,,,,,13, 2,Ｌトシザツンツン, 69,佐藤哲, 2.7, 59,* 10, -20,10, 43.2,①①②,13, 1,Ｇソルモンタｰレ, 81,小林慎, 2.2, 73,   7,   1, 8, 19.3,⑪⑬⑬
14,16,Ｊテフテフ, 51,佐藤哲, 3.0, 43,  -2, -18,11, 91.5,⑩⑪⑬,,,,,,,,,,,,,14, 8,Ｍシルクエスティｰム, 65,高倉稜, 3.6, 57,   3, -10,13,162.0,⑯⑮⑮,14, 3,Ｎトップジャイアンツ, 75,小坂忠, 3.1, 65,   9, -12,14,230.1,⑥⑦⑪
15, 5,Ｏプラウドガｰル, 40,花田大, 4.0, 38,  -5, -22,16,604.9,⑬⑯⑯,,,,,,,,,,,,,15, 4,Ｐリバｰクリｰク, 52,安藤光, 3.9, 55,   2, -12,14,291.7,⑭⑯⑯,,,,,,,,,,,,
16, 3, サクラプリメｰラ,---,鮫島良, 4.6, 34,  -4, -29, 4,  9.7,⑮⑭⑭,,,,,,,,,,,,,16,15,Ｏシｰセラピス, 54,野元昭, 5.8, 45,   9, -43,16,343.7,②③⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,330円 複勝:07=510円 13=380円 06=690円 枠連:760円",,,,,,,,,,,,"単勝:1,790円 複勝:03=560円 04=290円 11=2,750円 枠連:6,320円",,,,,,,,,,,,"単勝:690円 複勝:06=200円 11=210円 14=180円 枠連:1,340円",,,,,,,,,,,,"単勝:400円 複勝:02=160円 08=380円 04=230円 枠連:1,840円",,,,,,,,,,,
"馬連:5,120円 ワイド:07-13=1,610円 06-07=3,800円 06-13=2,590円",,,,,,,,,,,,"馬連:5,110円 ワイド:03-04=1,140円 03-11=13,120円 04-11=7,670円",,,,,,,,,,,,"馬連:2,200円 ワイド:06-11=730円 06-14=660円 11-14=570円",,,,,,,,,,,,"馬連:1,970円 ワイド:02-08=870円 02-04=580円 04-08=1,290円",,,,,,,,,,,
"馬単:10,580円 3連複:32,930円 3連単:177,820円",,,,,,,,,,,,"馬単:11,850円 3連複:188,130円 3連単:1,027,150円",,,,,,,,,,,,"馬単:4,290円 3連複:3,500円 3連単:21,410円",,,,,,,,,,,,"馬単:3,370円 3連複:5,280円 3連単:24,460円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａナイトレイダｰ, 68,川田将,, 68,*  7,  -6, 1,  3.1, ②②, 1,10, シンゼンレンジャｰ,---,飯田祐,, 63,  -8,*  7, 7, 18.7, ⑩⑩, 1,15,Ｏボストンエンペラｰ, 58,和田竜,, 81,*-13,  18, 8, 30.3, ④④, 1, 7,Ａリディル, 95,小牧太,, 88,  11,  29, 1,  1.5, ③③
 2, 5,Ｆウォｰタｰメジャｰ, 57,幸英明, 0.0, 69,*  6,* -5, 2,  3.5, ④③, 2, 9, ロｰドバッカス,---,ピンナ, 0.3, 59,  -7,  -2, 6, 16.8, ⑨⑦, 2, 7,Ａキングレオポルド, 76,浜中俊, 0.0, 82, -17,* 22, 1,  1.8, ⑦⑦, 2,10,Ｄスピリタス, 85,高倉稜, 0.1, 90,   7,* 35, 4, 12.4, ⑧⑧
 3,15,Ｇキンシゴｰルド, 56,高倉稜, 0.4, 60,  -2,*  0, 7, 17.7, ⑪⑪, 3, 1, レッドクラウディア,---,浜中俊, 0.6, 57,  -5,  -7, 1,  1.7, ④⑤, 3,16,Ｄテイエムカルメン, 68,小牧太, 0.0, 79,*-12,  16, 4, 11.0, ②②, 3,11,Ｅマイネルクラリティ, 84,幸英明, 0.2, 86,* 13,  22, 8, 37.0, ②②
 4,11, アンティフォナ,---,浜中俊, 0.5, 64,   5,  -8, 9, 29.8, ⑤④, 4, 4, マイネルドメニカ,---,幸英明, 0.7, 55,  -5,  -9, 2,  6.2, ⑥⑥, 4,12,Ｃフェブムｰビング, 71,野元昭, 0.2, 76,*-10,  13, 6, 17.1, ①①, 4, 8,Ｂドリｰムゼニス, 86,酒井学, 0.2, 85,   9,  27, 5, 17.1, ④④
 5, 4,Ｂハｰイスマイル, 61,ピンナ, 0.6, 61,   5,  -8, 4,  8.2, ③⑤, 5, 2, スノｰドン,---,川田将, 1.1, 52,  -7, -12, 4, 10.7, ⑧⑨, 5, 8,Ｆエトピリカ, 67,川須栄, 0.4, 74,*-13,  13, 5, 15.9, ③③, 5, 9,Ｊアンノルｰチェ, 80,佐藤哲, 0.3, 83,* 16,  16, 6, 17.9, ①①
 6,10,Ｃアスタｰポメリｰ, 61,川須栄, 0.9, 61,*  9, -15, 6, 10.9, ①①, 6, 3, メテオライト,---,鮫島良, 1.1, 52,  -7, -12, 3,  6.6, ⑦⑧, 6,11,Ｇヤマニンラレｰヌ, 66,高倉稜, 0.4, 76, -19,* 19,11, 61.5, ⑨⑩, 6, 1,Ｉオセアニアボス, 80,ピンナ, 0.5, 84,   5,* 32, 7, 27.4, ⑪⑩
 7,12,Ｉビッグゴｰゴｰ, 54,国分優, 1.0, 56,  -2,  -6,10, 43.2, ⑬⑨, 7, 6, ボクサｰ,---,武幸四, 1.2, 48,* -4, -19, 8, 26.2, ⑤④, 7, 9,Ｌピルケンハンマｰ, 61,藤岡康, 0.5, 76, -25,* 23, 9, 34.3, ⑭⑭, 7, 4,Ｃリクエストソング, 86,浜中俊, 0.5, 85,   8,  28, 3, 10.8, ⑦⑦
 8, 8,Ｏスカイホｰク, 45,太宰啓, 1.5, 50,  -4,  -8,12,154.4, ⑫⑬, 8, 8, マコトアプサラス,---,川須栄, 1.9, 42,* -4, -30,10,160.5, ③③, 8, 1,Ｊロｰザペルラ, 65,渡辺薫, 0.7, 72, -16,  13,14,231.1, ⑥⑤, 8, 6,Ｇガンダｰラ, 83,和田竜, 0.6, 83,   9,  23, 2,  5.7, ⑥⑥
 9, 2,Ｌナリタワイルド, 50,松山弘, 1.6, 49,  -6,  -8,14,248.8, ⑮⑮, 9, 7, マイネルエトランゼ,---,和田竜, 2.1, 40,* -4, -33, 9, 27.2, ②②, 9, 6,Ｉトップモデル, 65,酒井学, 0.7, 70, -15,  11,10, 39.1, ⑤⑥, 9, 2,Ｆリザｰブカｰド, 84,川須栄, 1.1, 76,   5,  22, 9, 60.5, ⑨⑨
10, 9,Ｄフェイスバンブｰ, 58,和田竜, 1.8, 50,   2, -16, 5,  9.0, ⑧⑧,10, 5, サンライズガイア,---,小牧太, 2.4, 36,* -4, -37, 5, 14.8, ①①,10,13,Ｈハイフィｰルド, 66,太宰啓, 0.8, 71, -20,  16,13,127.1, ⑬⑬,10, 3,Ｈラインプレアｰ, 82,藤岡康, 1.4, 72,   9,  12,10, 63.1, ⑤⑤
11,13,Ｅシャドｰボｰル, 58,藤岡康, 2.0, 47,   0, -16, 8, 28.8, ⑨⑩,,,,,,,,,,,,,11, 4,Ｋアグネスアンジュ, 65,川田将, 0.8, 70, -18,  13, 3, 10.1, ⑧⑨,11, 5,Ｋナリタキングパワｰ, 75,岩崎祐, 2.1, 64,   5,   7,11,153.8, ⑩⑪
12,16,Ｈシゲルコモン, 56,藤懸貴, 2.0, 48,   3, -19,11, 65.9, ⑥⑥,,,,,,,,,,,,,12, 3,Ｂマックスバロｰズ, 74,ピンナ, 0.9, 69, -19,  13, 2,  4.4, ⑩⑧,,,,,,,,,,,,
13, 7,Ｋフレッチャロッサ, 50,酒井学, 2.1, 47,  -1, -15,13,193.4, ⑩⑫,,,,,,,,,,,,,13,10,Ｅシゲルヒラシャイン, 68,国分優, 0.9, 69, -23,  16, 7, 28.5, ⑫⑫,,,,,,,,,,,,
14, 1,Ｍタルトレット, 50,小牧太, 2.2, 43, -12,  -7, 3,  7.1, ⑯⑯,,,,,,,,,,,,,14, 2,Ｍユメノカケハシ, 61,幸英明, 1.1, 67, -23,  14,12,107.1, ⑪⑪,,,,,,,,,,,,
15,14,Ｊシゲルトウカツカン, 53,花田大, 2.3, 43,  -6, -14,16,407.8, ⑭⑭,,,,,,,,,,,,,15,14,Ｎテイエムハエゲナ, 60,佐久間, 1.9, 57, -29,  10,16,519.6, ⑯⑯,,,,,,,,,,,,
16, 3,Ｎバｰネット, 46,森一馬, 2.4, 45,   3, -23,15,271.3, ⑦⑦,,,,,,,,,,,,,16, 5,Ｐピエナヴィブレ, 42,松山弘, 2.1, 53, -27,   5,15,361.6, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:3),,,,,,,,,,,
単勝:310円 複勝:06=130円 05=140円 15=300円 枠連:540円,,,,,,,,,,,,"単勝:1,870円 複勝:10=350円 09=310円 01=120円 枠連:7,120円",,,,,,,,,,,,"単勝:3,030円 複勝:15=550円 07=110円 16=280円 枠連:650円",,,,,,,,,,,,単勝:150円 複勝:07=110円 10=240円 11=560円 枠連:510円,,,,,,,,,,,
馬連:530円 ワイド:05-06=230円 06-15=840円 05-15=580円,,,,,,,,,,,,"馬連:7,960円 ワイド:09-10=1,770円 01-10=560円 01-09=500円",,,,,,,,,,,,"馬連:2,990円 ワイド:07-15=870円 15-16=2,350円 07-16=470円",,,,,,,,,,,,"馬連:740円 ワイド:07-10=330円 07-11=810円 10-11=2,820円",,,,,,,,,,,
"馬単:1,050円 3連複:2,270円 3連単:7,610円",,,,,,,,,,,,"馬単:18,060円 3連複:4,070円 3連単:56,880円",,,,,,,,,,,,"馬単:9,430円 3連複:7,750円 3連単:79,630円",,,,,,,,,,,,"馬単:1,010円 3連複:5,810円 3連単:15,750円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芦原特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａシェルエメｰル, 70,佐藤哲,, 71,   0,* 13, 1,  1.8, ⑦⑥, 1, 1,Ｂエｰシンギガウイン, 61,和田竜,, 70,   6,* -2, 2,  4.2,⑪⑧②, 1, 4,Ｂハｰキュリｰズ, 82,川田将,, 87,*-15,* 30, 1,  3.1,②②②, 1,13,Ｆヤマノサファイア, 71,高倉稜,, 76,   0,* 15, 6, 10.0, ⑮⑬
 2,14,Ｃハッピｰトゥデイ, 67,国分優, 0.4, 66,   0,*  8, 5,  9.8, ⑧⑧, 2, 3,Ｈメイショウゾウセン, 55,藤岡康, 0.2, 69,*  7,* -5, 7, 11.0,⑤③①, 2, 9,Ｄアマファソン, 74,小牧太, 0.1, 85,*-15,* 30, 2,  3.9,④④③, 2, 5,Ｂメイショウテキｰラ, 75,川田将, 0.3, 75,   4,*  8, 1,  3.9, ⑫⑪
 3, 5,Ｅサンレガｰロ, 63,藤岡康, 0.5, 67,  -1,* 10, 2,  5.2, ⑩⑩, 3, 5,Ｊアズマインパクト, 50,国分優, 0.7, 66,   6,  -8, 4,  6.5,⑦④⑤, 3, 3,Ｆジェントルマン, 68,浜中俊, 0.4, 81,*-14,  23, 3,  4.5,①①①, 3,16,Ｃエタｰナルロブロイ, 75,浜中俊, 0.8, 72,   6,   0, 4,  6.7, ⑧⑤
 4, 8,Ｄエアクロニクル, 64,ピンナ, 0.6, 65,  -1,*  8, 3,  7.1, ⑪⑪, 4,14,Ｆホクザンヴィリル, 56,赤木高, 1.2, 62,   4,  -8,11, 51.7,⑩⑨⑥, 4, 6,Ａヤマニンシャスｰル, 84,幸英明, 0.6, 81, -16,  26, 4,  4.6,⑥⑥⑥, 4,12,Ｈテｰオｰマグナム, 69,武幸四, 1.0, 70,   8,  -3, 8, 20.6, ⑥⑥
 5, 3,Ｇタガノグレイグｰス, 50,和田竜, 0.7, 64,   1,   3, 6, 18.9, ⑤②, 5, 2,Ａパラダイスポイント, 63,佐藤哲, 1.8, 57,*  7, -19, 5,  8.0,④②④, 5, 1,Ｃトウシンイｰグル, 79,佐藤哲, 0.6, 80, -16,  26, 5,  6.5,⑤⑤⑤, 5,15,Ｋフラワｰロック, 68,和田竜, 1.1, 69,   5,  -1,10, 28.7, ⑩⑨
 6, 4,Ｂオｰスミラバｰ, 69,高倉稜, 0.8, 61,*  2,  -1, 4,  9.3, ③④, 6,16,Ｄスズカキｰストン, 59,熊沢重, 1.9, 61,   1,  -7, 8, 18.6,⑭⑭⑨, 6, 5,Ｈダンスラナキラ, 62,ピンナ, 0.8, 76,*-15,  20, 6, 22.1,③③④, 6,11,Ｎフォルモンド, 61,佐藤哲, 1.2, 66,   2,   3,15,242.5, ⑬⑫
 7,15,Ｉファンシｰビビッド, 49,藤懸貴, 0.8, 60,*  4,  -2, 9,103.6, ①①, 7,10,Ｍアスクドラゴン, 44,小林慎, 2.3, 57,   7, -19,16,253.1,⑧⑤⑦, 7, 7,Ｅヤマニンフリスキｰ, 70,太宰啓, 0.8, 80, -17,  28, 7, 74.1,⑧⑧⑨, 7, 8,Ｇスマイリングムｰン, 69,酒井学, 1.3, 67,   8,  -7, 5,  8.8, ④③
 8,13,Ｈフェリスヴァｰズ, 50,武幸四, 1.0, 58,   1,  -1,11,165.5, ⑨⑤, 8,13,Ｋメイショウシンセイ, 50,太宰啓, 3.5, 49,   3, -22,15,240.8,⑬⑫⑩, 8, 8,Ｇマグニフィセント, 66,小坂忠, 0.9, 80, -18,  28, 9,113.2,⑨⑨⑦, 8,10,Ｉスズカロジック, 69,ピンナ, 2.4, 58,   6, -14, 3,  6.5, ⑦⑧
 9,11,Ｊファｰマソフト, 49,川須栄, 1.2, 57,   1,  -3, 8, 93.1, ⑥⑦, 9, 4,Ｃノアノア, 60,小牧太, 3.8, 44,*  7, -37, 6, 10.1,①①③, 9, 2,Ｉエクセレントブルｰ, 51,鮫島良, 1.0, 79, -17,  24, 8,104.9,⑦⑦⑧, 9, 4,Ｄスナｰクヒロイン, 72,国分優, 2.6, 58,*  9, -19, 7, 13.1, ③④
10,10,Ｆフェブスタｰ, 52,酒井学, 1.6, 53,  -5,   1,12,177.1, ⑯⑮,10, 8,Ｌハロｰザロック, 47,浜中俊, 4.1, 46,   6, -36, 9, 26.9,⑥⑦⑧,,,,,,,,,,,,,10, 2,Ｊメロｰト, 69,幸英明, 2.8, 58,* 11, -23, 9, 25.8, ①①
11, 6,Ｌキョウワブリット, 42,小坂忠, 1.7, 52,  -5,  -2,14,439.7, ⑬⑬,11,15,Ｇタマモマｰブル, 56,川須栄, 4.6, 40,   1, -31, 1,  4.1,⑫⑬⑫,,,,,,,,,,,,,11,14,Ｍシｰクロノス, 64,野元昭, 2.8, 54,   3, -13,14,206.5, ⑪⑮
12,16,Ｎナリタフラッシュ, 38,石橋守, 2.0, 48,  -4,  -7,15,523.0, ⑮⑫,12, 9, ビッグショット,---,ピンナ, 4.7, 40,   0, -30,10, 50.7,⑯⑯⑪,,,,,,,,,,,,,12, 6,Ａモエレジュンキン, 83,川須栄, 2.9, 56,* 10, -22, 2,  4.0, ②②
13, 1,Ｐラスティンメモリｰ, 36,川田将, 2.2, 45,*  3, -19, 7, 23.2, ②③,13,12, トモロビｰト,---,石橋守, 5.4, 39,   1, -37,13,192.8,⑮⑮⑭,,,,,,,,,,,,,13, 1,Ｏデュランダルガイ, 58,松山弘, 3.0, 54,   5, -18,13,186.1, ⑨⑩
14, 2, ギャバン,---,太宰啓, 2.2, 47, -10,  -1,13,311.3, ⑰⑰,14, 7,Ｎノブサプライズ, 40,柴原央, 8.5, 11,   2, -66,12,146.7,③⑪⑬,,,,,,,,,,,,,14, 9,Ｐメイショウガルソン, 47,藤岡康, 3.1, 52,   1, -13,11, 67.5, ⑭⑭
15, 7,Ｍデンコウツバサ, 39,花田大, 2.8, 39, -13,  -6,18,660.4, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｌプライムパレス, 67,太宰啓, 3.2, 52,   8, -23,12,185.8, ⑤⑦
16, 9,Ｏスカイノレイ, 37,難波剛, 3.0, 36,  -4, -20,17,610.1, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Ｋグリｰンフラッグ, 42,松山弘, 3.0, 37,  -2, -21,16,545.0, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Ｑインタｰシティ, 33,幸英明, 3.6, 30,*  3, -36,10,139.1, ④⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,
単勝:180円 複勝:12=110円 14=210円 05=150円 枠連:700円,,,,,,,,,,,,単勝:420円 複勝:01=180円 03=320円 05=210円 枠連:800円,,,,,,,,,,,,単勝:310円 複勝:04=130円 09=130円 03=150円 枠連:540円,,,,,,,,,,,,"単勝:1,000円 複勝:13=250円 05=170円 16=220円 枠連:1,380円",,,,,,,,,,,
