11年 8月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,, 9, 2,Ｌタマモビｰナス, 50,川島信, 1.0, 56,  -1,  -5,11,269.7, ⑤⑦, 9, 9,Ｉシンワカントリｰ, 68,川島信, 1.9, 65,   0,   5,11,102.5,⑨⑨⑩, 9,10,Ｌハロｰバニヤン, 63,丸山元, 0.6, 66,   6,  -4,10, 22.9, ⑨⑨
,,,,,,,,,,,,10, 5,Ｊショウナンハトバ, 56,池添謙, 1.2, 55,   2,  -8, 8, 40.8, ④④,10, 6,Ｈトウシンボルト, 69,池添謙, 2.1, 63,   2,   0,10, 76.1,⑦⑧⑧,10,13,Ｄマックスストレイン, 70,丹内祐, 0.7, 64,   2,  -1, 5, 11.2, ⑫⑪
,,,,,,,,,,,,11, 7,Ｆシャインパｰミット, 61,丸山元, 1.2, 52, -10,  -2,10, 66.1, ⑪⑨,11,13,Ｋドラゴンウィンズ, 66,丸山元, 2.2, 65,  -4,  10, 7, 28.7,⑫⑫⑫,11, 5,Ｍワンダフルスイｰト, 60,宮崎北, 0.7, 64,   2,  -2,15,318.9, ⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｌキャニオンシンザン, 59,黛弘人, 2.8, 63,  -7,   9,13,323.2,⑬⑬⑬,12,15,Ｎナチュラルライツ, 58,三浦皇, 0.8, 67,  11, -12,12, 82.2, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｍカネコメスキｰ, 46,宮崎北, 3.2, 54,  -1,  -5,12,295.2,⑩⑩⑪,13,16,Ｅウイニングドラゴン, 68,松田大, 0.8, 69,* 14, -14, 6, 12.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12, スカイホｰクアイ,---,吉田稔, 1.0, 59,  -5,   1,14,303.5, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3, チェリｰグレイス,---,佐々木, 1.2, 57,  -3,  -3,16,346.0, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｋウルル, 65,吉田隼, 1.2, 61,  11, -17, 9, 19.0, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,320円 複勝:05=490円 03=1,710円 06=1,120円 枠連:0円",,,,,,,,,,,,"単勝:1,050円 複勝:01=240円 11=150円 09=210円 枠連:740円",,,,,,,,,,,,単勝:300円 複勝:12=120円 10=180円 07=130円 枠連:810円,,,,,,,,,,,,単勝:300円 複勝:11=140円 04=170円 02=230円 枠連:800円,,,,,,,,,,,
"馬連:8,410円 ワイド:03-05=1,600円 05-06=1,010円 03-06=2,840円",,,,,,,,,,,,"馬連:990円 ワイド:01-11=380円 01-09=1,510円 09-11=430円",,,,,,,,,,,,"馬連:1,350円 ワイド:10-12=440円 07-12=230円 07-10=540円",,,,,,,,,,,,馬連:860円 ワイド:04-11=300円 02-11=560円 02-04=920円,,,,,,,,,,,
"馬単:20,840円 3連複:19,740円 3連単:156,400円",,,,,,,,,,,,"馬単:2,800円 3連複:2,930円 3連単:22,800円",,,,,,,,,,,,"馬単:2,210円 3連複:1,370円 3連単:8,740円",,,,,,,,,,,,"馬単:1,390円 3連複:2,330円 3連単:7,230円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,しらかばｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇストレイトガｰル, 41,宮崎北,, 57,  -8,*  1, 6, 21.5, ④⑤, 1, 2, ロゼシャンパｰニュ,---,池添謙,, 65,*-18,* 14, 1,  3.6,③③④, 1, 9,Ｃタガノザイオン, 73,松田大,, 76,  11,*  1, 5, 12.0,⑧⑦③, 1, 5,Ｄメダリアビｰト, 91,横山典,, 85,  12,* 11, 2,  4.9,⑥⑩⑨
 2, 1,Ｅディアサルｰテ, 48,藤岡佑, 0.2, 56,* -4,  -5, 4, 15.8, ①①, 2, 3, トｰコｰレガｰロ,---,安藤勝, 0.3, 59,*-17,   8, 4,  5.1,①①①, 2,13,Ａオメガブルｰハワイ, 80,池添謙, 0.3, 72,   8,*  3, 1,  2.3,⑩⑩⑦, 2,12,Ａエｰシンモアオバｰ, 92,藤田伸, 0.1, 85,* 17,   1, 1,  2.4,①①①
 3, 7,Ｄタガノレイヨネ, 49,藤田伸, 0.3, 52,  -9,  -3, 2,  2.9, ⑥③, 3, 1, ニｰレンベルギア,---,佐藤哲, 0.5, 60, -21,* 12, 2,  3.8,⑤⑥⑤, 3, 1,Ｅヤマニンミュゼット, 71,横山典, 0.5, 71,  13,  -7, 4, 11.6,③③⑤, 3, 2,Ｈスタｰシップ, 88,吉田隼, 0.2, 84,  16,   3,12, 50.0,⑦④②
 4, 2,Ａキボウダクリチャン, 59,古川吉, 0.4, 52,  -7,  -5, 1,  2.9, ③④, 4, 4, タマモクララ,---,藤岡佑, 1.1, 51,*-17,  -1, 5,  9.0,②②②, 4, 5,Ｂギリギリヒｰロｰ, 78,藤岡佑, 0.8, 69,   6,*  0, 2,  2.6,⑬⑫⑬, 4,10,Ｊツクバホクトオｰ, 86,勝浦正, 0.3, 81,* 16,   2, 5, 19.3,③③③
 5, 4,Ｃデルマビシャモン, 54,西村太, 0.6, 48, -11,  -4, 9, 71.1, ⑦⑥, 5,12, ペニｰウエイト,---,横山典, 1.1, 49,*-18,   0, 3,  4.4,④④③, 5, 6,Ｊトキメキセイコｰ, 58,吉田隼, 1.0, 67,* 17, -20,12,178.0,①①①, 5, 1,Ｂクリｰルパッション, 92,津村明, 0.7, 79,  15,   2, 4,  6.5,⑨⑨⑥
 6, 8,Ｊサンデｰダンサｰ, -1,菅原隆, 0.6, 48, -11,  -4,10,299.2, ⑧⑦, 6, 5, コスモベルアｰム,---,丹内祐, 1.3, 51, -25,   8, 7, 28.8,⑧⑩⑩, 6,10,Ｄフィドルプレイヤｰ, 71,西村太, 1.2, 63,  13, -17, 3,  7.5,④⑤④, 6, 9,Ｆフリソ, 88,三浦皇, 0.7, 80,  15,   1, 6, 20.3,⑩⑦⑦
 7, 3,Ｂヴァップ, 54,勝浦正, 0.7, 47,* -6, -10, 5, 20.0, ②②, 7, 9, ブルｰイングリｰン,---,三浦皇, 1.3, 50, -21,   1, 6, 13.0,⑦⑧⑦, 7, 2,Ｌプリンセスミカ, 52,秋山真, 1.4, 61,  11, -15,14,305.6,⑦⑥⑧, 7, 3,Ｋシャインモｰメント, 78,吉田稔, 0.8, 79,   9,*  9,13,153.1,⑫⑬⑩
 8, 6,Ｆジュドポｰム, 45,丸山元, 0.9, 44, -12,  -7, 3,  2.9, ⑨⑨, 8, 6, ハルノスミエ,---,藤田伸, 1.4, 48, -19,  -1, 9, 60.3,⑥⑦⑥, 8, 8,Ｋサクセスゴｰランド, 58,丸山元, 1.5, 61,* 16, -24, 9, 67.6,②②②, 8, 6,Ｉアルトップラン, 87,藤岡佑, 1.0, 79,  12,   3,10, 34.2,⑬⑪⑧
 9,10,Ｉラブスｰルド, 25,吉田隼, 2.6, 23,  -7, -34, 7, 42.9, ⑤⑧, 9, 7, スマｰトブリｰザ,---,四位洋, 1.9, 42, -22,  -4, 8, 31.2,⑨⑨⑧, 9,11,Ｉヒカリキャピタル, 60,上村洋, 1.6, 58,   6, -10,13,207.7,⑭⑭⑨, 9,11,Ｍエベレストオｰ, 76,宮崎北, 1.2, 72,  15,  -5,11, 48.8,⑤⑥⑤
,,,,,,,,,,,,10,11, アイムファイン,---,吉田隼, 2.2, 40, -26,  -3,10,122.6,⑩⑪⑪,10, 7,Ｈマスタｰウィンド, 65,古川吉, 1.7, 59,  13, -23, 8, 43.8,⑤④⑥,10,13,Ｃピイラニハイウェイ, 91,秋山真, 1.7, 73,  10,   0, 8, 30.2,⑪⑫⑫
,,,,,,,,,,,,11,10, ディアスピリトゥス,---,柴山雄, 2.3, 35,*-18, -15,12,143.9,⑪⑤⑨,11,14,Ｆエステｰラブ, 66,津村明, 1.7, 57,   6, -11, 7, 41.6,⑫⑬⑫,11, 4,Ｇパワｰストラグル, 88,安藤勝, 1.8, 70,* 17, -12, 3,  5.1,②②④
,,,,,,,,,,,,12, 8, リュウノスケ,---,丸山元, 2.4, 40, -29,   2,11,134.5,⑫⑫⑫,12, 3, ハピネスハンタｰ,---,井上俊, 1.8, 56,   7, -15,11,152.5,⑪⑪⑩,12, 7,Ｌルｰルプロスパｰ, 76,松田大, 6.5, 45,  15, -48, 7, 24.9,④⑧⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 4, ガツｰン,---,坂下秀, 2.5, 50,   8, -25,10, 96.0,⑨⑨⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｇフミノアカデミｰ, 65,勝浦正, 2.6, 48,  11, -32, 6, 20.5,⑥⑧⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,
"単勝:2,150円 複勝:05=630円 01=270円 07=160円 枠連:11,830円",,,,,,,,,,,,"単勝:360円 複勝:02=150円 03=160円 01=150円 枠連:1,030円",,,,,,,,,,,,"単勝:1,200円 複勝:09=190円 13=140円 01=280円 枠連:480円",,,,,,,,,,,,"単勝:490円 複勝:05=160円 12=130円 02=1,050円 枠連:290円",,,,,,,,,,,
"馬連:12,750円 ワイド:01-05=3,360円 05-07=1,660円 01-07=630円",,,,,,,,,,,,馬連:810円 ワイド:02-03=350円 01-02=250円 01-03=380円,,,,,,,,,,,,"馬連:1,280円 ワイド:09-13=470円 01-09=1,240円 01-13=740円",,,,,,,,,,,,"馬連:640円 ワイド:05-12=330円 02-05=3,120円 02-12=2,300円",,,,,,,,,,,
"馬単:25,980円 3連複:12,130円 3連単:112,840円",,,,,,,,,,,,"馬単:1,730円 3連複:980円 3連単:5,350円",,,,,,,,,,,,"馬単:3,840円 3連複:4,530円 3連単:32,490円",,,,,,,,,,,,"馬単:1,410円 3連複:8,500円 3連単:35,440円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,札幌ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａゴｰルドルｰスタｰ, 69,佐藤哲,, 65,   4,*  3, 1,  1.7,⑨⑥③, 1, 3,Ａスマｰトリバティｰ, 72,池添謙,, 67,  -1,*  3, 1,  1.8,⑫⑥④, 1, 7,Ａアマファソン, 84,横山典,, 74,   4,* 10, 1,  1.3,⑭⑦⑥, 1, 5,Ｆアキノカウンタｰ, 68,吉田隼,, 75,   3,   9, 6, 13.1,③③②
 2, 6,Ｂジャガンナｰト, 66,三浦皇, 0.6, 62,*  5,  -6, 3,  6.8,②②①, 2, 8,Ｌナリタボルト, 54,秋山真, 0.4, 63,  -3,*  1, 7, 32.2,⑪⑧⑥, 2, 9,Ｃメジロオｰドリｰ, 74,黛弘人, 0.2, 72,*  5,   3, 2,  7.9,①①①, 2, 1,Ｃベストクルｰズ, 77,横山典, 0.1, 77,  -2,* 17, 1,  1.9,⑧⑧⑧
 3,12,Ｃマイネルブレス, 65,丹内祐, 0.6, 64,   1,*  3, 2,  4.0,⑫⑩⑤, 3,16,Ｅアドマイヤカヤｰジ, 60,上村洋, 0.7, 59,*  0, -10, 6, 20.6,③③③, 3, 2,Ｇエアワンピｰス, 64,池添謙, 0.2, 72,   3,*  5, 3, 10.2,⑤⑥⑤, 3, 6,Ｇカトルズリップス, 63,藤田伸, 0.2, 70,*  6,   2, 3,  4.7,①①①
 4,10,Ｉサフランルｰデンス, 56,四位洋, 0.7, 62,*  5,  -6, 6, 19.8,⑥③②, 4, 2,Ｂロッセ, 68,四位洋, 0.8, 62,  -5,*  3, 3,  9.0,⑨⑬⑫, 4,10,Ｄカルトマリｰヌ, 68,吉田稔, 0.6, 68,*  5,  -1,10, 73.7,⑬④④, 4, 2,Ｄウインバンディエラ, 75,安藤勝, 0.2, 74,   1,  10, 2,  4.5,⑤⑤⑤
 5, 3,Ｄファンタズミック, 61,柴山雄, 0.8, 58,   3,  -4, 7, 23.6,⑦⑦⑦, 5, 5,Ｄデットシｰピサ, 60,藤田伸, 0.9, 61,  -5,   0, 4,  9.2,⑥⑫⑪, 5, 1,Ｂウインディｰリング, 74,津村明, 0.9, 65,   2,   0, 6, 33.6,⑦⑨⑧, 5, 4,Ｂシングンレジェンド, 77,宮崎北, 0.5, 72,  -2,  10, 4, 11.4,⑦⑦⑦
 6, 7,Ｇスズカレディ, 56,菅原隆, 3.0, 45,  -1, -15,10,192.7,⑪⑫⑪, 6,15,Ｆトｰセンプリンセス, 58,横山典, 0.9, 56,  -3,  -7, 5, 10.2,②⑦⑦, 6, 3,Ｆクラベス, 67,三浦皇, 1.0, 66,   1,   1, 4, 13.6,⑩⑫⑬, 6, 9,Ｅルナフライト, 70,古川吉, 0.6, 69,   1,   6, 7, 36.8,⑥⑥⑥
 7, 4,Ｋサラノブランシュ, 52,津村明, 3.1, 44,   0, -18, 9,169.0,⑩⑪⑧, 7, 7,Ｍロジポケット, 52,丸山元, 1.2, 54,  -4,  -9, 9, 55.7,⑧⑨⑨, 7, 5,Ｈトｰホウカクテル, 62,秋山真, 1.0, 66,   1,   2,13,232.1,⑪⑬⑫, 7, 8,Ｈラベンダｰカラｰ, 63,三浦皇, 0.6, 69,   2,   4, 5, 11.9,④④④
 8, 2,Ｆジュライザセヴンス, 58,古川吉, 3.1, 44,   3, -22, 5, 17.7,⑤⑧⑫, 8, 1,Ｋメジロサモン, 55,黛弘人, 1.4, 56,  -8,  -1,11,114.0,⑭⑮⑬, 8,12,Ｊトｰセンインディ, 61,吉田隼, 1.2, 62,*  5, -10, 9, 61.1,③③③, 8, 3,Ａマｰブルデイビｰ, 80,津村明, 0.7, 71,  -6,* 14, 8,135.3,⑨⑨⑨
 9,13,Ｌトウカイアタッカｰ, 47,岩部純, 3.3, 44,   2, -22,11,312.9,⑧⑨⑩, 9, 9,Ｃダンテスク, 67,佐藤哲, 1.4, 53,  -1, -18, 2,  5.0,⑤④②, 9,13,Ｍツカサリボン, 54,上野翔, 1.5, 59,   2,  -8,14,245.5,⑫⑪⑦, 9, 7,Ｉスマｰトギャング, 60,吉田稔, 1.9, 52,*  6, -18, 9,146.6,②②③
10, 1,Ｊアメｰジングミノル, 55,池添謙, 3.3, 42,   4, -28, 8, 61.1,③④④,10, 4,Ｈジャック, 57,藤岡佑, 1.4, 53,*  1, -24,10, 66.6,⑬①①,10, 6,Ｅメルヴェイユドｰル, 67,古川吉, 1.6, 59,   3, -10, 8, 49.7,⑧⑩⑪,,,,,,,,,,,,
11, 5,Ｅストライクホｰク, 58,松田大, 4.2, 40,*  5, -37, 4, 10.7,①①⑥,11, 6,Ｉダイヤモンドハウス, 57,吉田稔, 1.5, 55,  -7,  -1,12,195.5,⑯⑯⑭,11, 8,Ｎフェリキタｰス, 52,西村太, 1.8, 55,   2, -15,11,126.1,⑥⑧⑨,,,,,,,,,,,,
12, 9,Ｍリッツクイｰンラブ, 40,勝浦正, 4.8, 33,   4, -40,12,393.1,④⑤⑨,12,14,Ｐメイクハピネス, 37,荻野琢, 2.1, 45,*  0, -30,15,345.0,①②⑤,12,14,Ｋフロｰリストライフ, 59,藤岡佑, 2.1, 54,*  5, -24, 7, 39.4,②②②,,,,,,,,,,,,
,,,,,,,,,,,,13,10,Ｏアドマイヤアクア, 49,芹沢純, 2.1, 48,  -6, -13,13,203.2,⑮⑭⑯,13,11,Ｌボサノヴァ, 56,四位洋, 2.3, 51,   1, -17, 5, 18.8,⑨⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｎハンセンロｰド, 49,西村太, 2.2, 45,  -4, -23,16,417.8,⑩⑩⑩,14, 4,Ｉアラビアｰタ, 61,上村洋, 4.8, 31,   4, -59,12,187.4,④⑤⑩,,,,,,,,,,,,
,,,,,,,,,,,,15,11,Ｊサクラアンジェロ, 57,吉田隼, 2.7, 41,  -6, -27, 8, 45.6,④⑪⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｇシャトルベクタｰ, 57,鈴来直, 3.7, 34,  -1, -49,14,260.8,⑦⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:170円 複勝:08=110円 06=140円 12=130円 枠連:460円,,,,,,,,,,,,"単勝:180円 複勝:03=110円 08=660円 16=400円 枠連:1,570円",,,,,,,,,,,,単勝:130円 複勝:07=110円 09=130円 02=180円 枠連:360円,,,,,,,,,,,,"単勝:1,310円 複勝:05=250円 01=110円 06=170円 枠連:990円",,,,,,,,,,,
馬連:490円 ワイド:06-08=190円 08-12=150円 06-12=330円,,,,,,,,,,,,"馬連:1,730円 ワイド:03-08=850円 03-16=820円 08-16=5,420円",,,,,,,,,,,,馬連:380円 ワイド:07-09=190円 02-07=270円 02-09=670円,,,,,,,,,,,,馬連:900円 ワイド:01-05=310円 05-06=930円 01-06=250円,,,,,,,,,,,
"馬単:720円 3連複:540円 3連単:2,070円",,,,,,,,,,,,"馬単:2,960円 3連複:8,590円 3連単:23,990円",,,,,,,,,,,,"馬単:460円 3連複:840円 3連単:1,930円",,,,,,,,,,,,"馬単:3,420円 3連複:1,470円 3連単:13,450円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
