11年 7月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 3, 5,Ｋドゥｰアップ, 50,江田照, 0.6, 58,* -2,  -2,13,205.3,④②③, 3, 6, フロイントシャフト,---,江田照, 0.8, 49,* -4, -14,11, 92.2, ①①, 3, 2,Ｉスイｰトライラ, 65,松岡正, 0.2, 69,   7,   5, 5, 10.6,   , 3,12,Ａウインクリアビュｰ, 75,北村宏, 0.3, 75,  14,  -7, 4,  6.8, ⑧⑧
 4, 2,Ａウエスタンダｰツ, 69,柴田善, 1.0, 58,  -6,*  3, 2,  3.9,⑭⑫⑨, 4,14, トウショウコマンド,---,武士沢, 0.8, 51, -13,  -3,12,109.4, ⑦⑥, 4, 5,Ｋクルタナ, 63,田中勝, 0.2, 68,   3,   8, 7, 13.1,   , 4,18,Ｐメジロツボネ, 58,大野拓, 0.5, 73,* 19, -15, 9, 37.7, ①①
 5,13,Ｄビッグアスリｰト, 61,吉田豊, 1.2, 53,* -2,  -7, 5,  9.2,⑨④②, 5, 2, サｰドシアタｰ,---,松岡正, 1.3, 46, -14,  -7, 5,  8.2, ⑨⑨, 5, 8,Ｑアイファｰコラソン, 54,戸崎圭, 0.2, 65, -11,* 18,18,246.2,   , 5,11,Ｃマイネルアウストロ, 71,武士沢, 0.8, 70,  13, -11,11, 56.2, ⑪⑩
 6,12,Ｇトリニダｰド, 56,北村宏, 2.0, 51,  -3,  -9, 4,  7.8,⑥⑧⑧, 6, 4, サイレントクロップ,---,石橋脩, 1.4, 46, -20,* -2, 1,  4.1, ⑬⑪, 6,13,Ｊヤサカシャイニｰ, 64,福永祐, 0.3, 70,  11,   1, 1,  3.8,   , 6,13,Ｌクリノドスコイ, 65,村田一, 0.9, 68,  10,  -6,15,112.1, ⑮⑮
 7,10,Ｉモニタｰ, 53,木幡初, 2.3, 49,  -6,  -7, 9, 35.1,⑩⑭⑭, 7, 3, コスモユウチャン,---,柴田大, 1.6, 42, -17,  -8, 9, 34.7, ⑪⑧, 7,15,Ａウエスタンハピネス, 77,村田一, 0.3, 73,* 17,  -3, 2,  4.7,   , 7,10,Ｅグラッツィア, 70,福永祐, 1.0, 66,  16, -19, 1,  3.6, ⑦⑦
 8,15,Ｍティｰケイラビット, 48,大野拓, 2.7, 43,* -1, -20,10, 68.1,②③④, 8,15, ケｰジｰハヤブサ,---,福永祐, 1.8, 39, -12, -17, 4,  5.9, ⑥⑦, 8, 7,Ｐミラグロレディ, 54,北村宏, 0.3, 67,   7,   4,11, 41.2,   , 8, 6,Ｆトップオブプレイズ, 67,木幡初, 1.0, 66,  14, -16,10, 47.2, ⑥⑥
 9,11,Ｅシャドウシュｰタｰ, 58,平野優, 3.1, 43,  -6, -14,11,110.0,⑬⑪⑫, 9,13, リワｰドゴｰドン,---,柴田善, 2.1, 36,  -8, -24,10, 79.4, ③④, 9, 4,Ｇパスピエ, 66,蛯名正, 0.4, 66,   5,   4, 8, 27.2,   , 9,16,Ｉマイネルドルチェ, 67,柴田大, 1.0, 66,* 17, -21, 6, 13.7, ④④
10, 9,Ｈボンドストリｰト, 54,伊藤工, 3.2, 42,  -3, -21, 8, 33.2,⑪⑥⑥,10,11, アポロパックマン,---,中舘英, 2.1, 37, -18, -12, 8, 31.8, ⑫⑫,10,11,Ｈライトグロｰリｰ, 66,中舘英, 0.8, 63,  11,  -6,12, 44.1,   ,10, 8,Ｍヒカルルｰキｰ, 62,蛯名正, 1.5, 62,  11, -19, 5,  9.1, ⑨⑪
11, 6,Ｌドラゴンウオッカ, 49,西田雄, 3.3, 42,  -4, -17,12,111.3,⑧⑩⑩,11, 7, ランドフォｰル,---,戸崎圭, 2.2, 34,* -8, -27, 7, 12.8, ②②,11, 6,Ｂメジロガストン, 70,柴田善, 0.8, 56,  -7,   7, 9, 29.9,   ,11, 2,Ｊジュンノアスカ, 65,大庭和, 1.6, 60,   7, -14,13, 74.5, ⑯⑯
12,14,Ｎアイソｰザライト, 39,嶋田純, 3.4, 41,  -6, -16,15,530.1,⑫⑬⑬,12, 8, セイウンノカナタ,---,嶋田純, 2.4, 33, -21, -12, 6,  8.9, ⑮⑯,12,16,Ｆイサミチェリｰ, 66,千葉直, 0.9, 54,  -9,   7,13, 71.8,   ,12,17,Ｋコスモピアチュｰレ, 65,中谷雄, 1.6, 60,  12, -20,14, 91.5, ⑫⑫
13, 1,Ｊホワイトホｰプ, 51,戸崎圭, 3.8, 40,  -5, -22, 6, 12.1,③⑨⑪,13, 5, カルメンズサン,---,木幡初, 2.7, 30, -19, -18,15,221.4, ⑭⑭,13,10,Ｌラブチャｰミｰ, 59,太宰啓, 1.1, 59,* 14, -11,16,148.2,   ,13, 1,Ｈドラゴンライズ, 67,田中勝, 1.7, 59,  10, -19, 3,  5.8, ⑬⑬
14, 4,Ｃキｰフォｰス, 61,福永祐, 3.8, 38,  -2, -26, 3,  5.5,⑤⑤⑤,14,12, フェアリｰズサン,---,大庭和, 3.7, 18, -23, -26,14,181.4, ⑯⑮,14,12,Ｒシャイニｰベスト, 43,大野拓, 1.2, 52,  -2,  -1,14, 87.6,   ,14, 5,Ｇダイワベルベ, 67,平野優, 2.0, 55,  16, -34, 7, 14.4, ⑤⑤
15, 7,Ｏドリｰムイｰグル, 35,村田一,12.2,-13, -35, -34,14,409.3,⑮⑮⑮,15, 1, サンデｰダンサｰ,---,西田雄, 5.1, -1, -13, -57,16,310.1, ⑧⑩,15,18,Ｎストロングノヴァ, 56,石橋脩, 1.3, 57,* 14, -14,10, 39.7,   ,15, 3,Ｑリワｰドモンシェリ, 56,杉原誠, 2.1, 55,   3, -13,17,331.8, ⑱⑱
,,,,,,,,,,,,16,16, レガｰル,---,大野拓, 5.5, -5, -14, -61,13,163.7, ⑩⑬,16,14,Ｏクラウンハッピｰ, 55,伊藤工, 1.4, 50, -21,   9,15,123.4,   ,16, 7,Ｏフレンドリｰドレス, 60,江田照, 2.1, 56,  11, -25,18,382.1, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｃグラスピュア, 70,木幡初, 1.6, 52,* 15, -19, 4,  6.3,   ,17,14,Ｎオチャノコサイサイ, 62,嶋田純, 2.2, 53,  16, -38,16,217.5, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｒパリｰジョ, 50,柴田善, 2.2, 53,* 17, -39,12, 72.7, ③③
