11年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,10,11,Ｉキャリｰウェｰブ, 52,川島信, 2.5, 48, -11,  -2,11,159.2,⑬⑬⑫,10,10,Ｃヤマニンソルファ, 71,藤田伸, 1.8, 61,   4,  -5, 2,  3.2,⑦⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,11, 9,Ｅセイントグロｰブ, 57,津村明, 2.8, 43,  -4, -18, 7, 30.9,③③④,11, 4,Ｋルペルカリア, 65,岩田康, 1.8, 61,  -1,   3, 8, 23.9,⑪⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,12,10,Ｌブルボンノキセキ, 44,竹之下, 3.5, 40,  -6, -19,13,267.2,④⑨⑪,12,13,Ｌセンティラシオン, 63,的場勇, 1.9, 64,   0,  -1,10, 41.9,⑨⑨⑨,,,,,,,,,,,,
,,,,,,,,,,,,13, 1,Ｍベルモントノホシ, 40,菅原隆, 3.8, 39, -10, -15,12,224.4,⑤⑫⑬,13, 3,Ｈメイショウテレジア, 66,西村太, 1.9, 61,  -2,   4,13,246.0,⑫⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:130円 複勝:09=110円 04=170円 01=430円 枠連:390円,,,,,,,,,,,,単勝:190円 複勝:02=110円 07=160円 08=130円 枠連:450円,,,,,,,,,,,,"単勝:1,400円 複勝:05=260円 12=480円 08=110円 枠連:4,530円",,,,,,,,,,,,"単勝:1,670円 複勝:06=530円 05=320円 07=190円 枠連:5,140円",,,,,,,,,,,
"馬連:460円 ワイド:04-09=230円 01-09=500円 01-04=1,150円",,,,,,,,,,,,馬連:570円 ワイド:02-07=270円 02-08=160円 07-08=350円,,,,,,,,,,,,"馬連:14,480円 ワイド:05-12=3,590円 05-08=440円 08-12=790円",,,,,,,,,,,,"馬連:4,870円 ワイド:05-06=980円 06-07=520円 05-07=320円",,,,,,,,,,,
"馬単:600円 3連複:2,410円 3連単:5,400円",,,,,,,,,,,,"馬単:1,030円 3連複:700円 3連単:2,820円",,,,,,,,,,,,"馬単:29,670円 3連複:6,510円 3連単:85,550円",,,,,,,,,,,,"馬単:12,470円 3連複:3,530円 3連単:43,650円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 函館記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂジャニアリシックス, 64,藤田伸,, 75,   1,* 12, 1,  1.5,⑧⑥⑤, 1, 6,Ａボンベイダック, 60,岩田康,, 67,*  3,* -5, 1,  3.5, ③④, 1,10,Ｃウアジェト, 71,池添謙,, 80,*  0,* 12, 4,  6.3,①①①, 1, 4,Ｂキングトップガン, 90,横山典,, 84,  10,* 15, 4,  7.6,⑥⑨⑧
 2, 1,Ｃナヴラス, 61,吉田隼, 1.0, 67,*  4,  -2, 3,  8.6,②②①, 2, 7,Ｅスサｰナトウショウ, 58,黛弘人, 0.1, 67,*  6,  -9, 2,  3.5, ①①, 2, 3,Ｄタイタン, 70,藤田伸, 0.2, 81,  -3,* 15, 6,  9.6,⑤④④, 2, 3,Ｋマヤノライジン, 82,松田大, 0.0, 85,* 11,  11,12, 38.2,③④②
 3, 4,Ａナリタムｰンライト, 66,池添謙, 1.7, 60,   3,  -6, 2,  3.4,③④④, 3, 8,Ｉコマノスクアｰロ, 53,四位洋, 0.3, 61,  -3,* -2, 3,  7.6, ⑩⑨, 3,11,Ｇメジロカトリｰヌ, 67,黛弘人, 0.3, 77,*  0,   9, 7, 15.4,②②②, 3,13,Ｌアクシオン, 81,三浦皇, 0.3, 84,   9,  13, 7, 15.4,⑩⑪⑫
 4, 7,Ｅヤマカツクライム, 56,岩田康, 2.4, 55,   2, -11, 4,  9.8,④③③, 4,14,Ｍエルクロス, 44,丸田恭, 0.3, 60,  -2,* -3,10, 52.3, ⑧⑦, 4, 4,Ｆシｰドダイレクト, 68,藤岡佑, 0.7, 76,  -4,  11, 3,  5.1,⑧⑧⑧, 4, 1,Ｊメイショウクオリア, 82,藤岡佑, 0.3, 82,* 13,   3, 6, 11.6,①①①
 5, 6,Ｄトｰセンストｰリｰ, 58,菅原隆, 2.9, 52,   1, -12, 9,297.6,⑤⑤⑥, 5,15,Ｇラベンダｰラッシｰ, 57,松田大, 0.4, 61,   2,  -9,12, 59.8, ⑤⑤, 5, 2,Ｉセイピｰシｰズ, 66,吉田隼, 0.8, 74,  -4,  10,10, 55.6,⑦⑦⑦, 5, 2,Ｃコロンバスサｰクル, 89,四位洋, 0.3, 82,  10,  10, 3,  6.1,⑦⑦⑥
 6, 9,Ｇヒタタレ, 48,黛弘人, 3.2, 51,*  4, -22, 5, 40.9,①①②, 6, 1,Ｌエピデンドラム, 45,藤岡佑, 0.6, 57,  -5,* -5, 9, 31.2, ⑪⑪, 6, 1,Ｈジパングダマシイ, 67,松田大, 0.8, 72,* -1,   5, 9, 43.8,③③③, 6, 6,Ｇダンスインザモア, 85,丸田恭, 0.4, 82,   7,* 17, 8, 22.7,⑫⑮⑮
 7, 3,Ｈウェディングドレス, 48,丸田恭, 3.3, 49,  -1, -13, 7, 62.3,⑨⑧⑦, 7, 9,Ｆリトルエデン, 57,古川吉, 0.7, 56,   1, -11, 5,  8.3, ⑥⑥, 7, 9,Ｂシャイニｰブレｰヴ, 72,古川吉, 1.0, 71,  -4,   7, 1,  3.5,⑨⑨⑨, 7,10,Ｅウォｰクラウン, 86,古川吉, 0.4, 81,   7,* 14,11, 35.3,⑨⑫⑬
 8, 5,Ｉデルマハヌマｰン, 47,竹之下, 3.7, 47,  -2, -15,10,301.8,⑩⑩⑩, 8,10,Ｊケンブリッジヒｰロ, 49,柴山雄, 0.7, 59,*  5, -15, 6, 11.6, ④②, 8, 6,Ｅスズカホｰプ, 70,安藤勝, 1.1, 71,  -5,   9, 5,  8.6,⑩⑫⑩, 8,16,Ｆマイネルスタｰリｰ, 86,丹内祐, 0.6, 79,* 12,   3, 1,  3.5,⑧⑥⑦
 9, 8,Ｊフェルマグリオ, 35,岩橋勇, 3.7, 47,  -1, -15, 6, 47.6,⑦⑨⑨, 9,13,Ｄキョウワジョリｰ, 58,吉田隼, 0.8, 54,  -4,  -7, 8, 24.9, ⑫⑬, 9,12,Ａトロワプレジｰル, 74,上村洋, 1.2, 66,  -3,   1, 2,  4.5,⑥⑥⑥, 9,11,Ｍルｰルプロスパｰ, 80,勝浦正, 0.6, 77,  10,   7,16,139.8,⑪⑩⑨
10,10,Ｆカミニｰト, 50,丹内祐, 4.4, 44,   1, -25, 8,100.0,⑥⑦⑧,10,11,Ｂマルブツマスタｰ, 59,丹内祐, 0.9, 51,  -8,  -6, 4,  8.0, ⑭⑫,10, 8,Ｋシュプスタンス, 52,西村太, 1.4, 68,  -5,   5,11,170.7,⑫⑩⑫,10,15,Ｄエドノヤマト, 87,藤田伸, 0.7, 79,   8,  10, 5,  7.9,⑬⑬⑪
,,,,,,,,,,,,11,12,Ｃスリｰキティ, 58,丸山元, 1.0, 50,  -6,  -9,11, 54.0, ⑬⑭,11, 5,Ｊワｰルドカルティエ, 66,横山典, 1.7, 58,* -1,  -8, 8, 16.7,④⑤⑤,11, 8,Ｏダイワジャンヌ, 80,的場勇, 0.7, 77,* 12,   0, 9, 24.6,⑤③④
,,,,,,,,,,,,12, 4,Ｈタイホウルｰナ, 57,的場勇, 1.0, 54,*  3, -17,14,156.0, ②③,12, 7,Ｌデルマバフチャラ, 50,竹之下, 1.9, 61,  -5,  -3,12,320.7,⑪⑪⑪,12, 9,Ｈメインストリｰム, 84,丸山元, 0.8, 75,  10,   3,13, 43.9,⑮⑧⑩
,,,,,,,,,,,,13,16,Ｋリックラヴ, 48,津村明, 1.1, 49,  -2, -14, 7, 16.5, ⑨⑩,,,,,,,,,,,,,13, 5,Ｐマンハッタンスカイ, 78,岩田康, 0.8, 77,* 11,   1,10, 25.2,④⑤⑤
,,,,,,,,,,,,14, 2,Ｏカディッシュ, 36,小林徹, 1.2, 49,  -1, -16,15,164.1, ⑦⑧,,,,,,,,,,,,,14,14,Ｎシャインモｰメント, 80,柴山雄, 1.0, 76,   7,   7,15,139.1,⑭⑭⑭
,,,,,,,,,,,,15, 5,Ｐエクスペクト, 35,西村太, 1.7, 42, -10, -14,16,247.4, ⑮⑮,,,,,,,,,,,,,15, 7,Ｉトウショウウェイヴ, 83,黛弘人, 1.1, 76,   5,  11,14, 66.4,⑯⑯⑯
,,,,,,,,,,,,16, 3,Ｎベストマテリアル, 36,三浦皇, 1.7, 43, -14, -10,13, 73.9, ⑯⑯,,,,,,,,,,,,,16,12,Ａミッキｰペトラ, 94,武豊  , 1.5, 68,* 13, -13, 2,  5.9,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
単勝:150円 複勝:02=100円 01=150円 04=110円 枠連:610円,,,,,,,,,,,,単勝:350円 複勝:06=170円 07=140円 08=230円 枠連:430円,,,,,,,,,,,,"単勝:630円 複勝:10=250円 03=300円 11=630円 枠連:1,110円",,,,,,,,,,,,"単勝:760円 複勝:04=300円 03=900円 13=530円 枠連:19,400円",,,,,,,,,,,
馬連:530円 ワイド:01-02=200円 02-04=110円 01-04=250円,,,,,,,,,,,,馬連:680円 ワイド:06-07=300円 06-08=520円 07-08=390円,,,,,,,,,,,,"馬連:3,280円 ワイド:03-10=1,020円 10-11=1,780円 03-11=1,680円",,,,,,,,,,,,"馬連:15,910円 ワイド:03-04=3,400円 04-13=2,450円 03-13=7,690円",,,,,,,,,,,
"馬単:830円 3連複:330円 3連単:1,700円",,,,,,,,,,,,"馬単:1,340円 3連複:1,320円 3連単:3,900円",,,,,,,,,,,,"馬単:6,100円 3連複:16,670円 3連単:77,750円",,,,,,,,,,,,"馬単:23,640円 3連複:69,140円 3連単:401,180円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,,,,,,■12R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｉクリスタルヒル, 50,松田大,, 60,  -5,*  3,10, 68.6, ⑧⑦, 1, 8,Ｃカツノセカンド, 70,的場勇,, 73,   3,*  5, 3,  8.2, ③③, 1, 9, ダｰムドゥラック,---,丸山元,, 63,  -1,  -6, 4,  5.2, ④③, 1, 3,Ｃドリｰムセｰリング, 79,荻野琢,, 80,*  9,   9, 1,  3.7,①①①
 2,11,Ｆハテナキユメ, 59,古川吉, 0.3, 63,* 10,  -9, 7, 31.4, ②②, 2, 4,Ａミシックトウショウ, 73,横山典, 0.0, 71,*  6,*  3, 1,  1.4, ①①,11, 2,Ｂナイスヘイロｰ, 64,武英智, 0.1, 64,*  3, -11, 2,  4.0, ①①, 2, 6,Ｆコスモエンペラｰ, 77,丹内祐, 0.4, 83,   4,  22, 5,  9.7,④④④
 3,12,Ｂグランデアトレ, 61,柴山雄, 0.3, 60,   6,  -6, 3,  7.2, ③③, 3,10,Ｉナムラオｰシャン, 58,西村太, 0.8, 61,  -5,   2, 4, 15.0, ⑧⑧, 2, 5, ステルミナｰト,---,服部茂, 0.2, 57, -12,*  1,10, 38.1, ⑩⑨, 3, 5,Ａエクセルサス, 87,丸山元, 0.6, 83,   1,* 27, 2,  3.7,⑦⑦⑤
 4, 7,Ｊジャズ, 46,川島信, 0.6, 52,  -8,*  1, 8, 53.8, ⑫⑨, 4, 1,Ｂスメルスイｰト, 71,吉田隼, 0.9, 61,  -5,   1, 5, 19.2, ⑦⑦, 3,11, ウィナｰズマックス,---,山口竜, 0.2, 58,  -7,  -2, 6, 23.9, ⑧⑥, 4, 9,Ｅヒットザタｰゲット, 77,安藤勝, 0.8, 80,   2,  20, 3,  4.1,⑥⑥⑥
 5, 8,Ｇサムデイワンデイ, 57,西村太, 0.7, 54,   1,  -7, 6, 19.4, ⑥⑥, 5, 9,Ｄミクル, 67,三浦皇, 1.2, 58,   0,  -5, 2,  5.9, ⑥⑥, 4,10, サンレイレｰザｰ,---,岩橋勇, 0.4, 55, -12,* -1, 8, 27.8, ⑨⑩, 5, 2,Ｈテｰオｰストｰム, 73,岩田康, 0.9, 76,   5,  11, 6, 10.4,②②②
 6,10,Ａリネンムｰド, 61,丸山元, 0.8, 58,*  9, -14, 2,  3.9, ①①, 6, 7,Ｅエスジｰナミ, 67,岩田康, 1.2, 60,   3,  -6, 7, 23.7, ②②, 5, 6,Ｄクｰルユリア, 56,三浦皇, 0.6, 58,*  3, -18, 1,  3.3, ②②, 6, 8,Ｂジャングルハヤテ, 81,藤岡佑, 0.9, 78,   5,  12, 4,  6.3,③③③
 7, 4,Ｈクｰルグラン, 53,小林徹, 0.9, 53,   1,  -9, 9, 53.8, ④④, 7, 2,Ｇマウシャｰレ, 61,秋山真, 1.3, 57,  -1,  -4, 8, 50.4, ⑤⑤, 6, 4, スズカウインダｰ,---,黒澤愛, 0.8, 51,  -6, -11,11, 91.4, ⑦⑦, 7, 1,Ｄプロヴィデンス, 79,三浦皇, 1.6, 75,   1,  15, 8, 25.0,⑨⑨⑨
 8, 9,Ｄディアエスペランサ, 60,藤田伸, 1.0, 50,  -3,  -7, 1,  2.2, ⑦⑧, 8, 6,Ｈカシノカルミア, 60,水口優, 1.4, 55,  -7,  -2, 6, 20.7, ⑨⑨, 7, 8,Ａコスモルｰシｰ, 69,藤田伸, 0.9, 51,  -3, -15, 3,  4.1, ⑥⑤, 8,10,Ｇラインドリｰム, 76,長谷川, 1.6, 74,   2,  12, 7, 19.8,⑩⑧⑧
 9, 1,Ｃノボスカイブルｰ, 61,岩田康, 1.2, 46,  -7,  -6, 5,  8.5, ⑨⑩, 9, 5,Ｆウインガルｰダ, 63,長谷川, 2.0, 50,   0, -12, 9, 64.9, ④④, 8, 3, ニシノファイタｰ,---,宮崎光, 1.3, 45,  -5, -19, 7, 26.1, ⑤⑧, 9, 7,Ｊギムレットアイ, 69,丸田恭, 1.7, 70,   4,   4,10, 89.8,⑤⑤⑦
10, 3,Ｌカシマホクト, 43,的場勇, 1.4, 46,  -8,  -7,12,298.9, ⑩⑪,10, 3,Ｊシルバｰラビット, 36,丹内祐, 2.0, 50,  -8,  -6,10,283.0, ⑩⑩, 9, 7,Ｃロｰレルボルケｰノ, 59,秋山真, 1.3, 46,  -2, -22, 5, 12.1, ③④,10, 4,Ｉボｰテセレスト, 71,柴山雄, 2.2, 70,   1,  10, 9, 81.4,⑧⑩⑩
11, 6,Ｅシラサギジョウ, 60,三浦皇, 1.4, 50,   4, -14, 4,  7.3, ⑤⑤,,,,,,,,,,,,,10, 1, コスモワイルド,---,丹内祐, 1.4, 43, -18,  -7, 9, 33.8, ⑪⑪,,,,,,,,,,,,
12, 5,Ｋエタニティリング, 46,服部茂, 1.8, 40,  -8, -10,11,193.9, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
"単勝:6,860円 複勝:02=1,600円 11=450円 12=250円 枠連:19,160円",,,,,,,,,,,,単勝:820円 複勝:08=200円 04=110円 10=280円 枠連:340円,,,,,,,,,,,,"単勝:520円 複勝:09=200円 05=900円 11=540円 枠連:5,870円",,,,,,,,,,,,"単勝:370円 複勝:03=140円 06=200円 05=150円 枠連:1,910円",,,,,,,,,,,
"馬連:80,420円 ワイド:02-11=14,990円 02-12=3,100円 11-12=1,420円",,,,,,,,,,,,馬連:420円 ワイド:04-08=220円 08-10=840円 04-10=340円,,,,,,,,,,,,"馬連:10,280円 ワイド:05-09=2,660円 09-11=1,850円 05-11=3,620円",,,,,,,,,,,,"馬連:1,640円 ワイド:03-06=520円 03-05=240円 05-06=640円",,,,,,,,,,,
"馬単:153,960円 3連複:96,240円 3連単:1,016,010円",,,,,,,,,,,,"馬単:1,410円 3連複:1,230円 3連単:9,110円",,,,,,,,,,,,"馬単:18,670円 3連複:37,540円 3連単:187,870円",,,,,,,,,,,,"馬単:3,060円 3連複:1,840円 3連単:11,850円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
