09年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:5),,,,,,,,,,,
単勝:190円 複勝:13=110円 07=170円 10=310円 枠連:560円,,,,,,,,,,,,"単勝:630円 複勝:08=220円 07=180円 02=1,030円 枠連:1,250円",,,,,,,,,,,,単勝:160円 複勝:01=110円 06=250円 枠連:0円,,,,,,,,,,,,"単勝:440円 複勝:07=170円 02=300円 10=240円 枠連:1,090円",,,,,,,,,,,
"馬連:650円 ワイド:07-13=280円 10-13=550円 07-10=1,020円",,,,,,,,,,,,"馬連:1,100円 ワイド:07-08=470円 02-08=4,180円 02-07=2,790円",,,,,,,,,,,,"馬連:570円 ワイド:01-06=220円 01-02=980円 02-06=2,120円",,,,,,,,,,,,"馬連:1,950円 ワイド:02-07=730円 07-10=590円 02-10=1,220円",,,,,,,,,,,
"馬単:1,010円 3連複:2,210円 3連単:7,240円",,,,,,,,,,,,"馬単:2,410円 3連複:16,330円 3連単:63,540円",,,,,,,,,,,,"馬単:770円 3連複:3,780円 3連単:11,750円",,,,,,,,,,,,"馬単:3,740円 3連複:5,320円 3連単:27,720円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｶｯﾌﾟ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａラガｰリンリン, 64,武豊  ,, 65,*  9,* -9, 1,  1.8, ①①, 1, 2, メイショウスズラン,---,秋山真,, 67, -18,* 13,12, 71.5, ⑨⑩, 1,15,Ｌトップオブパンチ, 65,藤田伸,, 77,  12,*  1, 4, 15.3,⑩⑧⑤, 1, 2,Ｃキンシャサノキセキ, 90,デムｰ,, 91,  13,* 13, 1,  4.7, ⑰⑪
 2, 5,Ｇデンコウラッキｰ, 48,藤岡康, 0.7, 58,   5, -11,11, 93.0, ⑥⑦, 2, 8, レッドステラｰノ,---,四位洋, 0.0, 65, -15,*  9, 3,  3.8, ⑩⑧, 2, 1,Ｄメダリアビｰト, 73,デムｰ, 0.5, 75,  11,* -2, 2,  3.2,⑦⑦⑦, 2,13,Ｄプレミアムボックス, 89,幸英明, 0.2, 89,  11,* 13, 7, 16.3, ⑯⑰
 3,15,Ｃチャｰミｰハヅキ, 57,小坂忠, 0.8, 57,   7, -12, 3,  6.6, ⑦⑤, 3, 7, アｰスツリｰ,---,藤岡佑, 0.3, 61, -17,   6, 6, 25.5, ⑥⑦, 3, 3,Ｅテイエムカイザｰ, 72,幸英明, 0.6, 72,* 15, -12, 6, 19.9,①①①, 2,17,Ｇサンカルロ, 87,吉田豊, 0.2, 89,  12,* 13,11, 19.9, ⑮⑯
 4, 7,Ｂアクティビュｰティ, 62,松岡正, 1.4, 51,   4, -14, 4, 11.2, ⑧⑩, 4, 1, テｰオｰルネサンス,---,デムｰ, 0.5, 58, -18,   6, 1,  2.9, ⑧⑨, 4,11,Ａチョップチョップ, 77,岩田康, 1.0, 71,  12,  -9, 1,  2.9,⑥⑥④, 4,12,Ｂドラゴンファング, 90,岩田康, 0.3, 90,* 19,   1, 5, 11.7, ①①
 5, 4,Ｅラブソネット, 51,デムｰ, 1.5, 52,   7, -18, 2,  3.3, ⑤⑥, 5,10, ルアｰズストリｰト,---,武豊  , 0.6, 54,*-12,  -4, 2,  3.1, ①①, 5, 5,Ｇレッドサｰパス, 70,武豊  , 1.8, 67,   9, -10, 3,  4.4,⑬⑨⑨, 5, 1,Ｎショウナンカザン, 84,藤田伸, 0.3, 89,  16,   5, 4, 11.6, ⑤⑥
 6, 3,Ｄノアスカｰレット, 53,横山典, 1.5, 50,   0, -10, 6, 31.4, ⑪⑫, 6,13, アドマイヤオンリｰ,---,川田将, 0.6, 55, -16,  -1, 4, 11.8, ⑤④, 6, 6,Ｍニシノシャア, 64,酒井学, 1.8, 67,  12, -15,13,121.0,③④⑥, 6,10,Ｒグッドキララ, 73,四位洋, 0.5, 84,   8,* 14,18,195.1, ⑱⑱
 7,12,Ｆナリタレジｰナ, 50,幸英明, 1.9, 47,   1, -15, 7, 62.6, ⑫⑪, 7, 4, ダイシンベｰル,---,幸英明, 0.6, 59, -21,*  9, 5, 15.6, ⑪⑪, 7,12,Ｃウインバイヘヴン, 76,藤岡康, 2.0, 67,   6,* -4, 7, 20.5,⑯⑯⑯, 7, 5,Ｌスズカコｰズウェイ, 85,藤岡康, 0.5, 86,  13,   7,13, 23.6, ⑧⑫
 8, 2,Ｊテイエムウミユキ, 45,高井彰, 2.1, 48,   8, -24,13,144.7, ④④, 8, 9, エルブロンネ,---,角田晃, 0.7, 54,*-14,  -4,11, 70.8, ⑦③, 8, 8,Ｂスナｰクツバサ, 77,秋山真, 2.0, 62,* 14, -22, 9, 30.2,②②②,12,18,Ｑエイシンタイガｰ, 79,松岡正, 0.5, 89,* 19,  -1,10, 17.1, ②②
 9, 9,Ｈカノヤピュｰ, 48,柴山雄, 2.1, 45,  -7,* -6,14,236.3, ⑮⑮, 9, 3, リュンヌ,---,吉田豊, 0.8, 52, -15,  -3, 7, 30.7, ③⑤, 9,13,Ｋマｰリンシチｰ, 67,赤木高, 2.1, 65,   8, -10,10, 34.6,⑪⑬⑫, 8, 9,Ｉフィｰルドベアｰ, 85,秋山真, 0.7, 83,  12,   5,16, 44.0, ⑬⑮
10, 1,Ｏクリノセレブニ, 35,吉田豊, 2.2, 48,   0, -12,12,139.9, ⑬⑬,10,12, スナｰクチェリｰ,---,藤田伸, 1.0, 50,*-14,  -8,10, 52.3, ②②,10,14,Ｆキャナレット, 71,熊沢重, 2.1, 67,   9, -12,15,161.4,⑮⑭⑩, 9, 8,Ｅザレマ, 88,北村友, 0.7, 84,  15,   0, 9, 17.0, ⑩⑨
11,13,Ｉキリシマウイング, 47,熊沢重, 2.5, 46,*  8, -29, 5, 26.4, ③③,11, 5, ピサノアウロｰラ,---,横山典, 1.2, 51, -24,   5, 9, 41.3, ⑬⑬,11,16,Ｈラプレ, 70,吉田豊, 2.4, 63,   7, -10,12,116.6,⑭⑮⑭,10,15,Ａアｰバニティ, 90,横山典, 0.8, 84,* 19,  -5, 6, 11.8, ④⑤
12,16,Ｎアリエナイ, 35,赤木高, 2.6, 43,   2, -21, 9, 74.4, ⑩⑨,12,11, パックスロマｰナ,---,赤木高, 1.4, 48, -21,  -1, 8, 36.3, ⑫⑫,12,10,Ｊエアタイタン, 67,藤岡佑, 3.0, 57,* 14, -30, 8, 29.6,④③③,11,14,Ｊタマモナイスプレイ, 85,熊沢重, 0.9, 81,  13,   1,14, 31.4, ⑭⑬
13,10,Ｍワンダｰチャｰム, 41,石橋守, 2.7, 42,  -5, -14,16,408.8, ⑭⑭,13, 6, チョウヒロイン,---,高野容, 1.8, 39, -15, -17,13,234.4, ④⑥,13, 2,Ｐダｰクジャケット, 61,浜中俊, 3.2, 59,   7, -19, 5, 15.8,⑫⑫⑮,13, 6,Ｍストロングガルｰダ, 84,川田将, 1.0, 82,* 18,  -6,12, 21.3, ⑦④
14,14,Ｋトｰワテレサ, 44,藤岡佑, 2.8, 42,   2, -23,10, 77.7, ⑨⑧,,,,,,,,,,,,,14, 7,Ｎラグナロク, 64,北村友, 3.4, 56,   8, -22,14,156.6,⑨⑩⑪,14,16,Ｈサンダルフォン, 85,酒井学, 1.0, 79,  15,  -4,17, 91.8, ⑫⑩
15, 6,Ｌメルシｰフリｰト, 41,秋山真, 3.3, 36, -12, -11,15,291.2, ⑯⑯,,,,,,,,,,,,,15, 4,Ｉマコトバンクウ, 68,岩崎祐, 3.5, 56,  13, -30,16,169.6,⑤⑤⑧,15, 4,Ｆマルカフェニックス, 88,角田晃, 1.1, 81,* 18,  -8, 2,  5.1, ③③
16,11,Ｐアキノロｰレル, 29,浜中俊, 3.9, 34,*  8, -41, 8, 70.1, ②②,,,,,,,,,,,,,16, 9,Ｏアドマイヤレッド, 62,川田将, 4.6, 50,   8, -31,11, 72.0,⑧⑪⑬,16, 7,Ｏワンカラット, 82,藤岡佑, 1.2, 78,  15,  -5, 3,  8.3, ⑨⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｋアｰリｰロブスト, 85,武豊  , 1.7, 72,  15, -13, 8, 16.7, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｐマイネルレｰニア, 80,浜中俊, 1.7, 73,  15, -12,15, 36.8, ⑪⑭
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,
"単勝:180円 複勝:08=110円 05=600円 15=160円 枠連:3,050円",,,,,,,,,,,,"単勝:7,150円 複勝:02=1,350円 08=200円 07=520円 枠連:7,620円",,,,,,,,,,,,"単勝:1,530円 複勝:15=340円 01=170円 03=540円 枠連:1,720円",,,,,,,,,,,,単勝:470円 複勝:02=220円 13=540円 17=550円 枠連:600円,,,,,,,,,,,
"馬連:3,530円 ワイド:05-08=1,230円 08-15=200円 05-15=2,520円",,,,,,,,,,,,"馬連:9,750円 ワイド:02-08=2,730円 02-07=7,480円 07-08=1,670円",,,,,,,,,,,,"馬連:2,410円 ワイド:01-15=860円 03-15=3,550円 01-03=1,380円",,,,,,,,,,,,"馬連:2,960円 ワイド:02-13=2,020円 02-17=3,270円 13-17=6,750円",,,,,,,,,,,
"馬単:4,800円 3連複:4,090円 3連単:23,230円",,,,,,,,,,,,"馬単:31,360円 3連複:62,750円 3連単:845,280円",,,,,,,,,,,,"馬単:5,860円 3連複:16,110円 3連単:91,530円",,,,,,,,,,,,"馬単:4,900円 3連複:54,400円 3連単:123,100円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,猪名川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａメイショウカンパク, 67,デムｰ,, 70,* -4,*  6, 1,  2.0, ③③, 1, 3, ゴｰルスキｰ,---,デムｰ,, 67,*-18,* 15, 1,  2.1, ⑥③, 1, 8,Ｃオｰトドラゴン, 80,デムｰ,, 82,   4,* 12, 4, 10.7, ⑧⑧, 1,14,Ｄメイショウセンゴク, 83,幸英明,, 78,  13,*  4, 5, 11.0, ⑭⑫
 2,17,Ｃナシュワンヒｰロｰ, 63,赤木高, 0.6, 64,  -9,*  5, 2,  3.8, ⑦⑨, 2, 4, フラガラッハ,---,武豊  , 0.2, 66, -21,* 18, 3,  7.4, ⑤⑥, 2,12,Ａサトノエクスプレス, 85,武豊  , 0.0, 82,   4,* 12, 2,  3.6, ⑩⑨, 2, 2,Ｆユノゾフィｰ, 81,横山典, 0.2, 75,  13,   2, 2,  4.6, ⑪⑩
 3,14,Ｏシャイニｰブレｰヴ, 40,幸英明, 0.7, 61,* -1,  -6,11,167.4, ①①, 3, 7, アドマイヤタイシ,---,川田将, 0.7, 59,*-18,   7, 5, 10.5, ④④, 3,10,Ｇフサイチオフトラ, 76,川田将, 0.1, 81,   6,   5, 3,  7.9, ④④, 3, 1,Ｏトムトム, 60,藤田伸, 0.2, 76,  15,  -2, 7, 22.0, ⑤③
 4,10,Ｌカシノスタｰライト, 44,川田将, 0.7, 62,  -8,   1,13,235.8, ⑥⑦, 4, 5, ホｰリｰロックス,---,秋山真, 0.7, 60, -21,  11, 6, 28.7, ⑧⑦, 4, 7,Ｅロｰドアリエス, 77,藤田伸, 0.4, 77,*  8,  -2, 1,  1.9, ②②, 4, 4,Ｈシャドウストライプ, 77,岩田康, 0.3, 73,  10,*  4, 6, 21.8, ⑮⑭
 5, 6,Ｂドクトルジバゴ, 66,藤田伸, 0.7, 60,* -4,  -4, 3,  4.2, ②②, 5, 1, エイユｰブラッサム,---,吉田豊, 0.9, 59, -22,  11, 7, 50.0, ⑦⑧, 5, 5,Ｂトップゾｰン, 80,藤岡佑, 0.5, 78,   2,   8, 7, 18.0, ⑪⑪, 5,13,Ｂメイショウヨシヒサ, 85,デムｰ, 0.3, 74,  10,*  4, 3,  5.9, ⑯⑬
 6, 2,Ｉヒデノキセキ, 48,四位洋, 1.2, 56, -10,  -1, 8, 64.4, ⑪⑧, 6, 2, アップカｰド,---,幸英明, 1.1, 56, -23,   8, 9,100.1, ⑨⑨, 6, 1,Ｉメイショウジンム, 76,松岡正, 0.6, 77,   7,  -2, 6, 16.9, ③③, 6,10,Ｃティアップワイルド, 84,松岡正, 0.5, 73,  15,  -4, 4,  7.7, ⑨⑦
 7, 4,Ｈベルエｰル, 49,熊沢重, 1.2, 56, -10,  -1,10,136.4, ⑨⑩, 7, 8, エイシンフルハｰト,---,藤岡佑, 2.1, 37,*-19, -15, 4,  8.4, ①①, 7, 4,Ｋティルフィング, 70,浜中俊, 0.9, 75,   3,   3,12,201.0, ⑨⑩, 7,12,Ｇプロセッション, 78,吉田豊, 0.6, 73,  12,   0,11,109.9, ⑬⑪
 8, 3,Ｆシゲルタカウジ, 52,飯田祐, 1.3, 56, -11,   0, 9, 69.1, ⑫⑬, 8, 6, ビバクラシック,---,岩田康, 2.1, 39, -20, -11, 8, 54.6, ③⑤, 8, 9,Ｄホシシャトル, 78,横山典, 0.9, 69,*  9, -11,11,198.8, ①①, 8,11,Ｅブラックカシミｰル, 82,秋山真, 0.6, 73,* 17,  -7, 8, 66.1, ②②
 9, 5,Ｇトシバｰド, 52,松岡正, 1.4, 53,  -7,  -9, 7, 48.6, ⑤④, 9, 9, アｰスワｰク,---,藤田伸, 2.8, 29,*-19, -25, 2,  2.9, ②②, 9, 3,Ｆヤマカツゴｰルド, 77,角田晃, 1.0, 75,   1,   5, 5, 15.9, ⑫⑫, 9, 8,Ａワｰルドワイド, 88,武豊  , 0.7, 72,  15,  -4, 1,  2.1, ⑥⑧
10,13,Ｄタイセイスパンキｰ, 56,藤岡佑, 1.6, 50,  -7, -11, 4, 10.6, ④⑤,,,,,,,,,,,,,10, 2,Ｈケイエスバウアｰ, 76,岩田康, 1.1, 69,   5,  -5, 9,116.0, ⑦⑦,10,15,Ｍアクロスザスタｰ, 65,酒井学, 0.9, 71,  13,  -5,14,184.4, ⑧⑥
11, 1,Ｅヒロコファンタジｰ, 55,岩崎祐, 1.8, 49,  -7, -11, 6, 36.7, ⑧⑥,,,,,,,,,,,,,11, 6,Ｊタイカｰリアン, 75,幸英明, 1.3, 68,   5,  -9, 8, 77.2, ⑤⑤,11, 7,Ｌハｰドウォン, 68,浜中俊, 1.4, 68,  16, -12,15,213.6, ③④
12,15,Ｊスピリットワン, 48,武豊  , 1.9, 50, -15,  -2, 5, 19.2, ⑰⑮,,,,,,,,,,,,,12,11,Ｌマイベストソング, 69,北村友, 1.7, 64,   6, -15,10,121.9, ⑥⑥,12, 5,Ｋココシュニック, 71,藤岡康, 1.4, 65,  10,  -6,10,108.0, ⑫⑯
13, 7,Ｑトランブルｰ, 37,柴山雄, 1.9, 49, -16,  -4,14,254.2, ⑬⑯,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｎテレパシｰ, 60,藤岡佑, 1.7, 65,* 18, -18,13,123.2, ①①
14,12,Ｎコウエイスマイル, 41,浜中俊, 2.1, 46, -13,  -9,16,430.6, ⑯⑫,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｊアロド, 75,角田晃, 1.9, 64,* 16, -17, 9, 95.3, ④⑤
15, 8,Ｐグランフィｰルド, 38,石橋守, 2.2, 46, -17,  -5,15,342.7, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｉダノンシャトル, 76,熊沢重, 2.2, 61,  14, -17,12,120.8, ⑩⑨
16,11,Ｋツルマルホクト, 45,酒井学, 2.3, 42, -14, -10,12,179.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐホウショウリヴ, 52,飯田祐, 2.8, 54,  12, -19,16,499.8, ⑦⑮
17,16,Ｍカシノグロｰブ, 43,藤岡康, 2.4, 41, -12, -15,17,459.1, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:5),,,,,,,,,,,
"単勝:200円 複勝:09=110円 17=160円 14=1,850円 枠連:330円",,,,,,,,,,,,単勝:210円 複勝:03=110円 04=220円 07=200円 枠連:780円,,,,,,,,,,,,"単勝:1,070円 複勝:08=410円 12=230円 10=350円 枠連:290円",,,,,,,,,,,,"単勝:1,100円 複勝:14=290円 02=220円 01=560円 枠連:830円",,,,,,,,,,,
"馬連:340円 ワイド:09-17=230円 09-14=3,540円 14-17=8,660円",,,,,,,,,,,,馬連:810円 ワイド:03-04=310円 03-07=300円 04-07=820円,,,,,,,,,,,,"馬連:2,380円 ワイド:08-12=680円 08-10=920円 10-12=590円",,,,,,,,,,,,"馬連:2,740円 ワイド:02-14=860円 01-14=3,000円 01-02=1,640円",,,,,,,,,,,
