09年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,12,Ｉシゲルイエヤス, 36,国分恭, 1.9, 43,*  0, -19, 7, 62.8, ②②, 9, 1,Ｐデュプレクイｰン, 42,国分恭, 1.4, 58,   3, -14,14,205.3,⑨⑨⑨, 9,11,Ｐスズカカロリｰナ, 45,上村洋, 1.5, 52, -14,   0,16,643.7,⑭⑫⑧, 9, 5,Ｅオｰスミマｰシャル, 80,和田竜, 1.0, 77,   2,  15,14,234.5,⑬⑬⑫
10, 9,Ｅカシノアベベ, 48,鈴来直, 2.3, 35, -13, -14, 9,129.3, ⑨⑩,10, 8,Ｄアｰリｰスプリング, 63,小牧太, 1.5, 58,   2, -13, 2,  4.2,⑯⑫⑪,10, 5,Ｊメイショウソウコウ, 54,幸英明, 1.5, 55, -17,   5,12,215.8,⑯⑯⑬,10, 9,Ｋミリアム, 74,武豊  , 1.5, 71,*  6,   2, 5, 11.9,④③④
11, 2,Ｊハｰトフェルト, 29,渡辺薫, 3.2, 27, -18, -19,12,377.7, ⑪⑨,11, 7,Ｍホッコｰアネゴ, 50,太宰啓, 1.6, 57,   2, -11,15,205.6,⑱⑬⑭,11,16,Ｎヘヴンキッシング, 48,国分恭, 1.6, 42,* -6, -21,11,116.3,①①①,11,10,Ｈフレアキャスケｰド, 76,飯田祐, 1.5, 73,   1,  12,13,215.5,⑯⑯⑯
12, 3,Ｋアイラインハヤブサ, 23,高野容, 3.5, 23, -19, -20,11,270.5, ⑫⑪,12,18,Ｅアグネスクイｰン, 62,上村洋, 1.8, 54,*  7, -28, 6, 12.3,⑦⑥⑥,12, 6,Ｈリザウンドエコウ, 55,小牧太, 1.7, 50, -16,  -1, 6, 24.8,⑧⑭⑯,12,16,Ｊサｰユウジｰン, 74,国分恭, 1.5, 77,   1,  12,16,661.8,⑮⑮⑮
,,,,,,,,,,,,13,17,Ｋセイザ, 52,幸英明, 2.1, 54,   2, -20,12,143.0,⑪⑪⑬,13,14,Ｉモア, 55,飯田祐, 2.2, 40, -13, -14, 9, 77.0,⑦⑦⑪,13,13,Ｐブルｰアイガｰ, 69,中村将, 1.6, 70,   4,   7,15,294.4,⑫⑪⑩
,,,,,,,,,,,,14, 2,Ｏヒミノダンス, 47,田中克, 2.2, 52,   1, -18,17,335.2,⑫⑭⑮,14,15,Ｌスズカワキア, 51,藤岡康, 2.3, 40, -14, -12,13,235.1,⑩⑪⑮,14, 4,Ｏサンマルチｰフ, 72,熊沢重, 1.8, 70,   3,   6,10, 97.2,⑪⑫⑬
,,,,,,,,,,,,15, 9, シャインベル,---,渡辺薫, 2.9, 48,  -1, -25,13,203.3,⑬⑰⑯,15,13,Ｏトレモリノス, 47,田中健, 2.8, 34, -14, -21,15,416.6,⑤⑧⑭,15,14,Ｎフロｰルデセレッソ, 72,鮫島良, 1.8, 69,   3,   4,12,193.4,⑧⑨⑧
,,,,,,,,,,,,16,15,Ｇエリモディｰバ, 61,松山弘, 3.6, 40,   4, -48, 8, 25.8,④⑦⑫,16, 8,Ｍエンクｰ, 49,酒井学, 2.8, 35, -15, -16,14,328.9,⑪⑬⑩,16, 1,Ｍカシノブレイヴリ, 73,松山弘, 2.1, 63,   4,   0,11,130.4,③⑦⑪
,,,,,,,,,,,,17,14,Ｌナタｰシャ, 50,田中健, 3.7, 40,   1, -39,16,281.0,⑰⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,13,Ｑダルマックス, 33,田嶋翔, 4.3, 35,  -3, -43,18,548.2,⑩⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:710円 複勝:04=190円 05=130円 01=110円 枠連:1,860円",,,,,,,,,,,,単勝:880円 複勝:16=240円 06=140円 05=260円 枠連:520円,,,,,,,,,,,,単勝:160円 複勝:12=110円 02=400円 07=230円 枠連:930円,,,,,,,,,,,,単勝:210円 複勝:15=110円 08=530円 07=450円 枠連:960円,,,,,,,,,,,
"馬連:1,920円 ワイド:04-05=430円 01-04=260円 01-05=180円",,,,,,,,,,,,"馬連:1,300円 ワイド:06-16=470円 05-16=1,210円 05-06=450円",,,,,,,,,,,,"馬連:1,300円 ワイド:02-12=630円 07-12=340円 02-07=1,400円",,,,,,,,,,,,"馬連:1,480円 ワイド:08-15=700円 07-15=890円 07-08=3,140円",,,,,,,,,,,
"馬単:3,830円 3連複:700円 3連単:8,380円",,,,,,,,,,,,"馬単:3,470円 3連複:3,310円 3連単:21,250円",,,,,,,,,,,,"馬単:1,700円 3連複:2,620円 3連単:9,500円",,,,,,,,,,,,"馬単:2,420円 3連複:7,570円 3連単:26,770円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝1200m 2 歳ｵｰﾌﾟﾝ(九) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-24,,,,,■11R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ひまわり賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａラブグランデｰ, 75,渡辺薫,, 66,* -6,*  5, 1,  1.7, ③②, 1,11,Ｇジャックボイス, 59,赤木高,, 66,* -1,   1, 2,  4.4, ⑤④, 1,13,Ｂパリスドｰル, 52,太宰啓,, 47,* -5, -14, 1,  1.3, ②②, 1, 5,Ｃアデュラリア, 75,藤岡康,, 72,*  7,   3, 3,  5.7, ③③
 2, 3,Ｂスイｰトエスケｰプ, 53,福永祐, 0.3, 61,* -5,  -1, 2,  2.7, ①①, 2,13,Ａフェリスホイｰル, 63,福永祐, 0.1, 64,  -3,   0, 1,  3.7, ⑦⑦, 2,15,Ｇカシノピストン, 40,和田竜, 0.0, 47, -16,* -3, 7, 53.8, ⑬⑬, 2,11,Ｆグリッタｰアイス, 70,田中健, 0.2, 69,   1,   5, 4, 10.2, ⑧⑦
 3, 4,Ｄチキリパンドラ, 46,国分恭, 0.8, 54, -13,   0, 7, 63.4, ⑥⑤, 3, 6,Ｅライブリリュウショ, 61,太宰啓, 0.3, 61,*  0,  -5, 5, 10.0, ②②, 3, 8,Ａインタレスティング, 55,酒井学, 0.1, 47,  -8, -12, 2,  5.7, ⑥⑤, 3, 3,Ｂジニオマッジョｰレ, 78,武豊  , 0.4, 68,*  7,   0, 1,  2.3, ②②
 4, 2,Ｇテイエムバゴオｰ, 37,小牧太, 0.9, 53, -13,  -1, 4, 10.7, ⑦⑦, 4, 4,Ｆコアレスランナｰ, 59,田中健, 0.4, 60,  -6,   1, 6, 13.4, ⑬⑤, 4,12,Ｅテイエムハエゲナ, 45,佐久間, 0.2, 45, -13,* -9, 4, 13.0, ⑩⑪, 4,10,Ｇダイシンサｰベル, 69,国分恭, 0.4, 69,  -2,*  6, 5, 12.5, ⑪⑧
 5, 1,Ｆスｰサンストリｰム, 39,和田竜, 1.6, 44, -10, -12, 6, 34.1, ④④, 5, 2,Ｐスカｰレットシチｰ, 47,松山弘, 0.5, 59,  -3,  -5,12, 67.2, ③③, 5,16,Ｃテイエムキバッド, 50,田中健, 0.3, 44,* -7, -16, 5, 15.3, ④③, 5, 7,Ａフロムスクラッチ, 82,佐藤哲, 0.4, 69,*  9,  -1, 2,  3.4, ①①
 6, 7,Ｃアリエナイ, 46,松山弘, 2.4, 33,* -7, -27, 3,  8.9, ②③, 6, 5,Ｊアドマイヤセレス, 56,川田将, 0.5, 61,*  1,  -7, 9, 28.2, ①①, 6, 3,Ｌミッキｰボンボン, 34,藤岡康, 0.5, 40,  -8, -18, 6, 49.0, ⑤④, 6, 4,Ｈホウショウアビル, 67,幸英明, 0.6, 65,   1,   1,11, 81.2, ⑥④
 7, 5,Ｈエンムスビヒメ, 27,幸英明, 2.7, 30, -10, -27, 8,199.1, ⑤⑥, 7, 1,Ｌホワイトヒロイン, 54,鮫島良, 0.6, 55, -16,*  7,13,102.5, ⑰⑰, 7, 6,Ｉクリノキンバリｰ, 39,高橋亮, 0.5, 41, -10, -15,10,156.1, ⑧⑦, 7, 9,Ｄエンジェルフェザｰ, 73,松山弘, 0.9, 60,   1,  -1, 8, 31.4, ⑦⑤
 8, 6,Ｅボストンサプライズ, 39,赤木高, 3.3, 21, -19, -27, 5, 30.4, ⑧⑧, 8, 3,Ｉサンレイクロフネ, 56,国分恭, 0.6, 56,  -8,  -1,10, 31.3, ⑫⑧, 8,17,Ｋカシノグロｰブ, 35,小坂忠, 1.1, 34, -30,* -5,17,580.8, ⑰⑰, 8,13,Ｉパワｰウェｰブ, 66,角田晃, 1.2, 60,  -5,   1, 7, 29.9, ⑫⑫
,,,,,,,,,,,, 9,12,Ｍマジカルワンコイン, 53,大下智, 0.6, 57,  -5,  -3,16,315.3, ⑩⑫, 9, 7,Ｐホｰミングビｰト, 24,橋本美, 1.1, 33, -15, -19,15,529.3, ⑪⑩, 9, 1,Ｌメイショウシャオウ, 56,福永祐, 1.2, 60,   2,  -4,12, 91.5, ⑤⑥
,,,,,,,,,,,,10,15,Ｄバンブｰレアル, 62,和田竜, 1.2, 50,  -4, -13, 3,  5.4, ⑨⑩,10,11,Ｊピカピカジョオｰ, 37,大下智, 1.1, 34, -22, -11,14,489.8, ⑯⑮,10, 6,Ｅメイショウアｰチャ, 72,川田将, 1.2, 56, -19,*  9, 6, 24.2, ⑭⑭
,,,,,,,,,,,,11,10,Ｎサンレイギムレット, 49,難波剛, 1.4, 46,  -7, -13,14,143.2, ⑭⑭,11, 5,Ｎネオスペチアｰレ, 30,福永祐, 1.2, 32, -21, -14, 8, 70.6, ⑭⑭,11,14,Ｍブルｰラヴ, 55,小牧太, 2.0, 52,   1, -10,10, 66.5, ⑩⑪
,,,,,,,,,,,,12,17,Ｈリディック, 58,小牧太, 1.4, 47,  -5, -14, 7, 14.2, ⑪⑯,12,10,Ｆミゲｰル, 42,石橋守, 1.2, 31, -22, -14,11,283.3, ⑮⑯,12,12,Ｊマルタｰズクラシカ, 66,浜中俊, 2.3, 49,   1, -13, 9, 46.7, ⑨⑩
,,,,,,,,,,,,13, 8,Ｃネオカｰニバル, 62,高橋亮, 1.5, 46,  -4, -16, 8, 20.9, ⑧⑪,13, 1,Ｏヴォｰタン, 27,角田晃, 1.3, 31, -12, -24,13,406.8, ⑨⑨,13, 8,Ｋディマンシュ, 64,太宰啓, 2.6, 46,   3, -17,13,264.7, ④⑨
,,,,,,,,,,,,14,16,Ｒフジノプリンス, 42,中村将, 1.7, 42,  -9, -14,17,462.1, ⑯⑬,14,14,Ｄスズノブレイヴ, 48,中村将, 1.4, 29,* -7, -31, 3, 11.7, ③⑥,14, 2,Ｎエイユｰルｰジュ, 41,大下智, 2.8, 41, -15,  -7,14,555.4, ⑬⑬
,,,,,,,,,,,,15, 9,Ｏマイネレｰヌ, 49,佐藤哲, 1.8, 41,  -3, -22,11, 31.3, ⑥⑥,15, 2,Ｈキリシマウイング, 40,松山弘, 1.5, 28,  -9, -30, 9,135.5, ⑦⑧,,,,,,,,,,,,
,,,,,,,,,,,,16,14,Ｂシルクユニヴァｰス, 63,生野賢, 1.9, 40,  -7, -19, 4,  7.1, ⑮⑮,16, 4,Ｍカシノセバスチャン, 32,国分恭, 1.5, 28, -16, -23,16,554.7, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,17, 7,Ｋビコｰトリニティｰ, 55,佐久間, 3.1, 25,  -2, -39,15,198.5, ④⑨,17, 9,Ｑリバｰレッド,  8,熊沢重, 2.1, 19,* -5, -41,12,287.9, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,
単勝:170円 複勝:08=110円 03=120円 04=610円 枠連:0円,,,,,,,,,,,,単勝:440円 複勝:11=180円 13=150円 06=330円 枠連:380円,,,,,,,,,,,,単勝:130円 複勝:13=110円 15=550円 08=140円 枠連:510円,,,,,,,,,,,,"単勝:570円 複勝:05=190円 11=210円 03=130円 枠連:1,930円",,,,,,,,,,,
"馬連:180円 ワイド:03-08=120円 04-08=480円 03-04=1,090円",,,,,,,,,,,,馬連:940円 ワイド:11-13=360円 06-11=910円 06-13=710円,,,,,,,,,,,,"馬連:2,170円 ワイド:13-15=870円 08-13=160円 08-15=1,760円",,,,,,,,,,,,"馬連:2,530円 ワイド:05-11=930円 03-05=400円 03-11=440円",,,,,,,,,,,
"馬単:320円 3連複:1,790円 3連単:4,250円",,,,,,,,,,,,"馬単:1,720円 3連複:3,400円 3連単:14,300円",,,,,,,,,,,,"馬単:2,660円 3連複:2,400円 3連単:14,340円",,,,,,,,,,,,"馬単:5,260円 3連複:2,330円 3連単:17,950円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,筑後川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, タマモサプライズ,,林満明,,,,, 1,  3.0,②③③, 1, 5,Ｌキャメロンバロｰズ, 48,安藤光,, 70,   1,* 11, 9, 48.1,③⑤⑤, 1,12,Ｅフィッツロイ, 72,佐藤哲,, 72,  12,  -7, 2,  4.5,⑦⑥⑤, 1,14,Ｅタガノクリスエス, 73,福永祐,, 80,*  5,* 14, 1,  3.2,⑥③③
 2, 2, ダイナミックグロウ,,熊沢重,191.1,,,, 2,  3.6,①①①, 2,10,Ａトウショウデザイア, 71,中村将, 0.0, 71,*  2,* 10, 1,  1.8,⑥④②, 2, 7,Ｃガンダｰラ, 72,和田竜, 0.0, 74,* 14, -13, 4, 10.9,②②②, 2, 3,Ｉレジアス, 69,赤木高, 0.4, 77,   3,* 14, 8, 32.5,⑫⑨④
 3, 7, ゴｰルデンカイザｰ,,北沢伸,191.3,,,, 3,  4.1,③②②, 3,16,Ｂツルマルノホシ, 70,武豊  , 0.0, 71,*  2,   8, 2,  4.6,②①①, 3,10,Ｄダディｰズウォｰズ, 72,川田将, 0.0, 76,   9,*  0, 7, 26.1,⑫⑫⑪, 3, 8,Ｇイニミタブル, 73,田中健, 0.4, 75,*  5,  10, 9, 61.2,②②②
 4, 8, マｰベラスパレｰド,,小坂忠,191.9,,,, 6, 22.2,④④④, 4, 4,Ｊシｰガルプリンセス, 60,浜中俊, 0.8, 66,*  2,   3,10, 58.5,①②④, 4, 5,Ａプルシアンオリｰブ, 82,武豊  , 0.1, 72,* 13, -12, 1,  1.6,③③③, 4, 2,Ｃパｰフェクトバイオ, 74,小牧太, 0.5, 75,*  6,   8, 2,  4.5,①①①
 5, 1, メイショウセレット,,菊地昇,193.0,,,, 7, 29.1,⑥⑥⑥, 5, 2,Ｄマッキｰガリウム, 69,幸英明, 0.9, 66,  -2,   8, 3,  7.6,⑭⑪⑧, 5, 4,Ｌテイエムセイラン, 63,小牧太, 0.5, 71,  10, -10, 9, 66.5,⑩⑩⑨, 5,12,Ｄエルチョコレｰト, 74,小坂忠, 1.1, 71,   2,   8, 5,  9.1,⑩⑦⑥
 6,10, タマモリクエスト,,植野貴,193.1,,,, 5, 10.3,⑦⑤⑤, 6, 7,Ｅセレスダイヤモンド, 68,小牧太, 1.1, 65,  -2,   6, 5, 14.6,⑩⑨⑩, 6, 3,Ｆサクラエクシｰド, 71,熊沢重, 0.5, 69,   9,  -7,12,112.7,⑪⑪⑩, 6, 4,Ｂチキリムｰディｰ, 74,国分恭, 1.3, 74,   2,   8, 6, 10.0,⑦⑩⑧
 7, 4, オｰトホｰク,,今村康,193.9,,,, 4,  5.6,⑨⑨⑨, 7,13,Ｈパルティコラｰレ, 63,和田竜, 1.7, 60,  -2,   0, 7, 21.3,⑨⑩⑪, 7,11,Ｊメイクデュｰス, 67,藤岡康, 0.6, 67,* 14, -23, 8, 32.7,①①①, 7,10,Ｈアクセルカフェ, 70,川田将, 1.7, 66,   4,   0, 4,  6.6,⑤⑤⑤
 8, 6, メイショウエビス,,高田潤,194.3,,,,11,129.8,⑧⑧⑦, 8,15,Ｆデアモント, 64,松山弘, 1.7, 56,*  2,  -5, 8, 25.6,④③③, 8, 8,Ｇメイショウグラｰド, 70,幸英明, 0.8, 68,  10, -16, 3, 10.3,⑧⑦⑥, 8,13,Ｍスズカファイト, 65,岩崎祐, 2.2, 65,   1,   3,13,207.7,⑪⑫⑫
 9, 9, オｰミプラネット,,岩崎祐,195.2,,,,10,129.2,⑩⑩⑩, 9, 3,Ｋエリモリｰガル, 50,小坂忠, 1.8, 59,  -2,   0,12,303.0,⑦⑧⑨, 9, 1,Ｈトミケンプライム, 69,浜中俊, 1.1, 67,  13, -21, 6, 24.8,⑤⑤④, 9, 9,Ａベストロング, 75,和田竜, 2.2, 64,   3,  -3, 3,  4.6,④④⑦
10, 3, キシリトｰル,,高野容,195.8,,,, 8, 38.1,⑤⑦⑧,10,11,Ｃメイショウヨシムネ, 70,渡辺薫, 2.4, 56,   1,  -9, 6, 14.9,⑧⑥⑥,10, 9,Ｉヨドノヒｰロｰ, 69,金折知, 1.8, 58,  10, -30,10, 94.2,⑨⑧⑦,10, 7,Ｆオメガクエスト, 73,浜中俊, 2.3, 64,   3,  -1, 7, 16.6,⑧⑪⑬
,,,,,,,,,,,,11,14,Ｉテラノチャンス, 60,藤岡康, 2.4, 56,  -3,  -3,16,416.5,⑫⑫⑫,11, 6,Ｂマルサンリタｰン, 73,太宰啓, 2.1, 55,* 13, -39, 5, 18.4,④④⑧,11, 1,Ｋカシノマルス, 65,高野容, 2.6, 60,   2,  -5,12,203.8,③⑥⑨
,,,,,,,,,,,,12, 6,Ｇマルブツロック, 64,角田晃, 2.5, 57,   0,  -8, 4, 13.2,⑤⑦⑦,12, 2,Ｋホｰクウィンザｰ, 67,鮫島良, 2.8, 51,  11, -40,11, 99.7,⑥⑨⑫,12, 6,Ｊウォルトンコクカ, 68,太宰啓, 2.7, 61,   3,  -5,11,178.6,⑬⑧⑩
,,,,,,,,,,,,13, 9,Ｎアｰルドソレイユ, 39,石橋守, 3.3, 53,  -4,  -8,11,165.3,⑪⑭⑭,,,,,,,,,,,,,13,15,Ｎメイショウラルｰ, 65,酒井学, 2.8, 62,   2,  -3,14,256.2,⑨⑬⑭
,,,,,,,,,,,,14,12,Ｍトｰコｰシゲル, 43,国分恭, 3.3, 54,  -5,  -7,13,309.3,⑬⑬⑬,,,,,,,,,,,,,14,11,Ｏタマモシンボル, 53,佐藤哲, 3.2, 57,   0,  -4,10, 64.9,⑭⑮⑪
,,,,,,,,,,,,15, 8, プルミエブｰケ,---,赤木高, 3.9, 47, -12,  -1,14,406.4,⑯⑮⑮,,,,,,,,,,,,,15, 5,Ｌシｰシャトｰ, 65,大下智, 3.5, 56,   1,  -8,15,385.7,⑮⑭⑮
,,,,,,,,,,,,16, 1,Ｏダイナミックボレロ, 38,太宰啓, 6.0, 33, -12, -17,15,411.4,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
