09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:560円 3連複:720円 3連単:2,070円",,,,,,,,,,,,"馬単:23,620円 3連複:67,380円 3連単:346,920円",,,,,,,,,,,,"馬単:1,720円 3連複:3,940円 3連単:12,160円",,,,,,,,,,,,"馬単:1,510円 3連複:5,460円 3連単:18,890円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアポロノサムライ, 64,勝浦正,, 63,*  1,* -1, 2,  3.4,③③③, 1,12,Ａエナｰジバイオ, 81,武豊  ,, 78,   0,* 18, 1,  1.6,⑭⑧⑥, 1, 3,Ｊベルウッドロｰツェ, 77,デムｰ,, 85,   7,* 19, 4,  6.3,⑥⑤②, 1,11,Ｈダノンムロｰ, 76,武豊  ,, 83,  -6,* 22, 1,  4.1, ⑬⑬
 2, 1,Ｂセイウンツｰスキｰ, 59,内田博, 0.4, 61,*  2,  -6, 1,  2.6,①①①, 2, 9,Ｂダイレクトパス, 75,蛯名正, 0.4, 75,   1,  14, 5, 14.1,⑧⑥⑤, 2, 4,Ａマイネルｰチェ, 83,ルメｰ, 0.2, 86,   6,* 22, 1,  4.3,⑨⑨⑦, 2, 2,Ｃポｰルアックス, 81,クラス, 0.0, 83,   8,   7, 6, 11.3, ③②
 3, 4,Ｍアサクサマリンバ, 46,菊沢隆, 1.2, 60,  -6,*  2,10,111.8,⑯⑭⑫, 3,11,Ｏセイカカリンバ, 60,浜中俊, 0.7, 73,*  2,   8, 7, 23.7,①①①, 3, 5,Ｆフェニコｰン, 80,内田博, 0.2, 84,   5,* 19, 5, 10.5,⑦⑦⑨, 3,13,Ｊアラマサロｰズ, 74,勝浦正, 0.0, 84,   0,  15, 8, 19.1, ⑨⑨
 4,14,Ｉスペシャルマン, 48,柴田善, 1.3, 55,  -1,  -9, 4,  6.7,⑥⑦⑦, 4,13,Ｊシャドウブルｰス, 68,田中勝, 0.7, 72,  -1,  13,10, 36.7,⑪⑩⑨, 4, 9,Ｉロｰドキャニオン, 78,横山典, 0.4, 84,   4,* 23,10, 26.4,⑭⑬⑩, 4,12,Ｌデライトシｰン, 73,田中勝, 0.2, 81,* 13,  -1,10, 22.2, ①①
 5,13,Ｇミリオンデンジャｰ, 51,吉田隼, 1.3, 55,*  1, -11, 7, 37.1,④④⑥, 5, 2,Ｄヘリオポｰズ, 71,伊藤工, 0.8, 70,  -1,  13, 6, 18.6,⑤⑨⑧, 5, 2,Ｇアイティトップ, 79,勝浦正, 0.7, 78,   7,   8,11, 30.6,④④⑤, 5,10,Ｍグロｰリｰルピナス, 68,五十嵐, 0.3, 79,  -1,  12,11, 33.1, ⑩⑫
 6, 5,Ｈニシノシュナイト, 51,浜中俊, 1.5, 56,  -3,  -6, 6, 15.6,⑫⑩⑪, 6, 5,Ｉヤマニンワｰシップ, 68,小林淳, 0.8, 73,  -1,  14,16,174.0,⑬⑬⑪, 6, 1,Ｅミヤビベガ, 80,藤田伸, 0.8, 80,   6,  14, 2,  5.3,⑪⑧⑥, 6, 8,Ｋタｰニングポイント, 74,後藤浩, 0.4, 78,   6,   5, 2,  4.8, ⑤⑤
