09年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,
"単勝:160円 複勝:03=110円 09=1,450円 02=600円 枠連:850円",,,,,,,,,,,,単勝:780円 複勝:10=170円 08=180円 01=150円 枠連:780円,,,,,,,,,,,,"単勝:1,240円 複勝:09=290円 04=290円 07=320円 枠連:4,320円",,,,,,,,,,,,"単勝:1,860円 複勝:12=470円 08=820円 14=210円 枠連:1,740円",,,,,,,,,,,
"馬連:4,890円 ワイド:03-09=1,630円 02-03=660円 02-09=9,330円",,,,,,,,,,,,"馬連:1,850円 ワイド:08-10=700円 01-10=410円 01-08=540円",,,,,,,,,,,,"馬連:4,440円 ワイド:04-09=1,320円 07-09=730円 04-07=1,290円",,,,,,,,,,,,"馬連:17,650円 ワイド:08-12=3,700円 12-14=1,020円 08-14=1,450円",,,,,,,,,,,
"馬単:5,800円 3連複:16,590円 3連単:71,270円",,,,,,,,,,,,"馬単:4,350円 3連複:2,320円 3連単:20,070円",,,,,,,,,,,,"馬単:9,510円 3連複:7,750円 3連単:66,510円",,,,,,,,,,,,"馬単:31,720円 3連複:19,640円 3連単:174,650円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾊﾟｰｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃプリムｰル, 62,武豊  ,, 66,*  6,* -3, 4,  7.2, ③③, 1,10, ロｰレルレヴァｰタ,---,松山弘,, 61,* -5,*  3, 5, 11.6, ③③, 1, 1,Ｂキャプテンマジン, 78,安藤勝,, 78,   6,* 10, 1,  3.2,⑩⑮⑬, 1, 1,Ｄシルクメビウス, 92,田中博,, 94,  16,* 14, 4,  5.9,⑬⑨⑧
 2, 4,Ａクレバｰサンデｰ, 64,国分恭, 0.3, 64,* 10, -13, 5,  7.4, ①①, 2, 5, ピサライコネン,---,福永祐, 0.2, 60,  -6,   2, 2,  3.1, ④④, 2, 6,Ｍサクラヒストリｰ, 69,福永祐, 0.0, 78,* 10,   3, 6, 17.1,④④③, 2, 7,Ｃアドバンスウェイ, 92,松岡正, 0.8, 85,* 19,   0, 1,  3.2,①①①
 3, 9,Ｂタムロスカイ, 63,酒井学, 0.3, 61,   2,* -2, 3,  6.7, ⑨⑨, 3, 3, プリティスタｰ,---,池添謙, 0.3, 59,* -4,  -1, 9, 40.6, ②②, 3,11,Ｃエナｰジバイオ, 77,武豊  , 0.2, 79,   7,*  6, 4,  9.0,⑬⑫⑫, 3,12,Ｋトｰセンアｰチャｰ, 86,四位洋, 0.9, 86,  17,   4, 8, 40.2,⑧⑤③
 4, 2,Ｄバンダムクラウス, 62,ルメｰ, 0.4, 61,   4,  -6, 1,  2.7, ⑤⑤, 4,13, セイウンホルス,---,ルメｰ, 0.6, 56,  -9,*  3, 1,  3.0, ⑦⑧, 4, 8,Ｆベルモントゴラッソ, 75,川田将, 0.2, 78,   9,   3, 5,  9.9,⑦⑥⑤, 4,13,Ｇクリｰルパッション, 87,川田将, 1.1, 85,  17,   2, 6, 12.4,⑥⑦⑦
 5, 5,Ｅペンネアラビアｰタ, 61,和田竜, 0.7, 58,   5, -11, 2,  6.3, ⑥④, 5, 1, グランブリｰズ,---,川島信, 0.9, 55, -14,*  6, 7, 30.0, ⑬⑫, 5, 7,Ｅシャア, 76,小坂忠, 0.3, 78,   8,   5, 3,  4.9,⑨⑪⑨, 5, 6,Ａウォｰタクティクス, 95,ルメｰ, 1.1, 83,* 19,  -1, 2,  3.7,②②②
 6,15,Ｈテイエムタフネス, 52,幸英明, 0.9, 54,  -2,  -5,11,130.1, ⑭⑭, 6,11, ビジュアルショック,---,四位洋, 1.0, 53,  -7,  -4, 3,  4.7, ⑤⑤, 6, 2,Ａチョップチョップ, 79,ルメｰ, 0.3, 74,* 10,   0, 2,  3.4,③③④, 6, 5,Ｌフリｰトアドミラル, 85,池添謙, 1.2, 84,* 17,  -1, 9, 49.0,④③④
 7,12,Ｍトシザマキ, 44,浜中俊, 0.9, 54,   0,  -7, 6,  8.5, ⑫⑬, 7, 4, トキノイタダキ,---,小坂忠, 1.3, 51,  -9,  -3,12,124.4, ⑧⑦, 7,10,Ｋハギノリベラ, 74,松岡正, 0.5, 75,   6,   5, 8, 28.8,⑮⑭⑪, 7,16,Ｂオｰロマイスタｰ, 94,武豊  , 1.2, 85,  16,   4, 3,  5.3,⑫⑩⑤
 8,11,Ｑメジロレｰガン, 32,四位洋, 1.0, 52,  -4,* -4, 7, 12.7, ⑰⑮, 8, 2, トップアテンション,---,幸英明, 2.0, 45,* -2, -18, 6, 29.9, ①①, 8, 5,Ｉトミケンプライマリ, 74,国分恭, 0.6, 76,   9,  -1, 9, 43.3,⑥⑤⑦, 8, 9,Ｉクリｰン, 87,安部幸, 1.2, 87,* 17,   0,12,119.3,⑤⑥⑥
 9,10,Ｉチェリｰニ, 51,石橋守, 1.0, 53,  -2,  -4,16,333.2, ⑮⑯, 9,14, ミスズファンシｰ,---,武豊  , 2.0, 46,  -9,  -9, 4,  7.5, ⑨⑪, 9, 3,Ｇキクノトップラン, 74,熊沢重, 1.4, 70,* 11, -11,11, 77.8,②②②, 9, 3,Ｎワキノエクセル, 84,浜中俊, 1.8, 82,  13,   3,16,363.0,⑭⑮⑭
10, 7,Ｋスマｰトスペンサｰ, 46,福永祐, 1.2, 52,   2, -14,10,126.5, ⑩⑩,10, 8, シゲルコイヒメ,---,岩崎祐, 2.3, 43,  -6, -15,16,217.8, ⑥⑥,10,16,Ｊカプリｰス, 74,浜中俊, 2.0, 67,   8, -11,10, 50.7,⑧⑧⑥,10,10,Ｆタガノサイクロン, 87,松山弘, 2.0, 79,  14,  -1,10, 69.0,⑩⑬⑪
11,16,Ｆジュエリｰフラン, 54,田村太, 1.3, 49,   0, -12,13,147.1, ⑬⑪,11,15, シゲルシンゲン,---,中村将, 2.5, 42, -12, -10,10, 79.1, ⑪⑩,11, 4,Ｈコパノタイマネ, 74,安部幸, 2.1, 67,   8, -12,12,118.5,⑫⑨⑧,11, 2,Ｊメイショウクオリア, 87,安藤勝, 2.2, 77,  14,  -2, 5, 10.9,⑪⑫⑩
12,14,Ｎアイビｰフォｰルド, 44,川田将, 1.3, 50,   2, -16, 8, 26.9, ⑧⑦,12, 9, ヤマカツセイリュウ,---,角田晃, 3.0, 39, -13, -13,11,100.5, ⑫⑬,12,12,Ｄベストルｰト, 77,松山弘, 2.6, 61,   8, -16, 7, 22.0,⑤⑦⑮,12,14,Ｍユウキタイティ, 84,幸英明, 2.2, 78,  16,  -6,15,181.3,⑦⑧⑨
13,18,Ｒシゲルヒデヨシ, 28,中村将, 1.7, 44, -15,*  2,17,531.1, ⑱⑱,13,12, テイエムプラネット,---,高井彰, 3.4, 35, -19, -10,15,211.9, ⑭⑭,13,14,Ｎスマｰトパｰティｰ, 67,田中博, 2.6, 61,* 12, -22,15,155.6,①①①,13, 8,Ｏキングブレｰヴ, 83,藤岡康, 2.3, 78,  14,  -3,14,155.4,⑨⑪⑬
14, 6,Ｏテイエムハクリュウ, 42,熊沢重, 1.8, 45,*  9, -31,14,230.4, ②②,14,16, ゴｰルドリマンド,---,安部幸, 3.6, 35,  -9, -23, 8, 39.8, ⑩⑨,14, 9,Ｌウォｰタｰリメイン, 71,佐久間, 2.6, 63,   9, -15,14,146.6,⑯⑩⑩,14,15,Ｅタガノエクリプス, 89,和田竜, 2.4, 77,  13,  -3,11, 94.1,⑮⑭⑫
15,13,Ｇアオモミジ, 53,佐藤哲, 1.8, 43,  -4, -14,15,329.6, ⑯⑰,15, 7, ヤマノタイテイ,---,国分恭, 4.7, 28, -32,  -4,14,137.8, ⑮⑮,15,15,Ｐドリｰムドリｰマｰ, 62,四位洋, 3.7, 54,   5, -18,16,218.6,⑪⑯⑯,15, 4,Ｐエリモエクスパイア, 77,福永祐, 3.7, 69,  10,  -7,13,141.6,⑯⑯⑯
16, 3,Ｌファンドリトレイン, 45,松山弘, 2.2, 39,   0, -24, 9, 38.9, ⑪⑫,16, 6, キョウワゴコウ,---,浜中俊, 5.9, 18, -34, -11,13,129.1, ⑯⑯,16,13,Ｏゼンノベリル, 62,池添謙, 3.9, 55,   8, -24,13,122.6,⑭⑬⑭,16,11,Ｈタカオセンチュリｰ, 87,熊沢重, 5.6, 58,  17, -37, 7, 24.2,③④⑮
17, 1,Ｊトｰワテレサ, 50,藤岡康, 2.4, 38,   4, -32,12,136.1, ④⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,Ｐカネトシビッグバン, 36,安部幸, 2.7, 35,   5, -37,18,579.1, ⑦⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:-3),,,,,,,,,,,
"単勝:720円 複勝:08=270円 04=330円 09=260円 枠連:2,510円",,,,,,,,,,,,"単勝:1,160円 複勝:10=240円 05=160円 03=870円 枠連:1,690円",,,,,,,,,,,,"単勝:320円 複勝:01=150円 06=420円 11=240円 枠連:1,230円",,,,,,,,,,,,単勝:590円 複勝:01=200円 07=170円 12=660円 枠連:830円,,,,,,,,,,,
"馬連:3,170円 ワイド:04-08=950円 08-09=770円 04-09=1,100円",,,,,,,,,,,,"馬連:1,810円 ワイド:05-10=670円 03-10=3,990円 03-05=1,520円",,,,,,,,,,,,"馬連:3,620円 ワイド:01-06=1,290円 01-11=600円 06-11=1,940円",,,,,,,,,,,,"馬連:1,210円 ワイド:01-07=470円 01-12=2,900円 07-12=2,130円",,,,,,,,,,,
"馬単:5,290円 3連複:6,960円 3連単:44,120円",,,,,,,,,,,,"馬単:4,780円 3連複:14,320円 3連単:105,790円",,,,,,,,,,,,"馬単:5,270円 3連複:8,930円 3連単:41,340円",,,,,,,,,,,,"馬単:2,730円 3連複:12,310円 3連単:60,110円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,八瀬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｎマストハブ, 47,四位洋,, 68,*-13,   9,14,175.9,⑨⑥④, 1, 5, マシュケナｰダ,---,福永祐,, 63,  -7,*  4, 1,  3.1, ⑧⑦, 1, 5,Ｂジャミｰル, 88,安藤勝,, 92,   9,  16, 1,  1.8,④⑤⑤, 1, 7,Ａマルティンスタｰク, 81,池添謙,, 83,  11,   1, 3,  4.1, ⑥⑤
 2,14,Ｂジャポニズム, 66,池添謙, 0.1, 67,*-11,   6, 1,  1.9,②②②, 2, 9, ラフェクレｰル,---,国分恭, 0.0, 63,  -9,*  6, 4,  6.8, ⑩⑩, 2,12,Ｇコパノジングｰ, 77,松岡正, 0.0, 92,   7,* 19, 5, 16.8,⑨⑥⑥, 2,11,Ｃヒカリベルサイユ, 79,国分恭, 0.3, 80,   9,   1, 7, 27.8, ⑦⑧
 3,15,Ｌハｰドダダンダン, 51,藤岡康, 0.1, 70, -15,* 15,12,108.3,⑬⑬⑫, 3, 2, レディアルバロｰザ,---,熊沢重, 0.6, 53,* -2, -15, 7, 25.4, ①①, 3, 1,Ｅキタサンアミｰゴ, 80,川田将, 0.2, 94,   6,* 24, 3,  5.2,⑩⑫⑪, 3, 2,Ｄピサノジュバン, 79,福永祐, 0.3, 81,   7,*  6, 5, 11.2, ⑩⑨
 4, 4,Ｋパントクラトｰル, 52,角田晃, 0.1, 73, -17,* 18, 6, 20.7,⑰⑰⑮, 4,12, ドリｰムレディ,---,ルメｰ, 0.8, 53, -10,* -2, 9, 37.4, ⑫⑫, 4, 6,Ａフィニステｰル, 90,福永祐, 0.4, 89,   7,  16, 2,  4.9,⑪⑩⑧, 4, 1,Ｂシングライクバｰド, 79,ルメｰ, 0.4, 79,   7,*  5, 2,  3.2, ⑪⑩
 5, 1,Ｃミッキｰドリｰム, 66,和田竜, 0.2, 69, -14,* 12, 2,  5.1,⑪⑫⑪, 5, 8, アンフィルｰジュ,---,藤岡康, 1.0, 49,  -5, -15, 3,  5.2, ⑤④, 5, 8,Ｃカルカソンヌ, 82,藤岡康, 0.8, 85,   4,  16, 4, 12.8,⑫⑬⑬, 5, 5,Ｅキンショｰオトヒメ, 76,松岡正, 0.6, 77,   8,  -1, 8, 30.0, ⑧⑦
 5, 8,Ｆニシノメルモ, 55,浜中俊, 0.2, 65,*-11,   3, 7, 40.8,①①①, 6, 4, ノｰスアグネス,---,佐藤哲, 1.1, 48,  -8, -10,14, 78.7, ⑨⑨, 6, 4,Ｆマイネルプリマス, 80,和田竜, 1.1, 78,  10,  -6, 6, 21.3,③③③, 6, 8,Ｆブライティアパルス, 76,藤岡康, 0.7, 73,  12, -12, 1,  3.0, ④③
 7,17,Ｅバンコジｰロ, 55,ルメｰ, 0.3, 63,*-13,   4, 4,  8.8,③④③, 7,16, スリｰインパクト,---,田中健, 1.2, 48,  -4, -18,12, 47.6, ⑥⑤, 7,14,Ｋマナクｰラ, 74,ルメｰ, 1.1, 80,   7,   5, 7, 29.4,⑦⑧⑩, 7, 4,Ｋアディアフォｰン, 63,幸英明, 0.7, 75,  11,  -7, 4,  9.9, ⑤⑥
 8, 6,Ｇファイブイｰグル, 55,松山弘, 0.4, 63,*-13,   4,10, 53.3,⑤⑤⑥, 8,10, エリモレインボｰ,---,石橋守, 1.3, 47,* -1, -23,11, 39.7, ③③, 8, 9,Ｄエタｰナルクラウン, 82,池添謙, 1.4, 79,   6,   3, 8, 36.8,⑬⑪⑫, 8,10,Ｇシゲルキリガミネ, 75,田中健, 1.2, 68,* 19, -34, 6, 16.7, ②②
 9, 9,Ｊキクカタキシｰド, 52,幸英明, 0.4, 66, -14,   9,11, 58.3,⑧⑩⑩, 9, 7, タキオンコウショウ,---,池添謙, 1.6, 45, -10, -13, 2,  4.0, ⑬⑬, 9,10,Ｉマルタカドリｰム, 75,小坂忠, 1.5, 79,   5,   6,14,434.0,⑭⑭⑭, 9,12,Ｈツルマルロｰズ, 71,中村将, 1.6, 67,   2,  -5,11,162.9, ⑫⑫
10, 5,Ｈトｰワランマル, 55,国分恭, 0.6, 60,*-13,   2, 9, 50.8,④③⑤,10,14, サンマルバンベｰル,---,松山弘, 1.6, 45, -14,  -6,15,104.7, ⑯⑮,10,11,Ｎワシャモノタリン, 69,中村将, 1.8, 74,   7,  -6,13,137.5,⑤⑦⑨,10, 3,Ｉカミヒコｰキ, 71,松山弘, 1.6, 64,  12, -25, 9, 41.2, ③④
11,13,Ｐマイネルトレｰス, 44,佐藤哲, 0.7, 58, -14,   2,13,150.9,⑮⑨⑧,11,13, ノアスカｰレット,---,渡辺薫, 1.8, 42, -10, -18,17,195.3, ⑪⑪,11, 3,Ｈタガノバッチグｰ, 75,四位洋, 1.8, 74,   9, -10,11, 99.6,⑥④④,11, 9,Ｌジョイフルスマイル, 61,安部幸, 1.7, 65,   7, -15,12,178.8, ⑨⑪
12, 2,Ａマイネルタイクｰン, 70,福永祐, 0.8, 60, -14,   2, 5, 16.6,⑦⑦⑨,12,15, アドマイヤジュノｰ,---,川田将, 2.7, 34, -18, -16, 8, 33.5, ⑰⑯,12, 2,Ｍタイカｰリアン, 71,武豊  , 2.1, 71,   6,  -7, 9, 59.5,⑧⑨⑦,12, 6,Ｊカネトシレジアス, 65,熊沢重, 2.5, 56,* 21, -53,10,157.4, ①①
13,16,Ｉアグネスアンデス, 52,松岡正, 1.1, 55, -14,  -4, 8, 45.8,⑥⑧⑦,13, 6, ペイデュソレイユ,---,武豊  , 2.9, 29, -14, -25, 5, 16.4, ⑮⑭,13, 7,Ｊウィッシングデュｰ, 75,角田晃, 2.4, 67,* 15, -38,12,118.6,②②②,,,,,,,,,,,,
14, 3,Ｄファンドリアスカ, 56,武豊  , 1.2, 56, -16,   0, 3,  6.0,⑭⑭⑭,14, 3, ムｰンライトペスカ,---,角田晃, 2.9, 31,* -1, -46, 6, 17.6, ②②,14,13,Ｌニキティス, 72,安部幸, 4.3, 58,* 15, -66,10, 78.1,①①①,,,,,,,,,,,,
15,12,Ｍラブソｰファイン, 48,安部幸, 1.5, 55, -16,  -1,16,415.9,⑫⑮⑰,15,18, ケイエスショｰクン,---,幸英明, 3.5, 25,  -6, -49,13, 50.2, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｑマルヨモミジスキｰ, 43,熊沢重, 1.7, 49, -15,  -7,15,369.6,⑩⑪⑬,16, 1, スナｰクリボン,---,和田竜, 3.8, 23,  -6, -53,16,179.6, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
17,10,Ｏサンマルグランデラ, 46,中村将, 1.7, 51, -18,  -3,17,453.4,⑯⑯⑯,17,17, レディスピカ,---,四位洋, 3.9, 21, -14, -41,10, 37.6, ⑭⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11, シゲルキクヒメ,---,川島信, 4.1, 17, -23, -29,18,293.3, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
