09年 6月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9,11,Ｊアｰスグロｰリｰ, 42,丸田恭, 3.7, 38,  -3, -25, 7, 28.1,⑥⑩⑩, 9, 7, シルクガブリエル,---,田中博, 2.2, 24,* -8, -35, 1,  3.5, ②②, 9, 3,Ｉマｰシャルソング, 62,三浦皇, 1.8, 53,  -6,  -4, 7, 24.6, ⑧⑨, 9,11,Ｋウララカ, 35,川島信, 3.1, 53,*  8, -20, 5, 12.5,①①②
10, 3,Ｇフォｰマルハウト, 48,藤田伸, 5.2, 28,  -2, -39, 3,  4.6,⑩⑨⑧,,,,,,,,,,,,,10,11,Ｅリッシンボス, 68,宮崎北, 1.9, 51,  -2,  -8, 8, 26.6, ⑥⑤,10, 2,Ｊヨシアイビｰム, 55,丸田恭, 5.1, 42,   1, -23, 9,109.0,⑩⑩⑩
11, 4,Ｉタガノガンチｰニ, 43,宮崎北, 6.7, 20,  -2, -51, 9, 44.5,②⑧⑪,,,,,,,,,,,,,11,10,Ｋペプチドハリケｰン, 53,武英智, 1.9, 51, -12,  -1,10, 81.9, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
単勝:670円 複勝:06=190円 07=150円 10=510円 枠連:940円,,,,,,,,,,,,単勝:440円 複勝:06=180円 08=190円 05=170円 枠連:750円,,,,,,,,,,,,単勝:880円 複勝:04=210円 08=120円 05=390円 枠連:580円,,,,,,,,,,,,"単勝:330円 複勝:08=130円 07=160円 01=150円 枠連:1,180円",,,,,,,,,,,
"馬連:1,040円 ワイド:06-07=470円 06-10=1,880円 07-10=1,480円",,,,,,,,,,,,"馬連:1,300円 ワイド:06-08=410円 05-06=480円 05-08=730円",,,,,,,,,,,,"馬連:690円 ワイド:04-08=310円 04-05=1,230円 05-08=430円",,,,,,,,,,,,"馬連:1,190円 ワイド:07-08=370円 01-08=250円 01-07=440円",,,,,,,,,,,
"馬単:2,330円 3連複:9,220円 3連単:41,690円",,,,,,,,,,,,"馬単:2,630円 3連複:2,350円 3連単:14,710円",,,,,,,,,,,,"馬単:1,980円 3連複:3,010円 3連単:18,650円",,,,,,,,,,,,"馬単:2,130円 3連複:1,150円 3連単:7,290円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,美幌特別,,,,,,,,,,,,知床特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂノボニョ, 62,三浦皇,, 71,* -3,* 10, 3,  5.0, ①①, 1, 7,Ｂショｰファイトダダ, 62,藤田伸,, 65,  -6,* 12, 2,  4.0,④④③, 1, 2,Ｉレンディル, 65,中舘英,, 69,   2,*  0, 2,  4.6,④④⑤, 1, 1,Ｄレッドシャガｰラ, 67,藤岡佑,, 79,  -7,* 19, 1,  3.4,③⑤④
 2, 8,Ｆヴィトンクイｰン, 56,田中博, 0.1, 70,* -5,* 10, 2,  4.2, ②②, 2, 9,Ｊヤラマイカ, 42,丸田恭, 0.4, 61,* -4,   5, 5, 18.7,⑥①①, 2,10,Ｆペチカ, 69,北村友, 0.0, 70,*  6,  -5, 5, 11.2,①①①, 2, 3,Ａコハクジョｰ, 80,宮崎北, 0.4, 76,  -8,* 18, 5,  9.6,⑦⑨⑧
 3,10,Ａプロウスト, 64,藤岡佑, 0.8, 62,* -4,   4, 4,  6.4, ③③, 3, 5,Ｅテキサスコマンド, 59,秋山真, 0.8, 60,  -4,   4, 3,  7.2,②③④, 3, 5,Ｅテキｰラ, 74,三浦皇, 0.1, 68,   2,  -1, 7, 13.5,⑦⑥④, 3,10,Ｅグランドカラｰ, 67,菊沢隆, 0.4, 72,* -6,  12, 2,  3.8,⑥④③
 4, 5,Ｄスリｰコンビナｰト, 59,秋山真, 1.3, 57,  -9,   2, 5, 12.6, ⑥④, 4, 6,Ｇマコトディアナ, 49,北村友, 0.8, 57,* -4,   2, 6, 36.7,①②②, 4,13,Ａフィックルベリｰ, 79,藤岡佑, 0.1, 68,   1,*  2, 1,  2.5,⑩⑩⑧, 4, 8,Ｆエアキリヤン, 62,三浦皇, 0.6, 73,  -8,  14, 3,  4.9,⑧⑧⑦
 5, 4,Ｉポイントプリム, 52,藤田伸, 1.3, 57, -10,   3, 6, 24.5, ⑦⑧, 5, 1,Ａアルスフリｰゲン, 67,三浦皇, 1.1, 57,  -7,   5, 1,  1.5,③⑤⑤, 5, 3,Ｄトｰホウロｰド, 74,松田大, 0.2, 67,   1,*  0, 4,  7.6,⑥⑨⑩, 5, 7,Ｇハツカリ, 61,坂下秀, 0.6, 69,* -5,   7,10, 90.7,①①①
 6, 9,Ｇカシノコロン, 56,丸山元, 1.4, 56, -10,   2, 7, 29.0, ⑧⑦, 6, 8,Ｈヨシキタドッコイ, 47,中谷雄, 1.2, 58,  -8,   6, 9,193.5,⑤⑦⑦, 6, 7,Ｃシゲルハスラット, 76,秋山真, 0.4, 65,   2,  -3, 3,  7.5,⑨⑦⑦, 6, 9,Ｂマイネルビジュｰ, 73,丸田恭, 0.7, 65,* -5,   5, 6, 12.0,②②②
 7, 2,Ｃタイガｰスラム, 60,中舘英, 1.8, 50, -15,   1, 1,  2.2, ⑨⑨, 7, 2,Ｄスイｰトトｰク, 59,宮崎北, 1.7, 52,  -8,   2, 7, 57.2,⑧⑥⑥, 7, 4,Ｋニホンピロキリバス, 53,宮崎北, 0.4, 65,   2,  -4,14,177.7,⑤⑤⑥, 7, 4,Ｉピエナファンタスト, 59,武幸四, 0.9, 73, -10,  14, 7, 12.3,⑪⑪⑪
 8,12,Ｈクリノシｰグリｰン, 53,国分優, 2.1, 49,  -6,  -7,10, 82.3, ⑤⑥, 8, 4,Ｃデンコウゼファｰ, 62,小林徹, 2.5, 50, -10,  -1, 4, 12.6,⑨⑨⑧, 8,14,Ｇピｰスオブパワｰ, 69,丸田恭, 0.5, 62,   2,  -5,10, 60.7,⑧⑧⑨, 8,11,Ｈヒルノラディアン, 59,松田大, 1.1, 65,* -5,   3, 8, 23.1,④③⑤
 9, 6, クレバｰクンプウ,---,古川吉, 2.1, 48, -23,   3, 9, 52.5, ⑪⑪, 9, 3,Ｆケイオｰスタｰ, 55,田中博, 2.8, 47, -12,  -2, 8,109.4,⑩⑩⑨, 9, 9,Ｂモンテフェニックス, 79,藤田伸, 0.7, 61,  -1,  -3, 8, 19.0,⑭⑬⑪, 9, 2,Ｋマルサンチｰフ, 57,古川吉, 1.2, 64,  -7,   2, 9, 44.3,⑤⑥⑥
10, 3,Ｅエｰシンウィゾｰル, 58,宮崎北, 2.5, 43, -15,  -4, 8, 50.9, ⑩⑩,10,10,Ｉコアレスアトラス, 43,丸山元, 4.1, 36,  -9, -17,10,259.0,⑦⑧⑩,10, 1,Ｌスｰパｰミノル, 38,古川吉, 0.8, 61,   0,  -4, 9, 39.7,⑪⑪⑬,10, 6,Ｊシデンカイ, 58,田面木, 1.4, 63,  -8,   4,11,174.0,⑨⑩⑩
11,11,Ｊディアドミニオン, 44,梶晃啓, 2.5, 45,  -6, -11,11,178.7, ④⑤,,,,,,,,,,,,,11, 8, マジカルパワｰ,---,坂下秀, 1.2, 54,  -3,  -8,13,108.4,⑬⑭⑭,11, 5,Ｃタガノガブリエル, 71,藤田伸, 2.0, 52,  -7,  -9, 4,  6.9,⑩⑦⑨
12, 1, エプソムクロｰバｰ,---,小野寺, 2.9, 39, -29,   0,12,306.6, ⑫⑫,,,,,,,,,,,,,12,11,Ｊユキノマｰヴェラス, 63,田中博, 1.3, 55,*  5, -20,12,105.4,②②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 6, サンサンヒカリ,---,斉藤正, 1.5, 53,   0, -13,11, 80.9,⑫⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｈフミノウインダム, 68,長谷川, 2.0, 48,*  5, -28, 6, 12.2,③③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:500円 複勝:07=170円 08=170円 10=190円 枠連:1,440円",,,,,,,,,,,,"単勝:400円 複勝:07=300円 09=790円 05=390円 枠連:3,260円",,,,,,,,,,,,"単勝:460円 複勝:02=190円 10=350円 05=390円 枠連:1,110円",,,,,,,,,,,,"単勝:340円 複勝:01=160円 03=230円 10=140円 枠連:1,530円",,,,,,,,,,,
"馬連:1,390円 ワイド:07-08=510円 07-10=520円 08-10=530円",,,,,,,,,,,,"馬連:3,420円 ワイド:07-09=960円 05-07=520円 05-09=910円",,,,,,,,,,,,"馬連:2,750円 ワイド:02-10=980円 02-05=930円 05-10=1,640円",,,,,,,,,,,,"馬連:1,810円 ワイド:01-03=620円 01-10=280円 03-10=510円",,,,,,,,,,,
"馬単:2,600円 3連複:2,540円 3連単:15,320円",,,,,,,,,,,,"馬単:5,980円 3連複:5,970円 3連単:34,060円",,,,,,,,,,,,"馬単:5,620円 3連複:9,000円 3連単:41,360円",,,,,,,,,,,,"馬単:3,180円 3連複:2,160円 3連単:12,150円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,STV賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｈコアレスミュｰズ, 53,三浦皇,, 57,*  0,* -5, 2,  3.8,④③③, 1, 6,Ｂテイエムハリアｰ, 69,藤田伸,, 71,*  5,*  0, 2,  3.5,③③②, 1, 2,Ａボｰダレスワｰルド, 81,藤田伸,, 88,   7,* 15, 1,  1.3, ⑤④, 1, 4,Ｂジャンバティスト, 77,丸田恭,, 77,  -3,* 20, 2,  4.3,⑥⑦⑨
 2, 3,Ｊコスモピグマン, 48,丸田恭, 0.0, 58,*  0,* -4, 7, 41.1,③④⑤, 2, 1,Ｇホッコｰビックワン, 55,三浦皇, 0.3, 68,   2,*  0, 5, 12.5,⑥⑥③, 2, 4,Ｆランチボックス, 72,武幸四, 0.0, 90,  10,* 12, 3,  7.6, ③②, 2, 1,Ｄブチカマシ, 75,宮崎北, 0.1, 75,  -3,* 20, 5,  9.5,⑧⑨④
 3, 5,Ｅホッコｰテイオｰ, 56,斉藤正, 0.3, 56,  -1,* -6,10, 86.9,⑧⑦⑦, 3, 2, ブレイクヒストリｰ,---,柴原央, 0.7, 65,  -4,*  7, 8, 22.5,⑩⑪⑪, 3, 9,Ｄパッションロｰズ, 73,北村友, 0.5, 85,* 18,  -2, 4, 10.6, ①①, 3, 9,Ｅナイスシャトル, 74,藤田伸, 0.1, 74,* -1,  17, 3,  6.1,②②②
 4, 8,Ａタマモユニヴァｰス, 66,藤田伸, 0.3, 55,*  0,  -7, 1,  2.0,⑥⑥④, 4,13,Ｅベｰリンジア, 63,藤岡佑, 0.7, 63,   3,  -8, 1,  2.5,⑤⑤④, 4, 8,Ｂケイアイプラウド, 80,三浦皇, 0.6, 81,   9,   6, 2,  6.1, ④⑤, 4, 3,Ｃダイレクトパス, 75,北村友, 0.4, 72,  -2,  16, 6, 12.7,④⑥③
 5, 2,Ｂインディストラｰダ, 61,中舘英, 0.6, 53,  -2,  -8, 3,  4.8,⑩⑩⑧, 5, 3,Ｃエｰシンゴｰシュア, 67,宮崎北, 0.8, 61,*  7, -18, 7, 20.1,①①①, 5, 3,Ｅヴィヴァｰチェ, 72,藤岡佑, 1.0, 74,   1,   9, 8, 87.7, ⑦⑦, 5, 6,Ａシュヴァイツァｰ, 78,三浦皇, 0.7, 68,* -2,  10, 1,  2.1,①①①
 6, 4,Ｄスグリワ, 57,田中博, 0.7, 54,*  0, -10, 9, 62.8,⑤⑤⑥, 6, 7,Ａエルプレジデンテ, 71,松田大, 0.8, 63,   2,  -7, 3,  4.5,⑦⑦⑦, 6, 1,Ｇマザｰズウィッシュ, 68,中舘英, 1.0, 75,   4,   6, 6, 34.6, ⑥⑥, 6, 5,Ｆスパｰクルシチｰ, 72,川島信, 0.8, 68,  -3,  13, 4,  8.1,⑩⑧⑦
 7, 6,Ｇスプリンググレン, 54,武幸四, 1.1, 55,*  2, -15, 8, 54.1,①①①, 7, 4,Ｊシｰアンムｰン, 50,丸山元, 1.2, 59,  -2,  -5,12,258.8,⑨⑨⑨, 7, 6,Ｃティムガッド, 73,田中博, 1.1, 75,  12,  -3, 5, 26.2, ②③, 7,11,Ｇシャドウランズ, 68,藤岡佑, 1.1, 67,  -4,  12, 8, 43.2,⑪⑩⑧
 8, 7,Ｉペルシステンテ, 52,北村友, 1.2, 49,  -1, -12, 6, 19.4,⑨⑨⑩, 8,11,Ｄババロア, 63,武幸四, 1.2, 60,   3, -16, 6, 15.7,④④⑥, 8, 5,Ｈケイエスバウアｰ, 63,小林徹, 1.4, 68,   1,   3, 9,145.8, ⑧⑧, 8, 7,Ｊサウスアミュｰズ, 63,松田大, 1.7, 66,  -2,   4,10,160.1,⑤③⑤
 9, 9,Ｃレッドブラッド, 59,国分優, 1.4, 48,*  1, -18, 5, 19.0,②②②, 9,10,Ｆプラチナチャリス, 62,国分優, 1.4, 56,   0, -13, 4, 11.2,⑧⑧⑧, 9, 7,Ｉジョイフルスマイル, 61,丸田恭, 1.7, 63,  -3,   4, 7, 51.5, ⑨⑨, 9, 8,Ｉスカイワｰド, 66,丸山元, 1.8, 63,  -5,   8, 9, 97.2,⑨⑪⑪
10, 1,Ｋトウショウジオン, 41,丸山元, 1.5, 48,  -2, -14,11,216.3,⑦⑧⑨,10, 5,Ｍスｰパシャイン, 39,秋山真, 1.9, 52,  -2, -13,11,154.8,⑪⑩⑩,,,,,,,,,,,,,10,10,Ｈスプリングラッキｰ, 67,国分優, 1.8, 62,  -2,   3,11,164.4,⑦④⑥
11,11,Ｆハワイアンシェｰナ, 54,宮崎北, 1.7, 46,  -3, -12,12,507.5,⑫⑫⑫,11,14,Ｌミロクヒメ, 40,中舘英, 3.1, 42,*  6, -47,10,152.4,②②⑤,,,,,,,,,,,,,11, 2,Ｋモンスタｰパｰク, 62,中舘英, 2.7, 55,  -2,  -4, 7, 30.3,③⑤⑩
12,12,Ｌワイルドベリｰ, 38,船曳文, 2.7, 41,  -1, -25, 4, 11.3,⑪⑪⑪,12, 9,Ｋドリｰムスタｰダム, 41,小野寺, 3.3, 38,  -6, -28,13,275.2,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 8,Ｉキングエｰコｰ, 52,丸田恭, 6.1,  3, -12, -54, 9,129.6,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,
"単勝:380円 複勝:10=200円 03=610円 05=1,080円 枠連:6,750円",,,,,,,,,,,,"単勝:350円 複勝:06=160円 01=300円 02=580円 枠連:1,880円",,,,,,,,,,,,単勝:130円 複勝:02=110円 04=160円 09=200円 枠連:490円,,,,,,,,,,,,"単勝:430円 複勝:04=180円 01=220円 09=250円 枠連:1,910円",,,,,,,,,,,
"馬連:8,030円 ワイド:03-10=1,860円 05-10=2,110円 03-05=10,070円",,,,,,,,,,,,"馬連:1,970円 ワイド:01-06=740円 02-06=1,140円 01-02=2,360円",,,,,,,,,,,,馬連:470円 ワイド:02-04=210円 02-09=260円 04-09=610円,,,,,,,,,,,,"馬連:1,970円 ワイド:01-04=620円 04-09=700円 01-09=820円",,,,,,,,,,,
"馬単:11,760円 3連複:55,310円 3連単:258,880円",,,,,,,,,,,,"馬単:2,990円 3連複:11,120円 3連単:46,140円",,,,,,,,,,,,"馬単:590円 3連複:1,140円 3連単:2,210円",,,,,,,,,,,,"馬単:3,750円 3連複:4,650円 3連単:25,760円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
