09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,450円 3連複:1,000円 3連単:4,650円",,,,,,,,,,,,"馬単:42,510円 3連複:99,620円 3連単:581,180円",,,,,,,,,,,,"馬単:18,150円 3連複:4,120円 3連単:42,380円",,,,,,,,,,,,"馬単:1,740円 3連複:2,470円 3連単:13,450円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,城崎特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄオデットシチｰ, 65,武豊  ,, 71,*  5,*  3, 1,  2.2,①①①, 1, 6,Ａニチドウダイヤ, 72,田嶋翔,, 70,*  1,*  5, 6, 15.2, ②②, 1, 1,Ａサンデｰヒストリｰ, 82,鮫島良,, 84,*  9,* 11, 1,  1.8,②②②, 1,10,Ａマイネトゥインクル, 77,幸英明,, 73,  -9,  12, 1,  1.7,⑦⑥⑤
 2, 9,Ａコウエイテンプウ, 70,浜中俊, 0.2, 70,*  4,*  3, 2,  3.4,②②②, 2, 2,Ｄビバエルフ, 67,川田将, 0.0, 71,  -1,*  8, 3,  7.9, ③③, 2, 3,Ｄマチカネカミカゼ, 78,武豊  , 0.8, 80,   6,* 12, 3,  5.6,④④④, 2, 4,Ｃアンプレシオネ, 71,太宰啓, 0.1, 69,* -7,   7, 5, 12.8,①①①
 3, 6,Ｂカスガ, 67,渡辺薫, 0.7, 68,*  4,  -1, 3,  4.9,⑩④④, 3, 4,Ｅマレンゴ, 65,太宰啓, 0.7, 64,*  3,  -2, 8, 53.5, ①①, 3, 5,Ｃピエナエイム, 80,川田将, 1.3, 76,   5,   9, 4, 12.9,⑥⑥⑤, 3, 5,Ｂラルｰチェ, 71,福永祐, 0.1, 71, -11,  13, 2,  5.0,⑥⑦⑦
 4, 1,Ｅレティセラ, 63,国分恭, 1.2, 64,*  4,  -5, 6, 26.1,④⑤③, 4, 8,Ｇスナｰクレナｰド, 61,松山弘, 1.0, 60,  -6,   1, 7, 40.1, ⑦⑦, 4, 9,Ｈスマｰトパｰティｰ, 54,小牧太, 1.4, 74,* 10,  -2, 5, 21.0,①①①, 4, 6,Ｅディｰプキッス, 70,小牧太, 0.2, 75, -12,* 17, 6, 22.0,⑪⑪⑪
 5, 3,Ｃタガノスティｰド, 67,幸英明, 2.2, 57,  -2,  -4, 4,  7.9,⑪⑫⑩, 5,12,Ｂフレンチクラシック, 69,福永祐, 1.1, 60,  -8,*  4, 2,  4.0, ⑧⑧, 5, 2,Ｅホワイトショウフク, 77,田中克, 1.6, 75,   8,   1, 6, 29.0,③③③, 5, 2,Ｆファミリズム, 70,川田将, 0.4, 65,  -9,   6, 3,  5.8,④③④
 6,10,Ｆパボ, 56,田中健, 2.3, 58,   2, -11, 7, 46.0,⑥⑥⑥, 6, 1,Ｊオｰスミビジョン, 50,田中健, 1.3, 58,  -5,  -1,10,185.9, ⑥⑤, 6, 7,Ｂアドマイヤアゲイン, 81,福永祐, 1.9, 73,   5,   4, 2,  3.1,⑤⑤⑥, 6,11,Ｄワンダｰパｰトナ, 70,植野貴, 0.4, 67,* -7,   4, 9, 85.8,②②②
