09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,足立山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂハイドランジア, 69,太宰啓,, 48,*  1, -30, 2,  4.8,①①①, 1,10, メイショウガルソン,---,藤岡康,, 59,   2,*-10, 3,  5.5, ③②, 1, 4,Ｈアキノカウンタｰ, 66,鮫島良,, 69,*  0,   1, 5, 17.1,②②①, 1, 6,Ｇメモリｰパフィア, 60,幸英明,, 98,* 21,*  8, 7, 19.8, ①①
 2,13,Ｇニシノプライスレス, 60,浜中俊, 0.8, 45,  -3,*-26, 3,  6.6,⑧⑤③, 2, 6, サクラテンペスト,---,角田晃, 0.4, 55,*  3, -16,10, 63.4, ②①, 2, 8,Ｆファンドリキセキ, 67,幸英明, 0.0, 71,  -1,   5, 7, 24.0,⑤④③, 2, 2,Ｂスカイノダン, 67,川田将, 0.3, 92,* 18,   7, 1,  1.9, ②③
 3, 1,Ｅヒミノリュウオウ, 65,田中克, 1.2, 41,  -4, -31, 4,  8.0,⑦⑥⑥, 3, 2, サダムトウコン,---,太宰啓, 0.8, 51,*  5, -22, 8, 39.0, ①④, 3,11,Ａメイショウジンム, 78,武豊  , 0.2, 71,  -5,*  9, 1,  2.2,⑩⑩⑩, 3, 8,Ｒサイキョウヒカリ, 36,浜中俊, 0.6, 85,   8,* 14, 9, 34.3, ⑫⑩
 4, 8,Ａリバティｰフロｰ, 74,武豊  , 1.3, 41,  -3, -37, 1,  1.9,⑥②②, 4, 7, ペガサスキングビｰ,---,福永祐, 1.0, 44, -13,* -7, 4,  9.8, ⑧⑧, 4,12,Ｂケンセイフライト, 75,福永祐, 0.3, 68,  -4,   5, 2,  4.6,⑧⑧⑥, 4, 3,Ｅピエナプリンセス, 65,安藤光, 0.9, 82,  14,   3,11, 40.4, ⑥⑦
 5, 5,Ｊウインアヴェニュｰ, 58,国分恭, 1.6, 40,  -5,*-28, 8, 53.2,⑨⑩⑧, 5,11, エリモクイｰン,---,武豊  , 1.0, 46,   2, -22, 1,  2.1, ④③, 5, 7,Ｅトムウィンズ, 67,浜中俊, 0.5, 67,  -4,   4, 3,  4.9,⑨⑨⑨, 5, 7,Ｉメイショウユリシス, 59,飯田祐, 0.9, 84,* 18,  -1, 4, 10.7, ③②
 6,12,Ｈファンドリリｰダｰ, 59,和田竜, 1.7, 39,  -4, -34,10, 64.0,⑫⑦⑦, 6, 4, アイファｰハイカラ,---,浜中俊, 1.8, 38, -19, -12, 6, 27.0, ⑨⑨, 6, 6,Ｉツカサラッキｰ, 62,酒井学, 0.5, 62,*  2,  -8,10, 82.9,①①②, 6, 9,Ｄニホンピロタルト, 66,酒井学, 1.0, 80,  13,   3, 2,  5.6, ⑧⑥
 7,11,Ｄシｰスピアｰ, 66,田中健, 2.1, 38,  -7, -35, 7, 23.5,⑩⑪⑩, 7, 5, アキノロｰレル,---,鮫島良, 2.2, 30,   0, -35, 5, 19.7, ⑥⑥, 7, 5, ミヤノオｰドリｰ,---,鮫島克, 0.6, 68,  -8,*  9, 9, 80.4,⑪⑪⑪, 7, 4,Ａハッピｰプレゼント, 70,生野賢, 1.0, 81,  15,   0, 3,  6.2, ④④
 8, 4,Ｋテイエムタｰザン, 52,橋本美, 2.3, 36,  -7, -33, 9, 62.9,⑪⑫⑪, 8, 3, レッドアンバｰ,---,幸英明, 2.3, 30,   1, -37, 2,  3.4, ⑤⑤, 8, 9,Ｃマイファｰストラヴ, 70,川田将, 0.6, 62,  -3,  -2, 4,  5.5,⑥⑥⑤, 8,10,Ｊランラン, 58,太宰啓, 1.1, 78,  10,   5, 6, 19.5, ⑨⑨
 9, 2,Ｃザバトルクラシック, 68,川田将, 2.7, 36,  -3, -55, 6, 18.7,②③④, 9, 1, ムｰンテンダｰ,---,鮫島克, 2.6, 25,  -4, -36,11,101.6, ⑦⑦, 9, 3,Ｄフレノカトリｰヌ, 69,鈴来直, 1.0, 59,  -3,  -6, 8, 60.1,⑦⑦④, 9,16,Ｃグレンチェック, 67,国分恭, 1.3, 77,  14,  -2, 8, 34.1, ⑦⑧
10, 6,Ｆフリｰジャズ, 64,幸英明, 3.0, 35,  -5, -49,11, 72.6,⑤⑨⑨,10,12, ドニュ,---,和田竜, 2.9,  6, -21, -24, 7, 28.1, ⑪⑪,10,10,Ｇカネトシレジアス, 67,和田竜, 1.5, 53,  -1, -15, 6, 21.9,④⑤⑧,10, 5,Ｏグロｰスベルベット, 53,高井彰, 1.3, 75,   8,   4,13,174.2, ⑪⑫
11, 9,Ｍケイティロｰレル, 37,野元昭, 3.1, 33, -10, -37,13,192.2,⑬⑬⑫,11, 8, カシノポピｰ,---,金折知, 2.9,  7, -22, -22, 9, 60.0, ⑩⑩,11, 2,Ｊチャｰミングシチｰ, 57,太宰啓, 1.9, 48,  -1, -22,11,156.6,③③⑦,11,12,Ｑオｰスミカトレア, 39,松山弘, 1.4, 71,   1,*  9,12, 92.9, ⑯⑭
12,10,Ｉテンシノザｰル, 58,中村将, 3.4, 15,  -3, -63, 5, 13.8,④④⑤,12, 9, シゲルオナベノカタ,---,渡辺薫, 5.0,-32, -41, -31,12,216.4, ⑫⑫,12, 1,Ｋウォルトンコクカ, 52,田中克, 2.7, 42,  -8, -18,12,234.1,⑫⑫⑫,12,11,Ｎマヤノアンズ, 54,藤岡康, 1.4, 74,  10,   1,10, 40.3, ⑩⑪
13, 7,Ｌエｰシンフォｰサン, 42,金折知, 4.1,  9,  -6, -64,12,107.3,③⑧⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｆミヤジニキｰタ, 62,和田竜, 1.5, 75,  15,  -6, 5, 16.4, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｌブルｰラピス, 58,金折知, 1.5, 71,   5,   4,16,320.3, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,Ｋロケットガｰル, 58,大下智, 1.8, 66,   2,   3,14,270.1, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｐマイコハン, 44,植野貴, 1.9, 66,   6,  -2,15,319.9, ⑬⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
