09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 3,Ｌチョウキレル, 44,高野容, 1.7, 51, -11,  -2,11,235.5, ⑩⑩, 8,16,Ｏウインドロｰザ, 44,鮫島克, 1.8, 53,   9, -23, 7, 67.3,④④⑥, 8, 5,Ｅテイエムハエゲナ, 39,佐久間, 1.7, 45,  -1, -19, 8, 75.2, ④⑤, 8,13,Ｉプラグマティック, 63,渡辺薫, 1.2, 59,   1,  -4,12, 58.0, ⑤④
 9,10,Ｋグランプリセイハ, 50,熊沢重, 1.8, 50,  -7,  -6, 9,172.1, ⑨⑨, 9, 4,Ｍフライングチェンジ, 46,田中健, 2.4, 51,  -2,  -8,14,381.0,⑬⑭⑪, 9, 1, アサノナイスガイ,---,鮫島克, 2.3, 37, -15, -13, 9,119.7, ⑨⑨, 9,10,Ｄマルシゲヨカニセ, 65,松山弘, 1.4, 53,  -5,  -2, 2,  4.5, ⑨⑩
10, 6,Ｈレディブルｰム, 55,松山弘, 2.1, 44, -13,  -5, 6, 20.9, ⑪⑪,10, 2,Ｌホッコｰバリキ, 48,飯田祐, 3.3, 44,  -1, -18,12,204.3,⑭⑫⑫,,,,,,,,,,,,,10, 2,Ｊサルラ, 61,生野賢, 1.6, 53,  -7,  -3, 7, 33.8, ⑧⑨
11,13,Ｇエｰシンファスタｰ, 61,幸英明, 2.4, 44,  -2, -14, 7, 28.6, ⑤④,11, 9,Ｃトウケイビクトリｰ, 66,和田竜, 3.3, 44,   7, -32, 6, 25.6,⑤⑤⑦,,,,,,,,,,,,,11, 8,Ｋジョｰブリス, 59,田嶋翔, 1.7, 50, -22,   5, 8, 33.8, ⑭⑭
12, 8,Ｎスナｰクアカデミｰ, 30,高橋亮, 3.4, 32, -17, -14,13,546.4, ⑬⑬,12, 7,Ｊフェアｰシャノン, 55,田中克, 4.0, 41,   0, -26, 4, 11.9,⑧⑪⑩,,,,,,,,,,,,,12, 1,Ｍランウェイスナップ, 54,鮫島克, 1.7, 53,  -8,  -3, 6, 13.9, ⑩⑧
13,12,Ｉクｰルレディ, 52,鈴来直, 3.5, 30, -30,  -6,14,563.9, ⑭⑭,13, 1,Ｉザバトルプラウド, 55,太宰啓, 6.1, 28,  -3, -38, 9, 71.7,⑮⑮⑬,,,,,,,,,,,,,13, 7,Ｆプリティマリ, 64,大下智, 2.2, 46,  -8,  -8,11, 56.7, ⑪⑫
14, 7,Ｍビコｰアジリティ, 38,佐久間, 3.6, 32,  -4, -24,10,234.8, ④⑧,14, 5,Ｐフラワｰアンジェラ, 42,角田晃, 8.3,  8,  -2, -60,13,204.6,⑥⑬⑭,,,,,,,,,,,,,14, 9,Ｎカシノレッド, 52,鈴来直, 3.2, 38,   1, -22,14,152.3, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
