09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝2500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａグランデワイルド, 64,中舘英,, 70,*  5,*  4, 1,  1.9, ①①, 1, 3,Ａサクラヒストリｰ, 81,田中博,, 80,   9,* 14, 1,  2.1,⑧④④, 1, 5,Ｅグリフィス, 68,スミヨ,, 76,  13, -11, 5, 10.3,③③③, 1, 7,Ｂアｰネストリｰ, 92,佐藤哲,, 94,* 21,*  4, 1,  3.0,⑤③③
 2, 8,Ｇヤマニンフリアンド, 45,田中健, 0.6, 65,*  1,   1, 2,  5.8, ②③, 2, 6,Ｅディアアゲイン, 72,上野翔, 1.0, 72,* 12,   2, 7, 16.9,②②②, 2,10,Ａスズカゲイル, 80,松田大, 0.1, 81,   9,*  8, 2,  3.4,⑩⑨⑧, 2, 1,Ｆドリｰムサンデｰ, 86,秋山真, 0.1, 95,* 22,  -1, 5, 18.1,①①①
 3, 1,Ｋマスタｰルティア, 40,丸田恭, 0.6, 63,  -2,*  3, 4,  8.1, ③②, 3,10,Ｉペチカ, 69,丸田恭, 1.2, 69,* 12,  -1, 5, 15.1,①①①, 3, 2,Ｎサッカｰプリンス, 58,木幡初, 0.8, 71,   6,*  0,14,104.8,⑪⑪⑩, 3, 5,Ａチョウカイファイト, 92,北村友, 0.6, 91,  17,*  6,10, 35.5,⑪⑫⑫
 4,12,Ｅエｰシンアマゾｰン, 51,吉田豊, 0.8, 61,* -1,   1,10, 73.0, ④④, 4, 8,Ｄニュｰロザリオ, 73,松山弘, 1.4, 70,   6,   8, 8, 25.5,⑭⑫⑧, 4, 3,Ｆトミケンプライム, 67,秋山真, 0.9, 72,  12, -14, 6, 13.1,⑦⑦⑤, 4,15,Ｅトｰセンジョｰダン, 88,スミヨ, 0.6, 92,  17,*  6, 2,  3.4,⑮⑬⑨
 5, 7,Ｈシャイニｰベスト, 45,大江原, 1.1, 58,  -6,   2,15,229.5, ⑤⑤, 5,11,Ｃメイショウロｰツェ, 73,高井彰, 1.5, 68,* 11,  -2, 4,  9.1,③③③, 5,13,Ｄヒビケジンダイコ, 69,丸田恭, 1.1, 68,   6,* -1, 3,  5.6,⑫⑫⑫, 5, 3,Ｃレオマイスタｰ, 91,木幡初, 1.0, 86,  20,  -6,11, 42.9,⑥⑥④
 6,15,Ｂリッカスウィｰプ, 61,佐藤哲, 1.2, 56,  -7,   2, 3,  6.8, ⑧⑥, 6, 5,Ｇマイネルビスタ, 71,丹内祐, 1.5, 70,   5,* 10, 6, 16.5,⑮⑬⑪, 6, 6,Ｇコウヨウドリｰム, 66,太宰啓, 1.1, 67,* 16, -37, 4,  8.4,①①①, 6,11,Ｄミッキｰパンプキン, 89,福永祐, 1.2, 86,  18,  -6, 4,  9.6,⑫⑩⑩
 7, 2,Ｉケイアイドリｰム, 43,田辺裕, 1.2, 57,  -9,   3,11, 96.1, ⑦⑦, 7, 7,Ｆマｰブルデイビｰ, 71,宮崎北, 1.6, 67,   7,   6, 2,  5.4,⑬⑨⑩, 7, 1,Ｂタンホイザｰ, 75,北村友, 1.2, 68,   6,  -3, 1,  3.0,⑯⑬⑬, 7, 2,Ｉマヤノライジン, 85,石橋脩, 1.2, 85,* 23, -16,14,100.2,②②②
 8, 9,Ｌアグネスルｰク, 35,荻野琢, 1.7, 53,  -6,  -4, 8, 52.3, ⑥⑧, 8,13,Ｂウインザマキ, 74,田中健, 1.8, 68,   7,   2, 3,  6.5,⑩⑦⑥, 8, 7,Ｊアイティｰバトル, 64,丹内祐, 1.5, 65,  12, -27,11, 75.2,⑤⑤④, 8, 6,Ｋリクエストソング, 83,太宰啓, 1.3, 83,  18,  -9, 6, 22.1,⑦⑦⑧
 9,14,Ｆリリｰレインジャｰ, 50,松山弘, 1.9, 48, -18,   1, 6, 13.1, ⑨⑨, 9, 4,Ｈシャフツレディ, 70,小野寺, 1.9, 66,   5,   6,13, 99.1,⑫⑭⑬, 9, 4,Ｌキャッツテイル, 63,国分優, 1.8, 63,   7, -14, 8, 35.1,⑨⑩⑨, 9, 4,Ｏタスカｰタソルテ, 77,中舘英, 1.3, 86,  17,  -5, 8, 29.8,⑨⑨⑤
10,13,Ｄコヴェンティナ, 54,福永祐, 2.1, 46, -20,   2, 7, 25.6, ⑪⑩,10,15,Ｊセフティファントム, 67,的場勇, 2.2, 63,   5,   4,10, 59.2,⑨⑮⑭,10,16,Ｃフルパワｰ, 69,丸山元, 1.8, 62,* 16, -47, 7, 26.8,②②②,10,14,Ｇデストラメンテ, 86,丸田恭, 1.8, 78,  17, -13,12, 43.4,⑩⑪⑬
11, 3,Ｊロングエンプレス, 42,小野寺, 2.2, 45, -24,*  4,13,141.2, ⑬⑪,11, 9,Ｋアルタントプチ, 65,黛弘人, 2.4, 61,   9,  -4,14,180.0,⑤⑤⑤,11,15,Ｉセイカマエストｰソ, 64,黛弘人, 2.1, 61,   5, -11,10, 70.1,⑭⑭⑭,11, 8,Ｈトウショウウェイヴ, 85,吉田豊, 1.9, 78,  16, -10, 7, 24.5,⑭⑮⑭
12,11,Ｏカシノアレグロ, 25,二本柳, 3.4, 33, -18, -11,12,137.9, ⑫⑫,12,14,Ｌスペシャルアリｰナ, 64,生野賢, 2.5, 62,   7,  -2, 9, 28.3,⑪⑧⑨,12, 8,Ｐトｰアゲッコウ, 48,荻野琢, 2.3, 58,  12, -38,13,101.7,⑥⑥⑦,12,13,Ｊマンハッタンスカイ, 83,芹沢純, 1.9, 79,* 21, -21,13, 43.8,④⑤⑦
13,10,Ｃショウナンアッパレ, 61,木幡初, 3.5, 30, -18, -13, 5, 10.6, ⑩⑬,13, 2,Ｏホｰカｰシｰホｰク, 54,船曳文, 3.2, 58,   6,  -6,16,268.8,⑥⑩⑫,13, 9,Ｏシングアゲン, 49,松山弘, 2.6, 58,   8, -31,16,293.7,⑧⑧⑪,13,10,Ｎナカヤマフェスタ, 80,蛯名正, 2.1, 77,  20, -21, 3,  5.0,⑧⑧⑪
14,16,Ｎバシタップ, 30,高橋智, 3.7, 30, -25,  -9,16,455.8, ⑭⑮,14, 1,Ｎフジマサエｰス, 55,南田雅, 3.3, 57,   9, -11,15,223.1,④⑥⑦,14,14,Ｋロｰレルハンバｰバ, 63,石橋脩, 2.8, 59,  13, -48,12, 85.3,④④⑥,14,12,Ｌメイショウドンタク, 82,角田晃, 2.1, 77,  17, -16, 9, 31.8,⑬⑭⑮
15, 4,Ｐスプリングメルシｰ, 10,丸山元, 3.8, 28, -28,  -8,14,215.5, ⑮⑭,15,16,Ｍシルクトマホｰク, 63,中村将, 3.9, 54,   4,  -7,12, 76.6,⑯⑯⑯,15,11,Ｈサウンドロｰデッド, 65,宮崎北, 2.9, 57,   3, -14, 9, 47.9,⑬⑯⑮,15, 9,Ｍダブルティンパニｰ, 82,宮崎北, 2.5, 71,* 21, -31,15,163.0,③④⑥
,,,,,,,,,,,,16,12,Ｐガンバルオｰ, 51,荻野琢, 4.6, 50,   6, -19,11, 75.0,⑦⑪⑮,16,12,Ｍセトウチモモタロｰ, 59,村田一, 4.7, 49,   2, -40,15,166.8,⑮⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
