09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:141,050円 3連複:358,730円 3連単:2,468,000円",,,,,,,,,,,,"馬単:2,560円 3連複:2,220円 3連単:12,290円",,,,,,,,,,,,"馬単:900円 3連複:4,760円 3連単:21,210円",,,,,,,,,,,,"馬単:11,750円 3連複:15,610円 3連単:132,480円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 8R  芝2000m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｆダイワバｰバリアン, 56,内田博,, 58, -13,*  2, 1,  2.2, ⑦⑥, 1,10,Ｉレジャイｰル, 53,小牧太,, 72,*  4,   4, 5, 13.1, ①①, 1, 1,Ａモルガナイト, 88,福永祐,, 82,   8,*  6, 1,  2.4,⑧⑧⑧, 1, 8,Ｇカタンジャレ, 69,和田竜,, 72,  -2,* 12, 6, 13.6,②③⑤
 2, 9,Ｂバンダムクラウス, 63,佐藤哲, 0.4, 52, -15,*  0, 2,  4.5, ⑪⑨, 2,14,Ｃテイケイメルベイユ, 68,和田竜, 0.5, 68,*  1,   2, 3,  9.5, ②②, 2, 6,Ｂタガノプルミエｰル, 82,岩田康, 0.3, 77,   6,*  5, 3,  4.4,⑩⑩⑩, 2, 4,Ｉレッドアイ, 56,角田晃, 0.0, 73,* -1,  11, 5, 12.4,⑩④③
 3,14,Ａベリｰフ, 66,岩田康, 0.4, 53, -15,*  0, 5,  7.3, ⑫⑪, 3, 6,Ｄラプタｰストｰム, 65,武豊  , 0.5, 69,  -2,*  7, 2,  4.1, ⑧⑥, 3, 7,Ｅレジェンドブルｰ, 74,和田竜, 0.3, 77,  10,  -5, 4,  8.4,⑤⑤⑤, 3,12,Ｄワンダｰスル, 76,野元昭, 0.1, 71,  -3,* 12, 4,  7.6,⑥⑦④
 4, 4,Ｐジュエリｰフラン, 31,田村太, 0.6, 49, -11,  -8,16,576.4, ⑤⑤, 4, 9,Ｆエリモフリｰダム, 62,川島信, 0.6, 68,  -4,* 10, 6, 13.8, ⑪⑨, 4,11,Ｃハウオリ, 77,内田博, 0.4, 76,  10,  -4, 2,  3.5,⑥⑥⑦, 4, 2,Ａレジアス, 80,赤木高, 0.4, 68,* -1,   7, 2,  4.2,⑤①①
 5, 7,Ｃリズミカルステップ, 62,浜中俊, 0.7, 48,* -9, -12, 8, 43.1, ②②, 5, 8,Ａトウショウデザイア, 75,中村将, 0.7, 68,  -1,   6, 1,  2.0, ⑥⑦, 5,10,Ｉステイトリｰデイズ, 71,武幸四, 0.7, 76,   9,  -7, 7, 38.3,⑦⑦⑥, 5,11,Ｂエプソムスタウト, 77,内田博, 0.6, 70,  -3,  10, 3,  4.8,④⑤⑧
 6,12,Ｉエｰシンフレンド, 51,福永祐, 0.7, 48,*-10, -11,12,174.9, ④④, 6, 4,Ｂレディブルｰム, 69,松山弘, 1.5, 59,   1,  -4, 8, 21.9, ④④, 6, 8,Ｈツルマルロｰズ, 71,中村将, 0.9, 73,   5,   0,10,168.0,⑪⑪⑪, 6, 5,Ｃツルマルシルバｰ, 76,川田将, 0.7, 68,  -3,  10, 1,  2.7,⑨⑨⑦
