09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａアニメイトバイオ, 67,丸田恭,, 59,*  3,*-11, 2,  3.0,②③④, 1,14, ミオリチャン,---,柴田善,, 46,*-23,*  0, 4,  6.0, ②②, 1, 6,Ａデンコウヤマト, 79,小島太,, 73,*  2,* 10, 3,  4.6,⑧④③, 1,17,Ｍナカヤマフェスタ, 76,蛯名正,, 82,   9,*  5, 2,  4.3,⑦⑦⑤
 2, 6,Ｅドリｰムバスケット, 55,柴山雄, 0.2, 60,*  4, -15, 4,  8.6,③②②, 2, 8, アナタノネガイ,---,木幡初, 0.6, 36,*-23,  -9, 5, 11.6, ①①, 2, 8,Ｊニシノテンクウ, 67,田辺裕, 0.4, 71,   1,   9, 7, 29.6,⑪⑨⑨, 2,11,Ｂセイクリッドバレｰ, 85,松岡正, 0.1, 81,   9,*  5, 4, 11.2,⑥⑥⑦
 3, 9,Ｃトｰセンカルツェ, 63,吉田豊, 0.4, 57,   1, -14, 3,  4.1,⑦⑥⑥, 3, 9, フルｰツシチｰ,---,伊藤工, 0.9, 33, -29,  -8,13,140.9, ⑤⑥, 3, 4,Ｆセイカプレスト, 70,津村明, 0.5, 69,   1,   8, 9, 58.3,⑨⑦⑥, 3,14,Ｌフォゲッタブル, 76,吉田隼, 0.1, 80,   7,*  6, 7, 23.6,⑨⑨⑧
 4,13,Ｂコスモビタｰ, 65,松岡正, 0.5, 56,*  3, -18, 1,  2.8,④④③, 4,11, クレタパラドックス,---,横山典, 1.1, 30, -30,  -9, 2,  4.1, ⑧⑦, 4, 3,Ｇアドマイヤワンダ, 69,的場勇, 0.5, 71,*  2,   7, 5, 14.5,③⑥⑤, 4,12,Ａアドマイヤメジャｰ, 86,安藤勝, 0.2, 81,   8,*  8, 1,  2.4,⑬⑬⑪
 5, 7,Ｆカワキタコマンド, 53,武士沢, 0.6, 53,   1, -18, 6, 15.2,⑤⑤⑤, 5, 4, アポロパステル,---,勝浦正, 1.1, 33, -37,* -2, 9, 31.3, ⑪⑩, 5,12,Ｅスタｰリバイバル, 70,内田博, 0.6, 70,*  3,   4, 1,  2.5,①①①, 5, 3,Ｃヒカルマイステｰジ, 82,横山典, 0.5, 73,* 13, -14, 3,  7.3,②②①
 6, 5,Ｊアルマトゥｰラ, 29,内田博, 0.6, 56,  -4,* -7, 5, 13.1,⑫⑫⑫, 6, 2, ニシノツインクル,---,北村宏, 1.1, 29, -27, -11, 1,  3.4, ④④, 6,11,Ｂサクセスアｰチ, 76,安藤勝, 0.6, 69,*  2,   6, 2,  4.1,⑩⑤⑦, 6,18,Ｋマッハヴェロシティ, 76,柴田善, 0.6, 75,   9,  -2, 5, 12.1,⑩⑧⑨
 7, 2,Ｄハイマｰク, 57,江田照, 0.8, 53,  -3, -12, 8, 88.1,⑧⑩⑧, 7, 5, ゲンパチオブラヴ,---,村田一, 1.5, 26, -34, -10, 7, 24.3, ⑩⑪, 7,10,Ｉヤマニンワｰシップ, 68,柴山雄, 1.0, 70,  -3,* 12,11,164.1,⑬⑬⑫, 7,16,Ｄトウショウデザｰト, 82,吉田豊, 0.6, 75,   6,*  5, 9, 32.2,⑯⑯⑭
 8, 4,Ｋゼフュロス, 23,西田雄, 1.2, 48,   0, -24,13,368.1,⑨⑧⑦, 8, 3, キャンパスライフ,---,内田博, 1.6, 29, -46,*  1, 3,  4.6, ⑮⑬, 8, 2,Ｄリｰジェントゲスト, 73,木幡初, 1.3, 63,*  2,  -1, 8, 54.5,④③④, 8,15,Ｐロｰドパンサｰ, 72,田辺裕, 0.9, 72,   8,  -5,17,134.0,⑭⑩⑫
 9,12,Ｇキタノサイレンス, 44,北村宏, 1.4, 43,*  4, -34, 9,150.8,①①①, 9, 1, ハニカミスマイル,---,小野次, 1.7, 23, -33, -14,12,139.9, ⑨⑧, 9, 7,Ｌリリｰザサン, 62,大庭和, 1.6, 60,   0,   0,10, 76.6,⑤⑩⑧, 9, 4,Ｇカルカソンヌ, 77,村田一, 0.9, 74,   5,*  5,11, 49.6,⑰⑰⑱
10,10,Ｍタイセイロｰザ, 12,勝浦正, 1.7, 43,  -3, -25,12,282.8,⑩⑪⑪,10,10, ハナムラ,---,中舘英, 2.0, 20, -37, -14, 6, 17.0, ⑬⑫,10, 5,Ｃウマザイル, 74,北村宏, 1.7, 60,*  3,  -5, 4,  5.7,②②②,10, 2,Ｉサトノエクスプレス, 77,池添謙, 0.9, 74,   5,   3,12, 54.6,⑮⑱⑰
11,11,Ｌマイネルドルチェ, 17,丹内祐, 1.7, 42,   1, -33,10,201.5,⑪⑦⑨,11,12, ロンギングスマイル,---,吉田豊, 2.0, 18, -29, -22,10, 33.3, ⑥⑨,11, 1,Ｈゴｰアップドラゴン, 68,蛯名正, 2.0, 60,   1,  -4, 6, 18.0,⑦⑧⑩,11, 5,Ｊナリタクリスタル, 77,津村明, 0.9, 73,   9,  -7,10, 34.3,④⑤⑥
12, 8,Ｉマルタカトップラン, 33,蛯名正, 1.7, 44,  -1, -28, 7, 34.9,⑥⑨⑩,12,16, クインオブダンサｰ,---,田中勝, 2.1, 18,*-24, -27,11, 45.7, ③③,12, 9,Ｋエクスハイタッチ, 64,国分優, 2.7, 57,  -1,  -6,13,375.8,⑫⑫⑪,12, 7,Ｑパラディｰゾ, 71,石橋脩, 1.3, 70,   6,  -5,14, 62.9,⑫⑮⑯
13, 1,Ｈコスモマｰシャル, 35,石橋脩, 3.6, 25, -13, -37,11,248.3,⑬⑬⑬,13, 7, ナロウエスケｰプ,---,吉田隼, 2.2, 18, -42, -11, 8, 29.8, ⑭⑭,13,13,Ｍカリズマウイッシュ, 60,五十嵐, 5.2, 41,   0, -28,12,302.3,⑥⑪⑬,13, 9,Ｈミッキｰペトラ, 77,田中勝, 1.5, 67,* 10, -19, 8, 28.9,③③③
,,,,,,,,,,,,14,13, ホワイトワンダｰ,---,津村明, 2.5, 12, -35, -22,15,176.5, ⑫⑮,,,,,,,,,,,,,14,10,Ｏゴｰルデンチケット, 74,内田博, 1.6, 66,* 10, -19, 6, 19.0,⑤④④
,,,,,,,,,,,,15,15, カガヤキビアンカ,---,江田照, 2.5, 12, -29, -29,16,218.7, ⑦⑤,,,,,,,,,,,,,15,13,Ｅイグゼキュティヴ, 81,柴山雄, 1.9, 64,   7, -20,18,267.6,⑱⑪⑬
,,,,,,,,,,,,16, 6, スズノベティ,---,郷原洋, 3.0,  8, -47, -18,14,156.9, ⑯⑯,,,,,,,,,,,,,16, 1,Ｆマサノウイズキッド, 79,勝浦正, 2.2, 61,   6, -18,13, 58.7,⑪⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｒアムｰルマルルｰ, 59,北村宏, 2.5, 57,   7, -27,15, 63.5,⑧⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｎブレイクナイン, 75,中舘英, 4.3, 50,* 14, -70,16, 82.0,①①②
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-6),,,,,,,,,,,
単勝:300円 複勝:03=130円 06=190円 09=160円 枠連:930円,,,,,,,,,,,,"単勝:600円 複勝:14=210円 08=370円 09=2,440円 枠連:1,870円",,,,,,,,,,,,"単勝:460円 複勝:06=220円 08=650円 04=1,040円 枠連:5,770円",,,,,,,,,,,,単勝:430円 複勝:17=190円 11=330円 14=600円 枠連:350円,,,,,,,,,,,
"馬連:1,370円 ワイド:03-06=430円 03-09=290円 06-09=500円",,,,,,,,,,,,"馬連:2,700円 ワイド:08-14=1,130円 09-14=6,730円 08-09=10,780円",,,,,,,,,,,,"馬連:7,020円 ワイド:06-08=1,530円 04-06=2,590円 04-08=7,070円",,,,,,,,,,,,"馬連:2,380円 ワイド:11-17=980円 14-17=1,840円 11-14=3,160円",,,,,,,,,,,
"馬単:2,310円 3連複:1,450円 3連単:8,480円",,,,,,,,,,,,"馬単:5,010円 3連複:105,760円 3連単:386,200円",,,,,,,,,,,,"馬単:10,200円 3連複:56,780円 3連単:228,970円",,,,,,,,,,,,"馬単:4,130円 3連複:17,680円 3連単:78,230円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,上総特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａケンマ, 68,松田大,, 64,  -3,*  1, 5, 11.2,③⑤⑤, 1,13,Ａケイアイエｰデル, 80,江田照,, 81,* 13,*  4, 1,  2.9, ③③, 1, 2,Ａアロマンシェス, 79,勝浦正,, 88,  15,   4, 4,  5.7,④⑤⑤, 1,10,Ａエｰシントゥルボｰ, 79,吉田豊,, 69,  -1,* 10, 1,  2.7,⑦⑥④
 2, 6,Ｇファルファラ, 66,田辺裕, 0.1, 62,  -3,*  2,11,108.2,⑦⑦⑧, 2, 6,Ｂフヨウ, 75,田辺裕, 0.5, 76,  11,   2, 3,  6.0, ⑤④, 2, 3,Ｃホクレレ, 78,内田博, 0.1, 86,  13,*  5, 3,  4.2,⑥⑥⑥, 2, 2,Ｄマイネルビスタ, 76,津村明, 0.3, 68,  -2,* 11, 5, 14.7,⑨⑨⑦
 3,13,Ｂアサクサアミイゴ, 68,内田博, 0.2, 61,* -1,  -2, 2,  3.3,⑤③③, 3, 7,Ｆロｰブドヴルｰル, 71,勝浦正, 0.5, 74,   9,*  3, 4,  7.0, ⑦⑥, 3, 7,Ｆショウナンアクロス, 73,吉田豊, 0.3, 84,  10,*  6, 7, 25.2,⑧⑧⑧, 3, 1,Ｂカムレｰシング, 79,柴田善, 0.3, 68,*  0,   5, 2,  3.0,①①①
 4, 4,Ｃクリｰバレン, 67,松岡正, 0.2, 59,  -3,   0, 1,  2.2,⑩⑧⑥, 4, 9,Ｍイグナイトカフェ, 58,小島太, 0.6, 76,* 14,  -2, 7, 16.0, ①①, 4,10,Ｄサトノロマネ, 76,横山典, 0.3, 82,* 19,  -7, 1,  3.7,②②②, 4, 3,Ｅマイネルハヤト, 74,田辺裕, 0.4, 68,  -2,* 10, 6, 20.6,⑪⑩⑨
 5, 5,Ｅアｰスセイバｰ, 67,石橋脩, 0.3, 60,*  0,  -4,10, 57.7,②②②, 5,16,Ｉルナロッソ, 68,丸田恭, 0.8, 70,   5,*  4, 9, 40.2, ⑫⑩, 5, 1,Ｂフォｰチュンワｰド, 79,北村宏, 0.3, 81,  16,  -3, 5,  6.1,③④④, 5,11,Ｆユｰワファントム, 73,内田博, 0.7, 66,*  0,   3, 4,  6.4,③③③
 6,11,Ｄヨシキタドッコイ, 67,中谷雄, 0.4, 59,  -4,*  1, 7, 30.7,⑫⑩⑨, 6, 8,Ｄマイネアルデュｰル, 73,津村明, 1.0, 69,   7,   1, 6, 13.6, ⑧⑦, 6, 9,Ｇスｰパｰウｰマン, 71,吉田隼, 0.9, 75,* 19, -17, 6, 13.0,①①①, 6, 5,Ｃロｰンジャスティス, 78,伊藤工, 0.8, 63,  -1,   4, 3,  5.6,④⑤⑥
 7, 9,Ｆプラチナタイム, 67,田中勝, 0.5, 59,  -4,*  3, 4,  8.7,⑬⑫⑩, 7, 2,Ｃライカｰト, 75,北村宏, 1.0, 69,   8,   0, 2,  3.9, ⑥⑤, 7, 5,Ｉクリノアドベンチャ, 67,武士沢, 1.0, 75,   9,  -1, 8, 97.5,⑨⑨⑨, 7, 4,Ｉシャイニｰモス, 57,江田照, 1.5, 59,  -2,   1,10,106.3,⑧⑧⑧
 8, 2,Ｈヤマチョウサン, 65,田中博, 0.5, 60,  -3,   0, 9, 55.9,⑥⑨⑦, 8,10,Ｊジョウキゲン, 61,丸山元, 1.1, 69,   7,   0,14,249.6, ⑨⑧, 8, 6,Ｅメスナｰ, 74,松岡正, 1.2, 74,  18, -18, 2,  3.8,⑤③③, 8, 7,Ｊスクリｰムイｰグル, 54,横山典, 1.7, 58,  -1,  -4, 7, 29.0,⑥④⑤
 9,12,Ｍサクラファイヤｰ, 44,北村宏, 0.7, 55,* -1,  -5,13,152.9,⑧④④, 9, 1,Ｇオメガリトルスタｰ, 69,伊藤工, 1.2, 66,   4,   1, 8, 32.8, ⑪⑨, 9, 4,Ｈテントゥワン, 67,二本柳, 1.3, 73,  12,  -9,10,134.9,⑦⑦⑦, 9, 8,Ｇエルベンセドｰル, 71,石橋脩, 1.8, 58,*  0,  -7, 9, 46.7,②②②
10, 1,Ｉユウユウラビット, 60,柴山雄, 0.9, 54,* -1,  -9, 3,  7.4,①①①,10,11,Ｅラヴリｰドリｰム, 72,木幡初, 1.3, 69,* 13,  -7, 5,  9.3, ②②,10, 8,Ｊジョイフルスマイル, 64,田中博, 2.3, 61,   6, -15, 9,124.6,⑩⑩⑩,10, 9,Ｋレジェンドヘヴン, 51,高山太, 2.6, 53,  -3,  -8,11,266.8,⑩⑪⑪
