09年 9月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-21,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
 9, 5,Ａボストンプラチナ, 49,木幡初, 1.9,  0, -21, -39, 5, 12.7,   , 9, 3, トミケンアベｰユ,---,田嶋翔, 2.1, 25, -35, -10, 5, 22.7, ⑩⑩, 9, 3,Ｈナムラアｰガス, 67,国分優, 1.1, 66,  12, -19, 7, 13.9, ③③, 9, 8,Ｇラフレッシュブルｰ, 75,古川吉, 1.5, 76,  11,   0, 4, 15.1,⑦⑥⑥
10, 3,Ｇマッシヴファイタｰ, 37,芹沢純, 2.7,-14, -25, -47,11, 84.3,   ,10, 9, ベルモントダルド,---,的場勇, 2.3, 21, -30, -16, 7, 44.6, ⑧⑨,10, 6,Ｋロｰランアントレ, 52,赤木高, 1.5, 63,   6, -13,12,129.1, ⑫⑫,,,,,,,,,,,,
11, 4,Ｄエニｰデイ, 40,大庭和, 2.9,-16, -24, -49, 2,  3.1,   ,11, 4, サアシゴトダ,---,木幡初,11.8,11.8---, -74, -96, 9, 47.5, ⑪⑪,11, 1,Ｅヤシャ, 72,千葉直, 2.1, 57,* 13, -35, 9, 42.3, ②②,,,,,,,,,,,,
12, 1,Ｊマンハッタンロｰズ, 24,大野拓, 3.0,-19, -25, -52,12, 90.3,   ,,,,,,,,,,,,,12, 9,Ｌスエヒロブリリアン, 51,西田雄, 2.2, 56,* 13, -36,11,122.9, ④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-7),,,,,,,,,,,
"単勝:6,030円 複勝:12=1,050円 10=380円 02=380円 枠連:3,270円",,,,,,,,,,,,単勝:240円 複勝:02=130円 07=170円 06=110円 枠連:280円,,,,,,,,,,,,"単勝:250円 複勝:05=130円 04=190円 08=160円 枠連:1,320円",,,,,,,,,,,,"単勝:300円 複勝:03=150円 04=450円 01=310円 枠連:3,120円",,,,,,,,,,,
"馬連:16,490円 ワイド:10-12=5,330円 02-12=5,370円 02-10=1,790円",,,,,,,,,,,,"馬連:1,040円 ワイド:02-07=320円 02-06=170円 06-07=340円",,,,,,,,,,,,"馬連:1,130円 ワイド:04-05=450円 05-08=320円 04-08=700円",,,,,,,,,,,,"馬連:2,980円 ワイド:03-04=990円 01-03=710円 01-04=2,120円",,,,,,,,,,,
"馬単:45,070円 3連複:79,510円 3連単:947,200円",,,,,,,,,,,,"馬単:1,600円 3連複:740円 3連単:3,980円",,,,,,,,,,,,"馬単:2,000円 3連複:1,870円 3連単:9,030円",,,,,,,,,,,,"馬単:4,500円 3連複:9,150円 3連単:47,010円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寺泊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃヒシフロンティア, 66,武士沢,, 56,   2,* -7, 5, 13.7,⑥⑥⑤, 1,12,Ｃツルマルハロｰ, 68,中舘英,, 71,   6,*  3, 2,  3.5, ④④, 1, 2,Ｄコスモカラｰズ, 69,木幡初,, 70,*  6,   2, 3,  5.3, ①①, 1, 1,Ｅナイキアプロｰド, 75,中舘英,, 83,* 15,  -2, 1,  2.2, ①①
 2, 9,Ｂケイズパステル, 69,木幡初, 0.3, 53,*  4, -15, 2,  2.8,②②②, 2, 7,Ｈワンダｰジュｰル, 60,小野寺, 0.5, 66,   3,*  2, 8, 42.7, ⑦⑤, 2, 3,Ｇパｰプルマジック, 66,武士沢, 0.3, 64,  -5,* 10,10, 23.3, ⑭⑫, 2,15,Ａダイメイザバリヤル, 78,木幡初, 0.2, 79,  11,   2, 2,  5.4, ⑨⑤
 3, 2,Ｇロンギングブラスト, 48,国分優, 0.4, 54,   3, -14, 6, 19.9,③③③, 3, 2,Ｆアラマサスクワｰト, 63,的場勇, 0.5, 70,* 10,  -5, 6, 22.9, ①①, 3, 6,Ｂケイアイモｰガン, 74,宮崎北, 0.3, 67,   3,*  3, 5,  9.5, ⑦⑤, 3,10,Ｈタツキセキ, 69,松田大, 0.3, 75,   4,*  8, 9, 38.8, ⑭⑬
 4, 8,Ａシルクコンダクタｰ, 72,中舘英, 0.7, 52,   2, -13, 1,  2.4,⑦⑦⑦, 4,11,Ｇトｰホウヘレン, 61,荻野琢, 0.8, 66,*  8,  -6, 5, 19.5, ②②, 4,11,Ｋクイックメｰル, 60,荻野琢, 0.6, 66,   3,  -1, 7, 12.0, ④④, 4,14,Ｆゴｰイングステｰジ, 74,的場勇, 0.3, 76,  11,  -1, 3,  6.0, ⑤④
 5, 3,Ｅベニバナソング, 63,吉田隼, 1.4, 47,*  4, -25, 4,  7.7,①①①, 5, 8,Ｅボムクイｰン, 63,赤木高, 1.1, 62,   5,  -5, 7, 24.9, ⑥⑥, 5, 9,Ｃテイエムカイブツ, 70,国分優, 0.6, 65,*  5,  -2, 4,  6.2, ③③, 5,11,Ｃニシノガｰランド, 76,大野拓, 0.6, 73,   9,  -2, 4, 11.3, ⑪⑩
 6, 5,Ｄカジノスタｰ, 64,大野拓, 1.5, 49,   3, -22, 3,  5.1,④④④, 6, 3,Ｄダブルフレｰバｰ, 65,木幡初, 1.2, 59,   6,  -8, 4,  4.9, ③③, 6, 7,Ｉフラミニアンウェイ, 63,西田雄, 0.9, 64,*  7,  -6, 6, 10.4, ②②, 6, 2,Ｋロングゼネラル, 68,赤木高, 0.6, 71,   1,*  9, 8, 28.9, ⑮⑮
 7, 7,Ｆギャラントブｰボ, 48,的場勇, 2.9, 39,   2, -34, 7, 44.2,⑤⑤⑥, 7, 5,Ａキタサンハナミチ, 73,宮崎北, 1.9, 51,   0,  -8, 3,  4.4, ⑨⑩, 7, 8,Ｆリヒタｰ, 66,田嶋翔, 1.1, 59,   2,  -4,11, 42.7, ⑧⑦, 7,13,Ｄマイネルカルナバル, 75,黛弘人, 0.9, 70,  11,  -7,10, 45.7, ⑧⑨
 8, 4,Ｉシャコタンロック, 25,小林久, 6.0, 24,   0, -55, 8,178.1,⑧⑧⑧, 8, 6,Ｍジェットプリティｰ, 38,丹内祐, 1.9, 52,  -4,  -4,12,138.6, ⑫⑪, 8, 5,Ａサイキックダイブ, 74,吉田隼, 1.2, 58,  -1,  -2, 2,  5.2, ⑪⑪, 8, 3,Ｎコチャ, 63,小林久, 0.9, 70,  11,  -7,14, 71.7, ⑥⑥
,,,,,,,,,,,, 9,13,Ｋマルタｰズアディラ, 54,武士沢, 2.0, 48,  -8,  -2,10, 95.3, ⑬⑬, 9,12,Ｅリッシンボス, 66,丸山元, 1.2, 59,   3,  -6, 8, 12.4, ⑤⑥, 9, 4,Ｍバｰキングウルフ, 67,小野次, 1.1, 67,   7,  -6,12, 52.3, ⑫⑫
,,,,,,,,,,,,10, 1,Ｊケｰジｰフジ, 57,小島太, 2.2, 49,  -1, -10,13,146.9, ⑩⑧,10,15,Ｊアサケボｰイ, 62,赤木高, 1.6, 55,   1,  -7,12, 61.0, ⑨⑩,10, 7,Ｉクイックハンタｰ, 68,荻野琢, 1.1, 66,   6,  -3,15, 78.2, ⑬⑭
,,,,,,,,,,,,11,10,Ｌヴァｰジリア, 45,古川吉, 2.5, 46,  -3, -11,11,112.4, ⑪⑨,11, 4,Ｈアンプレヴｰ, 65,中舘英, 2.2, 51,   3, -14, 1,  5.1, ⑥⑧,11, 8,Ｂクインズプレイヤｰ, 77,武士沢, 1.2, 65,   8,  -8, 5, 11.8, ⑩⑪
,,,,,,,,,,,,12, 9,Ｉハトチャン, 59,国分優, 2.5, 48,   4, -18, 9, 84.8, ⑤⑦,12,14,Ｏカシノレッド, 47,二本柳, 2.8, 42, -11,  -7,13, 86.5, ⑮⑮,12,12,Ｏフロｰズンタイム, 61,吉田隼, 1.2, 67,* 13, -15, 7, 26.1, ③③
,,,,,,,,,,,,13, 4,Ｂニチドウダイヤ, 71,田嶋翔, 3.1, 41,   0, -19, 1,  3.0, ⑧⑫,13,13,Ｎミスズキセキ, 54,大野拓, 3.0, 42,   0, -19,14,127.2, ⑩⑨,13, 6,Ｊマウントキング, 68,大庭和, 1.8, 61,  11, -19,13, 58.6, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍシノブワンダｰ, 56,草野太, 3.4, 38,  -4, -19,15,128.0, ⑫⑬,14, 9,Ｇイルドロｰル, 69,宮崎北, 1.9, 59,* 13, -24, 6, 13.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｌドンペリゴｰル, 56,丹内祐, 3.5, 37,  -5, -18, 9, 21.7, ⑬⑭,15, 5,Ｌコスモクラッベ, 67,丹内祐, 2.5, 52,  11, -29,11, 49.2, ④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:3),,,,,,,,,,,
"単勝:1,370円 複勝:01=260円 09=140円 02=370円 枠連:770円",,,,,,,,,,,,"単勝:350円 複勝:12=200円 07=980円 02=510円 枠連:5,160円",,,,,,,,,,,,"単勝:530円 複勝:02=190円 03=550円 06=370円 枠連:5,930円",,,,,,,,,,,,単勝:220円 複勝:01=120円 15=180円 10=650円 枠連:330円,,,,,,,,,,,
"馬連:1,850円 ワイド:01-09=540円 01-02=1,760円 02-09=870円",,,,,,,,,,,,"馬連:6,560円 ワイド:07-12=1,890円 02-12=1,140円 02-07=4,960円",,,,,,,,,,,,"馬連:5,260円 ワイド:02-03=1,640円 02-06=1,210円 03-06=2,240円",,,,,,,,,,,,"馬連:720円 ワイド:01-15=290円 01-10=1,750円 10-15=3,490円",,,,,,,,,,,
"馬単:3,980円 3連複:6,380円 3連単:46,950円",,,,,,,,,,,,"馬単:10,210円 3連複:28,460円 3連単:106,620円",,,,,,,,,,,,"馬単:8,050円 3連複:18,610円 3連単:85,230円",,,,,,,,,,,,"馬単:1,130円 3連複:11,190円 3連単:36,500円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,岩船特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂゲｰムコンセプト, 67,木幡初,, 60,  15,*-28, 1,  1.8, ⑥③, 1, 1,Ｆディアディアｰ, 66,松田大,, 71,   4,*  3, 7, 35.6,④③③, 1, 4,Ｆダノニｰ, 64,宮崎北,, 75,*  5,   5, 4,  6.8,①②②,,,,,,,,,,,,
 2, 3,Ａプチトムテン, 68,的場勇, 0.1, 58,* 17, -34, 2,  4.7, ①①, 2, 7,Ｂタマモウィナｰ, 75,中舘英, 0.1, 67,*  6,  -2, 4,  5.1,②②②, 2, 5,Ｂドリｰムリフレクト, 72,木幡初, 0.4, 72,   3,   3, 2,  2.7,②④③,,,,,,,,,,,,
 3,12,Ｅソアｰヴェ, 60,赤木高, 0.9, 52,  11, -32,11, 92.2, ⑪⑨, 3, 3,Ａサダムマンテン, 76,木幡初, 0.1, 66,   3,*  4, 1,  3.0,⑩⑩⑦, 3, 6,Ａウォｰクラウン, 76,中舘英, 0.6, 73,   2,   5, 1,  2.6,⑤⑤⑤,,,,,,,,,,,,
 4, 6,Ｈスタｰリットラヴ, 52,吉田隼, 0.9, 52,  11, -34,10, 91.2, ⑧⑦, 4,10,Ｅアクセルカフェ, 72,小野次, 0.4, 64,*  6,  -4, 3,  4.9,①①①, 4, 8,Ｇシベリアントム, 64,武士沢, 0.8, 70,   0,*  8, 5, 14.3,⑨⑧⑧,,,,,,,,,,,,
 5,11,Ｃメイショウホオズキ, 62,高橋亮, 1.1, 50,  12, -40, 4,  8.8, ⑦⑤, 5, 5,Ｇアイビスビッテ, 64,大野拓, 0.4, 66,   4,  -1, 5, 11.9,⑤④④, 5, 9,Ｈリワｰドモンシェリ, 62,的場勇, 0.8, 69,   1,   5, 8, 42.5,⑦⑦⑦,,,,,,,,,,,,
 6, 5,Ｊムｰンパラダイス, 50,国分優, 1.6, 44,  12, -47, 9, 74.4, ④④, 6, 6,Ｄコンヴィヴィオ, 72,古川吉, 0.6, 66,   4,  -3, 2,  3.1,⑧⑥⑤, 6, 1,Ｃブルｰスタｰキング, 69,吉田隼, 1.0, 68,   1,   2, 3,  5.6,⑥⑥⑥,,,,,,,,,,,,
 7, 9,Ｋトゥパックアマル, 49,中舘英, 2.2, 41,  11, -52, 8, 71.6, ⑨⑧, 7, 8,Ｃシャドウランズ, 72,宮崎北, 0.8, 62,   3,  -3, 6, 14.4,⑥⑦⑥, 7, 3,Ｅクニサキレモネｰド, 65,西田雄, 1.2, 65,   4,  -6, 6, 21.3,④③④,,,,,,,,,,,,
 8, 2,Ｆマイネルストラウス, 59,丹内祐, 2.2, 40,  15, -60, 6, 23.0, ③②, 8, 4,Ｊチｰフヴァｰジニア, 46,高山太, 1.6, 59,   4,  -8,10,228.0,⑨⑧⑧, 8, 2,Ｄサウスゴｰルド, 66,中谷雄, 1.5, 60,*  5, -16, 7, 36.2,③①①,,,,,,,,,,,,
 9, 8,Ｇサンデｰガｰル, 54,丸山元, 2.5, 37,  12, -61, 5, 10.2, ⑤⑥, 9, 2,Ｈクリノハッピｰ, 58,西田雄, 2.3, 53,   2, -14, 9, 94.8,⑦⑨⑨, 9, 7,Ｉマカリイ, 50,土谷智, 2.2, 57,  -1, -11, 9,222.1,⑧⑨⑨,,,,,,,,,,,,
10, 1,Ｌスイｰトティアｰラ, 39,大野拓, 3.2, 31,   7, -59,12,111.3, ⑩⑩,10, 9,Ｉドンサルｰト, 52,赤木高, 3.9, 42,   4, -31, 8, 82.8,③⑤⑩,,,,,,,,,,,,,,,,,,,,,,,,
11, 7,Ｉダイワエタｰナル, 50,武士沢, 3.2, 30,   7, -59, 7, 44.5, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-26 馬場:重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:3),,,,,,,,,,,,,,,,,,,,,,,
"単勝:180円 複勝:04=120円 03=160円 12=1,010円 枠連:460円",,,,,,,,,,,,"単勝:3,560円 複勝:01=440円 07=180円 03=170円 枠連:7,320円",,,,,,,,,,,,"単勝:680円 複勝:04=180円 05=110円 06=120円 枠連:1,250円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:460円 ワイド:03-04=250円 04-12=2,090円 03-12=4,430円",,,,,,,,,,,,"馬連:8,450円 ワイド:01-07=1,830円 01-03=1,370円 03-07=420円",,,,,,,,,,,,"馬連:1,360円 ワイド:04-05=350円 04-06=370円 05-06=130円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:690円 3連複:7,520円 3連単:19,700円",,,,,,,,,,,,"馬単:21,960円 3連複:7,320円 3連単:92,890円",,,,,,,,,,,,"馬単:3,040円 3連複:640円 3連単:6,940円",,,,,,,,,,,,,,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
