09年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,
単勝:320円 複勝:07=160円 04=410円 01=210円 枠連:0円,,,,,,,,,,,,単勝:440円 複勝:03=130円 09=120円 08=110円 枠連:280円,,,,,,,,,,,,単勝:190円 複勝:10=110円 09=170円 06=510円 枠連:470円,,,,,,,,,,,,単勝:570円 複勝:03=230円 11=130円 05=350円 枠連:950円,,,,,,,,,,,
"馬連:2,170円 ワイド:04-07=590円 01-07=310円 01-04=720円",,,,,,,,,,,,馬連:740円 ワイド:03-09=270円 03-08=180円 08-09=190円,,,,,,,,,,,,"馬連:470円 ワイド:09-10=220円 06-10=1,040円 06-09=1,520円",,,,,,,,,,,,"馬連:1,170円 ワイド:03-11=450円 03-05=1,940円 05-11=930円",,,,,,,,,,,
"馬単:3,290円 3連複:2,250円 3連単:12,940円",,,,,,,,,,,,"馬単:1,560円 3連複:500円 3連単:3,230円",,,,,,,,,,,,"馬単:690円 3連複:4,660円 3連単:12,370円",,,,,,,,,,,,"馬単:2,310円 3連複:6,450円 3連単:36,010円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,紫苑ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａロフティｰクリフ, 59,田中勝,, 62,*-20,  13, 2,  2.7,①①①, 1, 7, ディミｰタ,---,蛯名正,, 44,*-29,*  5, 2,  3.1,⑧②②, 1, 9,Ｉサクラバレット, 67,内田博,, 79,* 18, -12, 6, 25.8,①①①, 1,12,Ｇダイアナバロｰズ, 76,北村宏,, 73,   8,   0,11, 40.1,⑧⑧⑦
 2, 3,Ｃロｰグランド, 50,村田一, 0.2, 63, -24,* 17, 5, 23.5,③⑤③, 2, 2, バイブレイションズ,---,柴田善, 0.3, 41, -32,*  5, 1,  3.0,③⑤③, 2, 8,Ｂラドラｰダ, 79,北村宏, 0.1, 77,  14,* -5, 1,  2.1,⑧⑨⑦, 2, 2,Ａラインドリｰム, 83,木幡初, 0.1, 74,   6,   1, 4,  9.1,⑫⑪⑪
 3, 2,Ｄバイタルスタイル, 46,後藤浩, 0.2, 61,*-21,  13, 4,  8.4,②②②, 3, 4, コスモスルス,---,丸田恭, 0.4, 38, -32,   4, 3,  5.6,②⑥⑥, 3,12,Ｊマイネベクルックス, 66,戸崎圭, 0.4, 75,  12,  -8, 9, 44.3,⑪⑩⑫, 3,13,Ｊエオリアンハｰプ, 72,田中勝, 0.1, 76,   4,*  7, 5, 11.4,⑯⑯⑯
 4,10,Ｆマイネテレジア, 41,松岡正, 0.4, 61, -26,* 17, 3,  4.8,⑨⑨⑨, 4, 5, セイカペガサス,---,木幡初, 0.7, 33,*-29,  -5, 6, 11.8,①①①, 4, 3,Ｈミスベルツリｰ, 68,木幡初, 0.4, 74,   9,* -2, 8, 31.7,⑬⑭⑬, 4,11,Ｍリュシオル, 69,武幸四, 0.2, 76,   3,*  4,13, 60.7,⑭⑮⑮
 5, 5,Ｉスピリットワン, 33,北村宏, 0.7, 53, -24,  10, 8, 82.4,⑤⑥④, 5, 9, タンクレディ,---,戸崎圭, 0.7, 36, -34,   1, 7, 17.5,⑥⑦⑧, 5,16,Ｇアポロストｰム, 71,勝浦正, 0.4, 75,  13, -11, 7, 25.9,⑨⑧⑧, 5, 3,Ｃアイアムネオ, 77,横山典, 0.2, 71,   5,   1, 6, 14.7,⑨⑫⑫
 6, 8,Ｊサｰクルステｰジ, 31,嘉藤貴, 0.8, 56, -25,  12,10,323.2,⑧⑧⑧, 6, 8, ロックザネｰション,---,田中勝, 0.8, 34, -31,  -4, 4,  7.2,④④⑤, 6,10,Ｏベストラン, 60,的場勇, 0.4, 72,* 18, -17,11,105.8,②②②, 6,10,Ｂハウオリ, 81,後藤浩, 0.3, 71,*  9,  -9, 2,  7.1,④④③
 7, 9,Ｂウエスタンブラボｰ, 53,柴田善, 0.8, 53, -23,   7, 1,  2.3,⑥④⑥, 7, 3, バブルガムハンタｰ,---,吉田豊, 1.4, 28, -37,  -4, 8, 81.7,⑤⑧⑦, 7, 1,Ｅカウアイレｰン, 72,横山典, 0.5, 72,  11,* -6, 2,  4.8,⑩⑪⑩, 7,14,Ｈクリノメダリスト, 75,内田博, 0.5, 71,   5,  -3,12, 44.8,⑮⑭⑭
 8, 6,Ｅニュｰコネクション, 43,勝浦正, 0.9, 55, -26,  11, 6, 31.4,⑦⑦⑦, 8, 6, エｰシンアマゾｰン,---,内田博, 1.5, 22, -31, -15, 5,  7.9,⑦③④, 8,15,Ｃスマｰトステｰジ, 77,柴田善, 0.5, 73,* 16, -15, 3,  7.1,⑦⑤⑤, 8, 4,Ｋリコリス, 71,蛯名正, 0.5, 69,   6,  -6, 7, 16.6,⑪⑩⑧
 9, 4,Ｈディアコトミ, 36,戸崎圭, 1.5, 43, -23,  -4, 7, 63.4,④③⑤,,,,,,,,,,,,, 9, 4,Ｌマルタカハンタｰ, 64,吉田豊, 0.6, 72,* 17, -18,14,214.0,④③③, 9, 7,Ｄデリキットピｰス, 76,柴田善, 0.8, 66,*  9, -18, 1,  2.3,②②②
10, 7,Ｇトｰセンゴルゴ, 39,的場勇, 1.7, 45, -28,   6, 9,119.2,⑩⑩⑩,,,,,,,,,,,,,10, 5,Ｍロｰレルエルヴェル, 64,丸田恭, 0.7, 70,  11,  -9,13,182.5,⑫⑫⑪,10,16,Ｎマイティｰスルｰ, 68,吉田豊, 0.9, 66,   7, -14,15,155.2,⑩⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｎタカラボス, 62,村田一, 0.9, 72,  10,  -8,16,299.6,⑮⑮⑮,11, 6,Ｏエイブルインレｰス, 66,戸崎圭, 1.0, 64,   7, -18, 9, 21.3,③③④
,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｆタカラサンデｰ, 71,蛯名正, 0.9, 68,  15, -19, 4,  8.1,⑤⑥⑥,12, 8,Ｅピｰスエンブレム, 76,的場勇, 1.0, 62,   7, -16, 8, 20.1,⑥⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｋホｰリｰカップ, 65,郷原洋, 1.0, 68,  11, -13,15,263.8,⑭⑬⑭,13, 5,Ｆヴィｰヴァブｰケ, 76,松岡正, 1.2, 64,   6, -16,10, 22.1,⑦⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｄマイネルランペｰジ, 72,松岡正, 1.4, 63,  13, -25,10, 77.6,⑥⑦⑨,14, 1,Ｉロｰザレｰヌ, 74,丸田恭, 1.3, 60,   8, -19,14, 61.9,⑤⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ａコウヨウサンデｰ, 81,後藤浩, 1.6, 61,* 16, -32, 5,  8.2,③④④,15, 9,Ｌヴィｰヴァヴォドカ, 71,村田一, 1.3, 62,* 10, -26, 3,  7.8,①①①
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｐメイプルプラウド, 47,田中勝, 1.8, 59,   8, -19,12,148.4,⑯⑯⑯,16,15,Ｐパドブレ, 61,勝浦正, 1.7, 59,   4, -19,16,292.4,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,
"単勝:270円 複勝:01=130円 03=550円 02=240円 枠連:2,460円",,,,,,,,,,,,単勝:310円 複勝:07=120円 02=130円 04=150円 枠連:480円,,,,,,,,,,,,"単勝:2,580円 複勝:09=540円 08=130円 12=630円 枠連:1,650円",,,,,,,,,,,,"単勝:4,010円 複勝:12=1,010円 02=310円 13=290円 枠連:8,050円",,,,,,,,,,,
"馬連:2,360円 ワイド:01-03=740円 01-02=320円 02-03=1,220円",,,,,,,,,,,,馬連:500円 ワイド:02-07=170円 04-07=300円 02-04=340円,,,,,,,,,,,,"馬連:2,000円 ワイド:08-09=820円 09-12=6,030円 08-12=1,140円",,,,,,,,,,,,"馬連:19,320円 ワイド:02-12=4,950円 12-13=5,530円 02-13=1,410円",,,,,,,,,,,
"馬単:3,770円 3連複:2,690円 3連単:17,850円",,,,,,,,,,,,"馬単:960円 3連複:910円 3連単:3,050円",,,,,,,,,,,,"馬単:6,050円 3連複:16,770円 3連単:116,080円",,,,,,,,,,,,"馬単:49,040円 3連複:62,190円 3連単:488,650円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 6R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,白井特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａマエストラｰレ, 74,松岡正,, 67,  -4,* 11, 1,  1.2,⑤④④, 1, 5,Ｆハクシンアマゾｰヌ, 57,柴田善,, 61,  -1,*  0, 6, 13.2, ⑨⑨, 1, 2,Ｅケイアイドウソジン, 74,戸崎圭,, 79,*  9,   1, 3,  4.8,①②②, 1,10,Ｄマッドマックス, 72,北村宏,, 76,   1,* 12, 3,  8.9, ⑤④
 2, 6,Ｂジュウモンジ, 68,戸崎圭, 0.6, 62,* -2,   4, 2,  4.9,①①①, 2, 7,Ｉエムオｰアンジェラ, 40,勝浦正, 0.4, 59,   2,  -6, 9,218.7, ④④, 2, 1,Ａスズジュピタｰ, 84,木幡初, 0.1, 78,   6,*  6, 1,  2.9,⑤⑥⑥, 2, 2,Ｃスペシャルハｰト, 73,後藤浩, 0.0, 76,*  5,   9, 1,  1.8, ①①
 3, 5,Ｅダイヤモンドフィズ, 52,内田博, 1.8, 56,* -3,  -5, 3,  8.9,②②②, 3, 6,Ａブラストオンセット, 66,丸田恭, 0.5, 58,   2,  -7, 5, 10.8, ③③, 3, 3,Ｃアグネスエナジｰ, 75,内田博, 0.4, 74,   8,  -3, 4,  6.4,③③③, 3, 1,Ｂアポロラムセス, 75,勝浦正, 0.3, 74,   2,   9, 2,  3.0, ③③
 4, 4,Ｄシベリアンドリｰム, 55,吉田豊, 2.0, 53,* -3,  -7, 4, 24.9,④③③, 4, 2,Ｄオンワｰドラｰト, 60,内田博, 0.6, 56,  -2,  -4, 2,  3.4, ⑧⑤, 4, 6,Ｆアマミスウィフト, 74,勝浦正, 0.5, 76,   4,*  5, 6, 21.4,⑧⑧⑧, 4,11,Ａベストフェット, 75,内田博, 0.3, 75,*  2,   8, 4,  9.0, ②②
 5, 7,Ｆヤギリプリンセス, 40,丸田恭, 2.2, 55,  -7,   1, 7,118.1,⑦⑦⑦, 5, 3,Ｇコアレスソアラ, 53,田中勝, 0.6, 55,  -2,  -4, 4,  8.4, ⑦⑦, 5, 9,Ｄパｰトゥｰアワｰズ, 74,北村宏, 0.7, 71,   7,  -3, 7, 27.0,⑥⑦⑦, 5, 9,Ｅタツタイコウ, 70,戸崎圭, 1.6, 62,   1,  -2, 6, 20.9, ⑥⑤
 6, 3,Ｃソラウララ, 59,増沢由, 2.2, 56,  -4,  -2, 5, 79.8,⑥⑥⑤, 6, 8,Ｅジャルダンドゥロゼ, 58,吉田豊, 1.1, 52,   1, -11, 7, 52.4, ⑤⑧, 6, 8,Ｂスイｰトブレナム, 81,横山典, 1.1, 66,   8, -11, 5,  7.5,②④④, 6, 7,Ｊジョウテンキッズ, 49,丸田恭, 1.7, 63,  -5,   4, 7, 99.1, ⑦⑧
 7, 2,Ｇウィンウィン, 19,勝浦正, 2.7, 50,  -5,  -7, 6, 98.9,③⑤⑥, 7,11,Ｂレンソイス, 63,後藤浩, 1.1, 53,*  4, -15, 1,  2.1, ①①, 7, 5,Ｇマイスタｰキング, 73,田中勝, 1.5, 63,*  9, -22, 9, 82.2,⑨①①, 7, 4,Ｇキングデオキシス, 57,郷原洋, 2.2, 57,  -7,   0, 8,185.1, ⑧⑥
,,,,,,,,,,,, 8, 1,Ｃパラダイスコｰスト, 62,北村宏, 1.2, 51,   1, -12, 3,  6.0, ⑥⑥, 8, 4,Ｈテラノファントム, 71,後藤浩, 1.6, 63,   7, -17, 2,  3.4,④⑤⑤, 8, 6,Ｋカシマゼロワン, 45,池崎祐, 2.9, 52,  -8,  -4,10,226.4, ⑨⑨
,,,,,,,,,,,, 9, 9,Ｊインテグリティｰ, 38,郷原洋, 1.3, 48,  -9,  -4,10,258.8, ⑩⑩, 9, 7,Ｉマｰスエンペラｰ, 70,蛯名正, 1.7, 61,   5, -15, 8, 38.0,⑦⑨⑨, 9, 8,Ｈノッティングスカイ, 53,伊藤直, 2.9, 51, -11,  -2,11,301.1, ⑪⑪
,,,,,,,,,,,,10,10,Ｈスマｰトシｰガル, 42,的場勇, 2.0, 46,*  4, -21, 8, 94.6, ②②,,,,,,,,,,,,,10, 3,Ｆヴァイオリン, 61,吉田豊, 2.9, 51,  -9,  -3, 9,220.2, ⑩⑩
,,,,,,,,,,,,11, 4,Ｋミラクルビンテｰジ, 31,池崎祐, 2.3, 40, -12,  -9,11,380.7, ⑪⑪,,,,,,,,,,,,,11, 5,Ｉディｰズハイビガｰ, 51,木幡初, 3.9, 41,   1, -23, 5, 15.3, ④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,
単勝:120円 複勝:01=110円 06=130円 枠連:0円,,,,,,,,,,,,"単勝:1,320円 複勝:05=260円 07=2,690円 06=300円 枠連:3,330円",,,,,,,,,,,,単勝:480円 複勝:02=170円 01=130円 03=180円 枠連:720円,,,,,,,,,,,,単勝:890円 複勝:10=140円 02=110円 01=120円 枠連:420円,,,,,,,,,,,
馬連:160円 ワイド:01-06=110円 01-05=160円 05-06=200円,,,,,,,,,,,,"馬連:59,380円 ワイド:05-07=13,540円 05-06=1,020円 06-07=5,760円",,,,,,,,,,,,馬連:660円 ワイド:01-02=300円 02-03=480円 01-03=360円,,,,,,,,,,,,馬連:710円 ワイド:02-10=210円 01-10=310円 01-02=140円,,,,,,,,,,,
馬単:220円 3連複:220円 3連単:460円,,,,,,,,,,,,"馬単:151,570円 3連複:130,970円 3連単:1,406,520円",,,,,,,,,,,,"馬単:1,610円 3連複:1,140円 3連単:5,950円",,,,,,,,,,,,"馬単:2,240円 3連複:420円 3連単:5,030円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
