09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｏニシノプライスレス, 48,浜中俊,, 71,*  6,  -3, 3,  4.0,④③②, 1, 5,Ｈサウンドアクシス, 54,武豊  ,, 65, -11,* 11, 2,  4.5, ⑨⑦, 1,12,Ａブライドルアップ, 78,幸英明,, 78,* -6,  16, 1,  2.4, ①②, 1,12,Ｂイタリアンレッド, 73,浜中俊,, 82,  -5,* 21, 2,  4.1,⑧⑥⑥
 2, 6,Ｆファンドリリｰダｰ, 56,田中健, 0.0, 72,   3,*  5,11, 56.3,⑭⑭⑬, 2,11,Ｅエリモフリｰダム, 58,渡辺薫, 0.3, 64,  -8,*  6, 4,  8.6, ⑧④, 2,10,Ｅファルクス, 73,小牧太, 0.3, 76, -14,* 20, 3,  6.6, ⑧⑥, 2,14,Ｃリｰガルアミュｰズ, 73,小牧太, 0.1, 82,  -8,* 24, 3,  6.5,⑭⑪⑩
 3, 4,Ｎウインアヴェニュｰ, 48,国分恭, 0.1, 71,   5,* -1, 8, 30.7,⑦⑥③, 3, 3,Ａマレンゴ, 68,赤木高, 0.4, 64,*  4,  -2, 1,  1.7, ①①, 3,11,Ｃミキノクレシェンド, 74,太宰啓, 0.4, 72,* -8,  13, 7, 21.6, ②①, 3,13,Ａセキサンダンスイン, 74,武豊  , 0.1, 80,  -7,* 21, 1,  2.1,⑫⑨⑨
 4, 1,Ｇセフティファンキｰ, 55,赤木高, 0.2, 69,   3,*  1,15,204.7,⑪⑪⑦, 4, 7,Ｆマックスコヒヌｰル, 56,浜中俊, 0.6, 61,   0,  -1, 7, 39.1, ③③, 4,14,Ｇリトルビスケット, 69,川田将, 0.5, 72, -10,  14, 5, 17.2, ⑤④, 4,10,Ｄマイファｰストラヴ, 73,金折知, 0.2, 75,* -1,  10, 7, 18.7,②②①
 5,15,Ｉテンシノザｰル, 55,中村将, 0.5, 64,*  5, -13,13, 78.7,①①①, 5, 9,Ｂマチカネチハヤ, 66,松山弘, 0.8, 56,  -3,  -1, 3,  7.6, ⑤⑥, 5, 6,Ｆシルクナデシコ, 71,藤岡康, 0.7, 71, -16,* 18, 6, 20.5, ⑫⑨, 5, 6,Ｅアンプレシオネ, 72,太宰啓, 0.8, 68,  -4,   6, 4, 10.8,⑤⑤⑤
 6, 7,Ａインディアンサマｰ, 70,和田竜, 0.6, 65,   4,  -9, 4,  7.0,⑧⑦⑥, 6,10,Ｃクンチャン, 60,飯田祐, 1.4, 52,   0,  -8, 5, 13.1, ④⑤, 6, 4,Ｂカヴァリエ, 75,和田竜, 0.7, 68, -10,  11, 2,  3.2, ③⑤, 6, 5,Ｍネオイユドゥレｰヌ, 60,上村洋, 0.9, 71,  -8,  13,10, 57.9,⑨⑩⑫
 7, 3,Ｌテイエムドルフィン, 52,佐久間, 0.9, 62,*  6, -16, 9, 35.0,⑤④⑤, 7,12,Ｇハイウイング, 55,高野容, 2.1, 46,  -5, -11, 8,100.2, ⑥⑧, 7,16,Ｉメイショウシオギリ, 67,石橋守, 0.7, 69, -16,  16, 8, 22.1, ⑨⑩, 7, 9,Ｋハロｰスカｰレット, 62,和田竜, 1.0, 72, -11,  17,11, 69.7,⑬⑭⑭
