09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,830円 3連複:840円 3連単:11,640円",,,,,,,,,,,,"馬単:11,530円 3連複:6,890円 3連単:51,240円",,,,,,,,,,,,"馬単:1,500円 3連複:5,350円 3連単:22,710円",,,,,,,,,,,,"馬単:8,660円 3連複:4,850円 3連単:43,130円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｱﾙｾﾞﾝﾁﾝ共和国杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａレインスティック, 63,吉田隼,, 66,*-15,  16, 1,  2.2, ①①, 1, 6, エアウルフ,---,スミヨ,, 69,* -2,*  8, 1,  2.0, ③③, 1,13,Ｌケイアイマｰズ, 64,北村宏,, 73,*  0,  12, 7, 24.2, ③③, 1, 6,Ｏミヤビランベリ, 84,吉田隼,, 90,* 15,  21,11, 25.1,①①①
 2, 5,Ｅガルボ, 48,後藤浩, 0.0, 67,*-17,* 18, 3,  7.2, ⑤⑤, 2, 5, カロルバンダム,---,内田博, 0.3, 67,  -4,*  7, 3,  6.1, ⑥⑥, 2,16,Ｄティグフォルテ, 72,大庭和, 0.0, 70,*  1,  10, 6, 23.1, ①①, 2, 8,Ｋアｰネストリｰ, 88,松岡正, 0.2, 90,* 13,  22, 4,  8.2,②②②
 3,10,Ｃドリｰムラブソング, 60,柴田善, 0.6, 57,*-15,   8, 5, 22.8, ②②, 3,12, グラスサミット,---,蛯名正, 1.1, 59,  -3,  -1, 2,  3.4, ⑤⑤, 3, 1,Ｂボンバルディエｰレ, 78,柴田善, 0.1, 75,  -3,* 16, 1,  3.2, ⑦⑦, 3,13,Ｌヒカルカザブエ, 88,秋山真, 0.4, 95,   8,* 38,10, 24.8,⑮⑯⑯
 4,11,Ｄビｰビｰラッハｰン, 56,田中勝, 0.7, 57,*-17,   8, 2,  2.3, ③③, 4,15, マウントクイン,---,後藤浩, 1.3, 58,* -1,  -5, 9, 49.1, ①①, 4, 5,Ｇダノンアスコット, 69,スミヨ, 0.2, 72,*  0,   9, 4, 11.9, ②②, 4,14,Ｂサンライズマックス, 95,横山典, 0.4, 92,  10,* 32, 5,  9.6,⑩⑩⑩
 5,12,Ｂマイネヴィッキｰ, 61,松岡正, 0.7, 61, -21,  16, 4, 14.8, ⑨⑨, 5, 7, ジェラルドエビス,---,ルメｰ, 1.9, 53,  -5,  -5, 4, 10.9, ⑦⑧, 5,11,Ｈジェイズバニヤン, 66,横山典, 0.2, 73,  -3,* 14, 3,  3.9, ⑩⑩, 5,17,Ｇジャガｰメイル, 88,スミヨ, 0.5, 93,   8,* 35, 1,  3.8,⑯⑮⑮
 6, 6,Ｆトｰセンフリｰジア, 47,柴山雄, 0.8, 60, -26,* 19,10,126.3, ⑬⑬, 6,10, チュｰリングマシン,---,横山典, 1.9, 54,  -7,  -3, 5, 19.7, ⑪⑩, 6,10,Ｃハリマノワタリドリ, 73,松岡正, 0.6, 71,  -5,* 15, 8, 25.1, ⑮⑭, 6, 3,Ｐトウカイトリック, 83,蛯名正, 0.5, 92,  11,  30,15, 53.3,⑨⑨⑧
