09年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9, 9,Ｏジェｰンオｰスチン, 31,草野太, 3.2, 35, -12, -16,16,165.5, ⑧⑨, 9,14,Ｆショウナンアトム, 49,浜中俊, 0.9, 54,  -9,  -5, 4,  7.2, ⑦⑤, 9,14,Ｇヴァルドルフ, 69,千葉直, 0.9, 64,   1,   9, 6, 22.5,⑪⑪⑬, 9, 6,Ｐマヤノプディｰナ, 63,川島信, 1.0, 69,  -4,*  9,16,170.2,⑱⑯⑯
10,16,Ｌチャｰムロビン, 39,浜中俊, 3.4, 34, -12, -17, 9, 25.5, ⑨⑪,10, 4,Ｊマキノソアラ, 44,宮崎北, 1.0, 52,  -9,  -6,13, 77.1, ⑤⑥,10,16,Ｌナンヨｰサンセット, 65,北村友, 0.9, 63,  -1,* 11, 8, 35.7,⑭⑭⑮,10, 1,Ｒカネトシレジアス, 61,浜中俊, 1.3, 63,*  6, -16,11, 22.2,①①①
11,14,Ｅエムテイハチマン, 48,鮫島良, 3.5, 32, -15, -17, 5, 12.8, ⑫⑭,11, 6,Ｃシルキｰモモ, 53,田辺裕, 1.2, 49, -17,  -1, 7, 17.4, ⑭⑬,11, 7,Ｐハイズワン, 36,上野翔, 1.0, 63,   3,   2,13,123.1,⑥⑤⑤,11, 5,Ｏリワｰドモンシェリ, 64,千葉直, 1.4, 65,  -5,   7,15,129.9,⑰⑱⑰
12,11,Ｃテイエムフラメンコ, 53,渡辺薫, 3.5, 32, -14, -18, 8, 22.3, ⑪⑩,12, 8,Ｌポｰルドブラ, 41,西田雄, 1.2, 50, -14,  -3,15, 97.9, ⑩⑪,12, 9,Ｉタガノバンビｰノ, 68,赤木高, 1.2, 61,   2,   3, 9, 46.3,⑧⑧⑧,12,13,Ｎマイネエアウエイ, 64,佐藤哲, 1.4, 63,  -1,   0,13, 58.5,⑬⑮⑮
13, 7,Ｋサクラオンハｰト, 40,安藤光, 4.7, 17, -25, -21,13,125.7, ⑯⑯,13,16, メイクレジェンド,---,草野太, 1.9, 39, -16, -12,14, 92.3, ⑬⑮,13, 5,Ｈキクジロウ, 68,藤岡康, 1.3, 61,  -1,   6,11, 98.1,⑩⑬⑭,13,17,Ｈモンサンミシェル, 69,中村将, 1.4, 63,   3, -10, 6, 10.6,⑥⑧⑩
,,,,,,,,,,,,14,13,Ｋサロン, 43,藤岡康, 2.1, 38, -15, -15, 9, 27.4, ⑪⑫,14,15,Ｎフェスティヴムテキ, 51,西田雄, 1.4, 61,   0,   4,15,185.6,⑯⑫⑪,14,14,Ｆキュｰトエンブレム, 71,中舘英, 1.5, 62,*  4, -15, 1,  4.3,⑤⑥⑥
,,,,,,,,,,,,15, 9, フラワｰライン,---,千葉直, 2.4, 35, -17, -16,17,119.0, ⑮⑭,15, 8,Ｍミッシｰマインド, 60,田中博, 2.4, 53,   1,  -7,16,294.2,⑦⑦⑦,15, 9,Ｊアズライト, 65,角田晃, 1.7, 59,*  5, -21,14, 62.7,④③③
,,,,,,,,,,,,16,10,Ｎデュナメス, 30,黛弘人, 2.5, 35, -30,  -5,12, 68.3, ⑰⑯,16, 2,Ｊスズノカイソク, 68,高山太, 3.1, 50,  -4,  -3,14,156.1,⑫⑯⑯,16,15,Ｑミココロ, 62,古川吉, 1.7, 60,  -1,  -7,18,186.7,⑮⑭⑭
,,,,,,,,,,,,17, 5, マンガンオトメ,---,鷹野宏, 3.0, 27, -31, -10,18,181.3, ⑯⑰,,,,,,,,,,,,,17,10,Ｋパｰルグレイピアス, 65,長谷川, 1.9, 59,  -6,  -1, 9, 16.2,⑭⑰⑱
,,,,,,,,,,,,18,12,Ｏサイモンラメｰル, 21,角田晃, 9.0,-50, -41, -77,16,100.3, ⑱⑱,,,,,,,,,,,,,18,18,Ｍミサトフリｰト, 64,田辺裕, 1.9, 56,   2, -17,17,176.0,⑩⑨⑧
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:9),,,,,,,,,,,
単勝:260円 複勝:02=110円 05=130円 08=240円 枠連:310円,,,,,,,,,,,,単勝:520円 複勝:07=160円 18=190円 02=140円 枠連:820円,,,,,,,,,,,,"単勝:3,510円 複勝:10=850円 12=1,430円 04=210円 枠連:12,250円",,,,,,,,,,,,単勝:890円 複勝:07=250円 04=320円 03=160円 枠連:760円,,,,,,,,,,,
馬連:430円 ワイド:02-05=180円 02-08=420円 05-08=550円,,,,,,,,,,,,"馬連:1,310円 ワイド:07-18=480円 02-07=300円 02-18=370円",,,,,,,,,,,,"馬連:44,370円 ワイド:10-12=6,260円 04-10=1,660円 04-12=2,070円",,,,,,,,,,,,"馬連:4,480円 ワイド:04-07=1,320円 03-07=720円 03-04=590円",,,,,,,,,,,
"馬単:780円 3連複:1,010円 3連単:3,580円",,,,,,,,,,,,"馬単:2,870円 3連複:1,450円 3連単:10,330円",,,,,,,,,,,,"馬単:75,820円 3連複:47,230円 3連単:337,750円",,,,,,,,,,,,"馬単:10,310円 3連複:4,420円 3連単:33,990円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■11R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾘﾄﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａヤマイチタイキ, 68,田嶋翔,, 63,* -3,*  7, 3,  5.9,③⑥④, 1, 6,Ｃレインフォｰレスト, 61,藤岡康,, 65,   3,* -3, 3,  5.0,⑤⑤⑤, 1,17,Ｂケイアイアストン, 73,宮崎北,, 80,*  6,   8, 4,  8.7, ②②, 1,18,Ｃウエスタンヒｰト, 80,石橋脩,, 86,*  9,  11, 2,  6.3, ②②
 2, 8,Ｐドリｰムハッチ, 44,丸田恭, 0.0, 62,* -3,*  6, 9, 31.2,②②②, 2, 1,Ｋデンコウキララ, 48,中村将, 0.1, 64,   3,  -4, 8, 34.5,③④④, 2, 6,Ｆテイエムカゲムシャ, 70,浜中俊, 0.0, 80,   2,* 11, 1,  2.6, ④④, 2, 2,Ｊエネルマオｰ, 77,川島信, 0.3, 81,   2,* 14,11, 32.3, ⑧⑩
 3, 4,Ｃメイショウスクラム, 63,松田大, 0.0, 63,* -3,*  6, 4,  6.2,①①①, 3, 3,Ａツルマルネオ, 65,浜中俊, 0.2, 65,   1,* -2, 1,  2.9,⑬⑧⑥, 3, 2,Ｒプライドオブキング, 43,石橋脩, 0.4, 75,*  6,   2,13, 56.2, ①①, 3, 5,Ａエｰシンエフダンズ, 83,藤岡康, 0.4, 80,   1,* 14, 1,  3.9, ⑩⑪
 4, 9,Ｉシルクナイスガイ, 51,小野寺, 0.7, 58,* -2,  -1,13,100.2,④③③, 4, 7,Ｂタマモビｰト, 64,古川吉, 0.2, 62,*  5, -11, 2,  4.9,①①①, 4, 8,Ｃニホンピログッデン, 72,芹沢純, 0.5, 74,   2,   5, 6, 14.0, ⑤⑤, 4, 6,Ｐテｰオｰギャング, 73,松田大, 0.4, 80,   6,   9,16, 55.6, ③③
 5,10,Ｇレオビンテｰジ, 53,石橋脩, 0.9, 55,  -5,   1, 7, 21.8,⑥⑨⑨, 5,15,Ｇドロップミアライン, 50,佐藤哲, 0.8, 57,   0,  -9, 6, 17.0,⑦⑩⑨, 5, 3,Ａナリタスパｰク, 77,渡辺薫, 0.6, 73,   0,   6, 2,  6.1, ⑦⑦, 5,11,Ｋスｰパｰマルトク, 77,田中博, 0.6, 78,   4,   9, 8, 14.4, ⑥⑥
 6,16,Ｅフロンティｰノ, 56,佐藤哲, 1.1, 55,  -5,   0, 5,  9.0,⑬⑬⑩, 6, 8,Ｄトｰホウホｰプ, 58,中舘英, 0.9, 59,*  6, -19, 4,  6.5,④③③, 6, 7,Ｎナムラブｰム, 63,古川吉, 0.8, 69,  -2,   5,14,106.9, ⑨⑨, 6, 9,Ｂレッドビｰムシチｰ, 82,丸田恭, 0.6, 76,   2,  10, 9, 14.8, ⑨⑦
 7,13,Ｄステルススキャン, 62,宮崎北, 1.1, 54,* -3,  -4, 2,  5.6,⑨④⑤, 7, 9,Ｎトｰセンエシェゾｰ, 39,小野寺, 0.9, 57,  -2,  -6,13,110.4,⑩⑫⑪, 7,12,Ｑベストロケｰション, 43,田中博, 0.8, 70,  -8,* 11, 9, 24.5, ⑮⑭, 7,15,Ｎシャウトライン, 74,浜中俊, 0.7, 77,*  7,   4, 3,  7.2, ④④
 8,11,Ｌスｰパｰイｰグル, 48,中谷雄, 1.2, 55,  -4,  -3, 6, 19.1,⑧⑧⑧, 8,10,Ｍロックオブゴｰルド, 45,安藤光, 0.9, 55,*  5, -21,11, 63.9,②②②, 8, 9,Ｉサウンドディｰバ, 67,丸田恭, 0.8, 68,   0,   4,12, 43.6, ⑧⑧, 8, 3,Ｆサニｰアンジェリカ, 79,鷹野宏, 0.7, 77,  -5,* 15,12, 36.2, ⑯⑮
 9,15,Ｊスズマｰシャル, 50,田辺裕, 1.3, 52,  -6,   2,12, 84.2,⑯⑭⑭, 9, 2,Ｊコスモハｰモニｰ, 48,丹内祐, 1.0, 56,   1, -13,14,136.3,⑧⑥⑦, 9, 4,Ｋコパノシンオｰ, 66,中舘英, 0.9, 70,  -4,   7,11, 35.5, ⑪⑪, 9, 4,Ｄメガトレンド, 80,角田晃, 0.9, 75,  -4,* 12, 4,  8.6, ⑰⑯
10, 3,Ｂロッタラック, 64,中舘英, 1.3, 53,  -4,  -4, 1,  2.6,⑤⑤⑥,10,11,Ｅベイルリ, 53,松田大, 1.1, 57,  -4,* -3, 7, 20.6,⑮⑭⑬,10,10,Ｄマイネルプルｰト, 71,佐藤哲, 1.1, 65,  -8,   8, 7, 17.6, ⑭⑬,10,13,Ｅホエｰルシャｰク, 79,北村友, 0.9, 74,   0,   9,10, 19.8, ⑬⑬
11,12,Ｎトミケンインパクト, 46,丹内祐, 1.4, 54,  -6,  -1,16,211.9,⑭⑪⑫,11,12,Ｐチエノワ, 35,田中博, 2.4, 43,   0, -29,15,146.2,⑨⑨⑩,11, 5,Ｌトラストエｰス, 64,的場勇, 1.2, 63,  -8,   6,16,152.2, ⑬⑮,11, 7,Ｈジョイントスタｰズ, 77,西田雄, 0.9, 73,   0,   9,15, 47.2, ⑫⑫
12, 7,Ｆドゥクアンナン, 53,西田雄, 1.5, 52,* -3,  -6,14,171.2,⑦⑦⑦,12,14,Ｆドリｰムサンセｰル, 53,石橋脩, 2.8, 39,   1, -39, 5,  9.2,⑥⑦⑧,12,15,Ｅシティボス, 70,太宰啓, 1.2, 65,   2,  -4, 8, 19.0, ⑥⑥,12, 8,Ｉバルバレスコ, 77,田嶋翔, 0.9, 73,  -2,  10,13, 39.3, ⑭⑰
13, 5,Ｍイｰジｰミッション, 48,渡辺薫, 1.6, 53,  -5,  -4,11, 56.3,⑪⑫⑬,13,16,Ｏメジロデュｰチン, 37,北村友, 3.0, 39,  -3, -29,12, 76.7,⑯⑮⑭,13,11,Ｊレジアス, 66,川島信, 1.3, 64, -12,   9,10, 29.0, ⑰⑰,13,10,Ｏベイリングボｰイ, 74,渡辺薫, 1.2, 71,   1,   4, 7, 13.8, ⑪⑨
14, 1,Ｋシゲルウマミヤマ, 50,中村将, 1.7, 52,  -7,   0,15,175.0,⑮⑮⑮,14, 5,Ｉマイネチェルシｰ, 48,黛弘人, 3.3, 34,  -1, -39,10, 46.6,⑪⑪⑫,14,13,Ｍスイｰトブレナム, 63,二本柳, 1.3, 63,  -6,   2,18,182.8, ⑫⑫,14,14,Ｑテイエムポイント, 73,生野賢, 1.3, 68,   6,  -3,18,189.1, ⑤⑤
15, 2,Ｏコンゴウテンリュオ, 45,国分恭, 1.8, 50,  -6,  -5, 8, 24.8,⑩⑩⑪,15, 4,Ｌウイニングドラゴン, 46,小原義, 3.7, 32,  -4, -40, 9, 36.8,⑭⑬⑮,15,18,Ｈトｰホウカイザｰ, 67,北村友, 1.4, 62, -16,* 11, 5, 11.1, ⑱⑱,15, 1,Ｍボストンゴｰルド, 76,赤木高, 1.3, 68,  -7,  10,17, 67.9, ⑱⑱
16,14,Ｈモリノマｰケット, 53,田中博, 3.2, 42,  -8, -11,10, 50.6,⑫⑯⑯,16,13,Ｈトｰアナデシコ, 49,的場勇, 3.8, 28,  -9, -30,16,179.7,⑫⑯⑯,16,14,Ｇユｰチャリス, 68,藤岡康, 1.4, 62,  -2,  -3, 3,  6.6, ⑩⑩,16,17,Ｒオｰヴェｰル, 72,中舘英, 1.3, 69,   3,   0,14, 41.1, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｏリザルト, 60,西田雄, 1.5, 61, -12,   6,15,132.2, ⑯⑯,17,12,Ｇワンダｰクラフティ, 78,長谷川, 1.4, 67,  -2,   3, 6, 12.8, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｐマッキｰビｰナス, 49,野元昭, 1.5, 63,*  5,  -8,17,180.7, ③③,18,16,Ｌキルシュワッサｰ, 76,太宰啓, 1.5, 66,* 10,  -9, 5, 11.7, ①①
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:9),,,,,,,,,,,
"単勝:590円 複勝:06=190円 08=710円 04=200円 枠連:6,360円",,,,,,,,,,,,"単勝:500円 複勝:06=180円 01=740円 03=160円 枠連:7,170円",,,,,,,,,,,,"単勝:870円 複勝:17=230円 06=130円 02=1,410円 枠連:590円",,,,,,,,,,,,"単勝:630円 複勝:18=230円 02=620円 05=170円 枠連:3,650円",,,,,,,,,,,
"馬連:7,380円 ワイド:06-08=2,090円 04-06=580円 04-08=2,310円",,,,,,,,,,,,"馬連:12,000円 ワイド:01-06=2,750円 03-06=290円 01-03=1,690円",,,,,,,,,,,,"馬連:1,450円 ワイド:06-17=580円 02-17=10,640円 02-06=3,730円",,,,,,,,,,,,"馬連:10,510円 ワイド:02-18=3,230円 05-18=620円 02-05=1,660円",,,,,,,,,,,
"馬単:13,060円 3連複:14,580円 3連単:86,820円",,,,,,,,,,,,"馬単:18,510円 3連複:9,000円 3連単:75,480円",,,,,,,,,,,,"馬単:3,300円 3連複:35,130円 3連単:185,260円",,,,,,,,,,,,"馬単:17,410円 3連複:11,540円 3連単:90,510円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀬戸特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａマｰリンシチｰ, 64,佐藤哲,, 64,*  1,*  8, 1,  2.7,⑧④③, 1,12,Ａミキノセレナｰデ, 75,藤岡康,, 68,*  5,   6, 2,  5.1, ②②, 1,14,Ｎサクラロミオ, 48,田中博,, 72,  -6,* 19, 8, 25.8,⑩④④, 1, 1,Ｑシゲルエスペレ, 68,黛弘人,, 72,   7,* -6,14, 52.6,⑱⑰⑮
 2, 1,Ｂナムラブレット, 63,太宰啓, 0.6, 59,*  1,*  3, 2,  4.2,④③④, 2,13,Ｂメジロシｰゴｰ, 71,丸田恭, 0.0, 67,   3,   7, 6, 11.0, ⑤④, 2, 2,Ｄマイネルハヤト, 74,田辺裕, 0.1, 70,  -7,* 21, 3,  5.8,⑥⑧⑦, 2,15,Ｊフィッツロイ, 74,佐藤哲, 0.0, 70,  11, -14, 1,  5.5,⑩⑧⑤
 3, 5,Ｄカイテキゴｰゴｰ, 60,国分恭, 0.9, 58,  -1,*  3, 5, 11.3,⑦⑧⑥, 3, 8,Ｃオメガロンド, 71,中舘英, 0.2, 66,*  6,   3, 1,  3.4, ①①, 3,15,Ｅメルシｰコバン, 74,北村友, 0.4, 66,* -5,  14, 4,  6.1,①①①, 3,12,Ａウィルビｰキング, 82,赤木高, 0.0, 70,   8,* -9, 2,  5.5,⑪⑬⑰
 4,12,Ｅハバナシガｰ, 57,宮崎北, 1.1, 56,   0,   0, 6, 17.1,⑪⑦⑦, 4, 2,Ｊサウスエンピリカル, 62,鮫島良, 0.3, 65,  -1,   7, 3,  5.4, ⑥⑥, 4, 6,Ｂマイニングゴｰルド, 75,丸田恭, 0.7, 67,  -6,  14, 1,  3.6,③⑥⑥, 4, 8,Ｂテイエムアンコｰル, 81,渡辺薫, 0.0, 73,  10, -11, 5,  8.5,⑮⑪⑧
 5,10,Ｃダイヤモンドレｰン, 62,石橋脩, 1.4, 53,   0,  -3, 8, 30.6,⑩⑥⑤, 5,10,Ｉボムクイｰン, 63,太宰啓, 0.5, 63,   2,   4, 8, 23.5, ④③, 5,10,Ｃトムトップ, 75,岩崎祐, 0.8, 67,  -8,  17, 5,  7.4,⑨⑪⑪, 5, 4,Ｐドモナラズ, 71,北村友, 0.1, 71,* 12, -18,12, 35.9,⑥③③
 6, 9,Ｊハジメレンジャｰ, 41,河北通, 1.8, 52,  -4,   0, 7, 20.5,⑨⑩⑨, 6, 4,Ｇギブミｰアチャンス, 66,川島信, 0.5, 60, -15,* 14, 4,  7.2, ⑬⑫, 6, 4,Ｋトｰセンインプレス, 62,石橋脩, 0.8, 65,  -6,  13,10, 43.9,⑤⑤⑤, 6, 3,Ｇヒカリベルサイユ, 76,中村将, 0.2, 71,   7,* -8,10, 17.7,⑯⑯⑫
 7, 2,Ｈマイネルラスタｰ, 50,丸田恭, 2.3, 47,  -3,  -7, 4,  6.9,⑥⑨⑩, 7,15,Ｆヴァイスハイト, 69,国分恭, 0.6, 60,  -8,   9, 5,  7.5, ⑪⑪, 7,11,Ａシャドウランズ, 75,宮崎北, 0.9, 64,* -5,  11, 2,  5.2,④③③, 7, 6,Ｎアリゾナアベニュｰ, 73,田中博, 0.3, 69,  11, -17,13, 37.1,⑧⑥⑥
 8, 4,Ｆキングエｰコｰ, 53,西田雄, 2.4, 49,  -3,  -5, 9, 39.3,⑫⑪⑪, 8, 3,Ｈブライティアカペラ, 63,北村友, 0.7, 60,   2,   2, 9, 24.7, ③⑤, 8, 1,Ｇスマｰトレイズ, 67,鮫島良, 0.9, 66,  -8,  15, 7, 14.4,⑧⑦⑧, 8, 7,Ｃカネトシソレイユ, 79,古川吉, 0.4, 68,   8, -13, 4,  8.1,⑬⑫⑯
 9, 8,Ｋワンダフルカフェ, 40,小島太, 2.7, 44,*  1, -18,11, 73.3,②②②, 9,14,Ｍレディショコラ, 50,角田晃, 0.7, 61,  -3,   4,10, 30.0, ⑦⑧, 9, 8,Ｈセンノカゼ, 67,国分恭, 1.0, 65,  -7,  13,11, 43.9,⑦⑨⑨, 9,11,Ｈロｰズプレステｰジ, 75,角田晃, 0.5, 69,   8, -14, 7, 12.7,⑰⑮⑪
10,13,Ｉファルファラ, 41,田辺裕, 3.1, 41,  -6,  -7,13,136.7,⑬⑫⑫,10, 7,Ｅリヒタｰ, 69,西田雄, 0.9, 57,  -6,   4, 7, 22.4, ⑨⑨,10, 7,Ｉヒロノバイオ, 66,西田雄, 1.0, 65,  -7,  13,15,111.1,⑪⑩⑩,10, 2,Ｅマｰスエンペラｰ, 77,藤岡康, 0.8, 64,   9, -23, 6,  9.2,⑦⑨⑨
11,14,Ｎシゲルハッコウダ, 29,渡辺薫, 3.2, 44,  -8,  -5,14,141.8,⑭⑬⑬,11, 5,Ｄメイショウソルテ, 69,松田大, 1.1, 56,  -4,   1,11, 38.3, ⑧⑦,11, 5,Ｆグルｰオン, 70,藤岡康, 1.4, 63, -11,  17, 6, 12.5,⑫⑭⑭,11,10,Ｌマイネルクロイツ, 73,川島信, 0.8, 64,* 13, -31, 3,  7.6,②②②
