09年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 8,Ｊタガノムｰンダスト, 44,岩田康, 2.7, 48,   4, -20, 8, 49.3, ③③, 9, 3,Ｉストｰムオｰシャン, 50,小林徹, 1.5, 43, -27,  -4,11,209.4, ⑨⑨,,,,,,,,,,,,, 9, 8,Ｇメトロノｰス, 79,和田竜, 1.0, 76,  11,  -6, 9, 53.4, ②②
10, 5,Ｆギャンビット, 51,村田一, 2.7, 47,  -2, -15,11,135.6, ⑨⑨,10, 4,Ｂマイトップイモン, 58,幸英明, 1.7, 39, -22, -13, 8, 26.6, ⑥⑥,,,,,,,,,,,,,10, 5,Ｋロｰドアンセム, 72,小牧太, 1.1, 77,   4,   7,10,164.4, ⑪⑩
11,12,Ｌメイショウジハｰド, 35,小林徹, 3.1, 43,  -8, -12,12,278.8, ⑪⑬,11, 9,Ｈアイザｰウェイ, 51,村田一, 2.0, 36, -29, -10,10,127.6, ⑩⑩,,,,,,,,,,,,,11,11,Ｉシルクドラグｰン, 75,幸英明, 1.6, 72,   4,   1,11,279.5, ⑩⑪
12, 2,Ｍテイエムランボｰ, 29,渡辺薫, 3.2, 42,  -7, -14,13,357.0, ⑬⑫,12, 6,Ｋトクノフラップ, 46,野元昭, 2.4, 31, -32, -11,12,297.2, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
13,11,Ｋホワイトミｰナ, 41,藤田伸, 3.8, 38,   0, -26,10, 64.7, ⑦⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-19 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
"単勝:4,180円 複勝:13=1,590円 09=370円 01=520円 枠連:9,760円",,,,,,,,,,,,"単勝:1,490円 複勝:08=330円 10=120円 11=270円 枠連:710円",,,,,,,,,,,,単勝:890円 複勝:04=250円 01=130円 枠連:0円,,,,,,,,,,,,"単勝:220円 複勝:06=110円 10=450円 07=200円 枠連:1,220円",,,,,,,,,,,
"馬連:12,730円 ワイド:09-13=2,010円 01-13=3,800円 01-09=760円",,,,,,,,,,,,"馬連:1,140円 ワイド:08-10=510円 08-11=1,380円 10-11=300円",,,,,,,,,,,,馬連:610円 ワイド:01-04=230円 04-05=600円 01-05=340円,,,,,,,,,,,,"馬連:2,020円 ワイド:06-10=710円 06-07=270円 07-10=1,940円",,,,,,,,,,,
"馬単:34,160円 3連複:27,680円 3連単:285,250円",,,,,,,,,,,,"馬単:3,330円 3連複:2,270円 3連単:18,990円",,,,,,,,,,,,"馬単:1,790円 3連複:1,600円 3連単:10,190円",,,,,,,,,,,,"馬単:3,060円 3連複:3,510円 3連単:15,530円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 5R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｷﾞｬﾗｸｼｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂタガノキャプテン, 61,和田竜,, 56,  -1,  -9, 3,  8.7,⑥④⑤, 1,13,Ａレｰヴドリアン, 69,藤岡佑,, 65, -12,* 21, 1,  2.8,⑩⑨⑦, 1,17,Ｎスズカマグナム, 66,藤岡佑,, 77,*  8,   1,11, 29.1,④④④, 1,11,Ｂケイアイテンジン, 93,藤田伸,, 96,* 19,  12, 3,  4.7, ①①
 2, 3,Ａナリタシルクロｰド, 62,熊沢重, 0.0, 57,   0, -10, 1,  2.2,④⑤③, 2, 5,Ｆサクラルｰセント, 52,岩田康, 0.0, 62,* -9,  15, 2,  3.1,①①①, 2, 5,Ｄガンダｰラ, 75,和田竜, 0.1, 76,*  8,   0, 3,  7.4,③③③, 2,16,Ａダノンカモン, 97,岩田康, 0.4, 91,  14,* 15, 1,  3.4, ⑧⑥
 3, 6,Ｆロングカムイ, 54,藤岡佑, 0.1, 54,*  2, -14,10, 46.8,②②①, 3, 7,Ｈオウケンサクラ, 50,村田一, 0.2, 61,*-10,  15, 3,  4.4,④④⑤, 3, 4,Ｇロｰドニュｰスタｰ, 72,岩田康, 0.1, 77,   4,* 10, 1,  3.8,⑪⑩⑯, 3, 3,Ｄセレスハント, 91,安藤勝, 0.4, 91,* 17,  11, 4,  5.0, ④③
 4, 7,Ｈトウケイウッドマン, 53,赤木高, 0.2, 55,  -2,* -7, 5, 24.3,⑦⑦⑥, 4, 6,Ｂカミダノミ, 58,藤田伸, 0.4, 57,*-10,  11, 4, 13.1,②②②, 4, 8,Ｐマイネルクロイツ, 60,酒井学, 0.1, 73,*  9,  -6,10, 23.8,①①①, 4,12,Ｇトｰホウドルチェ, 89,四位洋, 0.6, 90,  15,  12, 2,  4.7, ⑤⑤
 5, 9,Ｇマコトヴォイジャｰ, 54,安藤勝, 0.6, 49,   0, -16, 2,  2.5,③③②, 5, 1,Ｇエドノヤマト, 51,幸英明, 0.4, 63, -14,* 21, 5, 14.1,⑧⑪⑪, 5, 6,Ｂシゲルエボシダケ, 77,川島信, 0.2, 75,   6,*  8, 8, 19.0,⑱⑰⑮, 5,13,Ｆペプチドルビｰ, 90,小牧太, 0.9, 86,  11,  13, 5, 11.1, ⑪⑩
 6, 2,Ｅメイキングドリｰム, 54,幸英明, 1.0, 50,  -5,  -9, 9, 38.4,⑩⑩⑨, 6, 4,Ｍスナｰクトマホｰク, 36,秋山真, 0.6, 58,*-10,  10,11,297.3,③③④, 6,14,Ａサンライズスカイ, 79,浜中俊, 0.2, 76,   5,   6, 4,  7.6,⑬⑬⑫, 6, 5,Ｅアンダｰカウンタｰ, 91,幸英明, 1.1, 84,  10,  13, 6, 14.9, ⑫⑫
 7, 8,Ｉフライングブイ, 50,小牧太, 1.7, 44,  -1, -22, 4, 12.3,⑤⑥⑦, 7, 3,Ｃマイネルトレｰス, 54,和田竜, 0.8, 52,* -9,   4, 9, 90.4,⑪⑩③, 7, 3,Ｉアコニットライアン, 70,藤田伸, 0.3, 74,   7,   0, 9, 20.5,⑤⑤⑤, 7, 2,Ｎユウキタイティ, 81,赤木高, 1.2, 83,   8,* 16,11, 95.2, ⑮⑮
 8, 1,Ｃトライアンフウィル, 61,小林徹, 1.9, 46,  -4, -17, 8, 35.7,⑨⑨⑩, 8, 2,Ｌヤマカツセイリュウ, 40,熊沢重, 0.9, 53, -12,   8,13,400.4,⑤⑥⑧, 8,18,Ｍレイナソフィア, 67,秋山真, 0.4, 74,   5,   4,13, 43.2,⑯⑯⑭, 8, 1,Ｃシルクビッグタイム, 91,小林徹, 1.2, 85,  11,  11, 7, 15.1, ⑨⑪
 9, 4,Ｄマイネルタクティク, 55,浜中俊, 2.5, 41,  -3, -25, 6, 25.2,⑧⑧⑧, 9,12,Ｉナイスミｰチュｰ, 46,武豊  , 1.0, 49,*-10,   4, 6, 14.5,⑦⑤⑥, 9,13,Ｃポｰラシｰクエンス, 77,幸英明, 0.4, 74,   7,   0, 5,  8.9,⑮⑮⑨, 9, 4,Ｋテイエムアクション, 87,和田竜, 1.3, 85,* 18,   2,12,109.5, ②②
10,10,Ｊタッチマイハｰト, 49,川島信, 5.1, 27,*  1, -55, 7, 28.5,①①④,10,11,Ｄリヴィアロｰズ, 54,四位洋, 1.0, 55, -13,  11, 7, 14.7,⑨⑫⑫,10,15,Ｑテイエムリュウジン, 59,橋本美, 0.4, 76,   3,* 13,15,214.5,⑰⑱⑱,10,10,Ｉカルナバリｰト, 87,藤岡佑, 1.4, 82,  10,  10,10, 53.4, ⑬⑬
,,,,,,,,,,,,11, 9,Ｅスマｰトグリッド, 53,小牧太, 1.7, 46, -16,   5, 8, 25.0,⑫⑬⑬,11, 7,Ｅヨドノヒｰロｰ, 74,安藤勝, 0.5, 74,   6,   3, 7, 13.2,⑫⑫⑬,11, 9,Ｍキクノサリｰレ, 83,浜中俊, 1.6, 81,  11,   7, 8, 30.4, ⑩⑨
,,,,,,,,,,,,12,10,Ｊナリタオンリｰ, 45,浜中俊, 1.9, 40, -11,  -7,10,148.6,⑬⑦⑩,12, 1,Ｊハｰトシュｰタｰ, 69,武豊  , 0.5, 72,   4,   6, 6,  8.9,⑭⑭⑰,12, 7,Ｈアンクルリｰサム, 88,武豊  , 1.9, 80,* 17,  -2, 9, 32.1, ③④
,,,,,,,,,,,,13, 8,Ｋグランデリファｰル, 43,赤木高, 2.2, 36, -13,  -9,12,394.6,⑥⑧⑨,13,10,Ｆパｰソナルブレｰン, 74,四位洋, 0.9, 70,   7,  -7, 2,  5.7,⑩⑪⑧,13,14,Ｊウエスタンマックス, 87,秋山真, 2.1, 75,   7,   9,14,232.9, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｒケイエスラック, 58,村田一, 0.9, 70,   7,  -8,18,471.2,⑥⑥⑥,14, 8,Ｌメイショウシャフト, 83,村田一, 3.1, 70,  13,  -8,15,241.1, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｌナムラシンドバッド, 68,赤木高, 1.0, 68,   5,  -6,16,323.8,⑨⑧⑪,15,15,Ｐワｰキングボｰイ, 73,渡辺薫, 3.6, 66,  10,  -8,16,423.2, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｏワンダｰギャルｰ, 64,植野貴, 1.1, 68,   7, -11,17,456.2,⑧⑦⑦,16, 6,Ｏインセンティブガイ, 74,熊沢重, 4.7, 59,  14, -22,13,145.6, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｈヴィジレ, 70,熊沢重, 1.1, 66,   5,  -9,14,123.6,⑦⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｋペプチドトップガン, 68,小牧太, 1.2, 65,*  8, -19,12, 31.6,②②②,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:4),,,,,,,,,,,
単勝:870円 複勝:05=210円 03=110円 06=610円 枠連:710円,,,,,,,,,,,,単勝:280円 複勝:13=110円 05=130円 07=130円 枠連:460円,,,,,,,,,,,,"単勝:2,910円 複勝:17=700円 05=280円 04=180円 枠連:6,740円",,,,,,,,,,,,単勝:470円 複勝:11=180円 16=150円 03=170円 枠連:470円,,,,,,,,,,,
"馬連:770円 ワイド:03-05=260円 05-06=2,200円 03-06=900円",,,,,,,,,,,,馬連:480円 ワイド:05-13=210円 07-13=240円 05-07=270円,,,,,,,,,,,,"馬連:18,470円 ワイド:05-17=6,110円 04-17=2,740円 04-05=750円",,,,,,,,,,,,馬連:870円 ワイド:11-16=390円 03-11=440円 03-16=440円,,,,,,,,,,,
"馬単:2,330円 3連複:3,640円 3連単:23,700円",,,,,,,,,,,,"馬単:960円 3連複:560円 3連単:2,430円",,,,,,,,,,,,"馬単:46,920円 3連複:22,000円 3連単:233,380円",,,,,,,,,,,,"馬単:2,080円 3連複:1,740円 3連単:9,550円",,,,,,,,,,,
■ 3R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｸﾘｽﾏｽｷｬﾛﾙ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂシゲルケンシン, 58,小牧太,, 57,  -4,*  5, 3,  4.5, ⑫⑨, 1, 2, エアフュｰジョン,---,武豊  ,, 57,  -4,  -6, 1,  2.8, ⑥④, 1,10,Ｐロｰドバリオス, 72,藤田伸,, 85,* 11,   6, 2,  4.9, ①①, 1, 4,Ｂラストアロｰ, 82,藤岡佑,, 82,   7,* 13, 7, 18.1,⑥⑤⑦
 2, 4,Ａビｰトブラック, 61,岩田康, 0.0, 58,  -1,*  2, 2,  3.3, ④④, 2, 3, マルサンサムライ,---,南井大, 0.1, 54, -10,*  0, 8, 38.4, ⑧⑧, 2,16,Ｈニホンピロシェリｰ, 78,酒井学, 0.4, 80,   1,* 12,10, 31.9, ⑬⑫, 2, 8,Ａタガノクリスエス, 89,小林徹, 0.8, 78,   8,   4, 1,  2.2,⑤④③
 3, 5,Ｇミヤギマジック, 44,村田一, 0.2, 58,*  1,  -2, 6, 13.1, ①①, 3, 4, アインファルケ,---,渡辺薫, 0.3, 54,  -1, -14, 4,  5.4, ③③, 3,14,Ａフェスティヴマロン, 84,浜中俊, 0.4, 80,*  9,   1, 9, 21.0, ②②, 3, 1,Ｋツルマルロｰズ, 75,幸英明, 0.9, 77,   4,* 11,13,188.7,⑫⑭⑬
 4,12,Ｃランドタカラ, 56,武豊  , 0.2, 57,  -1,   0, 1,  3.2, ⑥⑤, 4, 8, ブラウンビリオン,---,川島信, 0.6, 52,*  1, -18, 6, 25.7, ②②, 4, 6,Ｅケンブリッジエル, 79,武豊  , 0.5, 78,   8,   3, 6, 11.3, ⑤⑥, 4, 7,Ｍサンコロネット, 73,渡辺薫, 1.0, 77,   6,   6, 9, 35.9,⑩⑩⑧
 5, 1,Ｊウインドスピｰド, 39,熊沢重, 1.1, 50,  -5,  -2, 4,  7.2, ⑩⑩, 5, 5, タイセイバリトン,---,和田竜, 0.8, 47,  -6, -14, 3,  5.2, ⑦⑥, 5, 1,Ｌビンチェロ, 74,小牧太, 0.5, 79,   8,   3, 4,  6.2, ④④, 5, 6,Ｆシｰリｰコｰト, 79,秋山真, 1.2, 74,   5,   7,11, 85.8,⑬⑫⑪
 6,10,Ｉノブクィｰン, 43,藤田伸, 1.2, 50,*  1, -10, 8, 44.4, ②②, 6,10, シｰラプソディｰ,---,岩田康, 1.0, 44, -14,  -6, 7, 27.6, ⑨⑨, 6,13,Ｏミゼリコルデ, 72,安藤勝, 0.6, 79,  -3,* 14, 3,  5.4, ⑱⑯, 6, 9,Ｅキクノセンヒメ, 80,熊沢重, 1.3, 76,   6,   5, 5, 16.7,⑭⑬⑫
 7,13,Ｍイカイカブラウン, 29,浜中俊, 1.4, 47,  -3,  -8, 5, 12.1, ⑨⑧, 7, 6, メイショウアカギ,---,高橋亮, 1.0, 46,  -4, -20, 5, 11.3, ④⑤, 7, 8,Ｉアイディンパワｰ, 77,村田一, 0.6, 78,   5,   4,11, 43.0, ⑨⑧, 7,14,Ｄラルｰチェ, 81,浜中俊, 1.4, 74,   6,   2, 2,  4.6,⑪⑧⑤
 8, 2,Ｈシンビオシス, 44,幸英明, 1.4, 47,  -3,  -8,11, 70.3, ⑦⑦, 8, 9, マルイチクランツ,---,幸英明, 1.5, 41,*  0, -32, 2,  3.3, ①①, 8,18,Ｊトップオブピｰコイ, 77,和田竜, 0.6, 77,   8,   0,15, 93.9, ⑦⑤, 8,13,Ｌイカガデスカ, 73,赤木高, 1.4, 71,* 10,  -7,14,230.4,①①①
 9,11,Ｄグッドティアラ, 49,和田竜, 1.5, 46,*  0, -12, 9, 57.0, ③③, 9, 1, ニホンピロスティラ,---,酒井学, 2.0, 34,  -4, -32, 9, 62.6, ⑤⑦, 9, 5,Ｎエリモサリュｰト, 72,川島信, 0.7, 77,  -1,* 12,18,185.8, ⑫⑭, 9, 2,Ｇピサノルビｰ, 78,武豊  , 1.4, 74,   4,   6, 4, 10.1,⑧⑪⑭
10, 6,Ｅノｰスアグネス, 45,渡辺薫, 2.0, 43,  -2, -14, 7, 22.6, ⑤⑥,10, 7, マイスタｰジンガｰ,---,赤木高,15.7,15.7---, -86, ---,10, 70.8, ⑩⑩,10,12,Ｒアルｰリングムｰン, 69,秋山真, 0.7, 77,   4,   4, 5,  9.5, ⑪⑨,10,15,Ｎロｰザレｰヌ, 73,小牧太, 1.6, 71,*  9,  -4, 8, 23.1,③③②
11, 3,Ｆシゲルヒデヨシ, 45,秋山真, 2.1, 39,  -6, -10,10, 65.2, ⑪⑫,,,,,,,,,,,,,11, 4,Ｂブルｰデインヒル, 82,岩田康, 0.7, 77,   4,   5, 1,  4.5, ⑧⑩,11, 3,Ｊルアシェイア, 76,和田竜, 1.6, 73,   7,   2,10, 54.6,⑨⑨⑨
12, 7,Ｌキングボｰイ, 36,小林徹, 2.4, 40,  -4, -14,12,242.3, ⑧⑪,,,,,,,,,,,,,12,11,Ｋスワン, 75,小林徹, 0.9, 76,  -1,   9,13, 65.6, ⑭⑮,12, 5,Ｃヴェイルドクリス, 81,安藤勝, 1.8, 68,   7,  -2, 3,  5.2,⑦⑥④
13, 8,Ｎシゲルハンゾウ, 28,川島信, 2.7, 35, -10, -10,13,251.9, ⑬⑬,,,,,,,,,,,,,13, 2,Ｃミルクトｰレル, 81,四位洋, 1.0, 74,   2,   3, 8, 19.1, ⑩⑪,13,11,Ｉホクトスワン, 77,四位洋, 2.3, 67,   3,   2,12,159.0,⑮⑮⑮
14,14,Ｋタケミカデュラン, 37,赤木高, 3.0, 34,  -9, -13,14,406.6, ⑭⑭,,,,,,,,,,,,,14, 7,Ｇステラｰホｰプ, 79,幸英明, 1.0, 74,   8,  -3, 7, 16.9, ⑥⑦,14,12,Ｏアスカルディ, 61,村田一, 3.4, 62,   7, -14,15,373.7,④⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｍトｰセントゥルｰ, 73,藤岡佑, 1.1, 73,   0,   4,14, 71.8, ⑮⑬,15,10,Ｈジュモｰ, 78,岩田康, 4.0, 56,   8, -22, 6, 18.1,②②⑥
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｄクレバｰデュｰク, 80,熊沢重, 1.1, 72,*  9,  -7,17,127.4, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｆハイフィｰルド, 79,赤木高, 1.2, 73,  -4,  10,12, 51.7, ⑯⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｑハマノモナｰク, 70,渡辺薫, 1.3, 71,  -4,   7,16,119.9, ⑰⑰,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,
単勝:450円 複勝:09=160円 04=150円 05=300円 枠連:570円,,,,,,,,,,,,"単勝:280円 複勝:02=120円 03=600円 04=160円 枠連:3,360円",,,,,,,,,,,,"単勝:490円 複勝:10=230円 16=700円 14=540円 枠連:4,630円",,,,,,,,,,,,"単勝:1,810円 複勝:04=350円 08=130円 01=3,530円 枠連:380円",,,,,,,,,,,
馬連:540円 ワイド:04-09=230円 05-09=840円 04-05=700円,,,,,,,,,,,,"馬連:3,430円 ワイド:02-03=1,150円 02-04=260円 03-04=1,790円",,,,,,,,,,,,"馬連:9,670円 ワイド:10-16=3,130円 10-14=1,590円 14-16=4,010円",,,,,,,,,,,,"馬連:1,130円 ワイド:04-08=670円 01-04=20,640円 01-08=5,250円",,,,,,,,,,,
