09年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2,11,Ａニシノマナザシ, 60,佐藤哲, 0.4, 59,  -1,* -5, 3,  5.3,③⑤③, 2, 2,Ｅマイネルカルツェ, 67,佐藤哲, 0.0, 65,*  3,   1, 4,  7.1,④③①, 2, 4,Ｇインオラリオ, 76,川田将, 0.2, 82,*  8,  13, 1,  2.4,①①①, 2, 3,Ａピエナエイム, 79,川田将, 0.1, 74,   5,*  7, 3,  4.6,⑨⑤⑤
 3, 2,Ｆコウユｰユメダンス, 42,国分恭, 0.5, 60,  -2,* -4, 7, 15.9,⑩⑨⑤, 3, 7,Ａカスガ, 71,松山弘, 0.1, 63,   2,*  3, 2,  6.4,⑧⑤⑤, 3, 1,Ｂマッシヴエンペラｰ, 80,小牧太, 0.4, 81,*  7,  13, 2,  4.6,③③③, 3, 9,Ｄオｰクヒルズ, 74,幸英明, 0.8, 67,*  6,  -1, 2,  3.8,⑥③③
 4, 7,Ｃキラウエア, 49,福永祐, 0.7, 59,  -1,  -8, 8, 16.0,⑥⑥⑥, 4, 9,Ｊリリｰプレジャｰ, 57,浜中俊, 0.7, 62,*  4,  -5, 6, 17.0,⑥④③, 4, 6,Ｃハジメレンジャｰ, 79,浜中俊, 0.5, 81,   5,* 15, 3,  6.0,⑪⑨⑥, 4, 1,Ｃカラメルマキアｰト, 75,福永祐, 1.0, 67,*  7,  -4, 1,  2.5,①①①
 5,12,Ｋドリｰムセｰリング, 37,鮫島良, 1.1, 55,  -1, -14,13, 93.8,⑦⑦⑧, 5,12,Ｂムｰヴィンオン, 71,大下智, 0.7, 63,  -1,*  4, 3,  6.7,⑮⑪⑫, 5, 3,Ｄヨクバリ, 78,幸英明, 0.7, 79,   7,  12, 6, 11.6,⑥⑤④, 5,13,Ｆエｰシンセｰフティ, 73,赤木高, 1.2, 65,*  6,  -5, 7, 31.3,②②②
 6, 4,Ｄキングシャｰロット, 47,幸英明, 1.1, 56,  -3,  -8, 6, 13.1,⑪⑫⑩, 6,15,Ｆワンダｰアサｰルト, 64,野元昭, 1.3, 58,   1,  -6, 8, 21.0,⑨⑥⑥, 6, 5,Ｅフラッグラッシュ, 78,鮫島良, 1.1, 76,   5,   9, 8, 23.0,⑧⑧⑤, 6,10,Ｉビッグロｰズ, 71,大下智, 1.2, 66,   4,   1,14,229.7,⑦⑨⑧
 7,13,Ｅチャｰムドライフ, 46,太宰啓, 1.7, 47,*  1, -26, 1,  4.4,⑧④④, 7,10,Ｈシゲルアソサン, 59,角田晃, 1.4, 60,  -2,  -1,11, 65.7,⑬⑬⑨, 7, 9,Ｆナムラブレット, 77,太宰啓, 1.4, 74,   7,   6, 5,  9.7,⑩⑦⑧, 7,15,Ｊシｰクレバｰ, 71,国分恭, 1.2, 66,   0,*  7,10, 59.4,⑮⑮⑬
 8, 9,Ｎヒシボｰルドウィン, 21,石橋守, 1.9, 46,  -3, -21,15,261.5,⑫⑪⑪, 8,13,Ｉバリアントバイオ, 58,国分恭, 1.4, 58,  -2,  -2,12,141.5,⑩⑩⑩, 8,10,Ｋパｰプルマジック, 72,松山弘, 1.7, 68,   6,   3,11,206.3,④④⑦, 8, 7,Ｅマｰブルデイビｰ, 73,藤岡康, 1.3, 65,   5,  -3, 5, 14.6,⑩⑦⑦
 9,14,Ｈヤマイチハジメ, 39,田嶋翔, 2.0, 44,*  1, -31,11, 56.2,⑤③②, 9, 1,Ｇメイショウフレアｰ, 62,幸英明, 1.7, 54,*  5, -14, 5, 15.0,①①②, 9, 2,Ｈアグネスハット, 75,石橋守, 2.0, 73,   3,   7,13,279.2,⑬⑬⑩, 9,14,Ｇフジノアリオン, 72,酒井学, 1.7, 63,   5,  -7, 8, 35.8,③④④
10, 3,Ｏエｰシンテンモク, 20,赤木高, 2.1, 44,  -6, -17,14,218.3,⑮⑮⑭,10, 6,Ｎフリｰクパラダイス, 50,中村将, 2.2, 52,   2, -12,13,172.0,⑦⑧⑦,10, 8,Ｉツルマルストｰム, 75,福永祐, 2.9, 64,   5,  -5, 7, 19.1,⑦⑩⑪,10,11,Ｌテイエムカイザｰ, 66,高井彰, 1.9, 60,   5,  -9,16,346.3,⑧⑥⑥
11, 5,Ｂマイネルラディウス, 54,松山弘, 2.3, 41,  -5, -22, 9, 17.3,⑨⑭⑬,11,16,Ｄカセドラルパレス, 67,太宰啓, 2.8, 47,   1, -19, 9, 23.8,⑫⑦⑧,11,13,Ｊチュウワキング, 74,藤岡康, 2.9, 64,   7,  -6, 9, 48.5,⑤⑥⑨,11, 4,Ｋナムラソワン, 67,太宰啓, 2.0, 60,   2,  -3,11, 79.4,⑫⑫⑩
12, 8,Ｌヴィｰヴァギブソン, 36,角田晃, 2.3, 42,  -2, -28, 5,  7.7,⑯⑩⑨,12, 5,Ｋパボ, 57,田中健, 3.0, 47,   1, -19,10, 41.4,⑤⑨⑪,12, 7,Ｍウォｰタｰリメイン, 62,佐久間, 4.9, 50,   6, -22,10,133.3,⑫⑪⑫,12, 2,Ｍゴｰルデンシャイン, 64,松山弘, 2.0, 57,   2,  -3, 6, 24.5,⑭⑪⑫
13, 1,Ｊスｰサンストリｰム, 37,田中健, 2.6, 40,  -8, -22,12, 76.4,⑭⑯⑯,13, 4,Ｍメイショウイｰガｰ, 51,田中克, 3.2, 48,  -3, -13,15,350.1,⑯⑮⑭,13,11,Ｌフォレストジャガｰ, 64,田中健, 6.7, 38,   4, -34,12,277.2,⑨⑫⑬,13, 6,Ｈクリノコブオｰ, 71,中村将, 2.6, 57,   2,  -6,12,105.9,⑯⑬⑭
14, 6,Ｇエイシンナナツボシ, 42,上村洋, 2.7, 37,  -5, -30,10, 54.2,⑬⑬⑮,14, 3,Ｐアウト, 41,高橋亮, 4.4, 38,  -4, -22,14,299.2,⑭⑯⑮,,,,,,,,,,,,,14, 5,Ｏシュウホｰサンデｰ, 51,田中健, 3.3, 52,   4, -17,13,159.3,⑤⑧⑪
15,10,Ｉシゲルゴウヒメ, 39,渡辺薫, 3.3, 34,  -2, -42,16,404.7,④⑧⑫,15, 8,Ｌトウカイエクセル, 55,小牧太, 5.6, 30,  -1, -38, 7, 18.9,⑪⑫⑬,,,,,,,,,,,,,15, 8,Ｎスリｰコンコルド, 60,石橋守, 6.2, 35,   1, -38,15,298.3,⑬⑭⑮
16,16, ペガサスマｰチ,---,浜中俊, 4.5, 12,*  1, -67, 2,  5.0,①①⑦,16,14,Ｏメイショウキャラ, 47,石橋守, 8.6, 10,  -2, -59,16,471.0,③⑭⑯,,,,,,,,,,,,,16,16,Ｐワンダｰアムｰル, 45,渡辺薫, 9.0, 20,  -2, -57, 9, 51.5,④⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
単勝:550円 複勝:15=210円 11=210円 02=400円 枠連:890円,,,,,,,,,,,,単勝:210円 複勝:11=120円 02=200円 07=160円 枠連:420円,,,,,,,,,,,,単勝:820円 複勝:12=170円 04=140円 01=130円 枠連:780円,,,,,,,,,,,,"単勝:770円 複勝:12=190円 03=160円 09=150円 枠連:1,760円",,,,,,,,,,,
"馬連:1,770円 ワイド:11-15=700円 02-15=1,390円 02-11=1,420円",,,,,,,,,,,,馬連:800円 ワイド:02-11=390円 07-11=280円 02-07=820円,,,,,,,,,,,,"馬連:1,050円 ワイド:04-12=490円 01-12=370円 01-04=260円",,,,,,,,,,,,"馬連:1,850円 ワイド:03-12=580円 09-12=470円 03-09=420円",,,,,,,,,,,
"馬単:3,660円 3連複:7,240円 3連単:43,510円",,,,,,,,,,,,"馬単:1,290円 3連複:1,790円 3連単:7,220円",,,,,,,,,,,,"馬単:3,040円 3連複:1,190円 3連単:9,210円",,,,,,,,,,,,"馬単:4,590円 3連複:2,020円 3連単:16,020円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄエｰシンフラクタル, 63,小牧太,, 78,*  8,*  8, 2,  4.9, ①①, 1, 3,Ａスｰパｰオｰビット, 66,藤岡康,, 79,   2,* 15, 1,  3.9,⑩⑧④, 1,12,Ａスカイリュウホｰ, 78,浜中俊,, 78,   8,*  4, 1,  3.1,⑨⑨⑦, 1, 5,Ａスカイノダン, 87,川田将,, 76,*  4,   5, 1,  2.0, ②②
 2,13,Ｆジャックボイス, 56,赤木高, 1.1, 65,  -2,*  4, 5, 11.4, ③④, 2,15,Ｇダンシングラプタｰ, 58,福永祐, 0.7, 71,  -1,*  9, 2,  4.3,⑪⑨⑨, 2, 3,Ｂウォｰクラウン, 75,佐藤哲, 0.0, 74,   9,*  0, 3,  4.8,⑤⑤④, 2, 2,Ｃメイショウユリシス, 78,飯田祐, 0.4, 70,*  5,  -1, 6, 22.2, ①①
 3,14,Ａオｰセロワ, 66,川田将, 1.4, 63,*  5,  -3, 1,  1.9, ②②, 3, 9,Ｃドロップミアライン, 62,佐藤哲, 0.8, 68,  -2,* 11, 4,  6.5,⑫⑪⑩, 3,11,Ｈフェルヴィｰド, 64,幸英明, 0.4, 72,* 11,  -9, 7, 17.5,②②②, 3,15,Ｋヤマカツマリリン, 67,田嶋翔, 0.4, 70,   1,   3,11, 69.5, ⑦⑦
