09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鶴橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆワシントンハスキｰ, 61,川田将,, 74,* 12,  -5, 4,  5.6, ①①, 1, 8,Ｋジャングルケイ, 52,小牧太,, 74,*  9,  -6, 8, 26.8,③③②, 1, 2,Ｂメジロラフィキ, 78,川田将,, 80,*  6,   7, 3, 10.4,②②②, 1, 4,Ａラッキｰバニヤン, 77,岩田康,, 69,   2,*  0, 1,  1.6, ⑥⑥
 2,12,Ｍニチドウダイヤ, 46,田嶋翔, 0.0, 71,   5,*  2,15,225.0, ⑤④, 2, 7,Ｃラインドリｰム, 65,幸英明, 0.0, 75,   6,*  2, 5, 13.2,⑧⑧⑥, 2, 1,Ｃグッドバニヤン, 76,和田竜, 0.2, 81,   5,   8, 2,  4.2,④④④, 2, 3,Ｅゼットオｰラ, 68,松山弘, 0.0, 71,   5,  -2, 3,  8.6, ④④
 3, 2, フレンチクラシック,---,福永祐, 0.2, 67,   0,*  5, 8, 36.5, ⑪⑧, 3,11,Ａハｰトシュｰタｰ, 68,福永祐, 0.2, 72,   7,* -5, 2,  4.5,⑤⑤④, 3, 3,Ａマゼラン, 89,武豊  , 0.4, 79,   0,* 14, 1,  1.4,⑨⑧⑨, 3, 7,Ｇマイネルプルｰト, 66,浜中俊, 0.2, 67,   0,*  1, 5, 13.0, ⑦⑦
 4,16,Ａシャｰズブルｰ, 76,幸英明, 0.3, 67,   6,  -3, 2,  4.2, ③③, 4, 9,Ｆハイドランジア, 59,太宰啓, 0.8, 66,* 13, -29, 7, 19.7,②②①, 4,13,Ｉキタサンチｰフ, 67,藤岡康, 0.5, 75,   3,   6, 6, 46.5,⑤⑤⑤, 4,10,Ｄムｰンクレイドル, 70,川田将, 0.5, 67,* 10, -14, 2,  5.1, ③③
 5, 3,Ｃエリモフリｰダム, 65,松山弘, 0.3, 68,   4,  -1, 1,  4.1, ④⑤, 5,15,Ｂハギノウタヒメ, 66,吉田稔, 0.9, 66,   3,  -6, 4,  7.8,⑬⑪⑨, 5, 4,Ｊゲイリｰライアン, 62,小牧太, 0.8, 71,*  7,  -7, 9, 69.5,①①①, 5, 2,Ｌリバｰサルブロｰ, 60,太宰啓, 0.6, 66,*  9, -14,14,244.4, ②②
 6, 6,Ｄディアトゥドリｰム, 63,小牧太, 0.5, 65,   3,  -1, 5, 10.2, ⑥⑥, 6,16,Ｊモンスタｰハンタｰ, 52,鮫島良, 1.1, 63,   6, -17,10, 51.1,⑨⑦⑤, 6, 8,Ｅトミケンプライム, 69,浜中俊, 1.1, 74,   3,   3, 5, 37.8,⑩⑩⑧, 6, 8,Ｉハマノモナｰク, 64,吉田稔, 0.8, 58,  -9,*  2, 8, 62.6, ⑯⑯
 7, 5,Ｋヴォｰグ, 47,安藤光, 1.2, 61,*  8, -12, 7, 21.7, ②②, 7, 1,Ｄキャンドゥイット, 63,岩田康, 1.1, 63,   3,  -8, 1,  2.4,⑭⑭⑫, 7, 7,Ｆピｰスキｰパｰ, 69,幸英明, 1.1, 72,   3,   0, 4, 13.3,⑥⑥⑥, 7,13,Ｃラッシュモア, 71,藤岡康, 0.8, 57,  -6,  -2,10, 72.4, ⑮⑬
 8,14,Ｊエアガルニエ, 49,上村洋, 1.4, 58,   2,  -7,10, 37.0, ⑦⑦, 8,12,Ｇメダリアビｰト, 59,浜中俊, 1.1, 64,   7, -19, 3,  5.5,④④③, 8,10,Ｈテンシノマズル, 68,中村将, 1.2, 69,*  6,  -8, 7, 56.2,③③③, 8, 9,Ｏジョｰブリス, 57,角田晃, 0.8, 59,  -1,  -7,12,169.7, ⑧⑧
 9,10,Ｅラグナロク, 62,浜中俊, 1.6, 53,  -4,  -4, 6, 14.6, ⑭⑭, 9, 3,Ｐロマンチックデス, 45,生野賢, 1.4, 61,   3, -12,16,259.1,⑪⑬⑬, 9, 9,Ｄナムラシンドバッド, 70,吉田稔, 1.2, 70,   2,   0, 8, 65.6,⑦⑦⑦, 9,12,Ｍランラン, 60,安藤光, 0.9, 57,  -3,  -6,13,204.0, ⑩⑪
10,13,Ｇバンダムヴィｰヴォ, 58,熊沢重, 1.7, 55,  -2,  -5, 9, 37.0, ⑬⑬,10, 4,Ｌミスズジャック, 51,武豊  , 1.5, 60,   0,  -6, 6, 16.9,⑯⑯⑭,10, 6,Ｇスズカクリアｰ, 68,熊沢重, 1.6, 68,  -1,   0,10,231.3,⑪⑪⑩,10,11,Ｂメイショウロｰツェ, 75,幸英明, 1.1, 55,  -3,  -9, 4, 12.9, ⑪⑫
11,15,Ｂガンダｰラ, 67,和田竜, 1.8, 54,   1, -10, 3,  4.3, ⑨⑩,11,14,Ｅファンドリリｰダｰ, 61,和田竜, 1.6, 61,   6, -20,11,110.0,⑩⑨⑧,11,11,Ｌミチノクカントリｰ, 55,岡部誠, 2.2, 60,  -1,  -9,12,499.0,⑧⑨⑪,11,14,Ｎホクザンヴィアンド, 59,国分恭, 1.1, 54,  -4,  -7,16,485.0, ⑬⑩
12, 9,Ｌサマニレディｰ, 46,岡部誠, 1.8, 52,  -1,  -9,16,418.7, ⑧⑪,12,17,Ｈセフティファンキｰ, 58,松山弘, 1.9, 57,   2, -13,17,326.7,⑮⑮⑯,12,12,Ｍベストキッド, 48,赤木高, 2.8, 56,  -2, -11,11,358.1,⑫⑫⑫,12,15,Ｆメイショウユリシス, 66,飯田祐, 1.2, 55,   5, -18, 6, 18.9, ⑤⑤
13, 7,Ｎメイショウタイガ, 35,難波剛, 1.9, 51,  -2,  -8,14,212.5, ⑫⑨,13, 5,Ｉサンジョバンニ, 54,蛯名正, 1.9, 59,   5, -21,12,142.7,⑫⑩⑪,13, 5,Ｋエムテイホムラ, 56,安藤光, 3.5, 50,  -5, -16,13,528.2,⑬⑬⑬,13,16,Ｊオペラセリア, 62,蛯名正, 1.3, 53,  -4,  -9,11,112.8, ⑫⑭
14, 4,Ｉダノンスピリット, 51,岩田康, 2.0, 51,  -6,  -4,11, 39.1, ⑮⑮,14,13,Ｏメイショウテノｰル, 46,高橋亮, 2.1, 56,   6, -29, 9, 41.9,⑥⑥⑦,,,,,,,,,,,,,14, 5,Ｈウイニングヒロオｰ, 65,小牧太, 1.5, 50,  -8,  -8, 9, 70.2, ⑭⑮
15, 8,Ｈクリスビｰト, 55,太宰啓, 2.2, 48, -11,  -2,13, 54.9, ⑯⑯,15,18,Ｍトｰホウアテナ, 48,赤木高, 3.0, 49,  -2, -17,18,493.8,⑱⑱⑱,,,,,,,,,,,,,15, 6,Ｐフロｰラルパタｰン, 55,中村将, 1.6, 49,  -3, -15,15,350.1, ⑨⑨
16,11, グルナッシュ,---,蛯名正, 2.5, 45,  -2, -14,12, 51.1, ⑩⑫,16, 2,Ｑホクセツポイント, 42,田島裕, 3.8, 46,   2, -43,13,230.7,⑦⑫⑮,,,,,,,,,,,,,16, 1,Ｋセゾンシチｰ, 62,佐藤哲, 2.2, 46,* 12, -37, 7, 43.9, ①①
,,,,,,,,,,,,17, 6,Ｎゲットワイルド, 48,国分恭, 3.9, 45,  -1, -36,14,245.0,⑰⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,10,Ｒマイレボルｰション, 36,藤岡康, 9.2,-28,*  8, ---,15,249.9,①①⑩,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,
"単勝:560円 複勝:01=270円 12=5,080円 02=1,260円 枠連:10,260円",,,,,,,,,,,,"単勝:2,680円 複勝:08=530円 07=360円 11=210円 枠連:13,830円",,,,,,,,,,,,"単勝:1,040円 複勝:02=160円 01=110円 03=110円 枠連:1,380円",,,,,,,,,,,,単勝:160円 複勝:04=110円 03=190円 07=230円 枠連:690円,,,,,,,,,,,
