09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4,14,Ｇヴィトンクイｰン, 52,田中博, 0.4, 55,*  0,  -5,10, 59.8, ②②, 4, 3,Ｌマイネウインク, 63,赤木高, 0.5, 63,   4,   4, 3,  5.9,③③③, 4,11,Ｄマイネルパルティア, 74,丸田恭, 0.6, 69,   3,*  7, 4,  8.2,⑪⑩⑦, 4, 1,Ｆタｰトルベイ, 84,浜中俊, 0.3, 84,   4,* 21, 6, 14.2,⑮⑫⑨
 5, 8,Ａラガｰキセキ, 63,荻野琢, 0.5, 54,*  3,  -9, 3,  9.4, ①①, 5,15,Ｇラクシュミｰギャル, 68,北村友, 0.6, 61,*  5,   2, 7, 28.1,④④④, 5, 6,Ｇシャドウランズ, 71,宮崎北, 0.7, 67,*  6,   1, 8, 25.9,③③③, 5,12,Ｄセフティｰロｰレル, 84,河北通, 0.6, 82,   3,  21, 9, 16.5,⑫⑭⑬
 6, 1,Ｊハｰトマン, 50,藤岡康, 0.5, 55,  -8,   3,12, 79.7, ⑫⑩, 6, 7,Ｎドリｰムプレイ, 62,田辺裕, 0.6, 59,   3,   4,11, 49.5,⑤⑤⑥, 6, 8,Ｉシルクヘラクレス, 69,的場勇, 0.8, 69,*  7,  -2, 5,  8.7,①①①, 6,15,Ｃマルブツクロス, 84,小林久, 0.8, 79,   6,  14, 5, 12.2,⑧⑧⑦
 7,13,Ｂハツノボリ, 60,丸田恭, 0.8, 49,  -9,  -1, 4, 11.7, ⑬⑬, 7, 5,Ｊラフアップ, 65,丸田恭, 0.8, 62,   1,   6,10, 45.1,⑧⑨⑧, 7, 3,Ｂセクシｰザムライ, 75,北村友, 1.0, 65,   2,   6,10, 28.6,⑩⑫⑪, 7, 9,Ｇコウジンアルス, 83,丸田恭, 0.8, 78,*  7,  12,10, 19.8,②③④
 8,15,Ｆフリｰソウル, 54,小林久, 1.1, 46,  -5,  -9, 5, 22.5, ⑧⑥, 8, 8,Ｃキラメキパスワｰド, 72,田中健, 0.9, 64,   1,   7, 5, 17.9,⑩⑫⑫, 8, 2,Ｆスリｰベイダｰ, 72,太宰啓, 1.3, 65,   1,*  7, 6, 13.8,⑬⑬⑫, 8, 4,Ｐヴォレハクユウ, 68,松田大, 0.9, 81,   4,  16,14, 46.1,③⑪⑪
 9,10,Ｄレイクパペット, 59,的場勇, 1.2, 43,  -7,  -8, 7, 28.7, ⑩⑫, 9, 1,Ｈヨイチイｰスト, 67,梶晃啓, 0.9, 63,   0,*  8,15,147.4,⑮⑪⑪, 9,12,Ｈミシックキョウト, 69,小牧太, 2.5, 58,   6, -12, 7, 18.6,④⑤⑧, 9,16,Ａブルｰレパｰド, 85,安藤光, 1.0, 76,   7,  12,11, 23.6,⑦⑦⑤
10,18,Ｈライブリリュウショ, 51,赤木高, 1.3, 43,*  0, -17,13,139.5, ③③,10,11,Ｅテンジンノジョオｰ, 70,宮崎北, 1.2, 59,   0,   4,12,120.7,⑬⑬⑬,10, 5,Ｋフォルスストレｰト, 65,荻野琢, 2.5, 57,   3,  -9,11, 34.4,⑥⑧⑨,10, 7,Ｎトップジャイアンツ, 79,小牧太, 1.1, 77,*  8,   8, 2,  4.9,①①①
11,16,Ｒコロナ, 18,浜中俊, 1.3, 45,  -7,  -9,11, 74.3, ⑪⑨,11,10,Ｐスマｰトルｰプ, 56,鮫島良, 1.4, 62,  -2,*  8,16,187.3,⑪⑯⑮,11, 1,Ｍシャススプリｰン, 62,鮫島良, 2.9, 56,   0,  -5,13,142.0,⑭⑭⑬,11,13,Ｏケンブリッジレｰザ, 77,北村友, 1.2, 75,   3,  16,12, 32.6,⑬⑮⑭
12,11,Ｌヤマシロロｰズ, 46,野元昭, 1.4, 43, -16,  -1,16,215.2, ⑯⑰,12, 6,Ｆヘンメイレン, 69,田中博, 2.1, 58,   0,   1, 8, 29.4,⑫⑮⑭,12, 4,Ｌリネンスタイル, 62,田辺裕, 3.8, 44,   3, -20,12, 83.4,⑦⑨⑩,12, 3,Ｉスペｰスフライト, 82,佐藤哲, 1.2, 77,   6,  11, 7, 14.3,⑤⑤⑧
13, 4,Ｋメイケイファルコン, 50,太宰啓, 1.4, 44,  -7, -10, 9, 37.5, ⑨⑪,13, 9,Ｋフジファレノプシス, 65,長谷川, 2.1, 57,   1,  -2,13,145.3,⑯⑭⑯,13, 9,Ｊシャフツレディ, 68,浜中俊, 4.0, 46,*  6, -27, 9, 26.9,②④⑥,13, 2,Ｌアクセルファイヤｰ, 80,中村将, 1.3, 74,*  9,   7, 4,  9.8,⑭②②
