09年12月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月26日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9,15,Ｈアキノフライ, 48,荻野琢, 1.7, 46, -16,* -3,11,102.7, ⑬⑬, 9,11,Ｑレディスピカ, 18,田中健, 1.9, 43,*  2, -28,14,146.1,②②⑤, 9, 6,Ｈマスタｰオブゲｰム, 67,的場勇, 0.7, 64,  -3,  -1, 9, 28.2, ⑨⑨, 9, 7,Ｂエイシンナナツボシ, 70,上村洋, 1.7, 60,   2,  -5, 2,  4.7,⑦⑧⑨
10, 3,Ｏシゲルキチョウ, 23,宮崎北, 1.8, 42, -14,  -6,13,199.5, ⑪⑪,10,16,Ｌネオスペチアｰレ, 43,田中博, 2.1, 43,  -1, -25,11, 96.8,⑦⑨⑩,10,13,Ｃコスモクリスタル, 75,津村明, 0.7, 65,*  4,  -7, 2,  5.5, ②②,10, 5,Ｅクナンガン, 66,田辺裕, 1.8, 59,   1,  -4, 7, 23.5,⑪⑩⑧
11, 1,Ｊペガサスガｰル, 44,梶晃啓, 2.0, 44,  -5, -12, 7, 16.4, ⑥⑤,11, 8,Ｇハマノドリｰム, 54,丸山元, 2.2, 42,  -5, -15,10, 73.1,⑰⑯⑮,11, 3,Ｊシゲルクニミヤマ, 66,田村太, 0.8, 65, -11,*  6,11, 47.6, ⑯⑮,11, 6,Ｊアドマイヤプレミア, 62,芹沢純, 1.8, 61,   0,   1,11, 37.8,⑮⑭⑭
12,11,Ｌサコ, 37,丹内祐, 2.1, 41, -11, -10, 9, 64.6, ⑩⑫,12, 3,Ｄメイショウユメドノ, 60,田嶋翔, 2.4, 39,*  2, -33, 5, 20.5,③④⑥,12, 4,Ｅウイニングドラゴン, 71,宮崎北, 0.8, 65,   0,  -4, 6, 15.8, ⑧⑤,12, 4, ガッツボｰイ,---,松田大, 1.8, 61,   3,  -7,14, 99.3,③⑥⑦
13,16,Ｋゴｰルドリマンド, 37,芹沢純, 2.5, 35, -21,  -7,14,209.1, ⑭⑭,13,18,Ｎユウタｰウェｰヴ, 43,宮崎北, 2.6, 38,  -4, -24,12,118.0,⑭⑭⑫,13,18,Ｏエアフォｰスワン, 58,安部幸, 1.0, 61,  -3,  -4,16,205.8, ⑪⑪,13,12,Ｍアイファｰハイカラ, 57,宮崎北, 2.0, 57,   0,  -3,12, 63.3,⑧⑪⑬
14, 6,Ｆカノヤキントキ, 55,吉田稔, 2.8, 35,  -7, -19, 3,  4.4, ⑦⑦,14,13,Ｊクロカミノマイ, 44,安藤光, 2.7, 38,  -8, -15,16,155.2,⑯⑰⑰,14, 1,Ａナリタスパｰク, 76,渡辺薫, 1.0, 61, -10,   2, 1,  2.8, ⑰⑯,14, 9,Ａエｰスインザホｰル, 71,中舘英, 2.2, 54,*  5, -14, 1,  2.9,①①②
15, 2,Ｐレスピエｰグル,  3,草野太, 3.1, 28, -32,  -6,16,300.1, ⑮⑮,15, 6,Ｒダイワエクセル, -6,的場勇, 3.9, 26,  -2, -45,17,248.7,⑫⑫⑬,15,10,Ｍスマｰトストｰム, 61,田辺裕, 1.1, 59,  -8,   0,15,114.0, ⑮⑰,15, 3, コロニアルペガサス,---,吉田稔, 2.3, 58,  -3,  -1,15,214.2,⑬⑮⑮
16, 4,Ｍカシノイワイザケ, 34,池崎祐, 3.1, 28, -33,  -5,12,120.3, ⑯⑯,16,12,Ｐハシルヒｰロｰ, 37,西田雄, 4.0, 26,   0, -55,18,340.9,④⑥⑪,16,12,Ｋネバｰグレイス, 66,西田雄, 1.2, 57, -10,  -1,18,356.0, ⑱⑱,16,11, アイヌモシリ,---,安部幸, 3.1, 54,  -4,  -5,16,237.1,⑭⑯⑯
,,,,,,,,,,,,17,10,Ｋシゲルユキムラ, 44,川島信, 4.0, 25,  -9, -32,13,118.7,⑱⑱⑱,17,17,Ｉロングゼネラル, 67,中舘英, 1.6, 54,*  3, -17, 8, 17.6, ④④,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｉキュルミナン, 48,赤木高, 4.4, 26,  -2, -55, 9, 59.6,⑧⑩⑯,18,15,Ｑドゥｰビリｰヴイン, 54,嘉藤貴, 1.8, 50,   1, -19,12, 50.3, ⑦⑧,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
単勝:380円 複勝:14=160円 05=340円 08=220円 枠連:570円,,,,,,,,,,,,単勝:270円 複勝:05=120円 02=140円 17=140円 枠連:650円,,,,,,,,,,,,"単勝:570円 複勝:07=200円 08=500円 09=3,040円 枠連:4,630円",,,,,,,,,,,,"単勝:2,400円 複勝:10=570円 14=490円 01=240円 枠連:1,600円",,,,,,,,,,,
"馬連:2,690円 ワイド:05-14=870円 08-14=500円 05-08=1,240円",,,,,,,,,,,,馬連:680円 ワイド:02-05=220円 05-17=240円 02-17=450円,,,,,,,,,,,,"馬連:3,920円 ワイド:07-08=1,340円 07-09=11,280円 08-09=19,770円",,,,,,,,,,,,"馬連:20,310円 ワイド:10-14=4,700円 01-10=2,480円 01-14=1,580円",,,,,,,,,,,
"馬単:4,660円 3連複:5,430円 3連単:27,350円",,,,,,,,,,,,"馬単:1,340円 3連複:870円 3連単:4,400円",,,,,,,,,,,,"馬単:6,980円 3連複:130,760円 3連単:517,490円",,,,,,,,,,,,"馬単:39,440円 3連複:39,400円 3連単:334,620円",,,,,,,,,,,
■ 2R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,中京日経賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂエルメスグリｰン, 75,秋山真,, 77,   6,* 14, 2,  4.0,⑥⑤⑤, 1, 4, デンコウワン,---,川島信,, 46,*-17,  -4, 4,  8.3, ②②, 1, 8,Ｂロｰレルレガリス, 78,中舘英,, 75,* 10,   1, 1,  2.0,②②②, 1, 7,Ａヤマカツマリリン, 85,田嶋翔,, 78,   9,   2, 2,  4.1, ⑤⑤
 2,15,Ｇホｰカｰハリケｰン, 69,松山弘, 0.7, 72,*  7,   6, 6,  9.8,⑤④③, 2, 1, プリンセスメイク,---,田嶋翔, 0.0, 47,*-20,  -2, 7, 14.7, ③③, 2,14,Ｋミッキｰリヒト, 71,北村友, 0.1, 74,   9,   2, 8, 24.5,⑤④④, 2, 5,Ｋバロンダンス, 71,田中博, 0.0, 79,   8,   4,11, 37.5, ⑥⑥
 3, 5,Ｆラヴリｰドリｰム, 70,津村明, 1.0, 70,*  7,   4, 8, 29.7,③③②, 3,11, レイニブルｰ,---,長谷川, 0.2, 46, -21,  -2, 6, 12.8, ④⑤, 3,10,Ａファンドリカップ, 79,村田一, 0.1, 77,   6,*  7, 4, 10.2,⑨⑨⑧, 3,13,Ｇリｰチコンセンサス, 75,中舘英, 0.1, 77,   2,*  7, 1,  3.6, ⑩⑩
 4, 2,Ａミコノス, 76,田中健, 1.0, 73,   5,   7, 4,  6.5,⑨⑨⑦, 3,15, ルナピスタ,---,秋山真, 0.2, 49, -36,* 12, 3,  5.2, ⑭⑩, 4,13,Ｇホトダｰ, 73,西田雄, 0.3, 74,   6,*  5,11, 56.7,⑬⑩⑩, 4,14,Ｅマヤノロシュニ, 77,北村友, 0.1, 77,   6,   4, 4,  8.1, ⑧⑧
 5, 8,Ｈブライダルベｰル, 68,鮫島良, 1.0, 76,   3,* 14, 7, 11.8,⑮⑬⑫, 5,16, コスモピアチュｰレ,---,丹内祐, 0.3, 43,*-20,  -6, 5,  9.0, ⑤④, 5, 5,Ｈトｰホウオｰディン, 73,松山弘, 0.8, 69,   8,  -2, 5, 10.9,⑥⑤⑤, 5,15,Ｉライトザキャンドル, 74,松山弘, 0.2, 75,   0,*  9,12, 40.6, ⑬⑫
 6,14,Ｃアマゾネスバイオ, 75,国分恭, 1.3, 70,   2,   9, 1,  3.9,⑬⑫⑬, 6,18, トシザノンリｰ,---,鮫島良, 0.4, 44, -27,*  0,13, 40.4, ⑧⑦, 6, 3,Ｄイマカツタイガｰ, 75,松田大, 0.9, 72,   9,  -5, 6, 12.4,③③③, 6, 1,Ｆラヴァｰズテｰラｰ, 76,荻野琢, 0.3, 73,   9,  -2, 7, 15.7, ④④
 7, 6,Ｌシルバｰビｰト, 63,北村友, 1.3, 69,   3,   7,13,198.5,⑫⑩⑩, 7,17, コスモレゾヌマン,---,津村明, 0.5, 42, -25,  -3,15,111.2, ⑦⑥, 7, 2,Ｆフサイチダイチャン, 74,鮫島良, 1.5, 67,   5,  -3, 3,  7.3,⑮⑬⑪, 7, 2,Ｌウスイ, 71,千葉直, 0.3, 74,   1,   6,13, 57.9, ⑫⑨
 8,13,Ｅペチカ, 73,中舘英, 1.3, 68,*  9,  -2, 3,  5.8,①①①, 8, 2, ミクル,---,丸山元, 0.5, 39,*-16, -12,11, 32.7, ①①, 8, 9,Ｃポｰトスピｰド, 76,柴原央, 1.5, 65,   8,  -7, 7, 23.2,⑦⑥⑥, 8,10,Ｄジャックボイス, 78,川島信, 0.4, 72, -10,* 15, 9, 26.9, ⑱⑱
 9,12,Ｄメイショウコレット, 75,吉田稔, 1.9, 66,   6,  -2, 5,  9.8,⑦⑦⑥, 9, 3, フェアリｰトゥリｰ,---,吉田稔, 1.3, 32, -30,  -8,12, 37.2, ⑨⑨, 9,11,Ｅディアアゲイン, 74,吉田稔, 1.5, 67,   8,  -8, 2,  6.6,⑧⑦⑦, 9, 9,Ｏメイショウカｰタｰ, 70,難波剛, 0.5, 72,  -3,*  7,14, 73.2, ⑯⑬
10, 1,Ｍジェットスパｰクル, 63,宮崎北, 2.3, 61,   5,  -4,12,131.8,⑧⑧⑨,10, 9, プロスビｰト,---,安部幸, 1.9, 22, -31, -16, 1,  4.2, ⑩⑪,10, 7,Ｐシンクロナイザｰ, 60,大野拓, 1.8, 62,   7,  -9,14,145.7,④⑧⑨,10,12,Ｃユメイッポ, 79,上村洋, 0.6, 71,   5,  -2, 3,  6.2, ⑨⑪
11,11,Ｊエリザベスムｰン, 66,田辺裕, 2.4, 62,   4,  -3,10, 33.2,⑩⑪⑪,11, 7, パシャ,---,梶晃啓, 2.2, 20, -31, -18,14, 78.4, ⑪⑫,11,12,Ｌドミンゴシチｰ, 67,梶晃啓, 2.0, 62,   5,  -7,16,152.7,⑪⑫⑫,11,17,Ｑコンプリｰトラン, 68,大野拓, 0.7, 69,  -2,   3,16, 90.9, ⑭⑮
12, 9,Ｋシシャモフレンド, 65,太宰啓, 2.7, 58,*  8, -13, 9, 30.5,②②④,12,13, キュｰト,---,中村将, 2.5, 14, -23, -32, 9, 24.1, ⑥⑧,12, 4,Ｎマイディスカバリｰ, 64,荻野琢, 2.1, 63,* 13, -23, 9, 36.3,①①①,12,18,Ｎアドマイヤプルｰト, 70,秋山真, 0.8, 68,   2,  -2, 8, 21.1, ⑪⑭
13,10,Ｎブルｰフォｰチュン, 56,丸山元, 3.0, 57,   6, -12,16,339.8,④⑥⑧,13, 8, ブランドアロｰ,---,荻野琢, 2.5, 16, -43, -12,17,116.1, ⑮⑮,13, 1,Ｉティティボス, 73,田中博, 2.5, 60,   3,  -9,12,117.0,⑩⑮⑭,13,11,Ｈメモリｰパフィア, 74,長谷川, 0.8, 68,  -3,   3,10, 27.3, ⑰⑰
14,16,Ｉスマｰトレディｰ, 67,田中博, 4.1, 52,   0,  -9,11, 59.6,⑭⑮⑭,14,10, オリオンザリリｰ,---,小林徹, 2.6, 14, -33, -22,16,115.3, ⑬⑬,14, 6,Ｍワキノブライアン, 66,安部幸, 2.8, 59,   4, -13,14,145.7,⑯⑭⑮,14,16,Ｍカｰリアンダンス, 71,赤木高, 0.8, 67,  -2,   2,18,237.4, ⑮⑯
15, 3,Ｏコットンフラワｰ, 51,二本柳, 5.3, 43,   0, -20,14,209.7,⑪⑭⑮,15, 6, トロピカルスイｰツ,---,中舘英, 2.7, 15, -44, -14, 2,  4.9, ⑯⑭,15,16,Ｊアイオロスシチｰ, 71,宮崎北, 3.0, 53,   6, -18,10, 41.5,⑫⑪⑬,15, 4,Ｂエイシンフェアリｰ, 81,津村明, 0.9, 67,* 14, -15, 5, 13.1, ②②
16, 7,Ｐアイファｰリリアン, 48,小林徹, 6.0, 40,  -6, -15,15,261.2,⑯⑯⑯,16,14, メイショウフント,---,飯田祐, 3.7, -3, -35, -35, 8, 22.8, ⑫⑯,16,15,Ｏキララチュｰル, 63,長谷川, 3.6, 55,   3, -16,13,144.7,⑭⑯⑯,16, 6,Ｐキヲウエタオトコ, 70,吉田稔, 1.3, 61,* 12, -17, 6, 13.7, ③③
,,,,,,,,,,,,17, 5, エクスキタテヤマ,---,古川吉, 3.9, -3, -44, -29,10, 28.3, ⑰⑰,,,,,,,,,,,,,17, 8,Ｊフランシｰル, 73,的場勇, 1.7, 55,   6, -18,15, 83.5, ⑦⑦
,,,,,,,,,,,,18,12, メタヤｰジュ,---,宮崎北, 4.2, -6, -47, -28,18,131.2, ⑱⑱,,,,,,,,,,,,,18, 3,Ｒラブチャｰミｰ, 64,芹沢純, 2.4, 48,* 14, -34,17,133.5, ①①
ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
"単勝:400円 複勝:04=180円 15=370円 05=680円 枠連:2,500円",,,,,,,,,,,,"単勝:830円 複勝:04=220円 01=330円 11=310円 枠連:2,980円",,,,,,,,,,,,"単勝:200円 複勝:08=130円 14=470円 10=210円 枠連:1,540円",,,,,,,,,,,,"単勝:410円 複勝:07=160円 05=690円 13=170円 枠連:1,800円",,,,,,,,,,,
"馬連:2,490円 ワイド:04-15=970円 04-05=1,610円 05-15=3,670円",,,,,,,,,,,,"馬連:4,970円 ワイド:01-04=980円 04-11=1,130円 04-15=590円",,,,,,,,,,,,"馬連:2,220円 ワイド:08-14=880円 08-10=350円 10-14=2,230円",,,,,,,,,,,,"馬連:6,190円 ワイド:05-07=2,090円 07-13=320円 05-13=2,330円",,,,,,,,,,,
"馬単:4,450円 3連複:19,050円 3連単:69,510円",,,,,,,,,,,,"馬単:9,860円 3連複:14,540円 3連単:64,320円",,,,,,,,,,,,"馬単:3,420円 3連複:5,410円 3連単:23,110円",,,,,,,,,,,,"馬単:10,520円 3連複:7,380円 3連単:55,430円",,,,,,,,,,,
■ 3R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長良川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂワンズガｰホッド, 74,秋山真,, 71,   4,   4, 4,  8.4, ③③, 1, 6,Ｂメイショウロｰツェ, 73,田中健,, 71,*  8,   2, 2,  4.5,①①①, 1, 2,Ｃインテンスブルｰ, 76,秋山真,, 83,* 16,  -2, 2,  5.9,③②③, 1,11,Ｆプルシアンオリｰブ, 74,吉田稔,, 82,*  6,* 10, 3,  5.3,①①①
 2, 9,Ｇグレンチェック, 67,松田大, 0.0, 73,   4,   4, 9, 27.0, ④④, 2, 8,Ｄコスモピグマン, 73,丹内祐, 0.1, 70,   6,   5, 3,  5.5,⑨④③, 2, 7,Ｂネオレボルｰション, 77,中舘英, 0.1, 84,  12,*  5, 1,  2.1,⑫⑩⑩, 2, 6,Ａスズカゲイル, 80,松田大, 0.2, 84,   5,* 14, 1,  2.5,⑧⑦④
 3, 2,Ｃメジロシｰゴｰ, 72,丸山元, 0.1, 70,   1,   5, 3,  6.2, ⑤⑤, 3, 9,Ｆシルクエステｰト, 72,船曳文, 0.1, 72,   5,*  8, 5,  7.2,⑧⑦⑥, 3, 9,Ｄトレジャｰハント, 76,太宰啓, 0.3, 79,* 16,  -8, 7, 15.5,②③②, 3, 1,Ｊミヤビリュウオｰ, 67,安部幸, 1.1, 74,   3,*  7,11, 65.8,⑫⑬⑬
 4,16,Ｄライカｰト, 72,津村明, 0.4, 68,*  7,  -1, 6, 10.5, ②②, 4,16,Ｇロトスカイブルｰ, 70,国分恭, 0.2, 69,*  8,   1, 4,  6.7,②②②, 4,11,Ｆオブコｰス, 71,松山弘, 0.4, 81,  12,*  1, 6, 13.9,⑨⑨⑨, 4, 8,Ｉサッカｰプリンス, 68,津村明, 1.1, 72,*  5,  -2, 8, 25.4,⑮⑤②
 5, 3,Ｌサクラナスカ, 62,田中博, 0.5, 69,*  7,  -1, 2,  5.8, ①①, 5,11,Ａエイシンダッシュ, 75,宮崎北, 0.3, 68,   3,*  9, 1,  3.7,⑯⑨⑨, 5, 5,Ａヴェルザンディ, 78,安部幸, 0.7, 77,   9,*  1, 3,  6.7,⑬⑫⑫, 5, 3,Ｅグルｰオン, 75,田中博, 1.3, 72,   4,  -1, 4,  7.5,⑩⑧⑨
 6, 8,Ｅタピルｰジュ, 71,川島信, 0.5, 65,  -5,*  6, 1,  3.5, ⑨⑨, 6,13,Ｃメイショウモネ, 73,中村将, 0.7, 68,   1,*  8, 6,  9.7,⑪⑪⑪, 6,14,Ｌアｰスコンシャス, 62,田辺裕, 1.0, 73,   7,  -1,11, 91.4,⑯⑬⑬, 6, 9,Ｂマイネルフレンズ, 79,丹内祐, 1.7, 67,   3,  -4, 7, 20.9,⑬⑫⑪
 7, 5,Ａフライトマイル, 75,古川吉, 0.8, 63,  -2,   1, 5,  8.6, ⑦⑥, 7,15,Ｉアイノカゼ, 69,千葉直, 0.8, 67,   1,*  8, 7, 23.0,⑫⑫⑫, 7,10,Ｊタツクｰル, 66,丸山元, 1.2, 71,   7,  -4,14,111.4,⑮⑮⑭, 7, 5,Ｇトミケンプライム, 69,秋山真, 1.8, 70,*  7,  -9, 5, 12.5,⑥⑥③
 8, 1,Ｊオレンジシュプｰル, 64,鮫島良, 0.9, 63,  -5,   3,12, 42.3, ⑧⑧, 8,14,Ｌフクノブリング, 64,草野太, 1.3, 64,   0,   6,16,282.1,⑮⑮⑮, 8, 6,Ｍシャルマンスタイル, 62,田中博, 1.4, 70,   7,  -5,12,103.0,⑭⑭⑮, 8,15,Ｋマｰブルファイブ, 66,渡辺薫, 1.9, 66,   4,  -9,10, 36.1,④⑨⑩
 9,14,Ｏジｰガｰウイング, 52,村田一, 1.0, 61,  -7,   2,11, 37.0, ⑪⑫, 9, 3,Ｍエスジｰビンゴ, 61,荻野琢, 1.3, 66,   0,   5,13, 78.3,⑩⑭⑭, 9, 4,Ｏエイシンサクセス, 59,津村明, 1.7, 66,  10, -15,10, 85.8,⑪⑪⑪, 9, 7,Ｌリッカメルド, 64,太宰啓, 2.0, 65,   4, -11,13, 84.5,⑨⑩⑧
10,15,Ｎココナッツパルム, 53,大野拓, 1.0, 60, -10,   5,14, 49.5, ⑫⑩,10, 4,Ｅコパノタイマネ, 72,田村太, 1.3, 64,   0,   5,10, 42.8,⑬⑬⑬,10,15,Ｇコンベンション, 71,宮崎北, 1.8, 64,  13, -24, 9, 64.5,⑦⑦⑥,10,14,Ｏダイワモｰスト, 60,的場勇, 2.0, 62,*  5, -15,14, 99.8,⑪④⑦
11, 6,Ｉキスアンドクライ, 67,二本柳, 1.0, 60, -13,*  6, 8, 15.3, ⑬⑬,11, 1,Ｊオｰミレイライン, 68,北村浩, 1.4, 62,   2,  -1, 9, 41.6,⑤⑧⑧,11, 8,Ｎブラストダッシュ, 61,吉田稔, 2.0, 63,   6, -11, 5, 10.9,⑧⑯⑯,11, 2,Ｐリノｰンランプ, 60,北村友, 2.2, 63,   3, -10, 9, 26.8,⑦⑪⑫
