09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,初夢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,330円 3連複:810円 3連単:4,100円",,,,,,,,,,,,"馬単:370円 3連複:1,170円 3連単:2,690円",,,,,,,,,,,,"馬単:21,560円 3連複:26,870円 3連単:174,710円",,,,,,,,,,,,"馬単:800円 3連複:4,530円 3連単:12,640円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾎﾟﾆﾁ賞京都金杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄメイショウマレンゴ, 61,藤岡佑,, 65,  -4,* 12, 2,  7.2, ⑧⑥, 1,14,Ｊロイヤルネックレス, 46,安藤勝,, 55,*-15,  -2, 6, 22.3, ④④, 1,11,Ｂハｰドシｰキング, 82,後藤浩,, 79,*  3,* 19, 2,  3.4,⑦④③, 1, 8,Ｂタマモサポｰト, 93,津村明,, 94,  18,   8, 7, 13.8, ③③
 2, 1,Ｂプライムパレス, 64,和田竜, 0.2, 63,*  9,  -3, 3,  8.4, ①①, 2, 1,Ｂブルｰモｰリシャス, 64,藤岡佑, 0.0, 58, -17,*  3, 2,  5.8, ⑤⑤, 2, 4,Ｌタガノボｰディング, 56,安藤勝, 0.0, 77,*  4,  17, 6, 15.9,①①①, 2, 2,Ｃマルカシェンク, 91,福永祐, 0.3, 90,  11,* 14, 3,  6.6, ⑩⑪
 3, 7,Ｋヘリオスシチｰ, 49,小牧太, 0.3, 64,  -6,* 12, 6, 51.7, ⑪⑨, 3, 6,Ａダノンフィｰバｰ, 65,武豊  , 0.1, 52,*-14,  -8, 1,  1.5, ①①, 3, 3,Ａプロフェッショナル, 82,川田将, 0.1, 80,   2,* 22, 1,  3.1,⑫⑫⑧, 3, 5,Ｄファリダット, 90,四位洋, 0.4, 89,   8,* 18, 2,  6.0, ⑯⑯
 4,10,Ｌスナｰクレナｰド, 48,秋山真, 0.6, 60,   0,   3,14,225.5, ⑥⑤, 4,11,Ｆタカラサンデｰ, 55,後藤浩, 0.3, 53, -18,  -2, 4, 11.6, ⑦⑦, 4,10,Ｃエイシンヴァイデン, 81,小牧太, 0.2, 79,*  4,  16, 4,  6.0,②②②, 4, 1,Ｊアドマイヤオｰラ, 86,安藤勝, 0.5, 87,  14,   7, 1,  3.6, ⑧⑥
 5, 3,Ｇグリッタｰアイス, 51,幸英明, 0.7, 59,*  5,  -3, 7, 76.2, ③③, 5, 4,Ｇオウケンマジック, 54,秋山真, 0.5, 53, -19,  -2, 5, 21.4, ⑨⑧, 5, 7,Ｅフォｰティファイド, 77,武豊  , 0.3, 77,*  3,  17, 3,  5.4,③③④, 5,13,Ｉバトルバニヤン, 86,幸英明, 0.6, 87,  13,   5, 6,  9.7, ⑪⑩
 6,14,Ａゼットオｰラ, 77,池添謙, 1.0, 56,*  9,  -9, 1,  1.3, ②②, 6, 5,Ｈブルｰスタｰキング, 51,川田将, 0.5, 55, -22,*  4, 9, 94.3, ⑬⑬, 6, 8,Ｊナムラグロｰリｰ, 71,田中健, 0.4, 77,   2,  18,11, 94.0,⑧⑦⑥, 6,12,Ｈナスノストロｰク, 87,小牧太, 0.7, 85,  11,   9,16, 87.9, ⑭⑫
