09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,内外ﾀｲﾑｽ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:59,110円 3連複:32,830円 3連単:299,610円",,,,,,,,,,,,"馬単:3,870円 3連複:7,540円 3連単:39,100円",,,,,,,,,,,,"馬単:89,990円 3連複:31,920円 3連単:358,020円",,,,,,,,,,,,"馬単:3,480円 3連複:83,650円 3連単:312,040円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山記念 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａスギノブレイド, 70,横山典,, 65,*-13,* 22, 1,  1.4,④③③, 1, 9,Ｄサニｰサンデｰ, 59,吉田隼,, 69,*  2,*  1, 5, 11.0,①①①, 1,14,Ａニシノブルｰムｰン, 80,北村宏,, 73,  -1,*  5, 2,  3.7,⑤⑥③, 1, 2,Ａカンパニｰ, 97,横山典,, 95,*  8,  20, 1,  3.6,②②②
 2, 2,Ｃカズノロマン, 60,内田博, 0.4, 62,*-12,  17, 2,  4.1,①①①, 2,15,Ｂマイネルエデン, 64,松岡正, 0.6, 62,*  0,  -5, 1,  2.2,②②②, 2, 1,Ｐダノンマスタｰズ, 49,後藤浩, 0.1, 73,*  1,   1, 7, 20.6,②②②, 2, 5,Ｇドリｰムジャｰニｰ, 84,池添謙, 0.0,103,   4,* 30, 4,  6.2,⑦⑧⑧
 3, 4,Ｂホットコｰヒｰ, 61,後藤浩, 0.6, 60, -14,* 19, 4, 11.5,⑦⑤⑤, 3, 3,Ｆマイネルアウストロ, 53,内田博, 0.7, 63,  -4,*  1, 3,  6.3,⑦⑤⑤, 3,11,Ｆレッズフィｰルド, 70,小野寺, 0.1, 74,  -1,   4, 4, 10.8,⑦⑤④, 3, 6,Ｃアドマイヤフジ, 93,川田将, 0.1, 95,*  7,  19, 2,  4.0,③③③
 4, 7,Ｉメジロハイヌｰン, 42,吉田豊, 0.8, 60,*-12,  14, 3, 10.6,②②②, 4, 1,Ｋサマｰセレブリティ, 49,津村明, 1.0, 59,  -2,  -6, 9, 69.0,③③③, 4, 8,Ｍギムレットアイ, 62,岩田康, 0.1, 75,  -1,*  5, 5, 17.0,④④⑥, 4, 3,Ｂキングストレイル, 96,北村宏, 0.1, 90,*  9,  15, 5,  8.0,①①①
 5, 1,Ｌダイワハンタｰ, 34,北村宏, 1.3, 55,*-13,  12, 5, 20.5,③④④, 5, 7,Ｇエアダｰミ, 52,小野寺, 1.2, 57,  -6,* -1, 7, 23.4,⑭⑪⑨, 5, 2,Ｉグランデスピリッツ, 70,勝浦正, 0.1, 78,  -2,*  8,10, 45.3,⑩⑪⑧, 5, 7,Ｄエアシェイディ, 93,後藤浩, 0.3, 94,   5,  21, 3,  4.5,⑤⑤④
 6,10,Ｅブラックバロン, 50,佐藤聖, 1.9, 52, -15,  10, 8, 69.3,⑧⑧⑧, 6, 5,Ｉヨイチラブソング, 50,江田照, 1.5, 54,  -8,  -2,10, 72.6,⑬⑭⑬, 6, 6,Ｃマイネルファヴｰル, 76,内田博, 0.4, 73,  -2,   4, 1,  2.6,⑪⑫⑨, 6,10,Ｆキャプテンベガ, 86,内田博, 0.7, 93,   4,  20, 7, 13.7,⑩⑨⑨
