09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,英彦山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃテイエムフラメンコ, 53,松山弘,, 63,*  6,  -3, 6, 14.5, ②③, 1, 5,Ａトウカイファミリｰ, 70,武豊  ,, 67,* -2,* 10, 1,  1.3,①①①, 1, 4,Ａグッドバニヤン, 78,和田竜,, 76,*-10,  22, 1,  1.6,②②②, 1,14,Ａトップコマチ, 80,松山弘,, 77,*  8,   7, 2,  3.3,③②①
 2,10,Ｄミラクルフェイマス, 51,和田竜, 0.4, 59,  -5,   1, 8, 28.1, ⑧⑥, 2, 6,Ｇテイエムミチシオ, 56,田中健, 0.0, 69,* -3,* 12, 3,  9.6,④③③, 2, 2,Ｆマイウエイ, 71,福永祐, 0.0, 76, -12,* 24, 2,  4.1,③⑤⑤, 2,15,Ｅアマゾネスバイオ, 74,国分恭, 0.1, 77,   5,* 13, 4, 14.3,⑬⑫⑤
 3,13,Ｅマチカネチハヤ, 45,鮫島良, 0.4, 59,   3,  -5, 2,  3.7, ④⑤, 3, 2,Ｈベルファム, 55,高野容, 0.8, 64,  -5,   9, 8, 55.2,⑥⑥⑤, 3, 7,Ｅトミケンプライム, 71,浜中俊, 0.3, 73,* -9,  17, 5, 15.0,⑧①①, 3, 5,Ｃメイショウアサガオ, 76,浜中俊, 0.3, 77,   5,* 12, 1,  3.1,⑫⑩⑨
 4, 6,Ｂドンスピリタス, 63,福永祐, 0.4, 60,*  6,  -8, 1,  2.5, ①①, 4, 1,Ｃデルバｰル, 62,松山弘, 0.9, 61,  -4,   5, 2,  6.9,③④②, 4, 1,Ｄメイショウグラｰド, 71,幸英明, 0.6, 70, -14,  18, 3,  6.3,⑤⑦⑦, 4, 3,Ｇキャナレット, 69,熊沢重, 0.6, 75,   4,* 11, 7, 25.0,⑭⑭⑪
 5, 5,Ｈパｰプルガルチ, 37,渡辺薫, 0.6, 57, -10,   2,13,237.4, ⑨⑨, 5, 7,Ｅナタｰシャ, 57,和田竜, 1.3, 60,  -4,   3, 7, 45.5,⑦⑤⑥, 5, 3,Ｃタマモランニング, 72,中村将, 0.7, 67, -12,  14, 6, 36.6,⑥⑥⑥, 5,13,Ｂウォｰタｰリング, 77,武豊  , 0.8, 73,   6,   5, 3,  3.9,⑨⑦⑦
 6,11,Ｉヤマイチステルス, 17,田嶋翔, 0.6, 57,   4,  -8,11,123.3, ③④, 6, 3,Ｄシゲルタカチホ, 58,野元昭, 1.8, 55,* -3,  -4, 6, 37.1,②②④, 6, 5,Ｈマッキｰサマンサ, 60,野元昭, 0.7, 70, -15,  20, 8,190.8,⑦⑧⑧, 6, 9,Ｎイタリアンオリｰブ, 56,酒井学, 1.5, 69,   6,   0, 9, 34.7,⑧⑧⑧
 7, 3, サルティンバンコ,---,藤岡康, 0.7, 56,  -3,  -4, 7, 18.5, ⑦②, 7, 4, ディｰプセｰマ,---,中村将, 2.2, 52,  -7,  -1, 4, 13.7,⑨⑨⑦, 7, 6,Ｇテイエムセイラン, 65,太宰啓, 1.3, 58,*-11,   4, 7, 58.1,④③③, 7, 8,Ｉイニミタブル, 66,田中健, 1.8, 66,*  7,  -6,15,304.3,⑥⑤④
