09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,020円 3連複:6,480円 3連単:25,280円",,,,,,,,,,,,"馬単:1,270円 3連複:1,400円 3連単:5,440円",,,,,,,,,,,,"馬単:19,800円 3連複:58,680円 3連単:250,120円",,,,,,,,,,,,"馬単:2,670円 3連複:7,340円 3連単:25,710円",,,,,,,,,,,
■ 2R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,甲東特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄシュペルブロマネ, 57,安藤勝,, 71,*  5,  -4, 2,  4.4, ②②, 1, 4,Ｄレディｰムスタング, 59,岩田康,, 67,*  1,   2, 3,  6.9,①①①, 1, 2,Ａスピリタス, 84,安藤勝,, 88,  -5,* 21, 1,  1.8, ⑦⑦, 1, 5,Ｄハイフィｰルド, 69,太宰啓,, 69,  -7,* 13, 5, 17.4, ⑮⑮
 2, 8,Ｃアドマイヤセレス, 58,川田将, 0.1, 71,   4,* -2, 4, 11.0, ③④, 2, 2,Ｂタガノバロナｰク, 66,松山弘, 0.4, 62,  -2,*  4, 2,  3.7,⑧⑦④, 2, 4,Ｂオセアニアボス, 79,武豊  , 0.4, 77,  -2,   9, 2,  2.8, ⑤④, 2,10,Ａテキｰラ, 74,岩崎祐, 0.1, 69,  -2,*  5, 3,  5.7, ⑪⑨
 3, 7,Ｈダイシンモｰド, 49,福永祐, 0.2, 69,   2,* -1, 6, 18.1, ⑥⑥, 3, 5,Ａツルマルノホシ, 75,武豊  , 0.7, 62,*  1,  -3, 1,  1.4,②②②, 3, 7,Ｃカノヤトップレディ, 78,小牧太, 0.5, 82,  -8,* 19, 4,  9.2, ⑧⑧, 3, 3,Ｆディアエンデバｰ, 68,武豊  , 0.2, 66,  -3,*  5, 1,  2.0, ⑩⑪
 4,11,Ｇブレイクヒストリｰ, 51,四位洋, 0.4, 67,   0,* -3, 3,  9.9, ⑩⑧, 4, 8,Ｅプルミエブｰケ, 51,赤木高, 2.7, 48,  -2, -15, 7,120.4,⑥⑥⑦, 4, 5,Ｄブライティアパルス, 74,藤岡康, 0.6, 72,*  2,   0, 3,  8.2, ②②, 4, 9,Ｅザリｰン, 69,国分恭, 0.4, 66,   2,  -4, 7, 18.0, ⑥⑥
 5, 1,Ｆケイティロｰレル, 55,野元昭, 0.7, 63,   1,  -7,10, 72.9, ⑧⑦, 5, 7,Ｇパｰプルミツバチ, 40,幸英明, 2.7, 49,  -1, -16, 6, 77.1,⑤⑤⑤, 5, 3,Ｅタケイチゼット, 72,幸英明, 0.9, 71,   0,  -1, 7, 45.8, ③③, 5, 7,Ｃハッピｰプレゼント, 71,赤木高, 0.6, 65,*  6, -12, 4,  9.9, ②②
 6, 3,Ｊツキヨ, 38,幸英明, 0.7, 64,  -2,* -3,11,197.5, ⑪⑪, 6, 1,Ｃネヴァオバマ, 65,鮫島良, 2.7, 49,  -1, -17, 4, 23.4,③④⑥, 6, 8,Ｇジャングルストｰン, 70,和田竜, 1.1, 69,  -4,   2, 6, 29.6, ⑥⑥, 6,15,Ｂデイブレイクスベル, 73,佐藤哲, 0.7, 60,  -4,   1,10, 42.5, ⑭⑫
