09年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9, 1,Ｇキｰププロミス, 50,丹内祐, 2.4, 44,  -6,  -9, 9,133.9, ⑦⑦, 9,13, サクラハｰレｰ,,宗像徹,206.3,,,, 8, 43.9,⑭⑬⑫, 9, 4, サｰチリザルト,---,三浦皇, 0.9, 65,  -6,*  4, 9, 25.5,⑪⑭⑭, 9, 8,Ｅエリモファイナル, 82,岩田康, 0.7, 78,   0,  12, 3,  5.0,⑤⑤⑤
10, 6,Ｍテンシノリｰダｰ, 33,池崎祐, 3.2, 37,  -6, -18,14,457.3, ⑥⑥,10, 8, オジジアンクリス,,水出大,206.5,,,,13,103.3,⑦⑦⑦,10,11,Ｈニシノマルス, 65,江田照, 0.9, 63,  -3,   0, 7, 14.3,⑮⑬⑬,10,11,Ｆラズベリｰタイム, 80,御神本, 0.8, 81,  -3,  17,11, 46.1,⑨⑨⑩
11,15,Ｊマカディシチｰ, 46,草野太, 3.3, 37, -12, -12,12,275.4, ⑩⑨,11,14, ニュｰヨｰカｰ,,高野和,206.8,,,, 7, 26.2,⑫⑪⑪,11, 2,Ｄカピタｰノ, 69,御神本, 1.0, 63,  -3,  -2, 4, 11.6,⑤⑫⑫,11, 5,Ｉクラクエンスキｰ, 75,松田大, 3.3, 50,  -4, -16, 9, 26.2,⑪⑪⑪
12,14,Ｌショウナンラルジュ, 39,松岡正, 3.7, 33, -14, -14, 8,119.8, ⑫⑬,12, 4, ベルモントバレット,,蓑島靖,207.4,,,, 9, 44.8,⑥⑥⑥,12,14,Ｋエｰシントゥルボｰ, 63,中舘英, 1.2, 61,  -1,  -9, 8, 18.9,⑬⑨⑩,,,,,,,,,,,,
13,13,Ｎペルセポネ, 29,伊藤工, 4.5, 26, -11, -23,13,320.7, ⑨⑩,13,12, マイサンシャイン,,穂苅寿,210.1,,,, 5, 13.6,⑪⑫⑬,13, 7,Ｏクリプトゾｰン, 57,石橋脩, 1.2, 61,*  5, -18,16,119.5,②②②,,,,,,,,,,,,
14, 5,Ｋカシマモナｰク, 40,高山太, 4.9, 22, -18, -21,15,525.9, ⑬⑭,14, 9, アイノアラムシャｰ,,柴田大,214.6,,,,14,174.2,⑩⑭⑭,14,13,Ｇタツエンペラｰ, 66,大庭和, 2.0, 51,  -5, -13,15,115.5,⑨⑮⑮,,,,,,,,,,,,
15,11, ウェイビングパｰス,---,丸田恭, 5.1, 18, -44,   1,11,251.7, ⑮⑮,,,,,,,,,,,,,15, 6,Ｎサマｰタｰゲット, 58,柴山雄, 2.6, 46,  -8, -14,14,114.8,⑯⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｍリオ, 61,的場勇, 3.2, 36,*  7, -48,11, 33.4,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-9),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:7),,,,,,,,,,,
"単勝:1,220円 複勝:12=440円 07=180円 09=450円 枠連:2,030円",,,,,,,,,,,,単勝:670円 複勝:10=180円 06=120円 01=110円 枠連:820円,,,,,,,,,,,,"単勝:480円 複勝:03=190円 05=1,240円 10=880円 枠連:5,580円",,,,,,,,,,,,"単勝:620円 複勝:01=210円 10=160円 07=510円 枠連:1,250円",,,,,,,,,,,
"馬連:2,140円 ワイド:07-12=570円 09-12=860円 07-09=570円",,,,,,,,,,,,馬連:970円 ワイド:06-10=370円 01-10=300円 01-06=150円,,,,,,,,,,,,"馬連:7,710円 ワイド:03-05=2,190円 03-10=2,400円 05-10=11,770円",,,,,,,,,,,,"馬連:1,260円 ワイド:01-10=500円 01-07=1,780円 07-10=1,090円",,,,,,,,,,,
"馬単:5,530円 3連複:3,840円 3連単:29,060円",,,,,,,,,,,,"馬単:2,510円 3連複:680円 3連単:5,510円",,,,,,,,,,,,"馬単:14,080円 3連複:96,020円 3連単:417,090円",,,,,,,,,,,,"馬単:2,880円 3連複:8,190円 3連単:42,610円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕刊ﾌｼﾞｵｰｼｬﾝS ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａウィニングトリック, 63,後藤浩,, 62,*  4,  -3, 1,  3.5,②②②, 1, 7,Ｅアイスジャッカ, 55,木幡初,, 66,* -4,   0, 5, 12.3,①①①, 1, 6,Ａフレンチノワｰル, 83,田辺裕,, 75,*  7,  11, 1,  3.2,③①①, 1, 7,Ｃアｰバニティ, 89,横山典,, 82,  12,   9, 3,  6.2, ⑦⑦
 2, 5,Ｉクリｰバレン, 47,松岡正, 0.1, 63,   2,*  0, 7, 12.6,⑩⑦⑧, 2, 2,Ｂキングヴィオラ, 62,内田博, 0.1, 70,  -8,*  9, 3,  4.4,⑧⑨⑧, 2, 7,Ｃグラマトフィラム, 79,勝浦正, 0.2, 78,   5,* 12, 8, 12.7,⑥⑦⑦, 2, 1,Ｅコスモベル, 84,佐藤哲, 0.1, 83,  15,   5, 6, 17.7, ⑤③
 3, 9,Ｈプラチナタイム, 54,北村宏, 0.2, 63,   3,* -1, 8, 16.4,⑨⑧⑨, 3, 1,Ａマイネルアヴァル, 63,津村明, 0.2, 66,* -5,   2, 4,  5.8,③④④, 3, 3,Ｅケｰジｰハッピｰ, 78,三浦皇, 0.6, 74,   5,   9, 5,  9.1,⑧⑤⑤, 3,14,Ｐアポロドルチェ, 74,勝浦正, 0.1, 82,  10,  10, 5,  9.7, ⑪⑪
 4,11,Ｊツクバチャｰム, 46,菊沢隆, 0.3, 62,*  3,  -5,11,118.1,⑦④⑤, 4,12,Ｃダイワハスラｰ, 62,後藤浩, 0.4, 63,  -7,   1, 1,  2.5,⑨⑦⑦, 4,11,Ｇマリアｰジュ, 77,丸田恭, 0.6, 74,   5,   9,10, 37.1,⑦⑧⑧, 4,13,Ｄソルジャｰズソング, 86,松岡正, 0.1, 80,   7,* 13, 8, 20.4, ⑬⑬
 5, 2,Ｂエイシンワｰルド, 61,田辺裕, 0.7, 57,   2,  -4, 6, 10.7,⑤⑨⑥, 5,11,Ｈブルｰムインハｰト, 47,小林淳, 0.5, 63,  -8,   2, 9, 91.2,⑦⑩⑨, 5, 1,Ｋラストアロｰ, 74,松岡正, 0.7, 76,   2,* 16, 9, 17.3,⑬⑫⑪, 5,11,Ｂサｰプラスシンガｰ, 89,四位洋, 0.2, 84,* 19,   0, 2,  5.0, ①①
 6, 8,Ｄザバトルキリｰク, 58,佐藤哲, 1.5, 53,*  3, -14, 3,  6.8,④⑤③, 6, 3,Ｋトラストブルｰ, 39,三浦皇, 0.5, 63,* -5,  -2, 7, 33.9,⑥⑤⑤, 6,15,Ｈセイリングシップ, 76,千葉直, 0.8, 71,   4,  10,11, 47.7,⑩⑨⑨, 6,16,Ｆモルトグランデ, 84,蛯名正, 0.2, 81,  12,   6, 4,  8.0, ⑨⑨
 7,10,Ｃナムラカクレイ, 58,伊藤直, 1.6, 53,*  3, -14, 5,  9.0,⑥⑥④, 7, 9,Ｄレッドシャドウ, 61,国分優, 0.8, 57,* -6,  -8, 2,  4.1,④③③, 7, 5,Ｉトワイライトワルツ, 75,田中博, 0.8, 74,   3,  11,14,134.0,⑨⑩⑩, 7, 3,Ｈコレデイイノダ, 84,内田博, 0.2, 79,   6,* 13,12, 38.9, ⑭⑫
 8, 4,Ｋケイオｰスタｰ, 44,御神本, 1.7, 53,  -1,  -8,10,108.9,⑪⑪⑪, 8, 4,Ｌガイアディｰヴァ, 38,伊藤工, 1.6, 53, -11,  -6,12,202.6,⑪⑫⑩, 8, 9,Ｄスズノメヒョｰ, 78,蛯名正, 0.9, 72,   6,   5, 3,  6.8,④④③, 8, 4,Ｎサンダルフォン, 80,古川吉, 0.3, 76,   3,* 14,13, 48.1, ⑯⑯
 9, 6,Ｆイルサルト, 55,中舘英, 1.8, 51,*  3, -17, 2,  3.5,③③⑦, 9, 5,Ｎトｰセンメジャｰ, 34,田中勝, 1.7, 54, -12,  -5,11,138.9,⑭⑭⑭, 9, 4,Ｂトップコマチ, 80,宮崎北, 0.9, 73,   5,   7, 6, 11.1,⑤⑥⑥, 9,10,Ｋアポロフェニックス, 80,柴田善, 0.3, 80,  14,   4,10, 33.1, ⑧⑧
10, 3,Ｅキタサンラリｰ, 58,内田博, 2.2, 48,*  4, -22, 4,  6.8,①①①,10,10,Ｆケｰジｰカチボシ, 54,蛯名正, 2.0, 44,  -7, -22, 6, 24.3,⑩⑥⑥,10,12,Ｊブルｰポラリス, 75,武士沢, 1.2, 71,   2,   9,13,132.5,⑪⑪⑫,10, 9,Ａキンシャサノキセキ, 91,岩田康, 0.3, 82,* 18,   0, 1,  2.9, ②②
11, 1,Ｇマハロヌイロア, 55,村田一, 2.8, 48,  -1, -17, 9, 29.9,⑧⑩⑩,11,14,Ｉショウナンアッパｰ, 43,柴田善, 2.0, 42,* -4, -26, 8, 66.8,②②②,11, 2,Ｌナショナルホリデｰ, 72,後藤浩, 1.2, 70,   1,  11, 4,  7.8,⑫⑬⑬,11, 2,Ｉヘッドライナｰ, 82,三浦皇, 0.4, 77,   9,   8, 7, 18.9, ⑩⑩
12, 7,Ｌイキケンコウ, 37,高山太, 8.7, 17, -11, -46,12,402.1,⑫⑫⑫,12, 6,Ｇバンブｰキャプテン, 50,高山太, 2.4, 41,  -9, -22,10, 92.6,⑫⑪⑪,12,10,Ｆグッドチョイス, 78,横山典, 1.5, 67,*  7,  -2, 2,  5.9,①②②,12, 6,Ｌアイルラヴァゲイン, 80,津村明, 0.5, 79,  16,  -1, 9, 26.2, ⑥④
,,,,,,,,,,,,13,13,Ｊタニオブデピュティ, 40,宮崎北, 2.7, 38, -11, -23,14,321.0,⑬⑬⑬,13,13,Ｎフロｰレストウブ, 70,大庭和, 2.4, 64,  -1,   6,12,117.0,⑭⑭⑭,13,12,Ｊプレミアムボックス, 81,吉田隼, 0.6, 78,* 18,  -4,11, 38.9, ③⑤
,,,,,,,,,,,,14, 8,Ｍクリストリビュｰト, 35,石橋脩, 4.7, 25,  -6, -58,13,276.6,⑤⑧⑫,14,14,Ｍロマンシエｰル, 72,内田博, 2.7, 61,*  7, -11, 7, 11.2,②③④,14, 5,Ｍタマモホットプレイ, 80,石橋脩, 0.6, 74,   5,   9,16,150.2, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｇマチカネハヤテ, 84,田中克, 1.6, 62,   7,  -6,14, 77.1, ⑫⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｏコパノフウジン, 76,中舘英, 1.8, 65,* 18, -19,15,147.4, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:7),,,,,,,,,,,
単勝:350円 複勝:12=170円 05=310円 09=500円 枠連:390円,,,,,,,,,,,,"単勝:1,230円 複勝:07=320円 02=160円 01=180円 枠連:2,060円",,,,,,,,,,,,"単勝:320円 複勝:06=150円 07=270円 03=220円 枠連:1,810円",,,,,,,,,,,,"単勝:620円 複勝:07=250円 01=530円 14=340円 枠連:2,140円",,,,,,,,,,,
"馬連:2,740円 ワイド:05-12=1,050円 09-12=970円 05-09=3,210円",,,,,,,,,,,,"馬連:1,960円 ワイド:02-07=720円 01-07=730円 01-02=380円",,,,,,,,,,,,"馬連:1,650円 ワイド:06-07=570円 03-06=670円 03-07=1,150円",,,,,,,,,,,,"馬連:6,160円 ワイド:01-07=2,070円 07-14=1,350円 01-14=2,160円",,,,,,,,,,,
"馬単:4,050円 3連複:13,700円 3連単:54,830円",,,,,,,,,,,,"馬単:4,760円 3連複:3,010円 3連単:20,700円",,,,,,,,,,,,"馬単:2,610円 3連複:3,700円 3連単:17,750円",,,,,,,,,,,,"馬単:10,570円 3連複:20,610円 3連単:122,800円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,黄梅賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, スラマティンガル,---,丹内祐,, 61,* -5,*  5, 4,  6.5,②②②, 1, 6,Ｄゴｰルドエンデバｰ, 74,御神本,, 70,   7,*  6, 5,  9.0, ⑤④, 1, 7,Ｂサトノロマネ, 74,蛯名正,, 78,* 16,  -5, 2,  3.7,①①①, 1,15,Ａジェイケイボストン, 82,江田照,, 79,   3,* 11, 1,  1.8, ⑥④
 2, 1, キッズアプロｰズ,---,田中勝, 0.3, 59,  -6,*  5, 7, 13.6,⑧⑦⑦, 2,11,Ｃティアップハｰレｰ, 75,蛯名正, 0.1, 70,*  9,   4, 2,  4.4, ②②, 2,13,Ａストロングリタｰン, 75,内田博, 0.3, 75,   6,*  6, 1,  3.3,⑫⑫⑧, 2,12,Ｂツウカイヤスナム, 82,田中勝, 0.4, 74,*  6,   5, 4, 11.9, ②②
 3,12, タントアンドタント,---,後藤浩, 0.6, 56,* -3,  -1, 3,  5.5,①①①, 3, 3,Ａモアザンスマｰト, 80,三浦皇, 0.2, 69,*  9,   3, 1,  3.2, ①①, 3, 8,Ｃダノンヒデキ, 70,松岡正, 0.5, 72,* 13,  -6, 4, 12.9,②③②, 3, 3,Ｅディスパｰロ, 76,御神本, 0.7, 72,   2,   6, 5, 12.5, ⑦⑥
 4,10, フットライト,---,的場勇, 1.0, 55,  -6,   0,12, 92.3,⑫⑩⑨, 4,10,Ｋメイショウマレンゴ, 64,古川吉, 0.7, 63,   1,*  5, 8, 17.7, ⑨⑨, 4, 5,Ｌモンテアルベルト, 55,柴田善, 0.7, 71,   2,*  9, 7, 19.9,⑯⑮⑮, 4,13,Ｍデュアルプロセッサ, 70,木幡初, 0.9, 70,   1,   5, 3,  8.1, ⑨⑦
 5,11, アｰルノミネｰト,---,草野太, 1.0, 54,* -5,  -3,14,131.5,④④④, 5, 5,Ｉフェイクスタｰ, 67,江田照, 0.9, 63,   7,  -2, 6, 11.0, ④③, 5,12,Ｄダブルレインボｰ, 70,三浦皇, 0.7, 71,   7,   1, 3,  4.0,⑪⑪⑫, 5, 9,Ｈアクロスザスタｰ, 73,岩田康, 0.9, 70,   1,   5, 2,  7.1, ⑧⑩
 6, 8, ベルモントアシュラ,---,内田博, 1.3, 52,* -5,  -5, 6,  8.5,③③③, 6,14,Ｅコスモオｰ, 74,松岡正, 1.0, 60,   6,  -2, 4,  7.6, ⑥⑤, 6, 6,Ｋクリアソウル, 56,石橋脩, 1.0, 69,   7,  -1, 9, 31.5,⑬⑬⑪, 6, 2,Ｇラオムフェｰレ, 74,勝浦正, 0.9, 71,   0,   6, 7, 20.1, ⑩⑧
 7, 3, ユウタｰグロｰバル,---,柴田善, 1.4, 55, -10,*  4,11, 58.6,⑮⑬⑫, 7, 8,Ｇチェアユｰアップ, 68,丸田恭, 1.2, 56,  -2,   4,11, 49.9, ⑫⑪, 7,11,Ｉエアパグナス, 57,後藤浩, 1.1, 66,   6,  -1,10, 34.3,⑭⑭⑬, 7, 6,Ｆスイｰトフィズ, 75,蛯名正, 1.0, 69,  -3,*  8, 6, 14.6, ⑬⑪
 8, 6, ウインヘリオス,---,松岡正, 1.5, 51,  -6,  -6, 1,  4.1,⑥⑥⑥, 8, 4,Ｊクイックハンタｰ, 65,石橋脩, 1.3, 56,  -1,   3,12,132.5, ⑪⑩, 8,14,Ｅシングンレジェンド, 67,柴山雄, 1.3, 63,* 14, -17,11, 45.6,④④④, 8,10,Ｉファインセンテンス, 73,柴山雄, 1.2, 69,*  5,  -1,15,103.1, ③③
 9,13, インザブラック,---,蛯名正, 1.6, 50,  -6,  -7, 2,  5.3,⑦⑧⑧, 9, 7,Ｌディパｰチャｰズ, 63,横山典, 1.3, 57,   2,  -1, 3,  6.4, ⑧⑧, 9, 2,Ｎショウナンサミット, 45,中舘英, 1.5, 63,  10, -14,13, 58.1,⑦⑥⑥, 9, 7,Ｌリュウメイ, 72,柴田善, 1.2, 68,  -4,   7, 8, 33.6, ⑮⑭
10,15, シャイニｰデザｰト,---,勝浦正, 1.7, 51,  -7,  -5, 8, 15.6,⑪⑪⑩,10,13,Ｈチャｰミングオｰラ, 68,中舘英, 1.7, 54,   5,  -7, 7, 11.5, ⑦⑦,10, 1,Ｊスノｰレｰザｰ, 56,郷原洋, 1.6, 59,   8, -13,15,152.1,⑩⑩⑩,10, 5,Ｎオｰプンザゲｰト, 69,中舘英, 1.3, 67,   3,   0,16,109.3, ④⑤
11, 2, コスモナミソラ,---,国分優, 1.8, 49,  -7,  -6, 9, 32.4,⑩⑨⑪,11, 9,Ｍブラウンバンガｰ, 56,宮崎北, 2.1, 48,  -2,  -4,14,389.9, ⑬⑫,11, 9,Ｇメジロスプレンダｰ, 59,勝浦正, 1.7, 59,  11, -19,12, 48.4,⑥⑧⑦,11, 1,Ｐミンナシアワセ, 68,古川吉, 1.4, 67,  -5,   6,13, 82.5, ⑭⑯
12,14, ゴｰルデンステップ,---,木幡初, 2.8, 42,* -5, -18, 5,  8.0,⑤⑤⑤,12,12,Ｂユウキハングリｰ, 76,郷原洋, 2.2, 48,   1,  -8,10, 36.8, ⑩⑬,12, 4,Ｈリリアｰレ, 58,田中勝, 1.7, 59,   9, -17, 5, 15.3,⑧⑨⑨,12, 8,Ｃトウカイカントリｰ, 79,小野寺, 1.5, 64,  -4,   4,10, 51.7, ⑯⑮
13,16, アポロファンキｰ,---,田辺裕, 3.8, 34, -12, -14,15,136.3,⑬⑭⑬,13, 2,Ｆフライトマイル, 70,西田雄, 2.2, 49,   6, -12, 9, 36.1, ③⑥,13,15,Ｍヴィｰヴァヴォドカ, 48,吉田隼, 2.1, 53,  12, -27, 6, 16.8,⑨⑤⑤,13,14,Ｋトｰホウカラブラン, 72,小野次, 1.5, 65,   3,  -2,14, 86.8, ⑤⑨
14, 4, バラディｰ,---,小林淳, 4.2, 37, -14, -12,13,119.7,⑭⑮⑮,14, 1,Ｎサンロｰド, 31,加藤士, 2.4, 46,  -4,  -4,13,267.2, ⑭⑭,14, 3, テンシノオクリモノ,---,御神本, 2.4, 51,  -2,  -9,14, 90.0,⑮⑯⑯,14, 4,Ｄトップオブドｰラ, 78,伊藤工, 1.9, 61,  -1,  -2, 9, 34.1, ⑪⑫
15, 5, ユノマニッシュ,---,石橋脩, 7.5, 17,  -9, -50,10, 34.7,⑨⑫⑭,,,,,,,,,,,,,15,16,Ｆマイヨｰル, 65,津村明, 2.8, 46,* 15, -41, 8, 26.0,⑤②③,15,16,Ｏウェディングライト, 69,大野拓, 2.0, 62,   1,  -3,11, 74.1, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｏリリｰオブザバリｰ, 35,丸山元, 4.1, 34,  11, -52,16,270.7,③⑦⑭,16,11,Ｊハナパック, 73,後藤浩, 2.8, 52,*  6, -16,12, 77.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
