09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,山国川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:13,600円 3連複:9,060円 3連単:71,920円",,,,,,,,,,,,"馬単:3,640円 3連複:5,610円 3連単:27,040円",,,,,,,,,,,,"馬単:11,040円 3連複:128,250円 3連単:428,200円",,,,,,,,,,,,"馬単:4,910円 3連複:9,300円 3連単:59,910円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,周防灘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆウインリｰズン, 56,松田大,, 59, -16,*  6, 3,  7.1, ⑫⑦, 1, 4,Ｊドリｰムプレイ, 65,田辺裕,, 67,*  8,   0, 8, 17.4,⑤③①, 1,10,Ｂクリｰルバレット, 70,黛弘人,, 70,* -8,  11, 5, 13.0, ②③, 1, 3,Ｅシャウトライン, 73,浜中俊,, 76,  -2,  12, 2,  4.7, ④④
 2, 5,Ｇリディック, 55,上村洋, 0.3, 56,*-10,  -3, 5, 12.5, ③②, 2,14,Ｃクレアシオン, 72,浜中俊, 0.1, 70,   6,*  2, 2,  3.9,⑬⑨⑦, 2, 4,Ｃデュヌラルテ, 68,二本柳, 0.1, 70, -11,* 12, 3,  7.9, ⑤②, 2,11,Ｈメイショウカｰタｰ, 71,難波剛, 0.2, 74, -11,* 18, 5,  9.7, ⑬⑩
 3, 7,Ｉショウナンアトム, 48,荻野琢, 0.4, 53, -13,  -2,14,223.0, ⑧⑨, 3, 3,Ｅメイショウシオギリ, 68,安藤光, 0.2, 67,   4,*  3, 3,  5.8,⑪⑬⑩, 3, 9,Ｅユキノハボタン, 67,浜中俊, 0.1, 70, -12,* 13, 1,  2.5, ⑨⑥, 3,12,Ｊクレバｰジェフリｰ, 71,北村友, 0.2, 76, -13,* 21,13, 34.3, ⑮⑬
 4, 4,Ａコクトｰ, 62,田面木, 0.4, 53,* -8,  -7, 2,  6.1, ①①, 4, 1,Ａロッソトウショウ, 76,松田大, 0.3, 71,   3,*  4, 1,  2.9,⑮⑭⑪, 4,14,Ｈクレバｰデュｰク, 66,北村友, 0.3, 67, -11,   9, 6, 15.0, ⑥⑦, 4,10,Ｉセフティバｰニング, 71,藤岡康, 0.5, 69,*  3,   2,12, 30.5, ①①
 5, 6,Ｃスプリングアウェク, 59,中舘英, 0.6, 51, -12,  -6, 1,  1.7, ⑤⑥, 5,15,Ｄシンデレラロマンス, 70,藤岡康, 0.3, 68,   6,   0, 7, 14.2,⑫⑩③, 5,15,Ａシティボス, 70,太宰啓, 0.3, 68, -12,  11, 2,  5.2, ⑩⑩, 5,15,Ｂメイショウロｰラン, 76,長谷川, 0.5, 71, -13,  17, 1,  4.7, ⑯⑮
 6,10,Ｅトｰアクレセント, 57,藤岡康, 0.8, 47, -12,  -8, 6, 16.1, ⑥⑤, 6,10,Ｇラクシュミｰギャル, 67,北村友, 1.1, 61,   6,  -7, 5, 11.4,⑦⑧⑨, 6, 8,Ｎヤマニンファンシｰ, 59,藤岡康, 0.4, 65,* -7,   4,10, 35.5, ①①, 6, 6,Ｋトッケンショウブ, 69,丸田恭, 0.5, 68, -11,  14,18, 79.5, ⑫⑨
 7, 1,Ｈコウセイグレイト, 53,荻野要, 1.0, 45, -15,  -9, 7, 48.7, ⑦⑧, 7, 8,Ｐイエロｰキン, 35,宮崎北, 1.2, 61,*  8, -11,12,102.0,④②②, 7, 7,Ｇロングゼネラル, 67,河北通, 0.6, 64, -19,* 14, 9, 20.1, ⑯⑬, 7, 4,Ｎヨシサプライズ, 67,田中博, 0.5, 71,  -9,  14, 8, 16.2, ⑩⑧
