09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,香住特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａファンドリカップ, 68,幸英明,, 64,* -5,*  5, 2,  2.4, ②②, 1,10,Ａダノンフィｰバｰ, 71,岩田康,, 65,*  3,  -2, 1,  1.3, ①①, 1, 8,Ｅウインヴェロシティ, 70,武豊  ,, 79,* -7,  18, 1,  1.9,②②①, 1, 7,Ａブレイブファイト, 75,岩田康,, 81,  -6,* 18, 1,  1.6, ⑫⑩
 2, 9,Ｅメイショウフレアｰ, 48,福永祐, 0.1, 64,* -6,*  5, 3,  8.0, ③③, 2,14,Ｂラプタｰストｰム, 65,藤岡康, 0.1, 64,   1,   0, 2,  9.1, ⑤⑥, 2, 2,Ａマイネトゥインクル, 77,幸英明, 0.0, 84,* -8,* 23, 2,  3.9,⑦⑦③, 2, 9,Ｈリｰガルアミュｰズ, 63,川田将, 0.1, 79,  -4,* 13, 7, 36.0, ⑧⑧
 3,15,Ｂジョｰシンドバッド, 60,武豊  , 0.3, 61,  -7,*  4, 1,  2.0, ④④, 3,15,Ｃハｰドイチオｰ, 64,浜中俊, 0.1, 65,*  2,  -1, 4, 16.1, ⑥③, 3, 1,Ｂエｰケｰサンライズ, 76,和田竜, 0.3, 82,  -9,* 23, 3,  4.7,⑤⑥⑤, 3,12,Ｄモンサンミシェル, 69,松山弘, 0.2, 77,  -4,  11, 5, 12.5, ⑨⑨
 4,12,Ｊマキハタスプｰン, 45,高井彰, 1.1, 54,* -4,  -7,16,345.7, ①①, 4,13,Ｇシゲルアソサン, 58,角田晃, 0.1, 65,*  2,  -2,10,119.8, ②②, 4, 7,Ｆヨドノヒｰロｰ, 68,浜中俊, 0.6, 74,* -8,  13, 6, 17.8,⑥③②, 4, 8,Ｃスズカジェット, 69,藤岡康, 0.5, 74,  -5,  10, 4,  8.4, ⑩⑪
 5, 4,Ｆロングワイズ, 48,安藤光, 1.2, 52, -14,   2, 8, 70.6, ⑦⑧, 5, 9,Ｈクレバｰトウショウ, 57,川田将, 0.2, 64,   1,   0, 3,  9.8, ④⑤, 5, 9,Ｄメイショウグラｰド, 73,岩田康, 0.9, 70,* -8,  11, 5, 15.8,①①④, 5, 6,Ｊテイエムリュウジン, 61,太宰啓, 0.7, 70,  -3,   1, 9, 74.2, ⑤⑤
 6, 5,Ｇフォレストルｰラｰ, 46,熊沢重, 1.2, 54, -12,   1, 6, 35.5, ⑥⑥, 6, 7,Ｅトウショウデザイア, 60,中村将, 0.2, 64,*  2,  -2, 6, 18.7, ③④, 6, 5,Ｇワンダｰパｰトナ, 62,田村太, 1.0, 74,  -9,  15, 8,129.9,④⑤⑦, 6, 1,Ｉタガノバッチグｰ, 63,田中健, 0.7, 69,  -3,   0, 8, 45.9, ④④
 7,14,Ｈミラクルフェイマス, 46,浜中俊, 1.5, 51, -10,  -4,11,116.2, ⑤⑤, 7, 4,Ｄホクセツテンシ, 61,和田竜, 0.5, 62,  -1,  -1, 5, 18.4, ⑦⑦, 7, 3,Ｈスズカクリアｰ, 61,熊沢重, 1.3, 70, -11,  13, 9,131.0,⑧⑧⑧, 7, 5,Ｍシシャモフレンド, 55,国分恭, 0.9, 68,  -4,   1,11, 84.8, ⑦⑦
 8, 8,Ｉサンマルエミネム, 46,野元昭, 1.9, 47, -18,   1,13,172.4, ⑬⑭, 8, 8,Ｆホッコｰフクヒメ, 59,渡辺薫, 1.0, 60,  -8,*  3, 7, 60.9, ⑪⑪, 8, 6,Ｉインダストリアル, 61,上村洋, 1.5, 64, -10,   5, 7, 46.1,③④⑥, 8,10,Ｆアコニットライアン, 66,和田竜, 0.9, 70,  -5,   5, 6, 23.3, ⑪⑫
