09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:6,020円 ワイド:02-05=1,370円 01-02=220円 01-05=500円",,,,,,,,,,,,馬連:660円 ワイド:02-10=290円 07-10=730円 02-07=480円,,,,,,,,,,,,"馬連:8,240円 ワイド:03-09=2,480円 06-09=1,220円 03-06=1,210円",,,,,,,,,,,,"馬連:3,580円 ワイド:07-13=1,180円 05-07=2,550円 05-13=790円",,,,,,,,,,,
"馬単:9,300円 3連複:2,220円 3連単:32,190円",,,,,,,,,,,,"馬単:1,630円 3連複:1,800円 3連単:9,190円",,,,,,,,,,,,"馬単:15,480円 3連複:16,420円 3連単:109,000円",,,,,,,,,,,,"馬単:11,430円 3連複:12,790円 3連単:104,730円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, メイショウセレット,,菊地昇,,,,, 1,  2.8,②②②, 1, 3,Ｇパワｰエｰス, 69,和田竜,, 76,*  5,*  8, 7, 28.4,③③①, 1, 4,Ｆワンダｰアキュｰト, 85,和田竜,, 87,* 11,* 13, 3,  7.2,③③③, 1, 1,Ｄリバｰアゲイン, 72,小牧太,, 72,  -3,* 12, 3,  5.1, ⑦⑧
 2,10, マッキｰケインズ,,佐久間,200.8,,,, 3,  4.4,⑧⑤⑤, 2, 8,Ｂアドマイヤアゲイン, 79,安藤勝, 0.2, 73,*  6,   6, 1,  1.7,④④②, 2,10,Ｂニュｰイチトク, 87,小牧太, 0.9, 81,* 13,   3, 1,  1.5,①①①, 2,13,Ｃカラメルマキアｰト, 73,福永祐, 0.2, 70,  -1,   8, 1,  2.8, ④③
 3, 8, キｰバイブル,,岩崎祐,200.9,,,, 7, 24.4,⑦⑥⑥, 3, 5,Ａロｰレルレガリス, 79,田中健, 0.6, 73,   2,*  9, 2,  3.3,⑤⑨⑦, 3, 2,Ｅエタｰナルスマイル, 85,松岡正, 1.1, 81,   7,* 12,11, 90.3,⑩⑨⑦, 3,12,Ｈヘリオスシチｰ, 68,浜中俊, 0.3, 70,  -3,   9, 6, 13.5, ⑥⑦
 4, 3, カシノアマゾネス,,金折知,201.4,,,, 6, 18.5,①①①, 4, 9,Ｃツルマルシルバｰ, 75,川田将, 0.7, 72,   3,   6, 3,  9.2,⑥⑧⑥, 4, 6,Ｄタｰトルベイ, 85,浜中俊, 1.3, 79,   9,   6, 7, 53.9,⑦⑥⑤, 4, 7,Ｆアンクルトップ, 69,佐久間, 0.3, 70,  -4,* 12,10, 64.4, ⑩⑤
 5, 4, キクカジュピタｰ,,今村康,201.4,,,, 4,  6.5,④④④, 5, 2,Ｅシｰクレバｰ, 73,国分恭, 0.9, 74,   2,   6, 6, 28.1,⑦⑥⑨, 5, 1,Ｉグランプリサクセス, 84,安藤勝, 1.5, 76,  10,   3, 4, 12.9,⑥⑤④, 5, 5,Ｊゴｰルドチェンジ, 66,鮫島良, 0.4, 69,  -1,   6, 5, 10.0, ③④
 6, 9, スズカカリズマ,,林満明,201.8,,,, 8, 25.7,③③③, 6, 1,Ｈソルモンタｰレ, 68,小林慎, 1.3, 67,*  5,  -2, 5, 15.2,①①④, 6, 9,Ａミダｰスタッチ, 92,福永祐, 1.6, 79,   6,  11, 2,  4.8,⑪⑪⑪, 6, 9,Ｋカシノマルス, 64,高野容, 0.6, 66,*  0,   2,13,140.4, ②②
 7, 1, エイユｰパッション,,高野容,202.4,,,, 5, 12.5,⑥⑦⑦, 7, 7,Ｄケンメイオウ, 73,後藤浩, 1.6, 65,   3,  -1, 4, 13.3,⑨⑦⑤, 7,13,Ｋツルマルビビッド, 83,太宰啓, 1.6, 79,   7,   9, 6, 51.5,⑨⑩⑨, 7,14,Ｌグランプリチェリｰ, 61,藤岡佑, 0.6, 66,  -4,   8, 8, 43.6, ⑧⑨
 8, 7, カシノレオン,,黒岩悠,204.0,,,,10, 79.8,⑤⑧⑧, 8, 6,Ｉウォｰタｰリメイン, 57,佐久間, 2.5, 60,*  5, -12, 8, 92.3,⑧⑤③, 8, 5,Ｈパｰプルイｰグル, 84,幸英明, 1.6, 78,   6,  11, 5, 23.5,⑫⑫⑩, 8, 2,Ｅエイシンダッシュ, 70,幸英明, 0.8, 66,  -6,   9, 7, 19.3, ⑬⑫
 9, 2, テイエムミステリｰ,,高井彰,204.6,,,, 9, 32.0,⑩⑩⑩, 9, 4,Ｆメイショウヨシムネ, 70,渡辺薫, 8.3, 30,   3, -59, 9,140.7,②②⑧, 9, 7,Ｍゲンパチタキオン, 80,後藤浩, 1.6, 78,   4,* 14,13,166.7,⑬⑬⑬, 9,10,Ｂスカイビュｰティｰ, 75,藤田伸, 1.1, 62,  -3,   2, 2,  4.2, ⑤⑥
10, 5, スリｰベイダｰ,,小坂忠,205.2,,,, 2,  3.8,⑨⑨⑨,,,,,,,,,,,,,10, 8,Ｇタガノエスペランサ, 84,橋本美, 1.9, 77,   8,   5,12,100.0,⑧⑧⑧,10, 4,Ｇウォルトンコクカ, 68,川島信, 1.3, 61,  -5,   4,14,184.6, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｌテンザンコノハナ, 81,田中克, 2.0, 75,* 12,  -5,10, 64.4,④②②,11,11,Ｎマルノリｰサ, 53,太宰啓, 1.4, 62,  -8,   7,11, 70.3, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｊスタｰフォワｰド, 84,岩田康, 3.9, 62,  10, -17, 9, 60.3,②④⑥,12, 6,Ｍカミツキ, 57,田中健, 1.5, 60,  -7,   3,12, 79.7, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｃサンワｰドラン, 85,藤田伸, 3.9, 61,   8, -14, 8, 59.7,⑤⑦⑫,13, 8,Ｉスタｰサイクル, 66,渡辺薫, 1.8, 58,  -4,  -3, 9, 45.1, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ａコスモサレオス, 76,松岡正, 2.4, 51,*  1, -14, 4,  7.0, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
