09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
15, 9,Ｌファニｰベル, 50,角田晃, 5.2, 40,  -9, -16,15,256.2,⑯⑯⑮,,,,,,,,,,,,,15,10,Ｍサマｰガｰル, 55,山口勲, 2.1, 48, -10,  -8,14,235.7, ⑨⑭,,,,,,,,,,,,
16, 5, メイショウアンデス,---,酒井学, 7.8, 22,  -6, -44, 9, 49.9,⑫⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,
"単勝:280円 複勝:16=110円 06=620円 15=230円 枠連:1,720円",,,,,,,,,,,,単勝:200円 複勝:04=110円 07=370円 05=160円 枠連:330円,,,,,,,,,,,,"単勝:400円 複勝:02=150円 15=360円 05=150円 枠連:2,260円",,,,,,,,,,,,"単勝:370円 複勝:09=150円 04=590円 01=130円 枠連:4,830円",,,,,,,,,,,
"馬連:3,240円 ワイド:06-16=1,240円 15-16=360円 06-15=4,810円",,,,,,,,,,,,"馬連:2,100円 ワイド:04-07=780円 04-05=240円 05-07=940円",,,,,,,,,,,,"馬連:2,570円 ワイド:02-15=1,160円 02-05=300円 05-15=870円",,,,,,,,,,,,"馬連:6,520円 ワイド:04-09=1,820円 01-09=200円 01-04=1,180円",,,,,,,,,,,
"馬単:4,460円 3連複:7,490円 3連単:35,640円",,,,,,,,,,,,"馬単:2,770円 3連複:2,880円 3連単:14,700円",,,,,,,,,,,,"馬単:4,510円 3連複:3,230円 3連単:23,680円",,,,,,,,,,,,"馬単:11,660円 3連複:3,880円 3連単:29,900円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｨﾘﾋﾟﾝﾄﾛﾌｨｰ,,,,,,,,,,,,,,,,,,,,,,
