09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,有田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａコスモブレッシング, 70,佐藤哲,, 75,*  4,*  4, 1,  2.0, ④②, 1,10, カレンナホホエミ,---,武豊  ,, 38, -30,* -3, 1,  1.5, ④④, 1, 9,Ｄマルカベスト, 68,福永祐,, 81,   1,* 13, 1,  1.9, ⑥⑦, 1,14,Ｅマイティｰストｰム, 69,藤岡康,, 80,  11,*  6, 1,  3.4, ③③
 2, 1,Ｂイナズマガイア, 64,中村将, 0.0, 77,*  7,*  2, 2,  3.7, ①①, 2, 8, パリスドｰル,---,太宰啓, 0.1, 36, -30,* -5, 3,  9.5, ⑥③, 2, 5,Ｇグッドルッキング, 65,太宰啓, 0.2, 78,*  8,   4, 3,  6.9, ②②, 2, 7,Ｋフロムスクラッチ, 60,佐藤哲, 0.0, 81,* 14,*  4, 8, 12.9, ①①
 3, 6,Ｃサイキョウアサカゼ, 62,藤岡康, 0.5, 68,   2,   1, 3,  9.0, ⑥⑤, 3,11, コウエイマドンナ,---,熊沢重, 0.4, 30,*-21, -16, 5, 15.1, ①①, 3, 3,Ｌメイショウシオギリ, 62,武豊  , 0.6, 72,  -3,   9,11, 55.9, ⑩⑧, 3, 2,Ｇタムロウイング, 68,国分恭, 1.1, 66,   8,  -3,10, 23.6, ④④
 4,12,Ｉリディック, 51,小牧太, 0.6, 68,*  6,  -5, 4, 10.0, ③③, 4, 7, マイネキラ,---,幸英明, 0.5, 31, -39,* -5, 2,  5.7, ⑧⑦, 4,13,Ｃパスピエ, 70,浜中俊, 0.6, 73,   5,   1, 9, 39.9, ③④, 4,13,Ｆスニｰカｰブルｰス, 69,福永祐, 1.2, 64,   4,   0, 5, 10.8, ⑦⑦
 5,18,Ｈマスタｰクラウン, 51,石橋守, 0.7, 62,  -6,*  4,10, 58.8, ⑪⑩, 5, 1, スｰサンストリｰム,---,和田竜, 0.5, 31, -37,  -6, 4, 10.2, ⑦⑤, 5,17,Ｂメイショウルシェロ, 72,飯田祐, 0.7, 73,   0,   6, 6, 12.0, ⑨⑩, 5, 9,Ｈプリティゴｰルド, 68,田中健, 1.3, 62,   3,  -1, 2,  5.1, ⑥⑥
 6, 7,Ｅフォルクスオｰパｰ, 55,幸英明, 1.2, 56,  -7,  -2, 6, 15.6, ⑫⑬, 6, 6, ミッキｰボンボン,---,藤岡康, 0.7, 27, -42,  -6, 8, 52.8, ⑩⑧, 6,15,Ｅサクラナスカ, 68,幸英明, 0.7, 72,   4,   1, 2,  6.5, ⑤⑤, 6, 8,Ｄケイティマイヒメ, 70,太宰啓, 1.4, 69,* 15,  -8, 9, 14.1, ②②
 7, 8,Ｌホワイトヒロイン, 48,鈴来直, 1.3, 54, -12,*  3,13,170.9, ⑰⑮, 7,12, アイラインロｰズ,---,野元昭, 0.7, 26,*-22, -18, 6, 32.5, ②②, 7, 2,Ｆドリｰムガｰルズ, 65,和田竜, 0.7, 72,   4,   1, 8, 35.0, ④③, 7, 5,Ｊウォｰタｰショｰン, 60,高橋亮, 1.4, 58,  -5,*  3, 7, 11.7, ⑨⑨
