09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,生田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅグレンチェック, 64,国分恭,, 67,*  6,  -3, 6, 32.2, ①①, 1, 4,Ｄツルマルネオ, 64,和田竜,, 75,  -2,* 16, 1,  1.9,③④③, 1, 7,Ａフォゲッタブル, 80,武豊  ,, 81,*  9,*  5, 1,  2.6,④③③, 1,16,Ａアスドゥクｰル, 76,藤岡康,, 75,*  7,  -1, 2,  4.0, ②②
 2,15,Ｄハｰドイチオｰ, 65,浜中俊, 0.3, 63,  -1,*  1, 3,  4.4, ⑩⑪, 2, 7,Ｈエイシンスペシャル, 56,国分恭, 0.4, 70,* -1,  10, 9,108.7,②②②, 2, 8,Ｉスティアヘッド, 68,和田竜, 0.2, 81,   7,*  6, 6, 16.3,⑧⑧⑧, 2, 8,Ｋメイショウジェイ, 64,飯田祐, 0.1, 73,   2,*  4,10, 27.1, ⑦⑦
 3, 8,Ｆチェンジ, 64,飯田祐, 0.6, 61,   2,  -5, 5, 15.8, ⑧⑧, 3, 3,Ｆテイケイメルベイユ, 62,小牧太, 0.9, 67,*  0,   4, 5,  9.9,①①①, 3,11,Ｊシャイニｰハンタｰ, 64,上村洋, 0.4, 77,   7,   0,12,140.5,⑥⑤④, 3, 5,Ｄサクラネクスト, 71,佐藤哲, 0.1, 72,   1,*  5, 9, 20.5, ⑧⑨
 4,12,Ｎマレンゴ, 48,太宰啓, 0.8, 61,*  6,  -9,12,268.2, ③③, 4,10,Ｂトウケイビクトリｰ, 66,福永祐, 1.5, 64,  -5,   7, 3,  5.0,⑦⑧⑥, 4,12,Ｃスリｰオリオン, 75,赤木高, 0.5, 77,   8,   1, 3,  4.4,③④⑥, 4,11,Ｆドリｰムゼロワン, 71,松山弘, 0.2, 72,*  4,  -2, 1,  3.8, ④④
 5, 3,Ａメイショウフレアｰ, 68,福永祐, 0.8, 58,  -1,  -4, 1,  2.3, ⑬⑨, 5, 1,Ｃワキノブライアン, 66,太宰啓, 2.4, 56,  -3,  -4, 2,  4.8,⑥⑤⑤, 5, 5,Ｂボンバルリｰナ, 77,佐藤哲, 0.7, 72,* 10, -10, 2,  4.3,①①①, 5,18,Ｊファンドリキセキ, 65,角田晃, 0.2, 72,  -2,*  8,12, 48.3, ⑮⑫
 6,13,Ｂヤマノマリンブルｰ, 67,武豊  , 0.9, 58,   4,  -9, 2,  3.1, ⑤⑤, 6, 8,Ｇナリタテイオｰ, 58,渡辺薫, 2.9, 56,  -5,  -2, 7, 79.5,⑪⑩⑨, 6, 4,Ｆヨドノヒｰロｰ, 72,福永祐, 0.7, 77,   8,  -1, 7, 18.6,⑤⑥⑦, 6, 3,Ｃエｰシンビｰセルズ, 73,小牧太, 0.4, 69,  -3,*  6, 8, 16.1, ⑬⑭
 7,14,Ｇクンチャン, 61,大下智, 1.0, 57,   3,  -9, 8, 60.6, ④④, 7, 6,Ｅワンダｰプリンス, 63,石橋守, 2.9, 58,  -6,  -2, 6, 52.4,⑨⑨⑩, 7, 6,Ｋダディｰズウォｰズ, 62,橋本美, 0.8, 74,   6,  -1, 9, 40.5,⑩⑩⑩, 7, 1,Ｌハッピｰプレゼント, 62,国分恭, 0.4, 69,*  4,  -4, 4, 10.5, ③③
