09年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 3,Ｌシンビオシス, 33,北村宏, 2.7, 33,* -5, -28, 5, 11.1,③②③, 9, 3, ハシルペンチャン,,柴田大,195.8,,,, 6, 23.2,⑨⑩⑨, 9, 3,Ｆエンジェルクィｰン, 64,岩田康, 3.3, 49,   0, -16, 6, 28.0,⑩⑩⑩, 9, 3,Ｊマスタｰコｰク, 76,田中勝, 1.8, 71,  10,  -2, 5,  7.4,⑦⑦⑦
10,11,Ｎジツリキザッツワン, 26,内田博, 2.9, 35,  -7, -25, 9, 52.8,⑧⑨⑨,10, 7, カシマレジェンド,,佐藤聖,196.5,,,, 8, 29.8,⑫⑪⑪,10, 6,Ｉパンコｰルデイズ, 60,後藤浩, 4.3, 42,   2, -28, 9, 64.4,⑨⑧⑨,10,11,Ｉステイドリｰム, 78,蛯名正, 1.8, 71,* 11,  -4, 2,  4.7,④③③
11, 9,Ｂドリｰムシｰサｰ, 54,国分優, 3.2, 32,  -9, -24, 8, 30.9,⑪⑬⑬,11, 1, マチカネミノリ,,横山義,196.8,,,, 3,  5.1,⑤⑦⑩,11, 1,Ｋチェリｰズバッグ, 57,高山太, 4.4, 42,  -1, -24,11,259.6,⑥⑪⑪,11, 9,Ｆストｰムタイガｰ, 79,吉田豊, 1.9, 71,  10,  -3,10, 34.6,⑨⑥④
12, 4,Ｐマキシムトパｰズ,-82,大庭和, 3.3, 28, -12, -18,13,202.6,⑯⑮⑮,12,11, コアレスアルダン,,五十嵐,197.9,,,, 7, 24.2,⑪⑫⑫,,,,,,,,,,,,,12, 2,Ｃレオソリスト, 81,江田照, 2.1, 68,   9,  -4, 7, 13.0,⑧⑧⑩
13, 5,Ｍコウガ, 29,武士沢, 3.3, 30,  -9, -26,12,193.8,⑩⑫⑩,13, 4, リバｰトｰマス,,江田勇,203.5,,,,14,143.5,⑬⑬⑬,,,,,,,,,,,,,13, 1,Ｌエｰピｰレジェンド, 74,村田一,10.2, 29,   6, -65,12, 85.5,②⑬⑬
14,15,Ｋハセノヒマワリ, 33,大江原, 3.6, 29, -10, -26,16,395.7,⑨⑭⑭,14, 5, ロｰドハロウィン,,金子光,203.8,,,,12, 91.0,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｉサンピラｰ, 43,柴山雄, 5.9, 19,  -8, -48,11,166.5,⑫⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｏドロップオブスタｰ,  6,江田照, 6.3, 15, -14, -41,10, 91.7,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,930円 複勝:14=280円 01=160円 16=120円 枠連:2,180円",,,,,,,,,,,,単勝:300円 複勝:02=130円 14=220円 12=130円 枠連:770円,,,,,,,,,,,,単勝:800円 複勝:08=250円 07=110円 05=520円 枠連:670円,,,,,,,,,,,,"単勝:630円 複勝:06=220円 13=300円 05=190円 枠連:1,540円",,,,,,,,,,,
"馬連:2,560円 ワイド:01-14=710円 14-16=680円 01-16=310円",,,,,,,,,,,,"馬連:1,550円 ワイド:02-14=620円 02-12=200円 12-14=520円",,,,,,,,,,,,"馬連:860円 ワイド:07-08=410円 05-08=2,320円 05-07=800円",,,,,,,,,,,,"馬連:4,130円 ワイド:06-13=1,260円 05-06=610円 05-13=1,360円",,,,,,,,,,,
"馬単:6,950円 3連複:2,370円 3連単:23,280円",,,,,,,,,,,,"馬単:2,690円 3連複:1,340円 3連単:8,290円",,,,,,,,,,,,"馬単:2,530円 3連複:5,570円 3連単:36,150円",,,,,,,,,,,,"馬単:7,510円 3連複:7,060円 3連単:44,190円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｾﾌﾟﾃﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃマイネノｰブレス, 60,松岡正,, 66,   6,*-11, 4,  7.9,⑥④⑤, 1,11, ニシノメイゲツ,---,北村宏,, 56,*-12,*  2, 3,  5.3,③③③, 1, 6,Ａミヤビベガ, 80,藤田伸,, 77,   8,*  1, 1,  2.2,⑤⑤⑤, 1, 6,Ｄショウナンカザン, 81,内田博,, 82,*  6,   8, 1,  2.8, ②②
 2, 1,Ｄウォンビｰロング, 54,横山典, 0.0, 63,*  8, -16, 1,  2.0,①②①, 2, 8, リンガスバロン,---,柴田善, 0.8, 48, -15,  -4, 2,  3.7,④⑤⑤, 2, 9,Ｂメジロルマン, 73,江田照, 0.0, 76,   7,*  4, 2,  3.7,⑥⑥④, 2, 1,Ｃオｰルタイムベスト, 82,武豊  , 0.1, 80,   1,* 12, 3,  5.8, ⑩⑥
 3, 7,Ａゴｰルドジャパン, 61,柴田善, 0.2, 62,   5, -14, 3,  6.9,⑤⑤④, 3, 9, カフェラビリンス,---,松岡正, 0.8, 54, -22,*  7, 4,  7.1,⑪⑩⑨, 3, 1,Ｇベルウッドロｰツェ, 66,岩田康, 0.1, 73,   8,  -6, 4,  8.9,②③②, 3, 2,Ｈテｰオｰギャング, 79,浜中俊, 0.2, 79,   5,   6, 6, 13.0, ③③
 4, 5,Ｂケイビイテルマ, 61,吉田豊, 0.3, 60,   4, -13, 5, 17.8,⑦⑥⑨, 4, 4, デュｰクビスティｰ,---,勝浦正, 0.9, 46,*-12, -11, 5, 11.4,②②②, 4, 3,Ｅエイデンダンス, 70,蛯名正, 0.5, 72,* 10, -13, 6, 16.1,③②①, 4,15,Ｂジェイケイセラヴィ, 84,北村宏, 0.3, 77,  -2,* 12, 7, 24.4, ⑫⑫
 5, 6,Ｆトｰホウカクテル, 52,岩田康, 0.3, 61,   3,*-10, 6, 22.2,⑫⑨⑪, 5, 1, ミッキｰミステリｰ,---,武豊  , 0.9, 43,*-11, -13, 1,  2.2,①①①, 5, 5,Ｆキングスチャペル, 69,四位洋, 0.7, 71,   6,  -2, 3,  5.5,⑨⑦⑦, 5,13,Ａボｰダレスワｰルド, 85,藤田伸, 0.3, 78,   5,   5, 2,  4.1, ⑤④
 6, 9,Ｅタスマニア, 52,武士沢, 0.5, 58,   3, -13, 8, 35.5,⑪⑩⑩, 6, 5, ダンスアムｰル,---,吉田豊, 1.3, 42, -16, -10, 6, 22.6,⑨⑥⑦, 6, 2,Ｄメルシｰゴｰルド, 71,後藤浩, 1.1, 67,   6,  -8, 7, 32.3,⑩⑧⑥, 6, 9,Ｍエｰシンビｰセルズ, 72,田中勝, 0.5, 76,  -2,   9,11, 36.6, ⑪⑪
 7,10,Ｉハリエット, 36,北村宏, 0.9, 52,   3, -19,11,148.5,⑨⑪⑦, 7,10, アスカシンノウ,---,内田博, 1.6, 36,*-12, -22, 8, 72.6,⑥④④, 7, 4,Ｃマイネルアヴァル, 72,松岡正, 1.5, 64,   8, -23, 5,  9.8,④④③, 7,12,Ｋクリノビリオネア, 75,蛯名正, 0.5, 75,   2,   5, 8, 26.2, ⑧⑧
 8, 3,Ｈコスモピクシｰ, 47,内田博, 1.0, 53,*  7, -27, 2,  3.4,③③③, 8, 6, ボンジュｰルヒカリ,---,田中勝, 1.6, 39, -16, -13, 9,136.5,⑦⑦⑥, 8,10,Ｊパワｰチャンス, 54,国分優, 2.7, 56,   4, -27,10,207.4,⑧⑩⑨, 8, 3,Ｅメジロチャンプ, 81,柴田善, 0.5, 75,* 10,  -3, 5, 12.6, ①①
 9, 2,Ｇファルブジェナ, 48,田中勝, 1.2, 51,* 10, -34, 7, 34.2,②①②, 9, 3, カシノアラベスク,---,二本柳, 1.8, 36, -19, -13,11,208.8,⑧⑧⑧, 9, 7,Ｉフォレストグリｰン, 55,柴田大, 4.2, 50,   5, -50, 9,177.4,⑦⑨⑩, 9,10,Ｇエフテｰストライク, 80,田辺裕, 0.6, 75,  -9,* 15,10, 35.0, ⑯⑯
10,12,Ｋコスモドロンパ, 35,伊藤工, 1.3, 50,   1, -23,10, 77.2,⑩⑫⑫,10, 7, ヤマニンクレリック,---,柴山雄, 2.8, 26, -22, -21,10,178.5,⑩⑪⑪,10, 8,Ｈフレｰバｰティｰ, 63,北村宏, 4.9, 21,* 10, -77, 8, 52.0,①①⑧,10,16,Ｊスガノメダリスト, 75,横山典, 0.7, 72,  -5,   9, 4,  8.5, ⑭⑮
11, 8,Ｌヒシエリｰト, 31,後藤浩, 1.3, 50,   4, -27, 9, 72.8,⑧⑧⑧,11, 2, ダイワスピアｰ,---,蛯名正, 3.7, 15, -21, -38, 7, 41.4,⑤⑨⑩,,,,,,,,,,,,,11, 4,Ｏルルパンブルｰ, 69,伊藤工, 0.8, 72,   2,   1,12, 43.3, ⑥⑦
12, 4,Ｊダイヤアストライア, 35,柴山雄, 1.4, 49,   4, -29,12,315.9,④⑦⑥,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｉジェイケイボストン, 79,江田照, 0.9, 69,   2,   0,13,126.3, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｌバルバレスコ, 73,柴山雄, 1.0, 69,  -7,   8,15,202.4, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｐパドブレ, 59,勝浦正, 1.4, 63,  -4,  -2,14,132.6, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｎマンテンハット, 72,二本柳, 1.4, 63,   2,  -6,16,245.9, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｆトウショウガナｰ, 81,大庭和, 1.5, 62,   5, -10, 9, 34.9, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,
単勝:790円 複勝:11=210円 01=110円 07=180円 枠連:690円,,,,,,,,,,,,単勝:530円 複勝:11=160円 08=150円 09=180円 枠連:650円,,,,,,,,,,,,単勝:220円 複勝:06=110円 09=140円 01=210円 枠連:390円,,,,,,,,,,,,単勝:280円 複勝:06=130円 01=190円 02=310円 枠連:550円,,,,,,,,,,,
馬連:830円 ワイド:01-11=350円 07-11=630円 01-07=330円,,,,,,,,,,,,"馬連:1,140円 ワイド:08-11=400円 09-11=460円 08-09=460円",,,,,,,,,,,,馬連:390円 ワイド:06-09=180円 01-06=360円 01-09=500円,,,,,,,,,,,,馬連:750円 ワイド:01-06=330円 02-06=720円 01-02=920円,,,,,,,,,,,
"馬単:2,350円 3連複:1,550円 3連単:11,170円",,,,,,,,,,,,"馬単:2,680円 3連複:1,780円 3連単:10,400円",,,,,,,,,,,,"馬単:680円 3連複:1,060円 3連単:3,170円",,,,,,,,,,,,"馬単:1,360円 3連複:2,290円 3連単:8,750円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｶﾝﾅｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａカフェマｰシャル, 72,内田博,, 66,*  1,   1, 1,  1.2, ②②, 1, 3,Ｃヒビケジンダイコ, 65,後藤浩,, 59,  -6,* -1, 2,  3.2,⑥⑦⑥, 1, 1,Ｅノｰワンエルス, 61,藤田伸,, 68,   2,*  1, 1,  3.0, ⑦⑥, 1, 9,Ｄフェイクスタｰ, 69,後藤浩,, 80,* 14,   3, 3,  5.0, ②①
 2,12,Ｂコスタズメラルダ, 65,勝浦正, 0.3, 62,* -1,   0, 2,  6.2, ④④, 2,13,Ａシャンパンブランチ, 72,横山典, 0.0, 56,* -4,  -6, 1,  2.8,③④③, 2,13,Ｂダイワナイト, 68,北村宏, 0.1, 65,   2,*  0, 3,  5.4, ⑨⑦, 2,15,Ｊダブルフレｰバｰ, 63,内田博, 0.4, 78,   7,   7, 4,  6.7, ⑧⑦
 3, 1,Ｆタツミニピンク, 53,田辺裕, 0.4, 62,  -3,   2, 6, 45.9, ⑤⑤, 3,12,Ｅハンドシェイク, 62,蛯名正, 0.2, 57,  -7,* -1, 4,  6.2,⑩⑧⑨, 3,10,Ａタカラハｰバｰ, 77,後藤浩, 0.3, 67,   8,  -8, 2,  3.7, ④⑤, 3,16,Ａダノンマイスタｰ, 72,松岡正, 0.5, 76,   9,   4, 2,  4.2, ⑤⑤
 4, 3,Ｄマイネセレネ, 60,松岡正, 0.5, 61,* -1,  -2, 3, 14.7, ③③, 4, 6,Ｂザバトルクラシック, 65,浜中俊, 0.2, 56,* -4,  -7, 3,  5.5,⑤⑤⑤, 4, 8,Ｋフィｰルドスピカ, 49,田中勝, 0.5, 61,  -3,*  0,10, 82.7, ⑫⑪, 4,14,Ｂブライティアカフェ, 71,岩田康, 0.7, 74,  10,   2, 1,  2.5, ④④
 5, 9,Ｅロイヤルポケット, 59,後藤浩, 0.6, 61,  -3,   2, 4, 18.9, ⑧⑥, 5, 5,Ｇレアメタル, 61,伊藤工, 0.3, 56,  -7,* -3, 5, 12.3,⑨⑨⑦, 5, 3,Ｈトレモロ, 55,蛯名正, 0.7, 61,   6, -12, 6, 11.7, ⑤④, 5,12,Ｍレグルスハｰト, 61,柴田善, 0.9, 72,   1,   8, 5, 18.2, ⑫⑩
 6,13,Ｃミウラチェス, 65,蛯名正, 0.7, 59, -13,*  8, 5, 25.7, ⑬⑪, 6, 8,Ｊビクトリアモｰド, 57,菊沢隆, 0.3, 55,  -7,  -4,14,285.3,⑦⑥⑧, 6, 9,Ｃスギノブロッサム, 67,内田博, 0.7, 58,  -7,*  2, 4,  7.5, ⑬⑫, 6, 3,Ｆシンボリバッハ, 66,浜中俊, 1.0, 72,   7,   2, 7, 26.4, ⑦⑧
 7,15,Ｇオレリュウ, 53,鷹野宏, 1.0, 60,*  3,  -7, 8,123.5, ①①, 7, 4,Ｄオンワｰドシェルタ, 64,小林久, 0.7, 52,  -9,  -6, 8, 54.6,⑫⑪⑩, 7, 5,Ｄプレミアムストｰン, 64,岩田康, 0.8, 56,  -3,  -4, 5,  7.8, ⑪⑨, 7, 6,Ｉサイレントパンサｰ, 64,柴山雄, 1.3, 70,  -6,* 12,12, 65.9, ⑮⑮
 8,14,Ｊステファナイト, 42,武士沢, 1.8, 49,  -4, -10,11,286.4, ⑦⑧, 8, 9,Ｈゼノン, 58,松岡正, 0.8, 49,* -3, -22, 7, 21.8,①①①, 8, 4,Ｆエスカｰダ, 60,菊沢隆, 0.8, 62,* 12, -18, 9, 76.8, ②②, 8,10,Ｌアトムスパンカｰ, 62,横山典, 1.3, 69,   0,   5, 8, 35.9, ⑪⑪
 9, 2,Ｈナリタオアシス, 51,村田一, 1.9, 50,  -6,  -8, 7,113.8, ⑨⑨, 9,14,Ｋプリンセスビジュｰ, 51,大庭和, 0.9, 51,  -8,  -7,11,134.4,⑪⑫⑫, 9,11,Ｊサマｰコｰド, 51,柴田善, 0.9, 61,* 10, -18,11, 98.1, ③③, 9, 5,Ｏエクレウス, 55,江田照, 1.7, 65,   7,  -4,13, 87.6, ⑥⑥
10, 4,Ｎエガオヨシ, 34,大庭和, 2.0, 46,  -3, -12,10,229.5, ⑥⑦,10, 1,Ｆフォンタｰナ, 61,北村宏, 0.9, 47,* -4, -18,10, 93.7,④③④,10, 7, ピｰスオブキング,---,柴山雄, 1.6, 49,   3, -21,12,150.0, ⑥⑧,10, 4,Ｇマジックモｰメント, 66,池崎祐, 1.8, 65,  -3,   4,14,101.8, ⑬⑬
11, 5,Ｉエプソムクロｰバｰ, 46,梶晃啓, 2.1, 47, -11,  -6,15,396.9, ⑪⑫,11,10,Ｉナスノゲｰブル, 58,内田博, 1.0, 47,* -3, -21, 6, 18.0,②②②,11, 6,Ｉラジャポネｰズ, 52,勝浦正, 2.2, 41,   0, -25, 7, 21.8, ⑩⑬,11, 1,Ｅレディオｰロラ, 67,柴田大, 1.8, 65,* 14, -11,11, 53.8, ①②
12, 6,Ｌクラッシュアイス, 39,伊藤工, 2.5, 42, -10, -11,12,313.4, ⑫⑬,12, 2,Ｍレオｰネドｰロ, 44,嘉藤貴, 1.6, 43,  -7, -20,12,153.3,⑧⑩⑪,12,12, ヴィットビスキュイ,---,佐藤友, 2.6, 35,   2, -33,13,179.2, ⑧⑩,12, 7,Ｋムｰンボｰ, 63,田中勝, 1.9, 64,   3,  -2, 6, 26.3, ⑨⑨
13,10, エブリｰブレス,---,池崎祐, 2.5, 42, -22,   0, 9,205.4, ⑮⑮,13,11,Ｎミサトサンデｰ, 22,吉田豊, 2.1, 38, -10, -21,13,281.7,⑭⑬⑭,13, 2,Ｇリネンパズル, 57,田辺裕, 2.7, 37,* 12, -43, 8, 45.8, ①①,13, 8,Ｐカンタカ, 54,村田一, 2.2, 62, -16,* 12,15,146.7, ⑯⑯
14,11,Ｍエスプリシチｰ, 35,国分優, 2.6, 43,  -7, -13,14,338.8, ⑩⑩,14, 7,Ｌウインヘリオス, 51,田中勝, 2.8, 32, -10, -33, 9, 75.5,⑬⑭⑬,,,,,,,,,,,,,14,13,Ｎキングデオキシス, 59,郷原洋, 2.3, 60,  -3,  -1,16,209.5, ⑭⑭
15, 7,Ｋジョイフルポｰト, 39,小林久, 2.9, 39, -18,  -7,13,318.5, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｃアツキオモイ, 71,大庭和, 2.5, 58,  11, -14,10, 39.6, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｈグレイシス, 64,北村宏, 3.5, 49,   3, -16, 9, 38.8, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:120円 複勝:08=110円 12=130円 01=350円 枠連:200円,,,,,,,,,,,,単勝:320円 複勝:03=120円 13=110円 12=180円 枠連:400円,,,,,,,,,,,,単勝:300円 複勝:01=130円 13=160円 10=150円 枠連:700円,,,,,,,,,,,,単勝:500円 複勝:09=190円 15=190円 16=170円 枠連:680円,,,,,,,,,,,
馬連:260円 ワイド:08-12=170円 01-08=460円 01-12=970円,,,,,,,,,,,,馬連:430円 ワイド:03-13=180円 03-12=350円 12-13=350円,,,,,,,,,,,,馬連:800円 ワイド:01-13=290円 01-10=280円 10-13=390円,,,,,,,,,,,,"馬連:1,940円 ワイド:09-15=680円 09-16=470円 15-16=480円",,,,,,,,,,,
