09年11月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,190円 複勝:05=430円 03=320円 01=780円 枠連:1,860円",,,,,,,,,,,,単勝:530円 複勝:12=190円 10=250円 05=610円 枠連:760円,,,,,,,,,,,,"単勝:250円 複勝:03=130円 10=390円 15=190円 枠連:1,280円",,,,,,,,,,,,単勝:530円 複勝:03=180円 01=430円 02=130円 枠連:0円,,,,,,,,,,,
"馬連:2,300円 ワイド:03-05=660円 01-05=1,600円 01-03=1,650円",,,,,,,,,,,,"馬連:1,900円 ワイド:10-12=700円 05-12=2,370円 05-10=1,390円",,,,,,,,,,,,"馬連:2,240円 ワイド:03-10=950円 03-15=290円 10-15=1,360円",,,,,,,,,,,,"馬連:4,840円 ワイド:01-03=1,170円 02-03=350円 01-02=930円",,,,,,,,,,,
"馬単:4,930円 3連複:11,810円 3連単:67,030円",,,,,,,,,,,,"馬単:3,300円 3連複:12,970円 3連単:58,460円",,,,,,,,,,,,"馬単:3,520円 3連複:4,160円 3連単:21,040円",,,,,,,,,,,,"馬単:8,540円 3連複:3,190円 3連単:29,090円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 5R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河北新報杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅグッディグッディ, 52,宮崎北,, 48,  -2,  -8, 5, 11.1, ⑥⑥, 1, 1,Ｂケイエスバウアｰ, 70,村田一,, 72,*  8,  -2, 8, 28.1,③③③, 1, 4,Ｃジェンティリティｰ, 73,藤岡康,, 75,*  8,* 13, 4, 13.6,①①①, 1,14,Ｊユキノハボタン, 71,古川吉,, 78,   8,*  6, 2,  4.7, ⑨⑦
 2, 8,Ｇマレｰネ, 49,小野次, 0.1, 49,  -1, -11, 6, 11.8, ⑤⑤, 2, 4,Ｈマイネルフェスタ, 66,木幡初, 0.1, 73,   0,* 12, 5,  9.1,⑭⑭⑬, 2, 1,Ａマルタカラッキｰ, 78,丹内祐, 0.1, 75,   7,* 15, 1,  1.8,③⑤③, 2, 2,Ａマヤノロシュニ, 81,吉田隼, 0.0, 79,  11,   4, 5, 10.5, ⑤③
 3,13,Ｊマルタカテンザン, 41,荻野琢, 0.2, 42, -14,*  1,16,309.2, ⑬⑬, 3,10,Ｄウェザｰサイド, 69,鮫島良, 0.1, 74,   3,*  8, 3,  6.1,⑬⑫⑪, 3, 8,Ｊファンドリカップ, 67,田中博, 0.3, 73,   6,* 13, 5, 16.5,⑤⑥⑥, 3,16,Ｂショウナンダンク, 77,石橋脩, 0.1, 79,* 14,  -1, 4,  6.6, ①①
 4, 9,Ｋシャイニｰグルｰム, 39,大野拓, 0.2, 44,  -9,  -4,13, 77.8, ⑩⑩, 4, 8,Ｆデイブレイクスベル, 67,松田大, 0.3, 70,   7,  -3, 6, 10.2,⑥⑥⑥, 4,10,Ｂテイエムカイザｰ, 74,芹沢純, 0.7, 68,*  7,   8, 2,  4.3,⑥④⑤, 4,11,Ｉニホンピロシェリｰ, 72,渡辺薫, 0.2, 72,   2,* 10, 6, 12.8, ⑯⑮
 5,15,Ｂティファニｰケイス, 57,藤岡康, 0.2, 47,*  2, -15, 1,  3.4, ③③, 5, 5,Ｏアイディリック, 57,石橋脩, 0.3, 72,   3,*  4,14, 82.3,⑪⑪⑨, 5,13,Ｄメルシｰコバン, 73,古川吉, 1.0, 68,*  8,   5, 6, 29.8,②②②, 5, 1, ジョイフルミラクル,---,坂井英, 0.2, 73,   7,   5,14,135.8, ⑥⑥
 6,16,Ｃニシエイビック, 57,江田照, 0.3, 43,  -5,  -9, 4,  8.1, ⑧⑨, 6,12,Ｇスペシャルアリｰナ, 67,古川吉, 0.5, 69,   7,  -7,10, 31.1,⑤⑤⑤, 6, 3,Ｆシャドウランズ, 70,宮崎北, 1.1, 65,   5,   9, 9, 49.4,⑩⑨⑦, 6,10,Ｆプラチナムペスカ, 74,小林徹, 0.3, 75,* 12,  -2, 8, 16.0, ④⑤
 7, 6,Ｏテイエムハクリュウ, 23,芹沢純, 0.4, 41, -15,* -2,10, 62.5, ⑫⑫, 7,15,Ａウォｰボネット, 71,吉田隼, 0.6, 67,   6,  -4, 1,  3.4,⑩⑩⑧, 7,14,Ｈアドミラビリス, 69,荻野琢, 1.3, 68,*  8,   4, 3,  6.6,④③④, 7, 6,Ｇシティボス, 74,藤岡康, 0.4, 69,   2,*  7, 9, 17.7, ⑮⑭
 8, 5,Ｐラヴァリｰトゥルｰ, -5,古川吉, 0.5, 42,  -5, -12,14, 94.9, ⑦⑧, 8, 2,Ｌナムラアウラ, 60,小林徹, 0.9, 63,   4,  -7, 9, 28.3,⑨⑧⑩, 8,15,Ｉグラスブレイド, 69,大野拓, 1.4, 65,   4,   9,12,115.9,⑭⑫⑩, 8, 4,Ｈレイクエルフ, 74,的場勇, 0.5, 68,   3,   5,11, 28.5, ⑭⑬
 9, 3,Ｎチャハヤ, 31,丸山元, 0.8, 37,  -7, -15, 3,  6.9, ⑨⑦, 9, 6,Ｃタマモビｰト, 70,坂井英, 1.1, 60,*  8, -17, 2,  4.6,④④②, 9,12,Ｅコアグリｰン, 71,西田雄, 1.6, 65,   5,   6, 7, 35.4,⑫⑩⑪, 9,13,Ｄストロングポイント, 76,江田照, 0.5, 69,   4,   4,10, 22.5, ⑪⑩
10,14,Ｍミッキｰデジタル, 38,坂井英, 0.8, 40,*  2, -22, 7, 15.7, ②②,10, 9,Ｍシデンカイ, 60,丸山元, 1.4, 59,  -1,  -3,13, 67.2,⑮⑯⑯,10, 7,Ｋシルクレボルシオン, 64,坂井英, 1.9, 64,   2,   9,13,144.9,⑮⑬⑬,10, 8,Ｏケンブリッジエル, 58,木幡初, 0.6, 71,* 12,  -6, 7, 13.4, ②②
11,12,Ａバトルシュリイマン, 64,的場勇, 0.8, 39,*  3, -24, 2,  3.5, ①①,11,16,Ｋゼンノベリル, 62,長谷川, 1.6, 57,   6, -19,12, 39.5,⑧⑦⑦,11, 9,Ｌシルクパナシア, 64,菅原勲, 1.9, 62,   6,   1, 8, 35.8,⑧⑦⑧,11, 3,Ｋトミノドリｰム, 70,高山太, 0.8, 65,   4,  -1,13, 98.5, ⑩⑨
12, 2,Ｉセイカペガサス, 41,木幡初, 1.0, 33, -12, -12, 9, 24.4, ⑪⑪,12, 7, ガンバルオｰ,---,西田雄, 1.8, 53,* 11, -33,15,184.4,①①①,12,11,Ｇマｰチインパクト, 70,橋本美, 2.6, 59,   7,  -6,10, 63.0,⑨⑧⑨,12, 9,Ｃブルｰミンバｰ, 76,小野次, 0.9, 68,* 12,  -9, 1,  4.5, ③④
13, 1,Ｌトｰセンサンライズ, 38,二本柳, 1.0, 34, -22,* -2,15,109.9, ⑯⑯,13,13,Ｅピサノシンボル, 68,中舘英, 2.0, 53,   4, -23, 4,  7.3,⑦⑨⑫,13, 2,Ｎラガｰホノカｰ, 53,丸山元, 2.6, 59,   1,   4,15,295.2,⑬⑭⑭,13, 7,Ｌセレブラｰル, 69,田辺裕, 1.0, 63,   8,  -7,12, 33.6, ⑧⑧
14, 7,Ｆコスモアヴィス, 50,津村明, 1.1, 33, -20,  -5,12, 74.7, ⑭⑭,14, 3,Ｉアコニットライアン, 64,渡辺薫, 2.2, 51,  -1, -14,11, 36.3,⑯⑮⑮,14, 5,Ｍマルフクギガ, 57,渡辺薫, 4.0, 50,   4, -14,11, 86.1,⑦⑪⑫,14,12,Ｅタｰニングポイント, 75,中舘英, 1.6, 56,   4, -11, 3,  6.0, ⑬⑯
15, 4,Ｈトｰセンゼウス, 47,吉田隼, 1.2, 32, -23,  -4,11, 69.3, ⑮⑮,15,11,Ｎフサイチフェイマス, 57,江田照, 2.6, 46,   3, -28, 7, 20.7,⑫⑬⑭,15, 6,Ｏコットンフラワｰ, 52,二本柳, 4.1, 48,   2,  -9,14,292.9,⑪⑮⑮,15, 5,Ｍホウショウリヴ, 69,宮崎北, 1.6, 55,   7, -13,15,203.0, ⑦⑫
16,10,Ｄコパノトヨウケ, 57,中舘英, 1.3, 35,   0, -25, 8, 18.9, ④④,16,14,Ｊネイチャｰグロウ, 63,高山太, 2.8, 44,* 10, -44,16,191.7,②②④,,,,,,,,,,,,,16,15,Ｎフジマサゴｰルド, 61,西田雄, 1.7, 53,   4, -12,16,305.2, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,110円 複勝:11=340円 08=490円 13=5,770円 枠連:1,860円",,,,,,,,,,,,"単勝:2,810円 複勝:01=550円 04=280円 10=220円 枠連:3,550円",,,,,,,,,,,,"単勝:1,360円 複勝:04=300円 01=110円 08=330円 枠連:920円",,,,,,,,,,,,"単勝:470円 複勝:14=200円 02=310円 16=230円 枠連:1,450円",,,,,,,,,,,
"馬連:5,260円 ワイド:08-11=1,930円 11-13=17,220円 08-13=23,950円",,,,,,,,,,,,"馬連:7,900円 ワイド:01-04=1,850円 01-10=2,220円 04-10=810円",,,,,,,,,,,,"馬連:1,350円 ワイド:01-04=650円 04-08=1,920円 01-08=590円",,,,,,,,,,,,"馬連:2,150円 ワイド:02-14=1,020円 14-16=840円 02-16=1,420円",,,,,,,,,,,
"馬単:15,640円 3連複:311,660円 3連単:1,365,500円",,,,,,,,,,,,"馬単:19,190円 3連複:16,470円 3連単:161,480円",,,,,,,,,,,,"馬単:4,100円 3連複:4,950円 3連単:40,180円",,,,,,,,,,,,"馬単:3,830円 3連複:5,540円 3連単:29,230円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小野川湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃレティセントガｰル, 73,中舘英,, 73,*  3,* 13, 1,  2.6,②②②, 1, 5,Ｆドリｰムシャドウ, 67,丹内祐,, 67,  -2,*  6, 6, 19.4, ⑦⑤, 1,12,Ｅソラヲカケル, 73,中舘英,, 78,*  8,   2, 1,  3.7,②②②, 1, 1,Ｃヤマニンバッスル, 75,中舘英,, 73,   9,*  7, 2,  7.0,⑭⑩③
 2, 4,Ｎジョウノグレｰス, 57,宮崎北, 0.4, 68,   0,  12, 5, 11.0,③④③, 2, 1,Ｂチャンピオンラブ, 74,的場勇, 0.1, 67,*  5,  -1, 2,  4.4, ①①, 2, 7,Ｃブルｰモｰリシャス, 74,上村洋, 0.2, 76,   7,   4, 3,  4.3,⑦⑤③, 2,11,Ａマッシヴエンペラｰ, 81,芹沢純, 0.1, 71,* 12,   1, 1,  1.9,④④②
 3, 1,Ｂテイクバイストｰム, 73,小野次, 0.8, 66,*  1,   6, 3,  5.4,⑤③④, 3, 2,Ｉカフェレジェンド, 64,石橋脩, 0.2, 66,*  4,  -1, 3,  4.8, ②②, 3, 8,Ｄトムウィンズ, 73,渡辺薫, 0.3, 76,   3,* 10, 4,  8.7,⑨⑩⑩, 3, 4,Ｂダイレクトパス, 77,大野拓, 0.6, 70,   9,*  3, 3,  7.5,⑫⑫⑪
 4,13,Ｇパｰプルスタｰ, 69,安藤光, 1.0, 64,  -1,   8, 8, 19.4,⑨⑧⑧, 4, 4,Ｃヴィｰヴァサルｰテ, 72,坂井英, 0.4, 63,  -1,   2, 1,  3.4, ⑤⑥, 4, 3, サクラエモｰション,---,鮫島良, 0.5, 74,  -2,* 15, 9, 29.4,⑯⑯⑮, 4,12,Ｆシルクエステｰト, 73,長谷川, 1.0, 70,   9,  -2, 5,  9.9,⑪⑨⑧
 5, 6,Ｉリロ, 68,石橋脩, 1.1, 66,  -1,   7,12, 94.1,⑧⑦⑤, 5, 9,Ａライカｰト, 75,津村明, 0.4, 63,   1,   0, 5,  7.3, ④③, 5, 2,Ｈキングスデライト, 67,吉田隼, 0.7, 70,   4,   1, 8, 28.8,⑧⑥⑥, 5, 6,Ｍカネトシヴィゴｰレ, 63,鮫島良, 1.0, 69,  11,  -4, 6, 13.9,⑤⑤④
 6, 8,Ｆサウスアミュｰズ, 69,古川吉, 1.2, 65,   1,   5,10, 48.4,⑥⑥⑥, 6, 6,Ｍメタリック, 59,柴田大, 0.8, 60,  -7,   4,11, 95.5, ⑩⑧, 6, 4,Ｊコンゴウ, 65,宮崎北, 1.1, 66,   7,  -8,12, 67.0,③③④, 6, 9,Ｎクレバｰネオ, 63,江田照, 1.1, 67,   8,  -2,14,148.2,⑦⑪⑥
 7,15,Ａクルンプホルツ, 77,田中博, 1.2, 67,  -4,* 13, 2,  4.8,⑫⑪⑨, 7,15,Ｋフジマサエｰス, 62,木幡初, 1.1, 56,  -8,   2,13,208.1, ⑫⑭, 7, 1,Ｇマコトボムケッチ, 69,坂井英, 1.1, 66,   1,   1, 5, 13.2,⑬⑫⑨, 7, 2,Ｉニホンピロララバイ, 68,橋本美, 1.2, 67,* 12,  -9, 4,  9.1,①①①
 8, 5,Ｍリリｰオブザバリｰ, 60,丸山元, 1.4, 62,*  2,   1,13,104.3,①①①, 8, 3,Ｌサンダｰアロング, 61,西田雄, 1.2, 55, -17,*  8,10, 43.5, ⑯⑯, 8, 5,Ａトヨサンハッピｰ, 75,荻野琢, 1.2, 62,   6,  -7, 6, 13.4,④⑦⑧, 8, 3,Ｋマイネルレクシス, 68,菅原勲, 1.5, 64,   9,  -7, 7, 23.4,⑩⑥⑩
 9, 9,Ｈウメノカイウン, 69,草野太, 1.4, 64,  -2,   8, 4, 10.2,⑩⑨⑩, 9,11,Ｐサンタｰナズギフト, 53,村田一, 1.3, 56,  -8,   0,12, 96.9, ⑪⑫, 9,13,Ｆアクアブルｰスカイ, 70,津村明, 1.2, 65,   1,   0, 7, 13.7,⑮⑬⑬, 9,14,Ｇハｰドイチオｰ, 71,西田雄, 1.7, 63,   9,  -8,11, 54.2,⑥⑦⑦
10,14,Ｄグロリアスウェザｰ, 71,藤岡康, 1.4, 65,  -5,* 12,11, 66.6,⑬⑬⑪,10, 8,Ｏシルキｰチュチュ, 54,大野拓, 1.3, 54, -10,   2,14,211.4, ⑭⑬,10, 9,Ｌエアメギド, 62,松田大, 1.9, 58,   5, -15,13, 88.8,⑪⑨⑦,10, 7,Ｅヒルノラディアン, 73,松田大, 2.5, 62,   6,  -8,11, 54.2,⑬⑭⑬
11, 2,Ｊウインク, 68,吉田隼, 2.0, 61,  -5,   8, 6, 13.2,⑪⑫⑬,11,10,Ｇマイティｰキラｰ, 65,藤岡康, 1.5, 54,*  3, -11, 9, 42.6, ③④,11, 6,Ｏスプリングバルサ, 46,木幡初, 2.3, 52,   4, -22,15,120.5,⑥⑧⑪,11, 5,Ｌストｰミｰペガサス, 64,吉田隼, 2.6, 56,* 12, -20, 9, 36.8,②②⑨
12, 7,Ｅパｰルグレイピアス, 69,上村洋, 2.0, 60,  -4,   6, 7, 13.9,⑦⑩⑫,12,12,Ｅキタサンハナミチ, 71,宮崎北, 1.7, 50,  -6,  -5, 7, 27.4, ⑧⑨,12,14,Ｋエリモキスミｰ, 65,長谷川, 2.3, 53,   0, -13,11, 54.3,⑭⑭⑫,12,10,Ｄビッグロｰズ, 73,古川吉, 2.6, 59,   8, -12,10, 49.6,⑧⑬⑫
13, 3,Ｋマキハタセンシブル, 66,高山太, 2.4, 61,  -6,   9,15,194.7,⑭⑭⑭,13, 7,Ｊキングオｰサム, 63,伊藤直, 2.0, 49, -11,  -3,16,408.6, ⑬⑪,13,10,Ｍゼノン, 57,石橋脩, 2.4, 52,* 10, -33,14,105.8,①①①,13,13,Ｊケイアイコンジン, 68,上村洋, 2.8, 55,   9, -17,13, 61.7,⑨⑧⑭
14,12,Ｏプレストキララ, 49,丹内祐, 3.5, 49,   0, -14,14,178.7,④⑤⑦,14,13,Ｎパｰトナｰシップ, 56,江田照, 2.0, 48, -10,  -4,15,307.5, ⑮⑮,14,16,Ｂダノンファントム, 74,藤岡康, 2.4, 50,   7, -29, 2,  3.7,⑤④⑤,14, 8,Ｈギガブレイク, 69,坂井英, 3.0, 53,* 12, -24, 8, 35.2,③③⑤
,,,,,,,,,,,,15,16,Ｈナンヨｰナイト, 64,中舘英, 2.4, 45,  -1, -16, 8, 29.9, ⑥⑦,15,15,Ｉサンアイブライト, 66,江田照, 3.0, 45,   3, -27,10, 49.0,⑫⑪⑭,,,,,,,,,,,,
