09年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9,11,Ｇテンシノカフェ, 44,中村将, 4.6, 37,  -4, -27,12,123.4,⑨⑩⑨, 9,10, オｰミプラネット,,岩崎祐,203.8,,,, 7, 39.7,⑨⑨⑨, 9, 8,Ｄビッグロｰズ, 76,佐藤哲, 1.6, 64,  -1,   3, 8, 21.0,⑦⑧⑧, 9, 3,Ｊワイドサファイア, 80,岩田康, 0.9, 78,  13,  -5, 3, 11.7, ⑪⑫
10, 1,Ｉラブハミング, 43,田中健, 5.1, 35,  -8, -23, 9, 64.7,⑪⑫⑩,10, 6, キタサンユキ,,黒岩悠,209.3,,,, 8, 84.4,⑪⑪⑪,10, 4,Ｆメイショウコレット, 73,武豊  , 1.7, 64,  -1,   2, 7, 18.5,⑨⑨⑩,10,14,Ｉワンカラット, 81,藤岡佑, 1.0, 78,  14,  -8, 6, 28.5, ⑨⑩
11, 8,Ｋダンツウォッチ, 27,国分恭, 6.6, 31,  -5, -41,11,119.9,⑧⑧⑪,11,11, トウケイビクトリｰ,,今村康,211.9,,,,12, 92.9,⑩⑩⑩,11,13,Ｃイニミタブル, 76,田中健, 1.8, 62,   1,  -2, 6, 16.5,⑥⑥⑤,11, 8,Ｈジェルミナル, 81,福永祐, 1.1, 77,* 17, -17, 4, 13.3, ④③
12,12,Ｊコスモマントナン, 35,浜中俊, 7.5, 24,  -8, -43,10, 70.6,⑩⑪⑫,,,,,,,,,,,,,12, 2,Ｍテｰオｰクレバｰ, 64,福永祐, 2.8, 56,   1, -11,11, 36.0,⑤⑤⑥,12,15,Ｒメモリｰパフィア, 69,幸英明, 1.1, 76,* 21, -25,17,315.4, ①①
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｌフィｰリングトｰン, 69,岩田康, 3.2, 52,*  2, -17, 5, 11.9,①①①,13,16,Ｌラヴェリｰタ, 79,後藤浩, 1.1, 77,  16, -13, 9, 48.1, ⑩⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｆブライダルベｰル, 82,鮫島良, 1.2, 80,  12,  -2,14,165.8, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,Ｅイタリアンレッド, 82,浜中俊, 1.2, 76,  16, -14, 7, 33.3, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｐヒカルアマランサス, 73,藤岡康, 1.4, 73,  14, -15, 8, 36.3, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｏクリノメダリスト, 76,川島信, 1.9, 70,   9,  -9,16,314.9, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｑダイナマイトボディ, 69,倉地学, 4.9, 44,  12, -59,18,411.1, ⑮⑮
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,
単勝:290円 複勝:09=130円 04=220円 02=200円 枠連:910円,,,,,,,,,,,,単勝:450円 複勝:04=160円 09=120円 02=140円 枠連:710円,,,,,,,,,,,,"単勝:400円 複勝:01=180円 10=230円 06=200円 枠連:1,460円",,,,,,,,,,,,"単勝:2,820円 複勝:04=480円 11=110円 13=870円 枠連:390円",,,,,,,,,,,
"馬連:1,170円 ワイド:04-09=480円 02-09=360円 02-04=740円",,,,,,,,,,,,馬連:730円 ワイド:04-09=300円 02-04=310円 02-09=210円,,,,,,,,,,,,"馬連:1,950円 ワイド:01-10=730円 01-06=500円 06-10=770円",,,,,,,,,,,,"馬連:1,180円 ワイド:04-11=610円 04-13=6,440円 11-13=1,190円",,,,,,,,,,,
"馬単:1,940円 3連複:1,930円 3連単:8,330円",,,,,,,,,,,,"馬単:1,620円 3連複:820円 3連単:4,560円",,,,,,,,,,,,"馬単:3,670円 3連複:3,460円 3連単:19,890円",,,,,,,,,,,,"馬単:4,930円 3連複:10,980円 3連単:98,420円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａメイショウタフ, 58,和田竜,, 55,  -4,  -7, 1,  2.6, ⑤④, 1, 7, サクラエルドｰル,---,福永祐,, 47, -28,*  4, 1,  1.9, ⑤⑤, 1, 5,Ａリルダヴァル, 71,武豊  ,, 79,  -9,* 20, 1,  1.4, ⑤⑤, 1, 4,Ａメイショウアサガオ, 83,佐藤哲,, 78,   7,*  9, 4,  6.1,⑦⑧⑧
 2,11,Ｄライブリフライト, 54,佐藤哲, 0.1, 52, -10,*  1, 4,  5.9, ⑩⑩, 2,11, グランドチャペル,---,岩田康, 0.2, 41, -28,  -1, 4,  7.0, ④④, 2, 4,Ｂコスモファントム, 65,和田竜, 0.4, 73,* -8,  11, 6, 28.8, ②②, 2, 3,Ｊタマモクリエイト, 76,幸英明, 0.0, 77,   7,*  7, 8, 33.0,④⑦⑦
 3, 4,Ｃアスカクリチャン, 55,武豊  , 0.2, 53,  -5,  -8, 2,  3.9, ⑥⑥, 3, 4, ピノブラン,---,和田竜, 0.4, 39, -28,  -4, 9, 50.0, ③③, 3, 3,Ｅタイセイワイルド, 57,福永祐, 0.6, 70,* -8,   7, 5, 18.8, ①①, 3, 7,Ｅタガノクリスエス, 82,福永祐, 0.1, 77,* 10,   2, 3,  4.3,⑧④④
 4, 2,Ｂラブソネット, 58,川田将, 0.8, 50,*  6, -29, 5,  7.7, ②②, 4, 6, エンクリプション,---,四位洋, 0.4, 43, -30,   2, 2,  4.5, ⑧⑧, 4, 1,Ｇアマファソン, 56,岩田康, 0.7, 71, -12,  14, 3,  7.8, ⑦⑦, 4, 1,Ｄリバプｰルサウンド, 82,武豊  , 0.2, 76,* 10,   0, 1,  2.6,②②②
 5,10,Ｆポｰルラッシュ, 51,熊沢重, 1.1, 44,  -2, -22, 6, 36.3, ④⑤, 5, 8, バンブｰヴィｰナス,---,後藤浩, 0.5, 37,*-25,  -9, 8, 43.6, ①①, 5, 6,Ｃエイシンアポロン, 64,小牧太, 1.1, 67, -12,   8, 2,  5.2, ⑧⑧, 5, 2,Ｆケｰジｰムサシ, 81,野元昭, 0.5, 74,   8,   1, 5, 11.8,⑥⑥⑥
 6, 6,Ｅユキノヒｰロｰ, 52,太宰啓, 1.1, 43,  -5, -20, 3,  4.7, ⑦⑧, 6, 3, ハｰドダダンダン,---,藤岡佑, 0.6, 42, -32,*  4,11,234.1, ⑩⑪, 6, 8,Ｄロトディパｰチャｰ, 61,四位洋, 1.4, 61,  -9,  -1, 7, 58.7, ⑥⑥, 6, 5,Ｃスマｰトタイタン, 82,岩田康, 0.7, 73,   9,  -1, 2,  4.2,③⑤⑤
 7, 5,Ｇカシノミニパイン, 46,大下智, 1.1, 43,  -6, -19, 7, 47.5, ⑧⑦, 7, 5, コスモサイキック,---,浜中俊, 0.6, 41, -30,   1, 6, 30.6, ⑨⑨, 7, 9,Ｈテイエムハエゲナ, 46,佐久間, 1.6, 57,  -9,  -5, 9,153.5, ③③, 7, 8,Ｇオｰスミマｰシャル, 80,和田竜, 0.8, 75,   6,   5,10,111.8,⑩⑪⑨
 8, 9,Ｋエンムスビヒメ, 28,幸英明, 1.4, 41,  -7, -20,10,201.0, ⑨⑨, 8,10, バルデッツァ,---,秋山真, 0.8, 33,*-26, -12, 5, 18.8, ②②, 8, 2,Ｆベストブルｰム, 57,藤田伸, 1.7, 57, -11,  -3, 4, 15.5, ④④, 8,11,Ｈマルサンテクニカル, 79,川島信, 1.4, 68,   9,  -8, 9, 49.0,⑤③③
 9, 7,Ｊマッシヴジェネラル, 31,小林徹, 1.4, 40,  -2, -28, 8, 53.2, ③③, 9, 9, オリオンザカフェ,---,松山弘, 0.9, 35, -29,  -7,10,117.3, ⑥⑦, 9, 7, カットイッタウト,---,川田将, 2.0, 58, -13,   0, 8,128.5, ⑨⑨, 9, 9,Ｂナムラマハラジャ, 83,田中健, 1.5, 68,   6,  -2, 7, 29.4,⑪⑨⑩
10, 1,Ｈシゲルイエヤス, 42,国分恭, 2.0, 35,*  7, -47, 9, 53.4, ①①,10, 1, カルロスバロｰズ,---,幸英明, 1.2, 31, -29, -11, 7, 34.6, ⑦⑥,,,,,,,,,,,,,10, 6,Ｉサｰユウジｰン, 77,国分恭, 1.5, 71,   6,  -2,11,365.7,⑨⑩⑪
11, 8,Ｉシゲルオナベノカタ, 40,上村洋, 8.1,-61, -44, -59,11,227.8, ⑪⑪,11, 2, セブンスコｰド,---,武豊  , 1.4, 30, -32,  -8, 3,  5.2, ⑪⑩,,,,,,,,,,,,,11,10,Ｋカシノブレイヴリ, 76,松山弘, 1.9, 62,* 10, -14, 6, 20.1,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:2),,,,,,,,,,,
単勝:260円 複勝:03=110円 11=150円 04=140円 枠連:580円,,,,,,,,,,,,単勝:190円 複勝:07=120円 11=190円 04=590円 枠連:390円,,,,,,,,,,,,"単勝:140円 複勝:05=110円 04=450円 03=320円 枠連:2,260円",,,,,,,,,,,,"単勝:610円 複勝:04=220円 03=680円 07=170円 枠連:6,170円",,,,,,,,,,,
馬連:690円 ワイド:03-11=280円 03-04=210円 04-11=360円,,,,,,,,,,,,"馬連:610円 ワイド:07-11=270円 04-07=1,310円 04-11=2,030円",,,,,,,,,,,,"馬連:2,090円 ワイド:04-05=710円 03-05=390円 03-04=2,190円",,,,,,,,,,,,"馬連:5,420円 ワイド:03-04=1,600円 04-07=450円 03-07=1,570円",,,,,,,,,,,
"馬単:1,150円 3連複:880円 3連単:3,920円",,,,,,,,,,,,"馬単:860円 3連複:5,720円 3連単:16,580円",,,,,,,,,,,,"馬単:2,300円 3連複:4,700円 3連単:15,800円",,,,,,,,,,,,"馬単:9,360円 3連複:5,550円 3連単:39,490円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,仲秋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂストｰムツイスタｰ, 65,福永祐,, 74,* 11,* -3, 1,  2.1, ②②, 1, 8,Ａスｰパｰオｰビット, 77,藤岡康,, 75,   9,* -4, 1,  2.8,⑧⑨⑨, 1, 3,Ｃエイシンパンサｰ, 76,福永祐,, 82,   7,* 10, 2,  4.5, ⑩⑧, 1, 9,Ｃシゲルカサギヤマ, 72,幸英明,, 72,   3,*  6, 2,  4.4, ⑥④
 2, 8,Ａアイファｰジャンボ, 66,浜中俊, 0.0, 72,   7,*  1, 2,  2.4, ④④, 2, 6,Ｂダディｰズウォｰズ, 75,川田将, 0.2, 74,   7,* -2, 2,  3.0,⑨⑩⑩, 2,12,Ｄロｰズカットダイヤ, 76,秋山真, 0.3, 81,  13,  -2, 3,  5.7, ⑤④, 2,11,Ｅピンクペガサス, 70,後藤浩, 0.2, 71,*  7,   0, 5, 11.2, ①①
 3,10,Ｄビｰクｰル, 60,荻野琢, 0.9, 66,   8,  -8, 7, 23.3, ③③, 3, 7,Ｊマｰブルファイブ, 55,松山弘, 0.5, 71,  10, -14, 8, 58.9,⑩⑧⑧, 3, 7,Ａダノンプログラマｰ, 82,熊沢重, 0.3, 78,  10,   2, 1,  2.1, ⑧⑥, 3,14,Ｂドキャｰレ, 74,小牧太, 0.3, 71,*  6,   1, 3,  5.2, ③③
 4,12,Ｃマックスコヒヌｰル, 63,藤岡佑, 0.9, 65,   8,  -7, 6, 18.6, ⑤⑤, 4, 3,Ｇジャングルケイ, 68,小牧太, 0.7, 69,* 11, -21, 5, 12.2,③③④, 4, 9,Ｉヴェリタス, 72,四位洋, 0.4, 78,   8,   4, 7, 26.1, ⑨⑨, 4, 7,Ｉインプリシット, 64,鮫島良, 0.3, 70,  -3,*  9,12, 39.7, ⑪⑪
 5, 7,Ｌシャトｰラム, 45,小坂忠, 1.1, 65,* 12, -13,11,301.8, ①①, 5, 4,Ｈニシノシャア, 63,古川吉, 1.0, 68,  10, -24, 9,102.3,④④③, 5, 6,Ｈナリタシリカ, 73,川島信, 0.5, 76,  10,   0, 9, 43.0, ⑦⑦, 5,12,Ｄスカイビュｰティｰ, 70,太宰啓, 0.4, 70,   1,   4, 7, 14.4, ⑩⑦
 6,13,Ｈプリティファイナル, 55,松山弘, 1.1, 59,   2,* -3, 3, 13.3, ⑨⑦, 6,10,Ｄグリフィス, 72,福永祐, 1.1, 67,  10, -24, 6, 15.8,⑦⑥⑤, 6, 5,Ｇエｰシンビｰエル, 74,浜中俊, 0.8, 71,   3,   5, 8, 28.6, ⑫⑫, 6, 6,Ｈテイエムハヤテオｰ, 65,福永祐, 0.4, 70,   2,   4, 4,  6.4, ⑤⑥
 7, 6,Ｊシルクシグナル, 47,藤岡康, 2.0, 52,   3, -12,12,324.5, ⑦⑧, 7, 1,Ｃテンシノマズル, 73,中村将, 1.2, 66,* 13, -33, 4,  6.9,①①①, 7, 1,Ｊシティボス, 72,小牧太, 1.0, 69,   2,   5, 6, 22.6, ⑬⑬, 7,13,Ｆサンマルハッピｰ, 67,荻野琢, 0.6, 69,*  6,  -3,11, 34.6, ②②
 8, 2,Ｅニシノオルティア, 59,佐藤哲, 2.1, 53,   6, -15, 8, 35.2, ⑥⑥, 8, 5,Ｅレイナソフィア, 70,藤田伸, 1.2, 65,   9, -23, 3,  4.8,⑤⑦⑥, 8, 8,Ｅオｰスミスパｰク, 74,幸英明, 1.0, 74,* 18, -17, 5, 20.9, ①①, 8, 1,Ｊスリｰコンビナｰト, 63,秋山真, 0.7, 67,  -3,   5,10, 30.5, ⑬⑫
 9, 4,Ｋパイオニアシチｰ, 47,橋本美, 2.3, 50,   0, -11,10,116.1, ⑪⑨, 9, 9,Ｉシｰシャトｰ, 58,高野容, 1.8, 62,  11, -32,10,229.0,⑥⑤⑦, 9, 4,Ｌカシノマイケル, 68,松山弘, 1.1, 69,   4,   0,11, 77.5, ⑪⑪, 9, 8,Ｌアベニｰルシチｰ, 62,和田竜, 0.7, 67,  -2,   5, 6, 13.0, ⑨⑩
10, 3,Ｉファスキナｰレ, 52,岩田康, 2.5, 47,   1, -15, 5, 18.6, ⑩⑩,10, 2,Ｆスリｰロゼット, 70,国分恭, 1.8, 61,* 11, -39, 7, 32.1,②②②,10,10,Ｂスカイノダン, 77,川田将, 1.2, 71,* 17, -19, 4,  7.0, ②②,10, 4,Ａディアアゲイン, 75,松山弘, 0.7, 66,   0,   3, 1,  3.5, ⑧⑨
11, 1,Ｍラガｰジャンプ, 44,渡辺薫, 2.9, 45,  -3, -15,13,389.4, ⑫⑪,,,,,,,,,,,,,11,13,Ｆトシザユカ, 74,長谷川, 1.2, 70,* 16, -17,10, 73.3, ③③,11,10,Ｇネオヴェリｰベリｰ, 67,藤岡佑, 1.1, 63,   4,  -4, 9, 30.4, ④⑤
12,11,Ｎシゲルセンガミネ, 39,国分恭, 3.1, 43,  -4, -16,14,417.5, ⑬⑬,,,,,,,,,,,,,12,11,Ｋアンソロジｰ, 71,鮫島良, 1.2, 70,  12, -12,12, 92.8, ⑥⑤,12, 2,Ｎメイショウラルｰ, 53,国分恭, 1.2, 65,  -4,   3,13,209.1, ⑫⑬
13, 5,Ｇサンレイフレンド, 58,岩崎祐, 3.1, 42,  -1, -18, 4, 17.2, ⑧⑫,,,,,,,,,,,,,13, 2,Ｍメッサｰシュミット, 60,太宰啓, 3.3, 44,   9, -37,13,185.3, ④⑩,13, 3,Ｋスズカクロフネ, 63,岩田康, 1.9, 56,   1,  -9, 8, 29.5, ⑦⑧
14,14,Ｆシェダル, 58,秋山真, 4.3, 34, -12, -18, 9, 52.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,
単勝:210円 複勝:09=110円 08=110円 10=260円 枠連:210円,,,,,,,,,,,,単勝:280円 複勝:08=130円 06=130円 07=870円 枠連:430円,,,,,,,,,,,,"単勝:450円 複勝:03=140円 12=150円 07=120円 枠連:1,160円",,,,,,,,,,,,"単勝:440円 複勝:09=190円 11=350円 14=220円 枠連:1,340円",,,,,,,,,,,
馬連:210円 ワイド:08-09=140円 09-10=400円 08-10=590円,,,,,,,,,,,,"馬連:440円 ワイド:06-08=240円 07-08=2,380円 06-07=2,280円",,,,,,,,,,,,"馬連:1,260円 ワイド:03-12=380円 03-07=240円 07-12=250円",,,,,,,,,,,,"馬連:3,520円 ワイド:09-11=1,210円 09-14=670円 11-14=920円",,,,,,,,,,,
"馬単:380円 3連複:840円 3連単:2,250円",,,,,,,,,,,,"馬単:820円 3連複:6,500円 3連単:19,180円",,,,,,,,,,,,"馬単:2,320円 3連複:970円 3連単:8,120円",,,,,,,,,,,,"馬単:6,120円 3連複:6,070円 3連単:34,960円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
