09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇオｰスミカイエン, 43,幸英明,, 54, -16,* 11, 5, 20.9,⑪⑧⑤, 1, 5, ジョｰモカ,---,藤岡康,, 68,  -9,*  8, 4,  8.2, ⑩⑦, 1, 7,Ａサンデｰヒストリｰ, 85,鮫島良,, 79,* 10,   3, 1,  1.5,④③①, 1,18,Ａアパパネ, 76,蛯名正,, 83,   5,* 13, 2,  4.6, ⑩⑪
 2, 7,Ｃランブリングロｰズ, 56,藤岡佑, 0.1, 55, -16,* 13, 3,  6.5,⑨⑪⑧, 2,13, エナジｰハｰト,---,三浦皇, 0.3, 65,  -1,  -3, 5,  8.4, ⑤④, 2, 2,Ｃホワイトベッセル, 80,川田将, 0.0, 81,   7,* 11, 4, 15.2,⑦⑧⑧, 2, 6,Ｅアニメイトバイオ, 73,内田博, 0.1, 82,   9,   6, 5,  8.7, ⑦⑦
 3,12,Ｈマジェスティバイオ, 40,内田博, 0.2, 53, -15,  10, 4, 12.4,⑤⑤④, 3,14, メイショウオリビア,---,蛯名正, 0.6, 61,  -1,  -7, 8, 24.5, ⑥⑤, 3, 9,Ｅキャプテンマジン, 79,岩田康, 0.3, 77,* 11,   2, 2,  5.4,⑨④③, 3,15,Ｃベストクルｰズ, 74,安藤勝, 0.2, 82,   4,* 13, 6, 12.2, ⑫⑫
 4, 3,Ａマｰジｰビｰト, 65,武豊  , 0.3, 53, -16,  10, 1,  1.7,⑧⑥⑨, 4, 4, アイアンラチェット,---,上村洋, 0.8, 58,  -9,  -2, 9, 32.2, ⑦⑧, 4, 5,Ｊショｰファイトダダ, 68,吉田稔, 0.4, 79,   5,* 11, 8,113.3,⑩⑩⑨, 4, 7,Ｄラナンキュラス, 74,四位洋, 0.3, 80,   6,   7, 4,  8.6, ⑨⑩
 5,11,Ｄスｰサンストリｰム, 47,和田竜, 0.3, 52,*-13,   7, 6, 26.0,③③③, 5,12, トｰセンポインタｰ,---,岩田康, 0.8, 58,  -2,  -8, 6, 10.0, ④⑥, 5, 3,Ｄサバスデイ, 80,内田博, 0.7, 75,   9,   1, 7, 20.8,⑤⑥⑥, 5,16,Ｂシンメイフジ, 75,岩田康, 0.4, 79,   3,* 11, 1,  3.9, ⑰⑭
 6, 6,Ｊアレックスバロｰズ, 34,北村宏, 0.8, 46, -15,   5, 9, 85.4,④④⑥, 6, 9, ダノンフリｰデン,---,デムｰ, 0.9, 56, -18,*  6, 3,  5.7, ⑬⑪, 6, 1,Ｇアｰスワンハｰト, 77,三浦皇, 1.1, 71,   9,  -2, 5, 15.5,③⑤④, 6, 8,Ｈタガノエリザベｰト, 72,川田将, 0.4, 80,  -1,* 17, 3,  6.9, ⑱⑱
 7, 9,Ｅニホンピロピリオド, 46,吉田稔, 0.9, 52, -19,* 12,11,114.2,⑫⑫⑫, 7, 7, クリノビｰトイット,---,藤岡佑, 0.9, 58, -14,   2,12,173.5, ⑨⑩, 7, 4,Ｂフロムジオリエント, 81,藤岡佑, 1.4, 69,* 11,  -8, 3,  6.9,①①②, 7,11,Ｉステラリｰド, 70,デムｰ, 0.6, 75,   8,   0, 9, 21.2, ⑧⑧
 8, 4,Ｂメイショウシャイン, 60,福永祐, 1.0, 49, -17,   7, 8, 31.6,⑩⑨⑩, 8, 1, ロｰレルソヒｰル,---,浜中俊, 1.1, 56,   2, -15,10, 63.1, ③③, 8, 6,Ｆライジングバイオ, 79,小牧太, 1.4, 71,   7,   0, 6, 19.6,⑧⑨⑩, 8, 9,Ｑカスクドｰル, 62,小牧太, 0.7, 75,   3,   7,16, 95.7, ⑪⑬
 9, 2,Ｆエｰシンサスケハナ, 44,浜中俊, 1.7, 40,*-13,  -9, 2,  4.2,①①①, 9, 6, スナｰクサリｰ,---,福永祐, 1.2, 54, -11,  -4, 7, 19.3, ⑧⑨, 9,10,Ｈスリｰベイダｰ, 72,小坂忠, 1.8, 67,  10, -10,10,141.6,②②⑤, 9,12,Ｆタガノガルｰダ, 72,浜中俊, 0.7, 77,   1,  10,11, 29.7, ⑮⑮
10, 8,Ｉラヴアズギフト, 37,三浦皇, 2.0, 40, -16,  -4,10, 97.5,⑦⑦⑦,10,10, ジョｰカｰホｰマン,---,幸英明, 1.3, 52, -16,   0,11, 86.4, ⑪⑬,10, 8,Ｉライコウテンユウ, 70,吉田隼, 2.0, 66,   8,  -9, 9,115.0,⑥⑦⑦,10, 3,Ｐモトヒメ, 64,大野拓, 0.9, 72,  10,  -9,15, 91.2, ④⑤
11, 5,Ｋジパングダマシイ, 32,川田将, 2.0, 39,*-13,  -8, 7, 26.7,②②②,11, 3, トウショウヒｰロｰ,---,池添謙, 1.6, 48,*  4, -26, 2,  3.9, ②②,,,,,,,,,,,,,11, 2,Ｍジュエルオブナイル, 64,三浦皇, 0.9, 71,* 13, -14, 8, 16.4, ①①
12,10,Ｌペブルビｰチ, 23,吉田隼, 3.0, 33, -17, -10,12,131.4,⑥⑩⑪,12,11, ワンダｰバライル,---,野元昭, 1.8, 45, -17,  -7,13,187.6, ⑫⑫,,,,,,,,,,,,,12,17,Ｎメルヴェイユドｰル, 64,幸英明, 1.0, 72,   8,  -4,14, 86.9, ⑬⑨
,,,,,,,,,,,,13, 2, スズカデジタル,---,安藤勝, 1.9, 43,*  5, -31, 1,  3.2, ①①,,,,,,,,,,,,,13,10,Ｌタガノパルムドｰル, 65,藤岡康, 1.1, 70,   1,   4, 7, 14.4, ⑭⑯
,,,,,,,,,,,,14, 8, ビバタイヨｰコウ,---,吉田稔, 2.7, 34, -24, -11,14,198.3, ⑭⑭,,,,,,,,,,,,,14,13,Ｋグロｰリｰステップ, 67,吉田隼, 1.4, 66,   9, -15,13, 65.5, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｊサリエル, 68,石橋守, 1.7, 62,* 12, -22,12, 52.2, ⑤③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｇメイショウデイム, 72,福永祐, 1.7, 63,  11, -20,10, 27.2, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｏパリスドｰル, 64,太宰啓, 1.8, 61,* 13, -26,18,182.1, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｒカレンナホホエミ, 55,上村洋, 2.0, 61,   1,  -9,17,138.6, ⑯⑰
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:3),,,,,,,,,,,
"単勝:2,090円 複勝:01=880円 07=380円 12=490円 枠連:7,320円",,,,,,,,,,,,"単勝:820円 複勝:05=250円 13=210円 14=910円 枠連:1,750円",,,,,,,,,,,,単勝:150円 複勝:07=110円 02=230円 09=150円 枠連:880円,,,,,,,,,,,,"単勝:460円 複勝:18=190円 06=260円 15=300円 枠連:1,000円",,,,,,,,,,,
"馬連:5,810円 ワイド:01-07=1,320円 01-12=2,240円 07-12=980円",,,,,,,,,,,,"馬連:3,260円 ワイド:05-13=1,190円 05-14=4,310円 13-14=2,610円",,,,,,,,,,,,馬連:910円 ワイド:02-07=300円 07-09=160円 02-09=670円,,,,,,,,,,,,"馬連:2,050円 ワイド:06-18=780円 15-18=870円 06-15=1,140円",,,,,,,,,,,
"馬単:14,140円 3連複:14,150円 3連単:111,650円",,,,,,,,,,,,"馬単:5,960円 3連複:23,290円 3連単:111,430円",,,,,,,,,,,,"馬単:1,190円 3連複:1,280円 3連単:4,770円",,,,,,,,,,,,"馬単:3,710円 3連複:5,980円 3連単:27,670円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾘｶ賞,,,,,,,,,,,,御影ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｉパドトロワ, 49,安藤勝,, 71,*  5,  -2, 1,  2.2, ①①, 1,15,Ｂキクノセンヒメ, 80,蛯名正,, 80,   1,* 21, 2,  3.5,⑪⑩⑨, 1, 2,Ｄエイシンフラッシュ, 65,内田博,, 77, -17,* 24, 1,  2.7,⑥⑥④, 1, 8,Ｄセイクリムズン, 85,幸英明,, 88,   1,* 26, 1,  3.1, ⑧⑧
 2, 9,Ｅアンフィルｰジュ, 51,藤岡康, 0.4, 60,  -8,*  6, 2,  4.5, ⑫⑫, 2, 9,Ｋスズカブリザｰド, 71,安藤勝, 0.0, 75,*  4,  13, 5, 15.7,①①①, 2, 3,Ａブルｰミングアレｰ, 74,北村宏, 0.0, 74,*-16,  22, 2,  3.3,⑤③③, 2, 4,Ｌスガノメダリスト, 78,四位洋, 0.2, 87,   1,* 26, 9, 22.1, ⑨⑨
 3, 2,Ｂケイエスケイト, 58,蛯名正, 0.5, 63,  -1,  -2, 4,  5.8, ⑤⑤, 3, 2,Ｃエナｰジバイオ, 80,武豊  , 0.1, 80,   0,* 21, 1,  3.3,⑮⑫⑪, 3, 4,Ｂアイウォントユｰ, 73,幸英明, 0.5, 73, -18,  22, 6, 24.4,⑦⑦⑦, 3,15,Ａクイックリｰプ, 88,松岡正, 0.4, 84,   6,  18, 3,  6.5, ④④
 4,11,Ｃビップピュアレディ, 55,内田博, 0.6, 60,  -6,*  2, 3,  5.8, ⑨⑩, 4,11,Ｅヒミノプリンセス, 75,幸英明, 0.6, 73,*  4,   9,10, 34.8,④④③, 4, 6,Ｅヴァンダライズ, 64,安藤勝, 0.7, 68, -17,  15, 5,  8.0,④⑤⑥, 4,14,Ｂエｰシンクｰルディ, 86,福永祐, 0.6, 82,*  7,  15, 4,  7.1, ③③
 5,10,Ｄジュエリｰフラン, 51,吉田稔, 1.0, 53, -13,*  3, 6, 25.5, ⑯⑭, 5, 1,Ｉファイアナカヤマ, 73,熊沢重, 0.6, 75,*  4,  10, 7, 20.7,③③④, 5, 8,Ｆスマｰトジェネシス, 60,武豊  , 0.8, 64,*-15,   9, 3,  4.9,①①①, 5,16,Ｍフキラウソング, 77,武豊  , 0.8, 81,   4,  17, 5,  8.0, ⑦⑦
 6, 6,Ｇチキリパンドラ, 50,橋本美, 1.3, 51,  -6,  -7, 9, 62.8, ⑧⑨, 6, 7,Ｇヘリオスシチｰ, 74,デムｰ, 0.7, 74,   3,  12, 6, 18.8,⑨⑨⑦, 6, 5,Ｃマイネアロマ, 67,松岡正, 1.2, 62, -17,   8, 4,  5.3,③④⑤, 6,11,Ｇショウナンアクト, 82,岩田康, 1.1, 78,   5,  12, 8, 21.4, ⑤⑤
 7,16,Ａヒダカタイザン, 60,飯田祐, 1.3, 52,  -2, -11, 5, 13.4, ⑩⑦, 7, 3,Ｄナムラフュｰチャｰ, 75,和田竜, 0.8, 73,   3,  10, 4, 11.3,⑤⑥⑥, 7, 1, エレｰヌ,---,吉田稔, 1.6, 62, -21,  13, 8,110.4,⑧⑧⑧, 7, 2,Ｉワインアドバイザｰ, 79,北村宏, 1.1, 79,  -1,  21,13,127.4, ⑫⑩
 8, 5,Ｐメイショウブソン,  5,高橋亮, 1.6, 46, -12,  -4,15,352.2, ⑮⑬, 8, 6,Ａベルモントゴラッソ, 80,川田将, 0.8, 72,*  4,   9, 3,  3.8,⑥⑤⑤, 8, 7,Ｇピサロナイト, 57,岩田康, 1.8, 51,*-16,  -4, 7, 61.1,②②②, 8,13,Ｆストｰリｰテリング, 83,大野拓, 1.1, 78,   4,  13, 6,  9.5, ⑥⑥
 9,13,Ｊトップアテンション, 47,幸英明, 1.7, 49,*  4, -23, 7, 28.6, ②②, 9,16,Ｊコンプトゥス, 73,藤岡康, 1.2, 72,  -1,  14, 9, 27.6,⑭⑭⑫,,,,,,,,,,,,, 9, 5,Ｊダイワプリベｰル, 78,鮫島良, 1.4, 78,  -3,  21,12,121.7, ⑬⑮
10,14,Ｈミヤジアンジェラ, 49,和田竜, 1.8, 48,  -1, -17,10,110.7, ⑦⑥,10,13,Ｆオｰスミマコ, 74,三浦皇, 1.3, 70,  -1,  13,11, 52.2,⑫⑮⑬,,,,,,,,,,,,,10, 9,Ｏクリノビリオネア, 76,三浦皇, 1.5, 76,  -2,  18,11, 97.8, ⑪⑫
11,15,Ｎテイエムヨカゲナ, 32,熊沢重, 1.9, 45,   0, -21,13,171.5, ④④,11, 8,Ｈメイショウスクラム, 73,内田博, 1.3, 70,   2,   7, 8, 25.9,⑦⑦⑧,,,,,,,,,,,,,11, 1,Ｅアルバレスト, 83,吉田隼, 1.7, 75,  -4,  19,10, 71.1, ⑮⑯
12, 4,Ｆホクザンアロマ, 50,野元昭, 2.3, 41,*  2, -28,14,178.5, ③③,12, 4,Ｌスマｰトン, 65,吉田隼, 2.2, 62,*  4,  -4,13,144.2,②②②,,,,,,,,,,,,,12, 3,Ｐスマｰトギルド, 74,蛯名正, 1.8, 74,  -2,  16,14,183.3, ⑯⑬
13, 3,Ｋマリンアンドアレン, 41,池添謙, 2.4, 37,  -4, -24, 8, 46.1, ⑪⑧,13, 5,Ｏエムエスシャｰプ, 60,大野拓, 3.0, 56,   2,  -7,12,136.1,⑧⑧⑩,,,,,,,,,,,,,13,12,Ｎダイイチミラクル, 77,橋本美, 1.9, 74,  -1,  13,15,194.9, ⑩⑪
