09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:43,650円 3連複:36,580円 3連単:261,450円",,,,,,,,,,,,"馬単:1,760円 3連複:1,330円 3連単:8,130円",,,,,,,,,,,,"馬単:7,120円 3連複:1,840円 3連単:20,200円",,,,,,,,,,,,"馬単:2,020円 3連複:2,460円 3連単:11,690円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃタマビッグボス, 63,松岡正,, 64,* -6,*  9, 1,  3.5, ①①, 1, 3, ペルｰサ,---,横山典,, 58, -33,* 21, 1,  2.5,④⑦⑦, 1,15,Ｂマイディアサン, 84,蛯名正,, 81,*  1,* 22, 1,  3.2, ④③, 1, 5,Ｄジャコスキｰ, 81,後藤浩,, 85,  -4,  17, 7, 21.8, ④④
 2,16,Ａミエノグレｰス, 63,武豊  , 0.3, 63,* -7,*  9, 2,  3.7, ④④, 2,11, インディアナポリス,---,ルメｰ, 0.3, 56, -34,* 19, 2,  3.0,⑨⑩⑩, 2, 6,Ｆランフォルセ, 81,三浦皇, 0.2, 80,   1,* 22, 3,  4.0, ⑤⑤, 2, 8,Ａアグネスサクラ, 82,武豊  , 0.0, 87,  -6,* 22, 3,  6.0, ⑥⑥
 3, 3,Ｋアドレッセンス, 48,福永祐, 0.4, 62,* -7,*  8, 6, 15.7, ③③, 3, 1, マツリダジャパン,---,後藤浩, 0.6, 49, -31,   9, 3,  4.5,③⑤⑤, 3,16,Ｇシャイニングアワｰ, 81,武豊  , 0.5, 78,   0,  20, 4,  7.8, ⑥⑥, 3, 1,Ｍモンテアルベルト, 73,柴田善, 0.1, 83,  -4,  16, 8, 22.4, ③③
 4, 9,Ｄディアトラ, 62,吉田豊, 0.7, 60,  -9,   7, 5,  8.5, ⑥⑥, 4, 5, ジュヌドラゴン,---,デムｰ, 0.7, 45, -31,   6, 7, 26.3,⑦④④, 4,12,Ｈストロングバサラ, 79,田辺裕, 0.7, 75,*  2,  14, 7, 25.6, ②②, 4, 6,Ｅサトノエクスプレス, 80,四位洋, 0.2, 87,  -9,* 25, 4,  9.1, ⑫⑩
 5, 8,Ｅモンスティル, 61,クラス, 1.0, 57,  -9,   5, 9, 32.7, ⑤⑤, 5, 6, ハネダボサツ,---,武士沢, 0.9, 42, -31,   5, 6, 23.0,⑥⑥⑥, 5, 3,Ｋオフリミッツ, 77,カステ, 0.9, 73,*  3,  12, 6, 22.5, ①①, 5, 4,Ｌキョウエイストｰム, 74,五十嵐, 0.3, 85,  -7,  21,14, 87.4, ⑧⑧
 6,14,Ｌタマモワルツ, 46,勝浦正, 1.2, 56, -12,   6,12,169.7, ⑨⑧, 6, 9, ファｰストグロｰス,---,三浦皇, 1.2, 43, -34,   5, 5, 19.4,⑧⑧⑧, 6, 9,Ｅメイクアダッシュ, 82,菊沢隆, 1.0, 76,  -3,* 20, 9, 46.5, ⑬⑬, 6, 3,Ｇストロングリタｰン, 79,デムｰ, 0.5, 79,  -7,  16, 1,  2.8, ⑦⑦
 7, 6,Ｆケンプトンパｰク, 59,内田博, 1.6, 54, -15,*  8, 3,  4.3, ⑪⑫, 7,10, バトルヒミコ,---,戸崎圭, 1.2, 38,*-30,  -4, 8, 27.9,②②②, 7,11,Ａリバプｰルサウンド, 86,ルメｰ, 1.0, 71,  -1,  17, 2,  3.8, ⑧⑩, 7, 2,Ｋマイネルスカット, 74,石橋脩, 0.5, 78,* -2,   7,15,181.5, ②②
 8,12,Ｇノボクン, 58,岩田康, 1.7, 53, -15,   7, 4,  7.9, ⑭⑬, 8,12, トモエジョｰ,---,石橋脩, 1.4, 35,*-30,  -7, 9, 49.5,⑤③③, 8, 7,Ｄスプリングサンテ, 83,ルパル, 1.1, 73,  -1,  17,14,191.1, ⑩⑨, 8,12,Ｆトップゾｰン, 80,蛯名正, 0.5, 84, -10,* 24, 9, 25.9, ⑬⑭
 9,13,Ｂニシノロコペリ, 63,武士沢, 1.7, 53, -16,*  9,10, 79.9, ⑮⑮, 9, 4, クリノオスカｰ,---,北村宏, 1.8, 34, -35,  -1,10, 65.6,⑫⑫⑪, 9, 4,Ｌテンザンモビｰル, 76,田中勝, 1.3, 69,   0,  12,10, 96.5, ③④, 9,11,Ｂカウアイレｰン, 82,横山典, 0.5, 80,  -8,  18, 6, 11.6, ⑨⑨
10, 4,Ｈマレｰネ, 51,小野次, 1.8, 51,* -6,  -5, 7, 20.5, ②②,10, 2, ナンヨｰドリｰム,---,内田博, 2.0, 36, -37,   0, 4, 12.2,⑩⑪⑫,10,13,Ｉニシノテンカ, 78,内田博, 1.4, 72,  -2,  16, 8, 30.8, ⑫⑫,10,14,Ｈタケショウオｰジ, 78,三浦皇, 0.6, 82,  -9,  19, 2,  5.7, ⑭⑫
11, 7,Ｉタマモハイグレｰド, 49,村田一, 1.9, 52, -13,   3,11,158.1, ⑧⑩,11, 8, カルチョマドンナ,---,大野拓, 3.7,  9, -35, -28,12,179.6,⑪⑨⑨,11,14,Ｃシャインエフォｰト, 83,丸山元, 1.5, 69,   0,  12, 5,  9.1, ⑨⑦,11, 7,Ｉブレイクナイン, 76,内田博, 0.7, 77,  -5,  10,11, 29.8, ⑤⑤
12, 5,Ｎシャイニｰロイヤル, 40,柴田善, 1.9, 52, -16,   6,14,313.6, ⑬⑭,12, 7, ダイワエクセル,---,田中勝, 4.5, -9,*-30, -53,11,165.9,①①①,12, 5,Ｍヒシウィンザｰ, 75,戸崎圭, 1.5, 69,  -1,  13,12,126.1, ⑦⑧,12, 9,Ｃムクドク, 82,ルメｰ, 0.8, 77,  -9,  16, 5, 10.1, ⑩⑪
