09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 1,Ｄイオス, 56,三浦皇, 0.2, 66,  -1,*  1, 1,  1.9,⑤④③, 2, 8,Ａポイマンドレｰス, 72,岩田康, 0.6, 66,   6,* -4, 1,  1.6,⑤③②, 2, 2,Ａタガノプルミエｰル, 84,岩田康, 0.6, 82,  11,*  5, 4, 13.9,⑧⑨⑨, 2,13,Ｆフリソ, 81,吉田稔, 1.1, 83,   3,* 21, 5, 12.1,⑨⑩⑩
 3,12,Ｂキタサンスズラン, 60,横山典, 0.2, 64,*  1,  -4, 3,  6.4,②②②, 3, 5,Ｂダｰクセクタｰ, 67,藤岡佑, 0.9, 64,   5,* -2, 7, 44.1,⑧⑦③, 3, 7,Ｂボｰテセレスト, 84,武豊  , 0.9, 80,  10,*  4, 2,  5.3,⑬⑭⑬, 3, 6,Ｂコロナグラフ, 85,武幸四, 1.1, 85,*  8,  13, 2,  5.7,①①①
 4, 6,Ｃベリｰフ, 57,松岡正, 0.3, 65,  -1,  -1, 5, 11.1,⑥⑤④, 4, 7,Ｇトキメキヒｰロｰ, 62,五十嵐, 1.9, 58,   3,  -8, 6, 30.1,⑪⑪⑦, 4, 5,Ｄレッドシャガｰラ, 83,藤岡佑, 1.0, 77,  14,  -6, 1,  2.6,⑤⑤③, 4,10,Ｅグランシュヴァリエ, 82,田中勝, 1.5, 80,   2,  20, 7, 15.7,⑫⑫⑪
 5, 2,Ｋデパｰル, 41,古川吉, 0.7, 61,  -3,  -3, 9,162.3,⑦⑦⑧, 5, 6,Ｌトレッドウェｰヴ, 50,丸田恭, 2.7, 52,   3, -15,12,243.6,⑩⑩⑥, 5, 1,Ｃイイデエｰス, 83,五十嵐, 1.1, 76,  12,  -6, 7, 18.5,④⑥⑧, 5, 7,Ｉナムラカイシュウ, 79,安藤勝, 1.8, 76,   3,  13, 4,  9.2,⑩⑧⑥
 6,10,Ａレオプライム, 64,岩田康, 0.7, 59,*  1, -10, 2,  4.5,①①①, 6, 3,Ｉロｰドブラン, 60,荻野琢, 3.1, 51,   0, -14, 9,126.6,⑬⑬⑪, 6, 6,Ｇサムデイシュアｰ, 79,丸田恭, 1.2, 75,  10,  -1,12, 31.3,⑪⑬⑪, 6,12,Ｈマルサンテクニカル, 79,川島信, 1.9, 76,   3,  14,12,154.3,⑪⑪⑧
 7, 5,Ｈニシエイビック, 43,丸田恭, 1.5, 50,  -8,  -6, 6, 18.9,⑬⑫⑩, 7, 1,Ｍオｰスチンエブリン, 45,田面木, 4.0, 44,   3, -26,13,515.0,⑨⑨⑨, 7, 9,Ｏダｰクエンジェル, 69,古川吉, 1.2, 79,  11,  -3,14, 51.4,⑨⑪⑦, 7, 3,Ｄチャイコフスキｰ, 82,横山典, 1.9, 75,   4,  11, 6, 12.8,⑥⑥⑤
 8, 9,Ｍシｰキングカフェ, 36,武豊  , 1.7, 48,  -7, -11, 8, 31.1,⑩⑩⑫, 8,13,Ｃロｰドカイザｰ, 67,三浦皇, 4.1, 41,   6, -34, 3,  7.3,⑥④④, 8,13,Ｉコパノジングｰ, 77,松岡正, 1.4, 75,  10,  -5, 8, 20.0,⑮⑫⑩, 8, 9,Ｌロｰンウルフ, 74,丸田恭, 2.0, 77,   3,  15,10, 70.4,⑧⑨⑫
 9,13,Ｊガントレット, 41,五十嵐, 1.8, 47,  -8, -10,11,185.1,⑫⑬⑭, 9,11,Ｄクレバｰクンプウ, 65,宮崎北, 4.3, 40,   0, -25, 4,  9.7,⑫⑫⑫, 9, 3,Ｆサクセスガｰウィン, 80,田中博, 1.6, 73,   8,  -4,10, 25.1,⑯⑮⑮, 9, 2,Ｃケイアイプラウド, 84,岩田康, 2.1, 75,   5,   8, 3,  6.7,⑤③③
10, 7,Ｉパワｰオブゴｰルド, 42,小林徹, 1.9, 47, -13,  -5,13,403.6,⑭⑭⑬,10, 2,Ｋケイアイカグラ, 50,丸山元, 5.0, 36,   3, -37,10,203.3,⑦⑧⑩,10,12,Ｍエテルノ, 72,中舘英, 2.0, 71,   8,  -9,16, 64.4,⑭⑯⑭,10, 5,Ｇギルティストライク, 79,四位洋, 2.3, 76,  -1,  17,11, 95.2,⑬⑬⑬
11,14,Ｇレオキュｰト, 45,藤岡佑, 2.0, 46,  -3, -18,12,370.8,⑧⑨⑨,11,12,Ｅセイウンウィスパｰ, 63,中舘英, 5.6, 33,*  7, -47, 5, 14.1,④②⑤,11,16,Ｈコアレスストｰム, 78,田中勝, 2.3, 64,* 16, -33,11, 30.1,①①①,11, 4,Ｍタイキジャガｰ, 73,三浦皇, 2.6, 69,   5,   3, 8, 45.7,③④④
12, 8,Ｆダンスカｰド, 53,宮崎北, 2.1, 46,  -7, -13,10,181.0,⑪⑪⑪,12, 9,Ｈシルクスティング, 60,松田大, 5.9, 35,   5, -48,11,233.6,③⑤⑧,12,14,Ｌメジロフォｰナ, 74,三浦皇, 2.3, 65,  12, -22, 6, 17.7,⑫⑧⑫,12, 1,Ｊエリモアラルマ, 78,松田大, 3.5, 68,   4,  -2, 9, 64.6,⑦⑦⑨
