09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:13,890円 3連複:23,160円 3連単:143,770円",,,,,,,,,,,,"馬単:6,040円 3連複:21,430円 3連単:97,280円",,,,,,,,,,,,"馬単:610円 3連複:1,020円 3連単:3,710円",,,,,,,,,,,,"馬単:1,170円 3連複:3,020円 3連単:12,610円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くるみ賞,,,,,,,,,,,,天皇賞(秋) ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃイチブン, 58,藤田伸,, 56,  -3,* 14, 2,  3.1,⑥⑥⑤, 1, 5,Ｆアプロｰズヒｰロｰ, 73,鈴来直,, 75,  -4,* 19, 6, 12.8, ⑮⑮, 1, 2,Ｄカホマックス, 65,松岡正,, 70,*  3,   4, 5, 10.6, ①①, 1, 3,Ａカンパニｰ,105,横山典,,102,  18,* 35, 5, 11.5,⑨⑨⑨
 2, 8,Ａハンソデバンド, 62,武豊  , 0.0, 55,  -2,  11, 1,  1.7,③③④, 2,10,Ｉケｰジｰファントム, 71,岩田康, 0.1, 74,  -1,* 13, 3,  6.9, ⑬⑪, 2, 6,Ｂフィｰルドスピカ, 68,田中勝, 0.1, 70,  -4,* 12, 2,  4.3, ⑧⑦, 2, 2,Ｈスクリｰンヒｰロｰ, 95,北村宏, 0.3, 96,  19,  24, 7, 31.4,②④④
 3, 5,Ｅゼロチョウサン, 55,三浦皇, 0.3, 57,  -5,* 18, 7, 35.5,⑧⑧⑨, 3, 2,Ａルナロッソ, 76,藤田伸, 0.1, 73,   3,   9,10, 34.7, ⑦⑦, 3, 1,Ａシｰマｰク, 69,吉田豊, 0.2, 68,  -2,   8, 3,  4.5, ⑤④, 3, 7,Ｂウオッカ,101,武豊  , 0.3, 99,  15,* 34, 1,  2.1,⑬⑭⑭
 4, 2,Ｂアルマトゥｰラ, 59,内田博, 0.4, 52,  -1,   6, 3, 12.0,④④③, 4,14,Ｍレッドジｰル, 67,池添謙, 0.2, 72,*  8,   2, 4,  7.2, ②②, 4,10,Ｃダイワナイト, 65,後藤浩, 0.2, 68,  -1,   7, 1,  2.3, ③⑤, 4,15,Ｍオウケンブルｰスリ, 91,内田博, 0.8, 94,  16,  25, 3,  8.0,⑫⑫⑪
 5, 6,Ｄスペシャルマン, 56,柴田善, 0.4, 49,*  1,   0, 5, 13.8,①①①, 5, 4,Ｇブレｰヴゴｰルド, 72,柴山雄, 0.3, 71,*  7,   2,12, 63.5, ④④, 5, 5,Ｈラジャポネｰズ, 41,福永祐, 0.3, 67,*  2,   2, 7, 23.8, ②②, 5,10,Ｃシンゲン,100,藤田伸, 0.8, 94,  17,  23, 2,  7.4,⑩⑩⑩
 6, 9,Ｉゲンパチヒｰロｰ, 34,北村宏, 0.6, 50,  -4,  10, 8, 76.4,⑦⑦⑦, 6,13,Ｅピンクバｰディｰ, 73,大庭和, 0.8, 65,  -4,  10,11, 46.9, ⑭⑭, 6, 9,Ｇシルクパルサｰ, 53,蛯名正, 0.5, 65,  -4,   7, 8, 45.8, ⑥⑥, 6,12,Ｄドリｰムジャｰニｰ, 99,池添謙, 0.8, 97,  16,* 28, 4, 10.7,⑱⑯⑮
