09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａイタリアンレッド, 67,浜中俊,, 72,   1,*  7, 2,  5.6,⑩⑦④, 1,11,Ａカネトシスラｰヴァ, 63,武豊  ,, 69,   1,*  2, 1,  2.4,⑪⑩③, 1, 8,Ａピイラニハイウェイ, 83,幸英明,, 81,  11,* 10, 2,  4.7,⑨④④, 1, 7,Ｈライコウテンユウ, 70,小牧太,, 67,  -9,* 11, 4, 13.7, ⑧⑦
 2, 6,Ｄカノヤグッドラック, 64,小牧太, 0.0, 74,  -2,* 13, 8, 28.3,⑮⑬⑦, 2, 2,Ｃフィクサｰ, 61,佐藤哲, 0.0, 67,   0,*  5, 6, 11.3,⑫⑫⑧, 2,11,Ｄマッシヴエンペラｰ, 76,熊沢重, 0.3, 80,* 15,   0, 4, 10.7,②②②, 2, 3,Ａフロムスクラッチ, 85,佐藤哲, 0.0, 68,*  3,   4, 2,  2.6, ①①
 3,14,Ｈシャｰペンエッジ, 61,生野賢, 0.3, 69,   1,   4, 7, 22.6,⑬⑨⑥, 3, 4,Ｇウェザｰサイド, 58,鮫島良, 0.0, 72,   0,*  7, 7, 16.6,⑮⑭⑫, 3, 6,Ｆラッシュストリｰト, 74,赤木高, 0.3, 78,* 15,  -1, 5, 20.6,①①①, 3, 6,Ｉシゲルスペランツァ, 70,国分恭, 0.1, 67,  -3,   7, 8, 24.6, ④③
 4,10,Ｅサンレイシャｰマン, 63,難波剛, 0.5, 68,  -2,*  7, 9, 52.5,⑫⑭⑫, 4,13,Ｉニホンピロリｰベル, 55,酒井学, 0.3, 65,   3,  -5, 5, 11.3,⑧⑦⑦, 4, 2,Ｂメイショウボンハオ, 82,武豊  , 0.9, 77,   6,*  9, 1,  1.7,⑮⑩⑧, 4, 9,Ｄスカイビュｰティｰ, 73,浜中俊, 0.4, 63, -14,* 11, 5, 13.9, ⑫⑧
 5,15,Ｃフロｰズンダイキリ, 66,福永祐, 0.5, 68,  -1,   4, 1,  1.6,⑨⑫⑨, 5, 8,Ｈブラストルピナス, 56,鈴来直, 0.5, 62,*  5, -14, 9, 65.1,②①①, 5, 3,Ｈメイショウモネ, 70,太宰啓, 1.1, 75,   7,*  7,10,109.5,⑧⑨⑩, 5, 8,Ｊマルシゲヨカニセ, 69,松山弘, 0.7, 60,  -8,   4, 7, 21.1, ⑦⑥
 6, 1,Ｂサマｰパレンケ, 66,国分恭, 0.6, 65,   1,  -2, 4, 14.7,④⑥⑩, 6,10,Ｂマルブツジャンボ, 63,松山弘, 0.6, 61,*  4, -11, 2,  3.6,⑨④②, 6, 7,Ｌテｰオｰマグナム, 62,浜中俊, 1.8, 70,   9,  -2,13,267.6,⑦⑦⑦, 6, 4,Ｅシュウボンバｰ, 72,上村洋, 1.0, 57, -13,   5, 3, 12.4, ⑪⑪
 7,17,Ｆブリリアントレイ, 63,鮫島良, 0.9, 63,*  2,  -7, 5, 15.8,⑦④③, 7,14,Ｆリリｰプレジャｰ, 58,川田将, 0.7, 61,   3, -11, 3, 10.2,⑥⑥⑤, 7,12,Ｃツルマルストｰム, 76,福永祐, 1.8, 70,  10,  -4, 6, 23.4,⑥⑤⑤, 7, 5,Ｋエンジェルフェザｰ, 68,熊沢重, 1.1, 58,*  1,  -5,10, 40.3, ②②
 8, 2,Ｌランズエッジ, 58,川田将, 0.9, 63,  -1,  -3, 6, 20.6,⑤⑪⑭, 8,12,Ｊナナイロカメン, 54,太宰啓, 0.9, 60,   2,  -9,12,113.0,⑩⑪⑩, 8, 1,Ｇイタリアンオリｰブ, 72,酒井学, 2.0, 69,   9,  -4, 9,103.2,④⑥⑥, 8,10,Ｆエルメスグリｰン, 72,武豊  , 1.1, 56, -11,   2, 1,  2.5, ⑨⑩
 9, 7,Ｇゴッドダンシング, 63,武豊  , 1.0, 60,   1,  -7, 3,  7.6,⑧⑤⑤, 9,16,Ｎランドエクスプレス, 46,高野容, 1.2, 58,   1, -10,16,452.0,⑬⑬⑬, 9, 5,Ｎパｰプルマジック, 57,鈴来直, 2.3, 66,   8,  -5,14,442.5,⑤⑧⑨, 9,12,Ｇタムロウイング, 72,大下智, 1.2, 55,  -2,  -5, 9, 32.2, ⑤⑤
10, 4,Ｍパボ, 57,田中健, 1.4, 57,*  2, -17,11,163.1,②②②,10, 1,Ｅワンダｰスル, 61,野元昭, 1.3, 55,   1, -16, 8, 18.2,⑤⑨⑨,10,14,Ｅタガノクリスエス, 76,高田潤, 2.4, 64,* 13, -16, 3,  6.3,③③③,10,14,Ｍウイニングヒロオｰ, 58,福永祐, 1.6, 53,  -5,  -5,11, 55.9, ⑥⑨
11,11,Ｐプラセンティア, 49,赤木高, 1.5, 57,   0, -11,13,243.9,⑪⑩⑬,11, 9,Ｄメイショウホオズキ, 61,高橋亮, 1.4, 54,*  6, -24, 4, 10.8,④②④,11, 9,Ｍウインザモチ, 58,小坂忠, 2.5, 65,   5,  -1,12,238.4,⑭⑫⑪,11,11,Ｃフォレストジャガｰ, 74,田中健, 1.8, 50,*  0, -11,12, 63.3, ③④
12, 3,Ｊサリｰル, 58,藤岡康, 1.9, 51,*  2, -24,12,167.7,①①①,12, 5,Ｋフリｰクパラダイス, 49,中村将, 1.5, 54,   2, -18,10, 84.6,③⑧⑪,12,13,Ｏニコラシカ, 54,今村康, 2.6, 65,   3,   1,15,565.9,⑬⑮⑬,12, 1,Ｌメイケイファルコン, 65,太宰啓, 2.4, 41, -33,   5,13,160.6, ⑭⑭
