09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉大賞典 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃナリタシリカ, 59,川島信,, 55,*-12,  -2, 3,  6.8,②②②, 1, 7,Ｄリキアイコンドル, 71,秋山真,, 67,  -6,* 15, 5,  7.6,⑧⑨⑧, 1,14,Ｅワインアドバイザｰ, 72,横山典,, 74,*  3,* 17, 4,  8.9,④③②, 1, 2,Ｃサンライズマックス, 89,横山典,, 85,  11,  24, 7, 13.8,⑤⑤⑤
 2,12,Ａハッピｰパレｰド, 65,武豊  , 0.4, 53, -18,*  4, 1,  1.7,⑩⑩⑩, 2, 4,Ａアドマイヤミスティ, 74,安藤勝, 0.1, 64,* -3,  10, 1,  2.3,①②②, 2,12,Ｂカラメルマキアｰト, 78,武豊  , 0.2, 74,*  5,  13, 1,  2.4,①①①, 2, 5,Ａヤマニンキングリｰ, 93,武豊  , 0.1, 85,   9,  25, 1,  2.8,⑥⑥⑥
 3,13,Ｂロイヤルクリッパｰ, 62,北村友, 0.4, 50, -14,  -3, 2,  4.6,⑥⑥④, 3, 6,Ｂメイショウコレット, 73,福永祐, 0.2, 67,  -5,* 14, 2,  5.9,⑦⑧⑥, 3,16,Ｄニュｰロザリオ, 73,北村友, 0.6, 69,   0,* 17, 5, 14.1,⑪⑫⑧, 3, 7,Ｂミヤビランベリ, 90,福永祐, 0.1, 85,* 14,  15, 5,  9.9,③②③
 4, 4,Ｆイイデエｰス, 50,幸英明, 0.6, 50, -15,  -3, 5, 18.1,⑧⑦⑨, 4, 9,Ｇメイショウシオギリ, 67,安藤光, 0.4, 61,  -5,  10,10, 60.3,⑥⑥⑤, 4, 2,Ｆスパｰクルシチｰ, 71,川島信, 0.7, 68,   2,  13, 8, 31.6,⑨⑥⑤, 4, 8,Ｄレッツゴｰキリシマ, 88,幸英明, 0.2, 84,* 13,  16, 6, 13.3,④④④
 5,15,Ｄデオ, 55,福永祐, 0.7, 51, -19,*  2, 4, 11.4,⑬⑫⑫, 5,14,Ｌサクラシンフォニｰ, 59,浜中俊, 0.6, 62,* -3,   5, 8, 41.6,⑫①①, 5, 9,Ｈオメガクエスト, 69,浜中俊, 1.0, 69,*  3,   9, 9, 33.9,⑤④④, 5,11,Ｈマストビｰトゥルｰ, 86,宮崎北, 0.3, 84,   7,  25,15, 45.9,⑩⑧⑧
 6, 2,Ｇナタｰシャ, 50,田中健, 0.8, 44, -13, -10,10,154.4,④④③, 6, 1,Ｍストロングジョイス, 58,二本柳, 0.7, 63,  -6,  11,11,119.4,⑩⑪⑨, 6,13,Ｊキャトルキャｰル, 65,秋山真, 1.6, 66,  -2,  15,12,119.8,⑮⑮⑭, 6, 4,Ｇバトルバニヤン, 86,中舘英, 0.3, 86,   7,  26, 2,  6.3,⑨⑩⑦
 7, 8,Ｅメイショウハイホｰ, 53,藤岡康, 0.8, 48, -16,  -4, 9, 77.1,⑦⑧⑦, 7, 3,Ｈジャングルバｰド, 67,鮫島良, 0.9, 62,  -5,   6, 7, 18.0,③④③, 7, 6,Ｃメイショウトンボ, 78,的場勇, 1.8, 65,  -1,  10, 3,  8.6,⑭⑭⑬, 7,10,Ｅホッコｰパドゥシャ, 87,安藤光, 0.3, 85,   6,* 29,12, 35.1,⑬⑬⑩
 8,10,Ｊメイマドンナ, 45,横山典, 1.0, 45, -19,  -2, 8, 38.8,⑫⑬⑬, 8, 5,Ｎトロピカルクイｰン, 48,宮崎北, 0.9, 58,* -4,   4,12,120.3,②③④, 8, 4,Ｏシルクメルヴェイユ, 63,田辺裕, 1.8, 59,   1,   5,14,124.8,⑩⑩⑦, 8, 9,Ｊノットアロｰン, 84,北村友, 0.3, 85,   6,* 28, 9, 24.8,⑪⑪⑫
