09年 5月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,17,16, ナントカナルサ,---,東川公, 3.3, 25, -11, -37,13, 73.2, ④⑩,,,,,,,,,,,,,17,14,Ｒアロマキャンドル, 68,石橋守, 2.6, 61,   8, -16,14, 93.5, ⑯⑮
,,,,,,,,,,,,18,15, ヤマイチステルス,---,田嶋翔, 3.9, 18, -19, -35,17,192.5, ⑬⑰,,,,,,,,,,,,,18,18,Ｑトップオブツヨシ, 72,中村将, 3.2, 53,* 13, -35,18,219.0, ②④
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,170円 複勝:03=230円 02=120円 08=140円 枠連:1,570円",,,,,,,,,,,,単勝:390円 複勝:17=160円 09=320円 02=330円 枠連:480円,,,,,,,,,,,,単勝:230円 複勝:07=130円 03=150円 05=210円 枠連:490円,,,,,,,,,,,,"単勝:1,150円 複勝:01=310円 06=170円 09=300円 枠連:1,250円",,,,,,,,,,,
"馬連:1,450円 ワイド:02-03=470円 03-08=480円 02-08=220円",,,,,,,,,,,,"馬連:1,970円 ワイド:09-17=890円 02-17=920円 02-09=1,920円",,,,,,,,,,,,馬連:590円 ワイド:03-07=240円 05-07=460円 03-05=420円,,,,,,,,,,,,"馬連:2,090円 ワイド:01-06=810円 01-09=1,350円 06-09=740円",,,,,,,,,,,
"馬単:3,720円 3連複:1,280円 3連単:12,820円",,,,,,,,,,,,"馬単:3,030円 3連複:6,460円 3連単:26,140円",,,,,,,,,,,,"馬単:990円 3連複:1,280円 3連単:4,680円",,,,,,,,,,,,"馬単:5,220円 3連複:5,890円 3連単:35,140円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  芝1800m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,矢車賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, ナムラタイタン,---,熊沢重,, 68,  -4,* 11,10, 70.2, ⑥⑤, 1, 3,Ｃナイトフッド, 65,四位洋,, 75,* -7,* 11, 1,  1.5,⑦③③, 1, 6,Ｆシゲルキリガミネ, 66,田嶋翔,, 73,*  6,   0, 7, 18.3, ①①, 1, 1,Ａスリｰサンビｰム, 81,橋本美,, 81,* 10,   8, 3,  4.3, ①①
 2, 1,Ｉエリモシｰド, 51,武幸四, 0.7, 63,  -3,   3, 7, 14.3, ③④, 2, 4,Ｅマイネルリズム, 59,幸英明, 0.0, 75,* -6,*  8, 7, 47.3,②①①, 2, 4,Ｇボンバルリｰナ, 65,下原理, 0.4, 72,  -1,* 10, 5,  9.5, ⑪⑪, 2,16,Ｂオオヒメ, 80,浜中俊, 0.0, 80,*  8,*  9, 2,  4.1, ③③
 3, 6,Ｃアｰトオブダンサｰ, 61,田村太, 0.9, 60,* -2,   0, 6, 13.4, ②②, 3, 2,Ａフライングブラック, 70,藤田伸, 0.8, 67, -10,   6, 2,  4.8,⑥⑦⑧, 3, 1,Ｂレイナクｰバ, 72,浜中俊, 0.4, 73,   1,   7, 3,  5.3, ⑤⑦, 3, 8,Ｄペプチドアトム, 80,和田竜, 0.3, 78,*  8,   7, 1,  3.9, ②②
 4, 4,Ｄアルモン, 60,四位洋, 1.1, 59,*  0,  -4, 1,  3.0, ①①, 4,11,Ｂメイショウケンロク, 66,高橋亮, 1.0, 62,  -8,  -2, 4, 11.0,⑪⑨④, 4,15,Ｃフェイズシフト, 72,和田竜, 0.5, 70,   2,   2, 2,  5.1, ④③, 4,14,Ｎエｰシンエスヴィｰ, 73,東川公, 0.6, 74,   3,   9,14,105.5, ⑥⑥
 5,11,Ｋボウイナイフ, 47,浜中俊, 1.4, 57,  -5,   0, 4,  7.1, ⑨⑥, 5, 8,Ｆニシノプライスレス, 58,川島信, 1.2, 64, -11,   3, 6, 25.3,⑨⑩⑨, 5,13,Ａラルｰチェ, 77,秋山真, 0.7, 70,  -4,* 10, 1,  3.6, ⑭⑭, 5, 4,Ｈベンティスカ, 79,藤田伸, 0.8, 72,  -3,* 13, 4,  9.8, ⑪⑩
 6,15,Ｂヴンダｰゾンネ, 61,幸英明, 1.4, 56,  -3,  -3, 5, 11.9, ⑤③, 6, 6,Ｉアラタマポケット, 48,芹沢純, 1.2, 66, -11,   5,10,111.7,⑧⑪⑩, 6, 9,Ｈマイファｰストラヴ, 65,幸英明, 0.8, 70,  -2,*  8, 9, 26.7, ⑫⑬, 6, 2,Ｊサウスサプライズ, 74,船曳文, 0.9, 72,   7,   3,16,127.9, ④④
 7,14,Ｅキｰネプチュｰン, 56,木村健, 1.4, 58,  -8,*  5, 9, 49.5, ⑮⑫, 7,10,Ｄサンライズコア, 61,熊沢重, 1.4, 60,  -9,  -3, 3, 10.9,⑤⑧⑪, 7, 3,Ｋフィｰリングトｰン, 60,津村明, 1.0, 67,  -1,   2,13, 52.0, ⑩⑩, 7, 5,Ｃボストンカラｰズ, 80,飯田祐, 1.1, 69,  -2,   9, 7, 14.4, ⑩⑧
 8,12,Ｈエイシンスペシャル, 51,小林徹, 1.5, 57,  -7,   2,13,102.1, ⑪⑩, 8, 7,Ｋブラｰボプリンチペ, 46,和田竜, 1.6, 54,* -7, -13, 5, 16.9,③②②, 8,14,Ｊハッピｰパレｰド, 64,四位洋, 1.0, 66,   1,  -1, 4,  6.3, ⑨⑨, 8,12,Ｅマイネラロンハ, 79,津村明, 1.3, 68,   6,   0, 8, 23.4, ⑤⑤
 9, 3,Ａハチマンタロウ, 65,藤田伸, 1.7, 53,  -5,  -2, 2,  4.1, ⑦⑧, 9, 9,Ｊフライトクラウン, 48,飯田祐, 2.4, 46,  -8, -19, 8, 86.3,⑩⑥⑦, 9,16,Ｐクイｰンアリュｰル, 40,武幸四, 1.0, 66,*  3,  -8,11, 39.2, ②②, 9, 7,Ｆスズカアトラス, 79,芹沢純, 1.3, 67,  -4,* 10, 6, 12.2, ⑫⑫
10,13,Ｆイナズマチｰタｰ, 54,国分恭, 2.0, 53,  -7,  -2,11, 72.5, ⑩⑪,10, 1,Ｈマコトディアナ, 50,浜中俊, 2.6, 43,  -8, -25, 9, 88.9,①④⑤,10, 5,Ｏシゲルクニミヤマ, 56,飯田祐, 1.1, 65,   3,  -5,15,149.0, ③⑤,10, 9,Ｋヴァンジェｰロ, 73,川島信, 1.4, 66,  -1,   5,12, 71.8, ⑦⑦
11, 8,Ｇムｰヴィンオン, 53,大下智, 2.2, 51,  -8,  -2, 8, 30.8, ⑭⑮,11, 5,Ｇホワイトコマンダｰ, 53,津村明, 2.9, 40,  -8, -28,11,123.3,④⑤⑥,11, 2,Ｉメイショウボナｰル, 64,石橋守, 1.2, 63,   2,  -7, 8, 20.8, ⑦④,11, 6,Ｌオウシュウバラッド, 73,渡辺薫, 1.7, 65,  -7,   9,15,119.5, ⑭⑭
12, 2, スタｰカットジェム,---,渡辺薫, 2.6, 48,  -9,  -5,12, 84.6, ⑫⑬,,,,,,,,,,,,,12,12,Ｄテｰマソング, 71,熊沢重, 1.2, 64,  -2,   1, 6, 14.1, ⑬⑫,12,15,Ｉビｰチブリｰズ, 76,国分恭, 1.8, 63,  -2,   3,10, 32.9, ⑧⑪
13, 7, タガノシュペリエル,---,和田竜, 2.9, 44,  -5, -13, 3,  5.3, ⑧⑨,,,,,,,,,,,,,13,10,Ｍナムラアウラ, 58,小林徹, 1.4, 60,   1,  -7,12, 39.9, ⑧⑧,13, 3,Ｍアグネスハッピｰ, 73,木村健, 1.8, 64,  -5,   6, 9, 29.2, ⑬⑬
14, 9,Ｊデンコウテンパイ, 49,中村将, 3.2, 42,  -2, -18,14,145.1, ④⑦,,,,,,,,,,,,,14, 7,Ｎバｰジンサファイヤ, 56,木村健, 1.8, 56,   1, -14,16,231.9, ⑥⑥,14,13,Ｇタマモクリエイト, 79,幸英明, 2.1, 60,  -1,   0, 5, 10.8, ⑨⑨
15,10,Ｌタイセイラプタｰ, 32,芹沢純, 3.3, 42,  -8, -12,15,287.4, ⑬⑭,,,,,,,,,,,,,15, 8,Ｌイズミコマンダｰ, 59,渡辺薫, 2.0, 58,  -6,  -2,14, 74.6, ⑯⑯,15,11,Ｏヴィヴァｰチェ, 69,酒井学, 2.2, 61,  -8,   5,13, 84.2, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｅヴィｰヴァレジｰナ, 70,藤田伸, 2.0, 57,  -3,  -6,10, 31.7, ⑮⑮,16,10,Ｐニシノヴァネッサ, 68,武幸四, 2.7, 57,  -9,   2,11, 47.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,
"単勝:7,020円 複勝:05=2,150円 01=460円 06=380円 枠連:3,020円",,,,,,,,,,,,"単勝:150円 複勝:03=100円 04=870円 02=150円 枠連:3,090円",,,,,,,,,,,,"単勝:1,830円 複勝:06=540円 04=290円 01=240円 枠連:9,260円",,,,,,,,,,,,単勝:430円 複勝:01=180円 16=140円 08=140円 枠連:920円,,,,,,,,,,,
"馬連:38,770円 ワイド:01-05=10,220円 05-06=10,120円 01-06=2,050円",,,,,,,,,,,,"馬連:2,970円 ワイド:03-04=1,080円 02-03=160円 02-04=1,980円",,,,,,,,,,,,"馬連:14,000円 ワイド:04-06=3,290円 01-06=1,590円 01-04=870円",,,,,,,,,,,,"馬連:1,180円 ワイド:01-16=440円 01-08=410円 08-16=270円",,,,,,,,,,,
"馬単:127,040円 3連複:144,150円 3連単:981,740円",,,,,,,,,,,,"馬単:3,660円 3連複:3,010円 3連単:15,110円",,,,,,,,,,,,"馬単:22,320円 3連複:20,440円 3連単:168,950円",,,,,,,,,,,,"馬単:2,150円 3連複:1,250円 3連単:6,530円",,,,,,,,,,,
■ 3R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,白川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, エキゾｰストノｰト,,熊沢重,,,,, 1,  1.6,①①①, 1, 5, オｰルタｰゲット,---,国分恭,, 60,  -6,* -4, 3,  8.1, ⑬⑩, 1, 1,Ｄエｰシンジｰライン, 77,芹沢純,, 81,* 13,  -1, 4,  6.5,①②②, 1,13, トｰセンモナｰク,---,四位洋,, 84,* 10,*  9, 2,  3.7,①①①
 2,14, ヤマカツアザミ,,植野貴,193.5,,,,11, 80.8,③②②, 2,17,Ｂゴｰルデンゴｰル, 60,秋山真, 0.2, 59,  -7,* -3, 2,  6.3, ⑮⑪, 2, 3,Ｈマｰムｰドイモン, 75,木村健, 0.1, 82,  11,*  7, 7, 16.4,⑪⑩⑧, 2,14,Ａパレスミサイル, 78,田嶋翔, 0.2, 83,*  9,* 10, 1,  3.1,④③②
 3, 8, トｰセンジョｰカｰ,,五十嵐,194.5,,,,10, 40.2,④③④, 3,15,Ｃパｰプルタイヨｰ, 59,幸英明, 0.2, 59,*  0, -15, 4,  8.3, ⑤④, 3,12,Ｊバｰジンフォレスト, 72,浜中俊, 0.3, 77,* 16, -11,11, 49.4,⑫①①, 3, 4,Ｂサクラシザｰズ, 76,幸英明, 1.5, 74,   8,   1, 3,  5.8,⑤⑤⑤
 4, 3, スリｰアトラス,,小坂忠,195.6,,,, 3, 10.7,⑦⑥⑥, 4, 7,Ａワｰルドロレックス, 64,浜中俊, 0.4, 56,  -2, -17, 1,  1.9, ④⑤, 4, 2,Ｇヒカリベルサイユ, 75,中村将, 0.5, 77,  11,*  3,10, 30.7,⑥⑨⑦, 4, 7,Ｇピｰスオブレグルス, 74,国分恭, 1.7, 73,   7,   0, 8, 18.8,⑥⑥④
 5,11, オウケンハカイダｰ,,北沢伸,195.7,,,, 5, 13.0,⑥④③, 5,11,Ｄコアレスミュｰズ, 59,木村健, 0.5, 53,*  2, -24, 6, 15.6, ①①, 5,10,Ｂテンシノゴｰルド, 81,秋山真, 0.5, 77,  11,*  2, 2,  4.4,⑦⑪⑫, 5, 2,Ｄメルシｰマック, 75,木村健, 2.1, 72,   8,  -2, 5, 17.3,⑩⑧⑦
 6, 6, センタｰザゴｰルド,,西谷誠,196.2,,,, 6, 20.2,⑧⑦⑦, 6, 3,Ｉブロｰヒッタｰ, 51,東川公, 0.7, 52,  -3, -17, 9, 42.5, ⑨⑧, 6, 5,Ｅディジュリドゥｰ, 77,熊沢重, 0.7, 74,  12,  -5, 9, 28.5,⑤⑥⑤, 6, 1,Ｃナリタチャレンジ, 76,川島信, 2.2, 69,   6,  -1, 4,  7.8,⑪⑨⑨
 7,12, ロｰランジェネルｰ,,宗像徹,196.8,,,, 2,  7.6,②⑤⑤, 7, 1,Ｅマンテンパパ, 56,佐久間, 0.7, 53,  -3, -18, 8, 30.3, ⑥⑥, 7, 8,Ｉシャイニングデイ, 74,長谷川, 0.7, 74,  11,  -1, 6, 13.0,⑨⑫⑬, 7, 6,Ｅマｰベラスパレｰド, 74,下原理, 2.6, 68,   6,  -4, 9, 20.0,⑬⑫⑧
 8, 7, オｰトホｰク,,今村康,196.9,,,, 8, 25.9,⑨⑨⑧, 8, 9, フェザｰ,---,藤田伸, 0.9, 49,  -5, -18,10, 44.0, ⑫⑨, 8,13,Ｋエアクラマン, 69,津村明, 0.9, 74,  10,   0,12, 70.5,⑬⑬⑪, 8,15,Ｆテンザンメダリスト, 74,田中克, 3.4, 63,   8, -16, 7, 18.4,⑨④⑥
 9,10, タマモハクライ,,林満明,197.5,,,, 4, 11.3,⑤⑧⑨, 9, 8,Ｆシュペルブロマネ, 56,津村明, 1.1, 47,* -1, -28, 7, 18.0, ③③, 9, 4,Ｍトップオブハワイキ, 67,和田竜, 1.1, 71,  12, -10, 8, 25.4,③⑤③, 9, 5,Ｍシｰシャトｰ, 62,大下智, 3.5, 61,*  9, -18,15,151.7,②②③
10, 2, アドマイヤディｰノ,,高田潤,198.0,,,, 7, 22.7,⑪⑪⑪,10,18,Ｌジャズシンガｰ, 45,角田晃, 1.6, 45, -12, -15,14,127.4, ⑱⑱,10, 9,Ｌクリスタルルｰジュ, 68,渡辺薫, 1.3, 71,  12, -12,13, 82.9,④⑦⑨,10, 9,Ｉテイエムカイザｰ, 71,高井彰, 3.5, 62,   5, -11,14,103.2,⑮⑪⑩
11,13, カリスマシャチョウ,,岩崎祐,198.9,,,, 9, 31.0,⑩⑩⑩,11, 2, シルバｰロマンス,---,船曳文, 1.8, 39, -12, -20,12, 97.9, ⑰⑰,11,11,Ｆマイネルファｰマ, 76,幸英明, 1.6, 67,  12, -19, 5, 10.6,⑩④⑥,11, 8,Ｌロｰレルオｰラ, 64,浜中俊, 3.6, 62,   6, -11,10, 38.0,⑫⑩⑫
12, 5, アメイジングベガ,,白浜雄,200.3,,,,12, 93.0,⑫⑫⑫,12, 4,Ｈクリノニケ, 55,石橋守, 2.3, 36,  -3, -41,16,197.9, ⑦⑦,12, 7,Ｃブレイブファイト, 79,藤田伸, 1.9, 63,* 13, -25, 3,  5.4,②③④,12,16,Ｊドンブレイカｰ, 67,津村明, 3.9, 61,   8, -17,12, 61.1,⑧⑦⑪
13, 4, トｰセンステｰジ,,高野和,201.2,,,,13,134.8,⑭⑬⑬,13,14,Ｏキｰオｰカン, 29,小林徹, 2.6, 32,  -7, -37,17,237.0, ⑯⑯,13, 6,Ａフェニコｰン, 85,四位洋, 2.4, 60,  12, -28, 1,  3.3,⑧⑧⑩,13,10,Ｏナヴィゲイション, 60,和田竜, 6.3, 45,   3, -29,13, 71.6,⑭⑬⑬
14, 9, ロングエンパイヤ,,仲田雅,201.7,,,,14,169.4,⑬⑭⑭,14,13,Ｊイナズマガイア, 47,武幸四, 2.7, 35,*  1, -54,11, 88.2, ②②,,,,,,,,,,,,,14,11,Ｎカワチノオジサン, 61,熊沢重, 8.0, 38,   0, -38,11, 47.8,⑦⑭⑭
,,,,,,,,,,,,15,12,Ｍチュウワバロン, 45,和田竜, 3.0, 29,  -5, -48, 5, 14.1, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,10,Ｇピｰチパトラ, 55,下原理, 3.1, 28,  -3, -51,15,157.5, ⑧⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 6,Ｋミラクルフェイマス, 47,熊沢重, 3.2, 28,  -6, -50,13,108.7, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,16,Ｎセフティビンチェロ, 35,大下智, 3.2, 27,  -7, -45,18,263.0, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
