09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾞﾝｶｽﾀｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:320円 3連複:550円 3連単:1,120円",,,,,,,,,,,,"馬単:2,010円 3連複:2,000円 3連単:10,410円",,,,,,,,,,,,"馬単:2,630円 3連複:5,870円 3連単:24,210円",,,,,,,,,,,,"馬単:2,570円 3連複:6,540円 3連単:21,080円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2200m 3歳上ｵｰﾌﾟﾝ(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,黄菊賞,,,,,,,,,,,,ｴﾘｻﾞﾍﾞｽ女王杯 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｏバルデッツァ, 33,小牧太,, 57,*  1,   1, 4,  9.5,①①①, 1, 4, スマｰトジェネシス,---,武豊  ,, 58, -19,*  9, 1,  2.7,③⑤⑤, 1, 2,Ａダノンパッション, 72,スミヨ,, 78,  -7,* 26, 1,  1.6, ⑦⑦, 1, 7,Ｍクィｰンスプマンテ, 80,田中博,, 83,* 25, -18,11, 77.1,①①①
 2, 7,Ｃミッキｰプリステン, 53,岩田康, 0.1, 56,* -1,   3, 6, 16.0,③③④, 2, 2, ログ,---,北村浩, 0.0, 57, -19,   6, 6, 11.3,④③③, 2, 3,Ｈマイネアロマ, 49,ルメｰ, 0.5, 73, -10,  23, 5, 18.5, ⑧⑧, 2,11,Ｑテイエムプリキュア, 69,熊沢重, 0.2, 79,* 24, -20,12, 91.6,②②②
 3,10,Ｂナンヨｰスラッガｰ, 61,藤田伸, 0.7, 55,  -4,*  6, 3,  8.7,⑭⑪⑦, 3, 6, マルカボルト,---,福永祐, 0.2, 56, -19,   5, 3,  5.5,⑤⑥⑥, 3, 5,Ｃインプレッシヴデイ, 61,福永祐, 1.0, 64,  -6,   7, 4, 14.8, ⑤⑤, 3,16,Ｂブエナビスタ, 88,安藤勝, 0.3,105,   3,* 37, 1,  1.6,⑯⑩⑦
 4,13,Ａマｰジｰビｰト, 64,酒井学, 0.7, 54,* -1,  -2, 1,  2.1,⑤④③, 4, 1, ゼットチャンプ,---,藤田伸, 0.2, 58, -21,*  9, 5,  8.8,⑥⑦⑦, 4, 6,Ｄヒットメｰカｰ, 61,四位洋, 1.2, 62,  -4,   1, 3,  5.3, ③③, 4,10, シャラナヤ,---,ルメｰ, 0.9, 99,   4,  31, 3, 10.4,⑦⑨⑩
 5,12,Ｆプリティカポレイ, 51,秋山真, 0.8, 54,  -7,*  9,10, 44.7,⑯⑯⑪, 5,11, アッシュｰル,---,ルメｰ, 0.3, 59, -22,* 11, 4,  7.3,⑪⑩⑩, 5, 7,Ｇマイネルゴルト, 52,和田竜, 1.3, 60,* -3,  -1, 7, 42.2, ②②, 5, 2,Ｇメイショウベルｰガ, 85,池添謙, 1.0, 98,   2,* 31, 6, 19.6,⑧⑪⑫
 6, 8,Ｅドリｰムマジシャン, 51,角田晃, 1.0, 52,*  0,  -6, 2,  5.3,②②②, 6, 3, リズミックビｰト,---,田中勝, 0.4, 55, -21,   5, 7, 19.5,⑦⑧⑧, 6, 8,Ｂエタｰナルロブロイ, 68,武豊  , 1.5, 58,  -6,   1, 2,  4.4, ⑥⑥, 6,12,Ｃブロｰドストリｰト, 87,藤田伸, 1.2, 98,   1,* 33, 2,  7.7,⑫⑯⑯
