09年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,11,Ｐココロクバリ, 14,野元昭, 2.4, 41, -12,  -6,14,361.2, ⑫⑪, 9, 8,Ｈマイネルハヤト, 72,岩田康, 0.9, 68,  -2,  10, 5, 14.4,⑨⑩⑨, 9, 8,Ｅアキノカウンタｰ, 62,川田将, 1.3, 60,  -5,  -4, 8, 29.7, ⑦⑦,,,,,,,,,,,,
10,13,Ｈアンタｰレス, 46,幸英明, 2.4, 41, -15,  -3,15,388.3, ⑭⑭,10, 7,Ｉトレド, 71,秋山真, 1.2, 67,  -3,  10,11,252.8,⑧⑪⑪,10,12,Ｌリバｰインバウンド, 58,石橋守, 1.4, 63, -11,   4,12, 63.9, ⑮⑭,,,,,,,,,,,,
11, 7,Ｅチョウキレル, 51,太宰啓, 2.5, 39,  -4, -15, 7, 31.1, ⑥⑥,11,10,Ｆクオン, 73,渡辺薫, 1.3, 66,   0,   3,10, 61.1,⑪⑥⑦,11, 7,Ｎフォｰシｰズンゴｰ, 49,熊沢重, 1.4, 61,  -7,  -2,14,295.4, ⑧⑩,,,,,,,,,,,,
12, 3,Ｏバサラプリンセス, 31,石橋守, 2.5, 41, -18,  -1,13,244.9, ⑮⑮,,,,,,,,,,,,,12,15,Ｍサンゴシック, 49,池添謙, 1.4, 60,  -7,  -2,10, 43.9, ⑨⑨,,,,,,,,,,,,
13, 9,Ｉマンカイノハナ, 46,大下智, 2.5, 41,  -8, -10, 9, 60.6, ⑩⑫,,,,,,,,,,,,,13,11,Ｄウインザモチ, 62,幸英明, 1.6, 60,  -9,  -2,11, 44.0, ⑫⑫,,,,,,,,,,,,
14,12,Ｄテイエムダイアナ, 52,小牧太, 2.7, 39, -19,  -2, 5,  8.4, ⑯⑯,,,,,,,,,,,,,14, 6, スペシャルロッキｰ,---,有馬澄, 1.8, 58, -12,   1,15,465.1, ⑭⑮,,,,,,,,,,,,
15, 6,Ｊマネｰジャｰ, 45,飯田祐, 3.5, 31,  -3, -25,10, 68.7, ⑤⑤,,,,,,,,,,,,,15, 3,Ｊアドマイヤサムライ, 59,安藤勝, 3.4, 35,  -9, -27, 6, 19.6, ⑪⑬,,,,,,,,,,,,
16,16,Ｎウィステリアスカイ, 37,小林徹, 4.7, 22, -12, -26,16,445.6, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:570円 複勝:14=190円 10=860円 01=160円 枠連:6,900円",,,,,,,,,,,,単勝:240円 複勝:03=110円 02=130円 09=870円 枠連:270円,,,,,,,,,,,,単勝:310円 複勝:01=160円 05=170円 02=330円 枠連:550円,,,,,,,,,,,,単勝:210円 複勝:07=110円 05=320円 06=150円 枠連:0円,,,,,,,,,,,
"馬連:7,350円 ワイド:10-14=2,340円 01-14=330円 01-10=1,840円",,,,,,,,,,,,"馬連:290円 ワイド:02-03=170円 03-09=1,750円 02-09=3,090円",,,,,,,,,,,,"馬連:610円 ワイド:01-05=290円 01-02=1,250円 02-05=1,400円",,,,,,,,,,,,"馬連:1,830円 ワイド:05-07=550円 06-07=210円 05-06=800円",,,,,,,,,,,
"馬単:14,200円 3連複:7,560円 3連単:59,010円",,,,,,,,,,,,"馬単:520円 3連複:7,390円 3連単:21,790円",,,,,,,,,,,,"馬単:1,210円 3連複:5,130円 3連単:16,470円",,,,,,,,,,,,"馬単:2,570円 3連複:1,640円 3連単:9,430円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 8R  芝3190m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,牛若丸ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,淀短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃアドマイヤシャトル, 58,岩田康,, 66,   0,* 15, 6, 14.1,⑨⑦⑥, 1,11,Ｈカルカソンヌ, 60,岩田康,, 71,  -8,*  9, 4,  8.0,⑫⑩⑫, 1, 3, インカム,,小坂忠,,,,, 7, 22.0,②②①, 1, 7,Ｂサｰプラスシンガｰ, 84,四位洋,, 88,*  9,  12, 1,  2.5, ①①
 2,12,Ａシルクダンディｰ, 63,四位洋, 0.1, 64,*  1,* 10, 1,  2.7,⑥⑤④, 2, 8,Ｇディバインフレイム, 61,池添謙, 0.2, 67,  -7,*  2, 7, 18.4,⑨⑦⑥, 2, 1, ワンダｰシンゲキ,,植野貴,214.3,,,, 1,  2.7,⑤④②, 2, 3,Ｆコスモベル, 80,佐藤哲, 0.3, 86,*  5,  12, 3,  6.3, ③③
 3, 7,Ｅパｰフェクトバイオ, 58,小牧太, 0.4, 63,*  3,   6, 2,  4.9,①①①, 3, 6,Ａマコトザラマンダｰ, 68,福永祐, 0.3, 63,* -4,  -7, 3,  4.3,①①①, 3,12, ドｰルリヴィエｰル,,黒岩悠,214.5,,,, 2,  3.1,⑥③③, 3,13,Ｊサイキョウワｰルド, 79,秋山真, 0.4, 84,*  6,   9, 7, 26.1, ②②
 4, 4,Ｈホッコｰセルベッサ, 55,飯田祐, 1.0, 60,   0,   8, 9, 44.8,⑦⑧⑧, 4, 1,Ｆラｰマブルｰ, 62,小牧太, 0.3, 67,  -6,*  2, 5, 12.0,⑦⑧⑦, 4,10, コウヨウウェｰブ,,五十嵐,215.2,,,, 6, 17.0,①①④, 4, 2,Ｅコレデイイノダ, 80,幸英明, 0.6, 84,  -3,  16, 6, 23.6, ⑨⑧
 5, 3,Ｋヴィｰヴァサルｰテ, 52,藤岡佑, 1.7, 53,   1,  -1, 5, 10.7,⑤⑥⑤, 5,16,Ｍブルｰスタｰキング, 53,熊沢重, 0.3, 68,  -6,*  2,10, 51.6,⑭⑭⑪, 5, 5, ニホンピロザプラウ,,熊沢重,215.6,,,, 4,  8.6,④⑤⑤, 5,14,Ａヘイロｰフジ, 84,飯田祐, 0.6, 84,  -6,* 18, 2,  5.8, ⑩⑩
 6, 9,Ｆカリズマクレスト, 56,角田晃, 1.7, 53,*  2,  -5, 4,  5.8,②②②, 6,10,Ｎマイネルメビウス, 52,太宰啓, 0.5, 62,* -4,  -8,13,104.2,②②②, 6, 7, タガノデンジャラス,,高田潤,216.1,,,, 5, 11.2,⑬⑧⑧, 6, 5,Ｍミリオンウェｰブ, 77,和田竜, 0.6, 82,   0,  13, 9, 28.2, ⑦⑦
 7, 5,Ｄデンコウゼファｰ, 58,小林徹, 2.1, 53,  -2,   1,13,157.3,⑩⑪⑨, 7,15,Ｃトップオブロイヤル, 63,川田将, 0.6, 63,  -6,  -2, 9, 33.4,⑪⑫⑩, 7, 9, ネヴァｰトルネｰド,,平沢健,216.2,,,,11,169.7,⑪⑪⑩, 7, 6,Ｌエムエスワｰルド, 78,太宰啓, 0.7, 84,  -8,* 20,11, 31.2, ⑫⑪
 8,10,Ｂタガノブリガデイロ, 59,安藤勝, 2.2, 48,*  2,  -8, 3,  5.0,④④③, 8,14,Ｂジョウノワンダｰ, 64,秋山真, 0.7, 59,* -4, -11, 2,  4.2,④③③, 8,13, クｰルジョイ,,金折知,216.3,,,, 8, 23.4,⑫⑨⑨, 8,11,Ｄゼットフラッシュ, 81,小牧太, 0.9, 76,   4,   5, 4,  7.3, ⑥④
 9, 2,Ｊタガノブレｰド, 53,池添謙, 2.2, 49,   1,  -7, 8, 27.5,③③⑦, 9, 5,Ｏランズエッジ, 49,藤岡佑, 0.7, 62,  -6,  -4, 6, 14.1,⑧⑨⑨, 9,14, ワイズタイクｰン,,林満明,217.2,,,,14,232.6,⑧⑥⑥, 9, 8,Ｋテンイムホウ, 78,柄崎将, 1.0, 80, -12,* 20,14, 58.2, ⑮⑭
10, 6,Ｇタガノヴァンドｰム, 55,橋本美, 2.6, 49,  -5,   0, 7, 21.3,⑬⑬⑫,10, 9,Ｉハナゴロモ, 56,幸英明, 0.9, 62,  -8,  -4,11, 65.4,⑯⑯⑯,10,11, スズカジョリｰズ,,北沢伸,217.4,,,,12,200.2,⑨⑫⑫,10, 9,Ｉナカヤマパラダイス, 79,川田将, 1.1, 74,   1,   5, 5, 11.8, ⑤⑥
11, 8,Ｉヒシピラルクｰ, 54,生野賢, 2.9, 46,  -2,  -6,11,105.4,⑪⑨⑩,11, 3,Ｅメダリアビｰト, 63,デムｰ, 0.9, 58,  -6,  -9, 1,  3.2,③④④,11, 2, サンダｰホｰラｰ,,今村康,217.8,,,, 9, 41.4,⑦⑦⑦,11,16,Ｃセトノゼディタブ, 81,酒井学, 1.2, 76,  -9,  14, 8, 28.1, ⑬⑬
12, 1,Ｌメイショウダイクン, 49,幸英明, 3.1, 44,  -2,  -9,10, 64.6,⑫⑩⑪,12,13,Ｊエイシンスペシャル, 55,角田晃, 1.1, 61,  -8,  -5,15,147.9,⑮⑮⑭,12, 8, シゲルダンプウ,,小林慎,218.0,,,,10, 99.9,⑩⑩⑪,12,12,Ｎマヤノベンケイ, 76,福永祐, 1.2, 76,  -8,  13,10, 30.2, ⑪⑫
13,11,Ｍウォｰタｰウィンク, 44,藤田伸,10.8, -9,  -4, -69,12,109.5,⑧⑫⑬,13,12,Ｋリアライズナッシュ, 54,四位洋, 1.4, 51,* -5, -19,12,100.6,⑥⑤⑤,13, 4, クリノダイマオｰ,,北村浩,223.2,,,,13,221.1,⑭⑬⑬,13, 4,Ｐオｰトセレブ, 73,渡辺薫, 1.2, 73,   2,   3,15,121.1, ④⑤
,,,,,,,,,,,,14, 7,Ｐファンドリリｰダｰ, 45,和田竜, 1.8, 50,  -8, -16,14,115.2,⑬⑬⑮,,,,,,,,,,,,,14,10,Ｈメイショウトッパｰ, 79,藤田伸, 1.4, 74, -15,  17,12, 36.9, ⑯⑯
,,,,,,,,,,,,15, 2,Ｌカスガ, 54,佐藤哲, 2.8, 40,  -8, -32,16,352.1,⑩⑪⑬,,,,,,,,,,,,,15, 1,Ｇウインレックス, 80,藤岡佑, 1.5, 70,  -3,   4,13, 43.9, ⑧⑨
,,,,,,,,,,,,16, 4,Ｄヒカリアスティル, 63,藤田伸, 7.0,-13,  -7, -95, 8, 26.1,⑤⑥⑧,,,,,,,,,,,,,16,15,Ｏブルｰショットガン, 73,小林徹, 1.6, 71, -13,  13,16,139.8, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,410円 複勝:13=370円 12=150円 07=150円 枠連:1,670円",,,,,,,,,,,,"単勝:800円 複勝:11=250円 08=480円 06=190円 枠連:5,730円",,,,,,,,,,,,"単勝:2,200円 複勝:03=350円 01=120円 12=140円 枠連:2,220円",,,,,,,,,,,,単勝:250円 複勝:07=130円 03=230円 13=520円 枠連:840円,,,,,,,,,,,
"馬連:2,030円 ワイド:12-13=660円 07-13=1,100円 07-12=260円",,,,,,,,,,,,"馬連:7,710円 ワイド:08-11=2,350円 06-11=580円 06-08=1,390円",,,,,,,,,,,,"馬連:2,300円 ワイド:01-03=760円 03-12=1,130円 01-12=210円",,,,,,,,,,,,"馬連:860円 ワイド:03-07=410円 07-13=980円 03-13=1,740円",,,,,,,,,,,
"馬単:5,340円 3連複:2,740円 3連単:24,740円",,,,,,,,,,,,"馬単:15,270円 3連複:8,860円 3連単:77,090円",,,,,,,,,,,,"馬単:6,660円 3連複:2,620円 3連単:26,620円",,,,,,,,,,,,"馬単:1,430円 3連複:4,220円 3連単:15,520円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,花見小路特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, ナイジェラ,---,藤田伸,, 69,*  3,*  1, 6, 18.8, ①①, 1, 4,Ａダイシンサｰベル, 78,藤岡佑,, 70,  -2,* 15, 2,  3.5, ⑫⑫, 1, 9,Ｃノｰプロブレム, 79,四位洋,, 84,  10,*  8, 2,  3.5, ⑧⑥, 1, 7,Ｂクイックリｰプ, 83,和田竜,, 78,   7,* 14, 2,  3.9, ⑤③
 2, 5, アキノワンツｰ,---,渡辺薫, 0.4, 66,*  2,* -2, 2,  3.2, ③②, 2,13,Ｂトウカイインパクト, 74,石橋守, 0.0, 71,   4,   9, 1,  2.3, ⑦⑤, 2, 2,Ａダンツホウテイ, 85,藤田伸, 0.1, 82,  11,   4, 1,  2.4, ⑤⑤, 2,14,Ａロｰズカットダイヤ, 84,秋山真, 0.0, 78,*  9,  10, 1,  2.5, ①①
 3,12, キクノフレヴァン,---,藤岡佑, 0.5, 65,*  2,* -1, 4, 13.2, ⑤③, 3, 5,Ｉフミノパシフィック, 68,池添謙, 0.1, 68,*  8,   2, 8, 40.9, ①①, 3, 6,Ｉエイシンインパｰル, 72,小牧太, 0.4, 79,   5,* 10,12,154.2, ⑬⑬, 3, 2,Ｄメガリス, 78,武幸四, 0.6, 74,   6,   9, 4, 10.7, ⑥⑥
 4, 3, ピサノヴァロン,---,岩田康, 0.9, 61,   1,  -4, 1,  2.2, ④④, 4, 6,Ｄブラックルｰラｰ, 73,幸英明, 0.5, 64,*  7,   0, 3,  8.0, ②②, 4,10,Ｅゴッドスマイルユｰ, 79,福永祐, 0.4, 80,  10,   3, 5,  9.2, ⑨⑨, 4,11,Ｌウォｰタｰダッシュ, 73,小牧太, 0.8, 72,*  8,   5, 9, 29.4, ③④
 5, 8, ガナｰルウィン,---,飯田祐, 1.7, 52,  -5,  -6, 5, 15.6, ⑧⑧, 5, 2,Ｊセレスコクオｰ, 68,和田竜, 0.6, 64,   1,   6, 9, 44.6, ⑨⑧, 5,12,Ｂアドマイヤダｰリン, 81,岩田康, 0.6, 75,   7,   4, 8, 28.5, ⑪⑩, 5,15,Ｇミステリｰゲスト, 77,福永祐, 0.8, 73,   2,* 13,11, 35.2, ⑪⑩
 6, 7, ムｰヴィンオン,---,大下智, 1.9, 50,  -9,  -3, 9, 51.3, ⑫⑪, 6, 3,Ｎスナｰクハｰバｰ, 59,小林徹, 0.8, 64,   5,   1,15,313.0, ④③, 6,13,Ｋトシザユカ, 70,池添謙, 0.6, 75,* 18, -15, 6, 16.3, ①①, 6,10,Ｅスペｰスフライト, 78,佐藤哲, 0.8, 72,   4,  10, 7, 26.5, ⑩⑨
 7, 1, マルサントップガン,---,有馬澄, 2.1, 48,  -9,  -5,14,144.0, ⑭⑫, 7, 7,Ｍタニノブロンクス, 62,藤田伸, 0.9, 63,   2,   3,11, 87.9, ⑧⑥, 7,11,Ｆアグネストカチ, 75,藤岡佑, 0.8, 74,   7,   1, 3,  7.4, ⑫⑪, 7,12,Ｎフロムスクラッチ, 71,デムｰ, 0.9, 70,   6,   6, 5, 15.3, ④⑤
 8, 4, テイエムカゲトラ,---,和田竜, 2.2, 50,*  2, -16,12,108.0, ②⑤, 8,10,Ｆマルタカワンタッチ, 70,角田晃, 1.0, 63,  -6,* 13, 7, 27.7, ⑮⑮, 8, 3,Ｍベレッツァ, 69,武幸四, 0.8, 77,   6,   3,10,112.4, ⑩⑫, 8, 8,Ｈアルトップラン, 77,川田将, 1.1, 70,   1,  11, 6, 21.2, ⑫⑬
 9,13, ライブリリュウショ,---,角田晃, 2.2, 47,  -7,  -9, 7, 23.7, ⑩⑨, 9,14,Ｃイイデソユｰズ, 74,福永祐, 1.0, 62,   4,   0, 6, 12.0, ⑥⑦, 9, 1,Ｊメイショウグラｰド, 72,幸英明, 0.9, 74,  10,  -5, 7, 19.2, ⑦⑧, 9, 9,Ｃベンティスカ, 81,藤岡佑, 1.1, 70,   6,   6, 3,  5.3, ⑧⑧
10, 2, ランドエクスプレス,---,黒岩悠, 2.3, 49,  -9,  -5,15,318.4, ⑮⑭,10, 1,Ｌスカイビュｰティｰ, 64,太宰啓, 1.5, 57,  -5,   6,12, 88.2, ⑭⑬,10, 7,Ｄフィックルベリｰ, 79,秋山真, 1.2, 70,  12, -13, 4,  8.8, ④④,10, 1,Ｊイチライタッチ, 77,大下智, 1.1, 70,   0,* 12,14,182.2, ⑬⑫
11,10, メトロジャンヌ,---,幸英明, 2.4, 46,  -4, -13,11, 95.8, ⑦⑦,11, 8,Ｅティティボス, 72,デムｰ, 1.5, 58,   1,  -1, 4,  9.3, ⑩⑨,11, 5,Ｇスズカロｰズマリｰ, 74,川田将, 1.5, 65,  11, -16,11,132.8, ⑥⑦,11, 5,Ｐエンシャントアｰツ, 61,幸英明, 1.1, 69,*  9,   1,15,185.8, ②②
12,11, マヤノフウジン,---,福永祐, 2.6, 43, -11,  -9, 3,  7.3, ⑬⑮,12,15,Ｇセトノジェネシス, 69,酒井学, 1.6, 56,*  6,  -7,10, 65.7, ③④,12, 8,Ｈカシノマイケル, 74,熊沢重, 1.6, 65,  13, -20, 9, 63.7, ③③,12,13,Ｉスマｰトカイザｰ, 77,岩田康, 1.5, 67,   7,   2,10, 29.4, ⑦⑦
13, 9, ヤマシロロｰズ,---,野元昭, 2.7, 45,  -4, -14,13,122.9, ⑨⑩,13, 9,Ｋサンタナイト, 67,小坂忠, 1.8, 55,   1,  -4,13,173.7, ⑪⑩,13, 4,Ｌシゲルダイノウカイ, 69,小林徹, 1.8, 61,* 14, -26,13,213.1, ②②,13, 4,Ｍスリｰサンフレンチ, 73,小林徹, 1.5, 68,  -4,* 14,13,146.4, ⑭⑭
14,14, スリｰコンビナｰト,---,秋山真, 3.1, 40,  -2, -21, 8, 23.9, ⑥⑥,14,11,Ｏシｰシャトｰ, 56,船曳文, 1.9, 55,  -3,   1,14,292.0, ⑬⑭,,,,,,,,,,,,,14, 6,Ｏテイエムシップウ, 64,石橋守, 2.0, 65,  -4,  10,16,354.3, ⑮⑮
15,15, テイエムミステリｰ,---,小牧太, 3.1, 40,  -7, -17,10, 73.9, ⑪⑬,15,12,Ｈタイセイフレイヤ, 68,川田将, 2.1, 53,   3,  -8, 5, 11.9, ⑤⑪,,,,,,,,,,,,,15,16,Ｆシルクパスワｰド, 77,船曳文, 2.8, 56,   5,  -8,12, 99.2, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｋプライベｰトプラン, 75,四位洋, 8.4, 14, -21, -24, 8, 27.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
