09年 9月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇエアソｰドｰ, 41,内田博,, 62, -12,*  5, 4,  6.6,⑦⑦⑦, 1, 3, モンテエン,---,内田博,, 54, -31,* 15, 3,  4.6,③④⑤, 1, 4,Ｅナムラビスマルク, 72,蛯名正,, 77,   5,  11, 8, 19.1,⑦⑤③, 1, 3,Ｃザレマ, 89,内田博,, 93,* 21,   2, 2,  7.5,②②④
 2, 4,Ｂスコアズビｰ, 63,蛯名正, 0.2, 59, -10,   1, 2,  3.0,④⑤④, 2, 7, リリエンタｰル,---,北村宏, 0.0, 51, -29,  12, 1,  1.8,④③③, 2, 7,Ｃミヤビタカラオｰ, 72,武豊  , 0.0, 75,*  7,   5, 1,  2.9,①①①, 2, 7,Ｄアップドラフト, 89,吉田豊, 0.2, 91,  18,   4,14, 98.3,⑩⑦⑦
 3, 7,Ａシｰマｰク, 64,吉田豊, 0.2, 56,* -8,  -5, 3,  4.7,①①①, 3, 5, マイネルグｰト,---,石橋脩, 0.3, 48,*-28,   6, 6, 42.1,②②②, 3, 2,Ｈナムラカクレイ, 70,伊藤直, 0.0, 76,   4,  11, 7, 17.2,④④②, 3,14,Ｇマイネルスケルツィ, 86,石橋脩, 0.3, 90,* 21,  -2, 3,  7.5,⑤④③
 4, 5,Ｆマイネルマッシモ, 43,石橋脩, 0.4, 56,* -7,  -6, 5, 18.6,⑤③③, 4, 2, ハイレイヤｰ,---,丸田恭, 0.7, 40,*-28,   0, 2,  3.8,①①①, 4, 5,Ｉトウショウゲｰム, 63,田中勝, 0.1, 75,   1,* 14, 5, 11.9,⑧⑧⑤, 4, 1,Ｏケイアイライジン, 75,柴田善, 0.3, 91,  12,* 13, 4,  9.7,⑮⑭⑫
 5, 2,Ｈコスモイルダｰナ, 41,丸田恭, 0.6, 51, -10,  -5, 6, 18.6,③④⑤, 5, 4, マザリｰヌ,---,柴山雄, 0.7, 46, -32,   8, 7, 54.5,⑧⑥④, 5, 6,Ａコスモピグマン, 77,丸田恭, 0.7, 71,   3,   6, 2,  3.4,⑤⑥⑥, 5,10,Ｋサイレントプライド, 83,横山典, 0.3, 88,* 21,  -2, 7, 18.8,④③②
 6, 3,Ｄレチタティｰヴォ, 44,柴山雄, 0.6, 55, -12,  -2, 8, 93.5,⑥⑥⑥, 6, 8, ジェットヴォイス,---,蛯名正, 1.2, 38, -32,   0, 5, 14.6,⑥⑤⑥, 6, 9,Ｆエイダイハリケｰン, 71,柴山雄, 0.8, 70,   5,   2, 9, 29.5,③③④, 6, 8,Ｅタマモナイスプレイ, 87,熊沢重, 0.3, 89,  17,   4, 6, 16.9,⑥⑩⑨
 7, 8,Ｅオペラオｰカン, 44,武豊  , 0.6, 50,* -8, -10, 1,  2.4,②②②, 7, 1, ショウリノホホエミ,---,田中勝, 1.5, 35, -32,  -3, 4, 12.8,⑤⑦⑧, 7, 1,Ｄダノンインスパイア, 72,内田博, 0.9, 72,   1,   8, 3,  5.5,⑨⑦⑧, 7,12,Ｌヤマニンエマイユ, 83,田中勝, 0.4, 89,  12,* 10,10, 37.9,⑫⑮⑮
 8, 1,Ｃベルアｰム, 45,柴田大, 1.9, 39, -16, -14, 7, 74.9,⑧⑧⑧, 8, 6, メイプリマベｰラ,---,吉田豊, 1.7, 33, -34,  -3, 8, 77.4,⑦⑧⑦, 8, 8,Ｂトｰセンインプレス, 74,北村宏, 1.8, 65,  -4,  10, 4,  6.5,⑥⑨⑨, 7, 6,Ｉメイショウトッパｰ, 83,柴山雄, 0.4, 89,  18,   0,16,122.8,③⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,, 9, 3,Ｇユウキハングリｰ, 71,郷原洋, 2.4, 58,   5, -12, 6, 16.7,②②⑦, 9,11,Ａヒカルオオゾラ, 93,武豊  , 0.4, 88,  18,   1, 1,  2.0,⑦⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10, 4,Ｈショウワモダン, 86,村田一, 0.6, 88,  11,* 10, 8, 26.6,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｍエフティマイア, 80,蛯名正, 0.6, 87,  15,   3, 5, 10.1,⑭⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｐカツヨトワイニング, 70,丸田恭, 0.7, 84,  14,   3,15,112.3,⑪⑬⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｊゲイルスパｰキｰ, 83,北村宏, 0.8, 82,  15,   0,11, 48.8,⑬⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｂバトルバニヤン, 89,藤岡康, 1.0, 81,  18,  -7, 9, 37.2,⑨⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｎシンボリグラン, 77,郷原洋, 1.2, 78,  19, -13,12, 72.5,⑧⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｆシンボリウエスト, 87,田中博, 2.3, 66,* 21, -32,13, 90.8,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,
単勝:660円 複勝:06=160円 04=130円 07=150円 枠連:0円,,,,,,,,,,,,単勝:460円 複勝:03=160円 07=110円 05=580円 枠連:0円,,,,,,,,,,,,"単勝:1,910円 複勝:04=380円 07=160円 02=330円 枠連:2,050円",,,,,,,,,,,,"単勝:750円 複勝:03=250円 07=1,880円 14=230円 枠連:3,530円",,,,,,,,,,,
馬連:890円 ワイド:04-06=330円 06-07=450円 04-07=260円,,,,,,,,,,,,"馬連:400円 ワイド:03-07=230円 03-05=1,190円 05-07=760円",,,,,,,,,,,,"馬連:2,530円 ワイド:04-07=900円 02-04=1,880円 02-07=710円",,,,,,,,,,,,"馬連:35,760円 ワイド:03-07=7,420円 03-14=830円 07-14=8,010円",,,,,,,,,,,
"馬単:1,910円 3連複:880円 3連単:7,720円",,,,,,,,,,,,"馬単:1,170円 3連複:3,060円 3連単:13,400円",,,,,,,,,,,,"馬単:6,250円 3連複:7,770円 3連単:60,010円",,,,,,,,,,,,"馬単:63,780円 3連複:84,770円 3連単:677,660円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,初風特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂシｰオブザスタｰズ, 65,田中勝,, 63,* -1,   4, 2,  2.6,①①①, 1, 8,Ａワスレナグサ, 76,武豊  ,, 78,*  3,* 14, 1,  2.0,②②①, 1, 3,Ｂメイビリｰヴ, 78,柴田善,, 88,*  6,  14, 7, 11.5, ②②, 1, 5,Ｄドスライス, 66,武豊  ,, 68,* -3,   6, 2,  3.5, ②②
 2, 4,Ｅコリオレイナス, 56,横山典, 0.0, 63,* -3,*  5, 4,  7.1,②②②, 2, 7,Ｂインディストラｰダ, 71,北村宏, 0.7, 72,   2,  10, 4,  6.7,⑤④③, 2,12,Ｈレッドハイヒｰル, 74,吉田豊, 0.0, 88,*  8,  11, 4,  7.7, ①①, 2, 8,Ａトムアウトランダｰ, 73,吉田豊, 0.5, 63, -10,*  9, 1,  2.1, ⑤⑤
 3, 8,Ｆエスユｰシルバｰ, 53,五十嵐, 0.3, 61,  -5,*  5, 6, 58.3,③③⑥, 3, 1,Ｃレティセントガｰル, 71,横山典, 0.8, 74,   2,  11, 2,  3.8,③⑤⑤, 3, 2,Ａベストロケｰション, 83,北村宏, 0.0, 86,   2,* 18, 1,  3.0, ⑤⑤, 3, 2,Ｂシンフォニｰライツ, 71,石橋脩, 0.9, 60,* -2,  -3, 3,  3.9, ①①
 4, 5,Ｃシルクブルｰムｰン, 62,内田博, 0.5, 62,  -5,*  6, 3,  7.0,⑥⑧⑦, 4, 6,Ｇシｰブルｰ, 62,蛯名正, 1.7, 66,   2,   1, 5, 16.1,④③②, 4, 5,Ｄロックオブサリサ, 78,武豊  , 0.3, 84,   2,  14, 2,  4.5, ⑦⑧, 4, 3,Ｊパリオ, 51,内田博, 0.9, 61,  -8,   4, 6, 30.5, ④④
 5, 2,Ａポッピイ, 69,蛯名正, 0.8, 58,  -5,   1, 1,  2.3,⑧⑥⑤, 5, 5,Ｆオｰゴンオｰカン, 62,丸田恭, 2.0, 65,  -2,   6, 6, 24.2,⑥⑦⑦, 5, 4,Ｃステラｰホｰプ, 78,郷原洋, 0.3, 84,  -2,* 18, 8, 31.6, ⑩⑩, 5, 9,Ｆテングジョウ, 65,柄崎将, 1.0, 58, -13,*  7, 7, 48.6, ⑧⑥
 6, 1,Ｄニシノグラヴィティ, 61,石橋脩, 0.8, 58,  -4,   0, 5, 10.0,⑦⑤③, 6, 2,Ｈアイアムマリリン, 61,内田博, 2.0, 65,*  3,  -3, 3,  4.5,①①④, 6, 6,Ｉタｰニングポイント, 74,横山典, 0.4, 82,   2,  13, 5,  8.1, ⑥⑥, 6, 4,Ｅハｰバｰクイｰン, 66,柴山雄, 1.2, 56, -11,   4, 5, 14.9, ⑥⑧
 7, 6,Ｇエビスホウシュウ, 45,柴山雄, 1.5, 53,  -4,  -6, 8,173.8,④④④, 7, 4,Ｄチリトテシャン, 67,柄崎将, 2.3, 63,  -1,   2, 8,174.5,⑦⑥⑥, 7, 7,Ｇショウナンダンク, 75,内田博, 0.4, 82,*  6,   9, 3,  6.9, ③③, 7, 6,Ｉシルマリル, 51,丸田恭, 1.7, 52, -11,   0, 9, 85.0, ⑦⑦
 8, 3,Ｈジュテ, 39,池崎祐, 2.0, 50,  -6,  -7, 7, 63.7,⑤⑦⑧, 8, 3,Ｅアメリカンヒロイン, 65,村田一, 3.7, 57,  -3,  -4, 7,132.7,⑧⑧⑧, 8, 1,Ｊリトルディッパｰ, 73,田中勝, 0.5, 81,  -2,  15, 6,  8.3, ⑨⑨, 8,10,Ｃレディオｰロラ, 69,田面木, 2.2, 48,  -5, -10, 4, 13.2, ③③
,,,,,,,,,,,,,,,,,,,,,,,, 9,11,Ｍアサクサブラボｰ, 68,丸田恭, 0.5, 80,  -8,* 21,13,204.2, ⑬⑪, 9, 1,Ｇプロミスフェアｰ, 59,田中博, 2.4, 46, -16,  -2, 8, 72.4, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,10,13,Ｅスマｰトエッジ, 77,石神深, 0.7, 79,   5,   6,11, 67.6, ④④,10, 7,Ｈリバｰパッション, 52,郷原洋, 2.5, 46, -16,  -2,10,123.0, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｌシベリアンヒｰト, 70,石橋脩, 0.8, 78,   2,   7,10, 50.6, ⑧⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｋヴィヴァｰチェ, 71,藤岡康, 0.9, 76,  -5,  13,12,163.8, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｆメイスンシンデレラ, 77,田中博, 2.6, 54,  -2, -12, 9, 44.9, ⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-12),,,,,,,,,,,
単勝:260円 複勝:07=150円 04=240円 08=700円 枠連:0円,,,,,,,,,,,,単勝:200円 複勝:08=110円 07=130円 01=120円 枠連:0円,,,,,,,,,,,,"単勝:1,150円 複勝:03=320円 12=290円 02=160円 枠連:4,640円",,,,,,,,,,,,単勝:350円 複勝:05=130円 08=110円 02=130円 枠連:370円,,,,,,,,,,,
"馬連:840円 ワイド:04-07=350円 07-08=1,810円 04-08=2,870円",,,,,,,,,,,,馬連:620円 ワイド:07-08=220円 01-08=160円 01-07=250円,,,,,,,,,,,,"馬連:4,250円 ワイド:03-12=1,240円 02-03=510円 02-12=590円",,,,,,,,,,,,馬連:350円 ワイド:05-08=170円 02-05=230円 02-08=180円,,,,,,,,,,,
"馬単:1,420円 3連複:12,090円 3連単:37,640円",,,,,,,,,,,,"馬単:1,000円 3連複:470円 3連単:2,350円",,,,,,,,,,,,"馬単:10,680円 3連複:4,380円 3連単:44,420円",,,,,,,,,,,,"馬単:830円 3連複:340円 3連単:1,990円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
