09年11月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9,10,Ｅデルマカリグラ, 52,中谷雄, 2.1, 42,   3, -18, 9,128.9, ⑤⑥, 9, 9, リバルドボｰイ,,浜野谷,208.9,,,, 5, 11.1,⑧⑧⑥, 9, 6,Ｉアドバンスピｰル, 71,松岡正, 1.3, 67,   4,   2, 7, 27.5, ⑦⑥, 9,17,Ｍコスモピロリ, 73,吉田豊, 0.5, 81,* 11,   1,12,101.5,⑤③③
10, 1,Ｉエイチエヌイｰグル, 42,村田一, 2.7, 37,  -4, -15,10,139.5, ⑨⑨,10, 2, フジノプリンス,,柴田大,210.6,,,,10,129.7,⑥⑥⑨,10, 3,Ｌナスノマツカゼ, 69,村田一, 1.5, 67,   2,   4,14,218.0, ⑪⑪,10,12,Ｅダイバｰシティ, 83,勝浦正, 0.6, 83,   5,  10, 2,  3.5,⑪⑪⑬
11,11,Ｊスズカオリオン, 42,三浦皇, 3.7, 30,   5, -34, 6, 30.5, ④④,11,10, コｰド,,柴田未,210.7,,,,13,219.2,③②④,11,15,Ｋボンジュｰルソノコ, 69,大庭和, 1.5, 64,*  7,  -3,15,290.8, ②②,11, 2,Ｎリバｰスモｰド, 72,後藤浩, 0.6, 85,   2,* 17,13,150.8,⑯⑯⑯
,,,,,,,,,,,,12,11, イマジンノココロヲ,,横山義,212.5,,,, 7, 39.9,⑩⑫⑫,12, 7,Ｊスティングマリｰ, 69,勝浦正, 1.7, 64,   1,   3,13,153.6, ⑬⑬,12, 3,Ｌカゼノコウテイ, 76,武士沢, 0.8, 81,   1,  16,14,167.6,⑱⑱⑱
,,,,,,,,,,,,13, 7, スナｰクキャロル,,石神深,213.6,,,,11,145.3,⑬⑬⑬,13, 4,Ｍメイショウグラナダ, 67,蛯名正, 1.7, 64,   5,  -2, 9, 59.4, ④⑤,13, 7,Ｏドリｰムトレジャｰ, 72,柴山雄, 0.9, 78,  10,  -3,10, 41.8,④⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｐエドノゴｰルド, 60,吉田豊, 1.8, 64,  -1,   5,16,340.2, ⑮⑮,14,16,Ｋマイネルグラシュｰ, 76,戸崎圭, 0.9, 77,* 11,  -6, 9, 28.8,②②②
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｇトミケントラスト, 73,武士沢, 2.0, 60,   0,   0,12,122.8, ⑨⑫,15, 9,Ａオリオンザドンペリ, 86,柴田善, 0.9, 78,   9,  -2, 8, 24.5,⑥⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏガリレオシチｰ, 62,三浦皇, 2.8, 55,  -3,  -2,11, 96.1, ⑯⑯,16,13,Ｈクリムゾンベガ, 79,村田一, 1.0, 78,   7,   2,11, 56.8,⑮⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｑスズノオオゴン, 69,小林淳, 1.2, 80,   4,   6,17,308.5,⑭⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｒトウカイエｰル, 61,伊藤工, 1.7, 71,   4,  -2,18,418.3,⑫⑭⑮
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
単勝:620円 複勝:06=140円 03=110円 02=110円 枠連:410円,,,,,,,,,,,,"単勝:330円 複勝:05=160円 04=240円 01=290円 枠連:1,360円",,,,,,,,,,,,単勝:320円 複勝:09=130円 02=120円 11=210円 枠連:380円,,,,,,,,,,,,"単勝:1,540円 複勝:18=380円 01=160円 06=170円 枠連:1,550円",,,,,,,,,,,
馬連:840円 ワイド:03-06=260円 02-06=230円 02-03=150円,,,,,,,,,,,,"馬連:1,410円 ワイド:04-05=550円 01-05=670円 01-04=1,350円",,,,,,,,,,,,馬連:410円 ワイド:02-09=210円 09-11=490円 02-11=420円,,,,,,,,,,,,"馬連:2,590円 ワイド:01-18=900円 06-18=1,360円 01-06=360円",,,,,,,,,,,
"馬単:2,030円 3連複:490円 3連単:4,450円",,,,,,,,,,,,"馬単:2,570円 3連複:4,720円 3連単:21,140円",,,,,,,,,,,,"馬単:820円 3連複:1,190円 3連単:4,490円",,,,,,,,,,,,"馬単:6,970円 3連複:4,350円 3連単:41,730円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾛｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃドリｰムザネクスト, 51,後藤浩,, 64,*  2,* -4, 6, 18.3, ①①, 1,11, ロンギングスタｰ,---,後藤浩,, 71,* -3,* 14, 2,  2.8, ③③, 1,10,Ｈリコリス, 69,蛯名正,, 90,  -3,* 24, 6, 23.7,⑧⑨⑨, 1,13,Ｋアイアムカミノマゴ, 81,松岡正,, 88,   8,* 17, 3,  6.5, ⑮⑰
 2, 5,Ｅダテノスイミｰ, 48,内田博, 0.0, 65,  -2,*  4, 1,  3.0, ⑨⑧, 2,13, ロジシンボリ,---,三浦皇, 0.6, 68,* -1,*  7, 7, 24.9, ①①, 2, 5,Ａクｰデグレイス, 88,内田博, 0.0, 88,  -2,  20, 1,  1.6,④⑤⑤, 2, 7,Ｉアｰバニティ, 82,内田博, 0.2, 87,  14,   6, 1,  3.9, ⑧⑧
 3,13,Ａマイネルリファイン, 57,松岡正, 1.0, 55,  -2,  -7, 3,  4.2, ⑦⑤, 3, 5, フレンチビスティｰ,---,勝浦正, 2.0, 58,  -5,   0, 3,  9.7, ⑥⑤, 3, 7,Ｄスカｰレットダイヤ, 76,松岡正, 0.2, 88,  -3,  20, 3,  8.1,⑤⑥⑥, 3, 4,Ｅダイワマックワン, 84,武士沢, 0.2, 86,  13,   8,11, 23.7, ⑪⑪
 4, 2,Ｄドラゴンアルテマ, 51,蛯名正, 1.7, 49,  -3, -12, 2,  3.8, ⑥⑦, 4, 2, ジョウテンデジタル,---,柴田善, 2.3, 58,  -9,   5, 4, 12.6, ⑬⑫, 4, 1,Ｆエオリアンハｰプ, 75,柴田善, 0.3, 86,  -3,  20, 2,  4.0,⑦⑧⑧, 4, 9,Ｆファルカタリア, 84,柴田善, 0.3, 86,  13,   7,12, 25.9, ⑩⑫
 5, 6,Ｍリリｰマルレｰン, 37,草野太, 1.8, 49,  -1, -15,11,149.7, ⑤④, 5, 7, ケンプトンパｰク,---,内田博, 2.3, 55,* -2,  -7, 1,  2.3, ②②, 5, 3,Ｂマイネルｰチェ, 85,三浦皇, 0.5, 79,*  1,   7, 4, 12.1,①①①, 5, 5,Ｃティアップゴｰルド, 86,勝浦正, 0.4, 84,   9,* 11, 4,  7.7, ⑯⑭
 6, 1,Ｂカトルズブンタ, 55,勝浦正, 1.9, 47,  -7,  -8, 5, 12.3, ⑩⑩, 6, 3, ナムラウォｰリアｰ,---,小林慎, 2.3, 56,  -5,  -3, 9, 37.2, ④④, 6, 9,Ｇアカリ, 72,後藤浩, 0.6, 78,*  0,   8, 9,110.2,⑩③③, 6,10,Ｍヤマニンエマイユ, 81,蛯名正, 0.5, 83,  10,   7,10, 18.5, ⑫⑬
 7, 7,Ｋクロスファイト, 39,幸英明, 2.0, 46,  -6, -12, 7, 23.0, ⑧⑨, 7,10, エクセリオン,---,柴山雄, 3.0, 50,  -6,  -7,10, 43.8, ⑨⑧, 7, 2,Ｃダｰクエンジェル, 80,伊藤工, 0.7, 78,  -2,  10, 5, 18.0,③④④, 7,16,Ｊアポロドルチェ, 82,三浦皇, 0.5, 84,  14,   2, 8, 18.2, ⑨⑨
 8, 4,Ｈシャコｰプレシャス, 43,吉田豊, 2.4, 43,  -6, -13,10,112.6, ⑪⑪, 8, 8, ダイワアラミス,---,武士沢, 3.6, 45,  -5, -12, 5, 14.1, ⑧⑦, 8, 8,Ｉロイヤルネックレス, 61,勝浦正, 1.3, 72,  -3,   4, 8, 61.9,⑥⑦⑦, 8, 6,Ｎゲイルスパｰキｰ, 80,後藤浩, 0.6, 81,   9,   7, 6, 14.9, ⑭⑮
 9,12,Ｊカリズマアゲン, 41,柴山雄, 2.7, 41,   0, -25,12,209.8, ④③, 9, 6, フラメンコスケッチ,---,伊藤工, 3.8, 44,  -9, -10,12,145.9, ⑪⑪, 9, 4,Ｅマイネエアウエイ, 75,戸崎圭, 1.5, 67,*  0,  -6, 7, 41.0,②②②, 9,14,Ｐカツヨトワイニング, 78,嘉藤貴, 0.8, 79,   6,   8,17,130.7, ⑰⑯
10,10,Ｉコスモハレルヤ, 43,戸崎圭, 3.0, 38, -10, -14, 9, 76.1, ⑬⑭,10, 4, オウシュウサンクス,---,戸崎圭, 4.9, 37,  -7, -22, 6, 21.6, ⑤⑨,10, 6,Ｊツインダイヤ, 53,吉田豊, 1.6, 70,  -6,   5,10,269.4,⑨⑩⑩,10,18,Ｏマイネルレｰニア, 79,戸崎圭, 1.1, 80,* 20, -14, 7, 16.7, ②②
11, 3,Ｇデラックスボンバｰ, 45,大庭和, 3.2, 35,  -4, -24, 8, 50.2, ③⑥,11, 1, マウントオｰヒ,---,大庭和, 5.3, 31, -10, -22,11, 55.8, ⑩⑩,,,,,,,,,,,,,11, 2,Ｂドラゴンウェルズ, 86,幸英明, 1.1, 78,  17,  -9, 5, 11.9, ⑥⑤
12, 8,Ｌエドヅマ, 38,武士沢, 3.6, 32,  -9, -22,13,290.4, ⑫⑫,12, 9, アジアンジェット,---,蛯名正, 5.9, 30,  -6, -33, 8, 29.3, ⑦⑥,,,,,,,,,,,,,12, 8,Ｌインセンティブガイ, 81,吉田豊, 1.3, 76,  18, -14,13, 68.2, ④③
13,14,Ｆエフテｰグンダイ, 45,小野次, 3.8, 34,*  2, -36, 4,  5.4, ②②,13,12, ホエｰルマント,---,幸英明, 6.6, 27, -16, -21,13,187.7, ⑫⑬,,,,,,,,,,,,,13,15,Ｇメイショウトッパｰ, 83,柴山雄, 1.3, 76,  16, -12,14, 70.5, ⑦⑥
14,11,Ｎパワｰマｰベラス, 26,加藤士, 3.8, 32, -10, -22,14,569.3, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｈスピｰドタッチ, 83,村田一, 1.4, 73,  11,  -6, 9, 18.4, ⑬⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ａフライングアップル, 89,クラス, 1.4, 74,  15, -12, 2,  5.0, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｑグッドキララ, 78,小野次, 1.7, 72,* 20, -23,15,108.8, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｒゲットフルマｰクス, 76,横山義, 1.9, 68,  18, -22,18,134.2, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,830円 複勝:09=340円 05=120円 13=150円 枠連:1,850円",,,,,,,,,,,,"単勝:280円 複勝:11=130円 13=550円 05=280円 枠連:2,880円",,,,,,,,,,,,"単勝:2,370円 複勝:10=360円 05=110円 07=170円 枠連:1,140円",,,,,,,,,,,,"単勝:650円 複勝:13=260円 07=170円 04=530円 枠連:1,450円",,,,,,,,,,,
"馬連:2,440円 ワイド:05-09=870円 09-13=780円 05-13=250円",,,,,,,,,,,,"馬連:3,570円 ワイド:11-13=1,160円 05-11=640円 05-13=3,120円",,,,,,,,,,,,"馬連:1,440円 ワイド:05-10=530円 07-10=1,300円 05-07=240円",,,,,,,,,,,,"馬連:1,570円 ワイド:07-13=650円 04-13=2,520円 04-07=1,530円",,,,,,,,,,,
"馬単:7,250円 3連複:2,130円 3連単:28,430円",,,,,,,,,,,,"馬単:4,420円 3連複:10,950円 3連単:53,790円",,,,,,,,,,,,"馬単:5,040円 3連複:2,470円 3連単:30,480円",,,,,,,,,,,,"馬単:3,550円 3連複:11,600円 3連単:67,040円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,赤松賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｊマイネルマルシェ, 44,松岡正,, 68,* -2,   5, 6, 17.7, ①①, 1, 9, ディオｰサ,---,松岡正,, 70, -17,* 16, 1,  2.0, ⑥⑥, 1,16,Ｂアパパネ, 71,蛯名正,, 78,  -3,* 22, 3,  6.0, ⑧⑧, 1,13,Ｂアルトップラン, 82,吉田豊,, 82,   0,* 20, 8, 19.4, ⑫⑬
 2, 2,Ｃニｰマルオトメ, 57,内田博, 0.1, 68,  -8,*  9, 1,  3.5, ⑤⑤, 2, 7, ナゲットスマイル,---,幸英明, 0.2, 61,* -9,  -1, 9, 50.7, ②②, 2, 9,Ｃブルｰミングアレｰ, 70,柴田善, 0.4, 72,  -2,  13, 1,  1.8, ⑥⑥, 2, 7,Ａマイディアサン, 82,蛯名正, 0.2, 80,*  4,  13, 2,  5.0, ④④
 3, 6,Ａユメノキズナ, 66,戸崎圭, 0.1, 67,* -4,   4, 3,  3.9, ②②, 3, 1, スマイルバラッド,---,吉田豊, 0.5, 55,* -8,  -8, 6, 15.2, ①①, 3,11,Ｄクロフォｰド, 63,後藤浩, 0.8, 67,*  1,   4, 2,  5.4, ④④, 3,12,Ｅキャッツインブｰツ, 81,内田博, 0.3, 80,   2,* 14, 1,  4.6, ⑩⑨
 4, 5,Ｇジュンノアスカ, 51,中谷雄, 0.8, 59, -10,   3,12,145.5, ⑦⑥, 4, 6, アｰクビショップ,---,蛯名正, 0.5, 64, -18,  12, 5, 14.2, ⑧⑧, 4,13,Ｆトゥニｰポｰト, 60,村田一, 0.8, 69,  -6,  15, 9, 33.8, ⑩⑫, 4, 5,Ｊエジソン, 79,柴田善, 0.5, 78,   3,  11, 6,  8.9, ⑥⑤
 5, 8,Ｉフィｰルザファン, 45,後藤浩, 0.8, 57,* -3,  -5, 7, 40.6, ③③, 5, 2, マイネルナタリス,---,戸崎圭, 0.6, 63, -19,  11, 3,  6.0, ⑦⑦, 5,15,Ｋラインジェシカ, 53,勝浦正, 0.8, 70,  -9,* 19, 8, 29.1, ⑬⑭, 5, 2,Ｄリフレックス, 81,クラス, 0.6, 78,   2,  12, 3,  5.4, ⑦⑦
 6, 1,Ｆショウナンスマイル, 53,柴田善, 0.8, 59,  -7,   1, 5, 11.0, ④④, 6, 8, アクアオｰラ,---,三浦皇, 0.8, 57, -14,   1, 2,  3.7, ④④, 6,14,Ｅゴｰルドジャパン, 61,クラス, 0.9, 67,  -5,  11, 6, 27.4, ⑦⑨, 6, 8,Ｆワスレナグサ, 80,松岡正, 0.8, 74,*  5,   6, 7,  9.3, ①①
 7,13,Ｄドンビザッツウェイ, 57,蛯名正, 1.0, 58, -13,   4, 4,  4.8, ⑪⑪, 7, 3, シルクウィｰク,---,勝浦正, 0.8, 58, -16,   3, 4, 13.9, ⑤⑤, 7, 5,Ｉトロンプルイユ, 55,柴山雄, 0.9, 69,  -6,  14,10, 54.0, ⑭⑩, 7,10,Ｋナムラビスマルク, 78,後藤浩, 0.9, 73,   2,   8,11, 54.8, ⑧⑥
 8, 3,Ｋシャイニｰハリアｰ, 44,幸英明, 1.0, 58, -11,   3, 9, 59.7, ⑥⑧, 8,10, ビッグジョｰ,---,クラス, 2.5, 35, -20, -14,10,153.9, ⑨⑨, 8, 1,Ｇマイネノｰブレス, 59,三浦皇, 1.1, 66,  -6,  11, 7, 28.7, ⑨⑪, 8, 6,Ｇニシノウェｰブ, 79,勝浦正, 1.5, 70,*  4,   2,14, 86.9, ②③
 9,12,Ｍニシノユｰトピア, 34,三浦皇, 1.1, 56, -10,  -1, 8, 54.4, ⑧⑦, 9, 5, グロｰリｰゲイル,---,柴田善, 2.6, 31, -14, -27, 7, 21.9, ③③, 9, 6,Ａアイアムルビｰ, 74,幸英明, 1.1, 62,*  5,  -8, 4, 12.3, ①①, 9,15,Ｍシュウザンアイ, 76,草野太, 1.5, 70,  -1,   7,15,117.2, ⑮⑭
10,11,Ｂメジロジャクソン, 64,吉田豊, 1.1, 58, -14,*  5, 2,  3.7, ⑬⑫,10,11, ポルカドット,---,武士沢, 5.7, -1, -36, -34,11,201.9, ⑩⑩,10,10,Ｊメジロイングリッド, 53,吉田豊, 1.2, 61,*  3,  -5,11, 65.0, ②②,10,14,Ｉセイウンマル, 79,大庭和, 1.5, 68,   0,   9, 9, 33.9, ⑭⑮
11, 9,Ｅマコトジョセフィン, 56,勝浦正, 1.3, 56, -15,   4,11,138.9, ⑫⑬,,,,,,,,,,,,,11, 2,Ｈウインマリアベｰル, 56,内田博, 1.2, 62,*  1,  -2, 5, 14.6, ③③,11,11,Ｌゲイルカフェ, 78,戸崎圭, 1.6, 71,   2,   6, 4,  7.1, ⑬⑩
12,10,Ｌトｰヨｰツバサ, 36,小林淳, 1.7, 50, -13,  -5,13,447.0, ⑩⑩,,,,,,,,,,,,,12, 4, クラキンコ,---,小国博, 1.5, 58,  -2,  -3,12,102.9, ⑤⑤,12, 9,Ｃアドマイヤマントル, 81,伊藤工, 2.0, 65,   1,   1, 5,  8.3, ⑪⑪
13, 4,Ｈダイワトパｰズ, 46,武士沢, 1.8, 46, -13,  -6,10,137.7, ⑨⑨,,,,,,,,,,,,,13, 8,Ｍクリアキｰ, 36,伊藤工, 1.9, 57, -11,   8,13,118.7, ⑮⑮,13, 4,Ｏココシュニック, 73,武士沢, 2.0, 64,   2,   0,10, 42.4, ⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,14, 7, トキメキジｰン,---,武士沢, 2.0, 55,  -8,   3,16,426.7, ⑫⑬,14, 1,Ｈワｰルドブルｰ, 79,三浦皇, 2.1, 65,*  4,  -5,13, 68.9, ③②
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｌコスモヴァルｰル, 44,松岡正, 2.1, 52,  -3, -10,14,189.6, ⑪⑦,15, 3,Ｎキモンホワイト, 76,幸英明, 2.2, 65,   0,   1,12, 61.6, ⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,16,12, スマｰトラック,---,戸崎圭, 4.9, 23, -14, -30,15,289.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:1,770円 複勝:07=390円 02=150円 06=170円 枠連:640円",,,,,,,,,,,,単勝:200円 複勝:09=120円 07=800円 01=290円 枠連:820円,,,,,,,,,,,,単勝:600円 複勝:16=150円 09=110円 11=140円 枠連:500円,,,,,,,,,,,,"単勝:1,940円 複勝:13=520円 07=190円 12=210円 枠連:990円",,,,,,,,,,,
