09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:39,620円 3連複:28,260円 3連単:257,520円",,,,,,,,,,,,"馬単:710円 3連複:770円 3連単:2,070円",,,,,,,,,,,,"馬単:3,300円 3連複:21,350円 3連単:115,550円",,,,,,,,,,,,"馬単:8,780円 3連複:5,160円 3連単:35,790円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鹿屋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃサクラテンペスト, 54,角田晃,, 66,*  2,* -4, 2,  5.8, ①①, 1,16,Ｅエアインシャラｰ, 60,福永祐,, 74,*  7,*  5, 1,  2.9,①①①, 1, 4,Ｄオｰスミスパｰク, 72,幸英明,, 76,* 12,  -7, 2,  3.8,①①①, 1, 1,Ｂロｰザレｰヌ, 77,福永祐,, 74,   0,* 14, 1,  2.5,⑥⑧⑥
 2, 6,Ａカルテブランシェ, 62,武豊  , 0.3, 62,*  2,* -8, 1,  2.1, ②②, 2, 3,Ａムｰヴィンオン, 68,大下智, 0.7, 70,   3,*  7, 3,  5.5,⑫⑦⑤, 2,14,Ａマチカネカミカゼ, 80,武豊  , 0.0, 76,   5,*  7, 1,  2.5,⑦⑧⑧, 2, 9,Ｏパルクエスト, 55,浜中俊, 0.5, 69,*  2,   6,11, 85.7,②②②
 3,14,Ｌアイファｰハイカラ, 36,浜中俊, 0.7, 54,  -3,* -8,12,108.6, ⑨⑦, 3, 8,Ｄマッキｰガリウム, 61,幸英明, 0.8, 68,   5,*  3, 6, 11.6,⑧④④, 3, 3,Ｉマイファｰストラヴ, 66,金折知, 0.3, 72,*  9,  -6, 5, 10.3,②②②, 3,14,Ａミコノス, 78,田中健, 0.6, 69,*  2,   7, 2,  2.8,⑨⑥④
 4, 9,Ｎポｰルラッシュ, 32,藤岡康, 0.9, 52,  -3, -10,11, 54.7, ⑧⑤, 4, 7,Ｉマルブツロック, 54,国分恭, 1.6, 62,   4,  -4, 5,  9.9,③③②, 4, 9,Ｍトヨサンハッピｰ, 56,藤岡康, 0.5, 69,   8,  -7, 7, 32.3,③③③, 4, 5,Ｇパｰプルスタｰ, 70,安藤光, 0.7, 65,*  2,   3,10, 51.7,①①①
 5, 4,Ｋペガサスキングビｰ, 43,福永祐, 0.9, 51,  -5,  -9, 4,  7.8, ⑦⑨, 5, 6,Ｂテイケイメルベイユ, 65,熊沢重, 2.1, 59,*  6, -12, 2,  4.4,②②③, 5, 6,Ｋジョニｰバロｰズ, 63,角田晃, 0.5, 72,   7,  -3,11, 90.7,⑥⑥⑦, 5,10,Ｋペパｰミントラヴ, 60,藤岡康, 0.7, 69,  -1,*  9, 7, 30.9,⑧⑩⑧
 6, 8,Ｂケｰジｰハナコ, 55,野元昭, 1.2, 48,  -2, -16, 3,  7.8, ⑤③, 6,11,Ｇロｰレルファイアｰ, 59,浜中俊, 2.6, 56,   2,  -8, 7, 25.2,⑨⑨⑧, 6,13,Ｈトムウィンズ, 68,浜中俊, 0.8, 69,   4,  -1, 4,  6.8,⑪⑪⑩, 6, 4,Ｅリッショウユｰザｰ, 71,中村将, 1.1, 66,*  3,   3, 9, 39.8,④④③
 7, 7,Ｉチキリパンドラ, 46,国分恭, 1.2, 46,  -8, -10,13,135.9, ⑪⑪, 7,13,Ｎパｰプルパッピｰ, 40,畑端省, 2.7, 54,   4, -14,11, 57.8,④⑤⑥, 7, 1,Ｅショウリュウアクト, 71,佐藤哲, 0.8, 65,   5,  -6, 8, 36.0,⑧⑦⑥, 7, 8,Ｉオｰミメリッサ, 65,国分恭, 1.2, 65,  -1,   6,15,208.7,⑫⑪⑫
