09年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,, 9, 4,Ｊドリｰムプライマル, 49,国分恭, 1.7, 49,  -2, -10,11, 79.1, ⑫⑫, 9,11,Ｍオｰシャンハンタｰ, 41,木村健, 1.0, 54,  -8,  -7,10, 52.4, ⑩⑧, 9,16,Ｋパｰプルイｰグル, 84,小牧太, 2.5, 73,  12,  -5,13, 72.3,⑫⑨⑦
,,,,,,,,,,,,10, 1,Ｏマジックソルジャｰ, 44,田中克, 1.7, 49, -12,*  2,16,338.8, ⑮⑮,10, 6,Ｇカンファｰピュア, 57,太宰啓, 1.1, 54, -12,  -4, 9, 28.8, ⑫⑪,10,12,Ｈセフティｰステｰジ, 85,田中克, 2.6, 75,   6,   4,16,226.3,⑯⑯⑯
,,,,,,,,,,,,11,15,Ｍデンコウヨシキ, 46,幸英明, 1.8, 49,  -1, -11,15,268.0, ⑭⑭,11, 4,Ｊオｰスミビジョン, 51,吉田稔, 1.3, 54, -22,*  4,12, 91.1, ⑯⑯,11,11,Ａポｰカｰフェイス, 90,武豊  , 2.7, 73,  10,  -2, 3,  6.0,⑮⑭⑬
,,,,,,,,,,,,12, 9,Ｈサアドウゾ, 54,福永祐, 1.8, 53,*  9, -24, 9, 33.1, ①①,12, 3,Ｌイサミゴｰルド, 44,小牧太, 1.5, 52, -19,  -1,11, 85.9, ⑮⑮,12,15,Ｉコウジンアルス, 85,太宰啓, 2.8, 69,* 16, -15,14,151.4,②②②
,,,,,,,,,,,,13,12, ロｰレルボス,---,松山弘, 1.9, 48,  -1, -13,13, 89.4, ⑬⑬,13, 1,Ｎダンツライダｰ, 39,田中勝, 1.6, 48, -16,  -7,13, 92.2, ⑬⑬,13,14,Ｌストラディヴァリオ, 83,上村洋, 2.9, 70,  12,  -9,12, 63.0,⑧⑥⑩
,,,,,,,,,,,,14, 8,Ｉヤマシロロｰズ, 52,野元昭, 2.3, 46, -14,*  1,10, 49.5, ⑯⑯,14, 2,Ｋトワイライトトｰク, 44,国分恭, 2.3, 38, -10, -21,16,315.1, ⑧⑩,14, 2,Ｍシルクストリｰト, 82,吉田稔, 3.5, 66,  14, -18, 9, 30.4,③④④
,,,,,,,,,,,,15,16,Ｋオｰルライト, 48,吉田稔, 3.2, 39,   4, -31,12, 79.3, ⑥⑦,15, 9,Ｏシゲルロッコウサン, 27,松山弘, 2.5, 35,  -7, -28,15,306.1, ⑤⑥,15, 5,Ｎアクセルファイヤｰ, 81,藤岡康, 6.0, 52,  15, -40,11, 55.6,⑥③⑨
,,,,,,,,,,,,16,10,Ｎチョウゴｰルド, 45,太宰啓, 3.7, 35,   3, -33,14,147.8, ⑧⑩,16, 5, パドックマスタｰ,---,渡辺薫, 3.2, 27, -15, -27,14,225.9, ⑭⑭,16, 4,Ｊカネトシコウショウ, 85,川田将, 7.4, 44,  10, -44, 1,  2.6,⑤⑩⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,
単勝:180円 複勝:02=100円 08=100円 04=120円 枠連:0円,,,,,,,,,,,,単勝:330円 複勝:13=150円 06=270円 07=260円 枠連:810円,,,,,,,,,,,,単勝:170円 複勝:13=110円 14=220円 12=320円 枠連:750円,,,,,,,,,,,,"単勝:550円 複勝:10=210円 09=410円 03=230円 枠連:4,740円",,,,,,,,,,,
馬連:240円 ワイド:02-08=130円 02-04=140円 04-08=190円,,,,,,,,,,,,"馬連:2,070円 ワイド:06-13=710円 07-13=570円 06-07=1,590円",,,,,,,,,,,,"馬連:740円 ワイド:13-14=360円 12-13=520円 12-14=1,530円",,,,,,,,,,,,"馬連:4,750円 ワイド:09-10=1,370円 03-10=820円 03-09=1,040円",,,,,,,,,,,
馬単:430円 3連複:230円 3連単:800円,,,,,,,,,,,,"馬単:3,610円 3連複:4,780円 3連単:24,110円",,,,,,,,,,,,"馬単:1,000円 3連複:2,870円 3連単:8,520円",,,,,,,,,,,,"馬単:8,760円 3連複:9,960円 3連単:67,480円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,和田岬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅアプレンデｰル, 59,和田竜,, 70,*  7,  -4, 3,  7.2, ①①, 1, 7,Ａニホンピロキャット, 69,酒井学,, 75,   1,*  8, 4,  8.0,⑧⑧⑤, 1, 7,Ｅヤマカツゴｰルド, 73,角田晃,, 82,  -8,* 19, 5, 15.1, ⑫⑬, 1,15,Ｃレゾリュｰション, 74,吉田稔,, 75,   6,*  7, 5, 10.7, ⑩⑦
 2,11,Ａビバエルフ, 67,川田将, 0.1, 65,  -5,*  8, 1,  3.4, ⑬⑬, 2, 5,Ｆロｰズリパブリック, 63,武豊  , 0.0, 74,*  3,*  5, 2,  3.1,⑦⑤②, 2, 9,Ｂメイショウジンム, 79,小牧太, 0.0, 81,  -6,* 17, 7, 28.4, ⑩⑫, 2, 3,Ｄキアｰロ, 74,渡辺薫, 0.5, 73,   7,   2, 3,  5.0, ⑨④
 3, 3,Ｃアｰトオブダンサｰ, 65,田村太, 0.4, 63,  -2,*  2, 5,  8.5, ⑩⑦, 3, 3,Ｂフレンチシチｰ, 67,佐藤哲, 0.5, 69,   0,*  5, 1,  3.1,⑩⑩⑧, 3, 5,Ｄスズカスパｰク, 74,福永祐, 0.2, 75,  -5,  10, 2,  5.7, ⑧⑨, 3,16,Ｅチキリムｰディｰ, 74,国分恭, 0.6, 70,   4,   3, 8, 25.1, ⑪⑩
 4, 5,Ｂモア, 66,飯田祐, 0.4, 64,   2,  -2, 4,  7.9, ④④, 4,15,Ｇメイショウサｰバル, 59,田中勝, 0.6, 70,*  3,  -2, 8, 24.6,④④④, 4,14,Ｆダｰクジャケット, 69,浜中俊, 0.3, 73,  -4,   5, 6, 17.0, ⑥⑦, 4, 1,Ｈフェイドレスシｰン, 68,浜中俊, 0.6, 71,   2,*  7, 6, 24.0, ⑬⑬
 5, 8,Ｄタピルｰジュ, 65,佐藤哲, 0.8, 61,*  6, -10, 2,  3.5, ②②, 5, 9,Ｉヒミノリュウオウ, 55,田中克, 0.7, 70,  -3,*  8,10, 34.0,⑬⑬⑪, 5, 6,Ｉトムウィンズ, 67,田中勝, 0.3, 72,* -2,   3, 9, 39.7, ⑬⑥, 5, 2,Ｂオｰクヒルズ, 75,幸英明, 0.8, 70,   8,  -3, 1,  2.8, ③③
 6,14,Ｆネオカｰニバル, 54,高橋亮, 0.8, 63,*  7,  -9, 6,  9.4, ③③, 6,11,Ｄサマｰパレンケ, 65,国分恭, 0.7, 68,   0,   2, 6, 15.7,⑨⑨⑨, 6,11,Ｋアドマイヤアトム, 62,川田将, 0.4, 71,  -6,   7, 4, 10.1, ⑪⑩, 6,10,Ａウォｰタｰリング, 77,武豊  , 0.8, 70,   5,   3, 2,  4.5, ⑫⑪
 7, 9,Ｌメイクレジェンド, 39,松山弘, 1.0, 56,  -4,  -2,15,252.5, ⑨⑪, 7, 8,Ｈアルティマタレント, 56,上村洋, 1.0, 62,*  4, -14, 3,  6.9,①①①, 7, 1,Ｇヴィジレ, 68,藤岡康, 0.5, 67,* -1,  -3,11,104.3, ①①, 7,14,Ｌキタサンハナミチ, 58,熊沢重, 1.0, 69,* 11,  -8,12, 84.8, ②①
 8, 1,Ｊリズムシチｰ, 45,角田晃, 1.3, 55,  -4,  -3,13,119.6, ⑫⑩, 8, 4,Ｋパｰソナルブレｰン, 50,安藤光, 1.2, 63,   1,  -9,13, 78.8,③③⑥, 8,12,Ｈロｰドラテアｰト, 68,鮫島良, 0.6, 68,* -3,  -1, 8, 31.2, ⑤⑤, 8, 8,Ｉヤマカツマリリン, 67,田嶋翔, 1.3, 65,   7,  -7,10, 50.5, ⑤⑤
 9, 7,Ｈチャｰムタンポポ, 48,幸英明, 1.5, 51,  -6,  -5,12,100.2, ⑪⑫, 9, 1,Ｌメジロブリット, 46,幸英明, 1.4, 61,   0, -10, 5, 15.1,⑥⑦⑦, 9, 4,Ａファビラスボｰイ, 79,武豊  , 0.8, 67,  -7,   4, 1,  1.7, ⑨⑪, 9,12,Ｍザザ, 57,福永祐, 1.4, 66,* 10, -10, 7, 24.2, ④②
10, 2, タイキオｰドリｰ,---,福永祐, 1.5, 53,  -1,  -9, 9, 28.9, ⑧⑧,10, 2,Ｃメイショウバキラ, 65,高橋亮, 1.4, 63,  -3,  -1, 7, 21.9,⑮⑭⑭,10,10,Ｊジョウショｰアロｰ, 64,安藤光, 1.0, 64,  -4,  -3,12,178.1, ⑦⑧,10, 5,Ｆジョｰゲルダ, 74,和田竜, 1.4, 65,   6,  -5, 4,  6.6, ⑧⑨
11,15,Ｇホッコｰアネゴ, 50,赤木高, 1.6, 52,   0, -11,10, 69.7, ⑦⑨,11, 6,Ｅタガノバロナｰク, 64,藤岡康, 1.5, 63,  -4,   2, 9, 28.1,⑯⑯⑮,11, 2,Ｎジツリキテイオｰ, 49,吉田稔, 1.1, 68,  -9,   7,13,438.0, ⑭⑭,11,11,Ｏサマｰラグｰン, 52,松山弘, 1.5, 64,   7,  -7,13,110.4, ⑥⑧
12, 6,Ｋケイアイフクノカミ, 45,国分恭, 1.7, 52,   2, -13, 7, 20.8, ⑤⑤,12,10,Ｍカシノハリ, 41,大下智, 1.9, 56,  -3, -10,16,418.5,⑫⑫⑬,12,13,Ｌダノンフｰバフｰバ, 60,和田竜, 1.2, 59,* -1, -12,10, 53.8, ②②,12, 6,Ｐメイショウユウガオ, 46,鮫島良, 2.3, 56,  -1,  -4,15,155.0, ⑯⑭
13,10, ツキヨ,---,太宰啓, 2.0, 46, -10,  -4,11, 85.5, ⑭⑭,13,12, クラシックチュチュ,---,川田将, 2.5, 51,  -4, -12,12, 76.4,⑭⑮⑯,13, 3,Ｍホワイトイチ, 56,木村健, 2.5, 44,* -2, -28,14,445.5, ④④,13, 9,Ｇビクトリアスバイオ, 70,藤岡康, 2.4, 56,   5, -13, 9, 31.2, ⑦⑫
14,13, スリｰタｰビン,---,石橋守, 3.2, 39, -14, -11,14,120.6, ⑮⑮,14,14,Ｎスズカワキア, 39,木村健, 2.6, 48,*  3, -32,14,259.1,②②③,14, 8,Ｃカネトシコンジョオ, 74,幸英明, 2.6, 43,* -3, -31, 3,  7.9, ③③,14, 4,Ｋガｰデンスタイル, 59,小牧太, 3.1, 50,   0, -12,14,111.7, ⑮⑯
15,12,Ｉビコｰアジリティ, 47,佐久間, 3.8, 34,   2, -32, 8, 23.7, ⑥⑥,15,16,Ｊエアザゲｰム, 52,福永祐, 2.9, 46,  -1, -31,11, 39.3,⑤⑥⑩,,,,,,,,,,,,,15,13,Ｎグロｰスベルベット, 57,高井彰, 3.3, 48,   0, -14,16,207.3, ⑭⑮
,,,,,,,,,,,,16,13,Ｏフｰガトウショウ, 38,松山弘, 4.3, 36,  -3, -43,15,341.7,⑪⑪⑫,,,,,,,,,,,,,16, 7,Ｊテレパシｰ, 60,木村健, 6.3, 27,* 10, -53,11, 74.1, ①⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,
単勝:720円 複勝:04=230円 11=150円 03=210円 枠連:640円,,,,,,,,,,,,単勝:800円 複勝:07=180円 05=140円 03=130円 枠連:600円,,,,,,,,,,,,"単勝:1,510円 複勝:07=450円 09=990円 05=250円 枠連:4,990円",,,,,,,,,,,,"単勝:1,070円 複勝:15=340円 03=180円 16=460円 枠連:1,540円",,,,,,,,,,,
"馬連:1,650円 ワイド:04-11=690円 03-04=850円 03-11=420円",,,,,,,,,,,,"馬連:1,300円 ワイド:05-07=440円 03-07=330円 03-05=220円",,,,,,,,,,,,"馬連:14,750円 ワイド:07-09=3,700円 05-07=870円 05-09=2,040円",,,,,,,,,,,,"馬連:2,150円 ワイド:03-15=870円 15-16=1,840円 03-16=1,080円",,,,,,,,,,,
"馬単:3,690円 3連複:2,850円 3連単:21,230円",,,,,,,,,,,,"馬単:3,080円 3連複:1,120円 3連単:9,520円",,,,,,,,,,,,"馬単:31,500円 3連複:20,310円 3連単:192,080円",,,,,,,,,,,,"馬単:5,300円 3連複:9,920円 3連単:69,140円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三宮特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, エメラルドワン,,小坂忠,,,,, 4, 12.0,④②③, 1, 4,Ａゴｰアップドラゴン, 69,吉田稔,, 65,* -8,* 12, 1,  1.8,①①①, 1, 9,Ｃタマモナイスプレイ, 82,武豊  ,, 90,   6,* 18, 1,  2.1, ⑤⑤, 1, 5,Ｆゴｰルデンガッツ, 73,松山弘,, 80,* 12,*  4, 8, 29.9,②③②
 2, 8, アドマイヤディｰノ,,高田潤,200.1,,,, 5, 13.8,⑥⑤⑤, 2, 1, ゴルデンシュライン,---,国分恭, 0.3, 63, -10,* 12, 3,  5.4,③④④, 2, 8,Ｆオディｰル, 78,福永祐, 0.1, 89,   9,  12, 2,  3.5, ④④, 2,14,Ａピイラニハイウェイ, 83,藤岡康, 0.2, 80,  11,*  4, 1,  1.7,⑧⑦④
 3, 3, テイエムノブシオｰ,,出津孝,200.3,,,, 1,  1.8,②①①, 3,10,Ｆシュンリキ, 54,和田竜, 0.6, 60,* -9,   7, 4,  6.8,②②②, 3, 2,Ｂベルフィｰチャｰ, 83,川田将, 0.3, 86,   9,   9, 4,  8.7, ③③, 3, 1,Ｉキングバンブｰ, 71,国分恭, 0.2, 79,   7,*  9, 5, 17.4,⑫⑩⑧
 4, 1, メイショウコンボイ,,北沢伸,200.3,,,, 6, 26.8,③③②, 4,12,Ｈムｰヴィンオン, 53,大下智, 1.3, 56, -11,   5,13,270.5,⑨⑥⑧, 4, 6,Ａロｰドロックスタｰ, 84,幸英明, 0.4, 84,* 13,   0, 3,  4.8, ①①, 4, 7,Ｄベストルｰト, 75,小牧太, 0.3, 78,* 13,   0, 3,  7.3,①①①
 5, 5, アイアングリｰン,,林満明,201.1,,,, 2,  2.7,⑤④④, 5, 2,Ｄキャラバンシチｰ, 59,生野賢, 1.3, 56, -10,   5, 7, 45.9,⑥⑦③, 5, 3,Ｄディｰプスピリット, 81,国分恭, 0.6, 84,   5,  12, 5, 12.5, ⑦⑥, 5, 4,Ｂナムラブレット, 76,幸英明, 0.6, 76,  10,   2, 2,  5.4,⑦⑧⑦
 6, 6, マッキｰケインズ,,佐久間,204.2,,,, 9,153.5,⑧⑧⑦, 6, 3,Ｃメイショウダイクン, 62,幸英明, 1.5, 54, -12,   5, 5, 17.7,⑩⑫⑨, 6, 5,Ｇパッションレッド, 76,角田晃, 0.9, 82,   4,   9, 6, 19.3, ⑧⑦, 6, 6,Ｅアドマイヤアモｰレ, 73,福永祐, 1.2, 73,  10,  -4,10, 45.4,⑤⑥⑤
 7, 4, マキハタサｰメット,,高井彰,204.4,,,, 7, 35.1,①⑥⑥, 7, 9,Ｊセフティファンキｰ, 50,石橋守, 1.8, 57, -11,   2,11,189.2,⑫⑩⑪, 7, 7,Ｅスパニッシュソウル, 79,和田竜, 1.2, 78,   2,   7, 7, 55.5, ⑨⑨, 7,11,Ｈメガロスバンダム, 71,熊沢重, 1.3, 72,* 13,  -9,11, 70.2,③②③
 8, 9, マヤノカタナ,,西谷誠,205.7,,,, 3, 10.0,⑦⑦⑧, 8,13,Ｇメイショウマムｰト, 53,松山弘, 1.8, 52,  -9,  -1, 8, 78.2,⑧⑤⑥, 8, 4,Ｈコンゴウリュウオｰ, 69,松山弘, 1.4, 72,* 11, -12, 9,151.9, ②②, 8,10,Ｇベルモントゴラッソ, 71,吉田稔, 1.6, 69,   8,  -4, 6, 19.1,⑨⑨⑨
 9, 2, テイエムデスカイ,,菊地昇,219.4,,,, 8,107.4,⑨⑨⑨, 9, 7,Ｂタガノヴァンドｰム, 64,川田将, 1.9, 52, -13,   3, 2,  5.0,⑪⑬⑩, 9, 1,Ｉテンザンモビｰル, 69,浜中俊, 4.6, 39,   3, -43, 8,118.7, ⑥⑧, 9,15,Ｃメルシｰマック, 75,木村健, 2.0, 69,   6,  -2, 9, 35.0,⑬⑫⑪
,,,,,,,,,,,,10, 6,Ｅキクカジュピタｰ, 58,太宰啓, 1.9, 52, -10,   1, 9,115.8,⑦⑧⑦,,,,,,,,,,,,,10,12,Ｏセフティファントム, 47,川田将, 2.4, 64,  11, -16,12,127.4,④④⑥
,,,,,,,,,,,,11,11,Ｉシゲルコマガタケ, 50,田嶋翔, 2.1, 50, -11,  -2,10,161.1,⑤⑨⑫,,,,,,,,,,,,,11, 8,Ｊグランプリスマイル, 63,武豊  , 2.5, 64,   7,  -8, 4, 13.2,⑮⑬⑩
,,,,,,,,,,,,12, 5,Ｋシルクユｰロスタｰ, 45,熊沢重, 5.1, 30,* -9, -30, 6, 36.6,④③⑤,,,,,,,,,,,,,12, 2,Ｍゴｰルドキング, 51,太宰啓, 4.7, 49,   5, -24, 7, 26.4,⑭⑮⑭
,,,,,,,,,,,,13, 8, ユウタｰソルジャｰ,---,渡辺薫, 6.3, 24, -13, -33,12,234.9,⑬⑪⑬,,,,,,,,,,,,,13, 3,Ｌマイアイビギニング, 55,林満明, 4.9, 49,   5, -25,15,455.7,⑩⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｋワキノドライバｰ, 61,鮫島良, 4.9, 50,   7, -31,13,161.7,⑪⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｎマンテンテイオｰ, 50,佐久間, 6.8, 40,  10, -51,14,358.6,⑥⑤⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,200円 複勝:07=210円 08=230円 03=110円 枠連:2,100円",,,,,,,,,,,,単勝:180円 複勝:04=110円 01=180円 10=150円 枠連:560円,,,,,,,,,,,,単勝:210円 複勝:09=110円 08=130円 02=160円 枠連:360円,,,,,,,,,,,,"単勝:2,990円 複勝:05=520円 14=110円 01=370円 枠連:370円",,,,,,,,,,,
