09年 1月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
13, 1,Ｇマイネセレネ, 51,木幡初, 3.0, 37,*  1, -32, 9, 25.0, ②②,13,13, カマｰバンド,,鈴来直,235.4,,,, 5, 14.3,⑪⑭⑬,13,16,Ｊニュｰジェットラン, 65,石橋脩, 3.3, 49,   1, -17,10, 30.8, ⑪⑩,13,11,Ａハイエモｰション, 86,武豊  , 2.9, 66,   2,   0, 3,  4.5, ⑬⑭
14, 2,Ｍトｰセンメジャｰ, 15,石橋脩, 3.0, 36,  -6, -22,12,172.8, ⑭⑭,,,,,,,,,,,,,14, 4,Ｌトゥルｰノｰス, 61,蛯名正, 3.9, 45,   4, -27, 9, 25.3, ⑦⑦,14, 5,Ｍメイショウディオ, 77,赤木高, 3.6, 58,   4, -10,16,252.1, ⑦⑩
15,13,Ｌモモレノン, 41,赤木高, 3.8, 30, -17, -15,13,176.0, ⑯⑯,,,,,,,,,,,,,15, 7,Ｎヒロコ, 56,佐藤聖, 4.0, 44,   0, -22,14,137.2, ⑩⑫,15, 6,Ｏシルクプラチナム, 69,丸田恭, 3.7, 58,*  9, -17, 9, 37.2, ①①
16,15,Ｉミロクヒメ, 48,蛯名正, 4.9, 24,  -3, -41,11, 36.9, ⑨⑩,,,,,,,,,,,,,16,13,Ｏトラストエｰス, 49,田中勝,18.0,-76, -10, ---,16,275.7, ⑯⑯,16, 1,Ｐタイキダイナスティ, 46,横山義, 3.9, 58,  -1,  -5,15,159.7, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-4),,,,,,,,,,,
"単勝:280円 複勝:08=130円 06=2,540円 12=150円 枠連:4,060円",,,,,,,,,,,,"単勝:2,300円 複勝:02=650円 14=2,250円 08=430円 枠連:8,510円",,,,,,,,,,,,"単勝:1,180円 複勝:09=380円 06=370円 01=690円 枠連:2,580円",,,,,,,,,,,,"単勝:370円 複勝:08=160円 03=1,010円 09=180円 枠連:5,520円",,,,,,,,,,,
"馬連:40,420円 ワイド:06-08=8,690円 08-12=270円 06-12=10,720円",,,,,,,,,,,,"馬連:32,390円 ワイド:02-14=6,680円 02-08=1,610円 08-14=7,320円",,,,,,,,,,,,"馬連:4,110円 ワイド:06-09=1,520円 01-09=2,590円 01-06=2,630円",,,,,,,,,,,,"馬連:9,770円 ワイド:03-08=2,010円 08-09=300円 03-09=3,130円",,,,,,,,,,,
"馬単:48,350円 3連複:45,150円 3連単:384,110円",,,,,,,,,,,,"馬単:85,470円 3連複:89,310円 3連単:646,460円",,,,,,,,,,,,"馬単:9,350円 3連複:28,170円 3連単:168,010円",,,,,,,,,,,,"馬単:16,510円 3連複:12,660円 3連単:92,020円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ2100m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15, オウロプレット,---,吉田豊,, 62,* -4,   2, 2,  4.1, ②②, 1,16,Ｃマイネルシュトルム, 59,松岡正,, 60,* -5,  -8, 3,  5.4,④④③, 1, 5,Ｂメイショウゲンスイ, 84,内田博,, 86,* 13,   9, 2,  6.8,②①①, 1, 6,Ｈアブソリュｰト, 89,田中勝,, 96,  22,*  0, 5, 11.7, ⑪⑪
 2, 6, キングヴァント,---,横山典, 0.2, 59,* -4,   0, 1,  3.7, ①①, 2, 6,Ｊメジロルマン, 47,蛯名正, 0.1, 60,  -6,  -7, 4,  6.4,③③④, 2,10,Ｆアドマイヤダンク, 81,福永祐, 0.2, 85,  10,* 14, 4,  9.4,⑧⑩⑪, 2,14,Ｍキャプテンベガ, 85,吉田豊, 0.2, 93,  21,*  0,15, 50.1, ⑬⑬
 3, 7, コスモスプリッツァ,---,丸田恭, 0.5, 58,* -6,   0,11, 50.6, ③③, 3,15,Ａマツリダガッツ, 60,岩田康, 0.2, 62, -13,*  5, 1,  2.7,⑯⑭⑮, 3, 4,Ｃトｰセンゴライアス, 83,柴山雄, 0.5, 83,   8,* 14, 7, 20.1,⑬⑫⑫, 3, 2,Ｊスマイルジャック, 87,岩田康, 0.5, 88,  22,  -7, 9, 17.0, ⑩⑩
 4,13, ダイワモｰメント,---,武士沢, 0.7, 56,  -9,*  3, 5,  9.8, ⑨⑧, 4,14,Ｂユキノセントウ, 59,後藤浩, 0.3, 59,  -8,  -5, 9, 26.2,⑫⑨⑧, 4, 7,Ａジャンバルジャン, 91,後藤浩, 0.7, 83,* 12,   6, 1,  1.6,⑤③③, 4, 4,Ｄリザｰブカｰド, 91,内田博, 0.7, 87,  21,  -8, 7, 15.2, ⑫⑫
 5, 1, ベルウッドグラｰテ,---,勝浦正, 0.8, 57, -15,* 10, 8, 17.4, ⑪⑬, 5,12,Ｐスｰパｰイｰグル, 38,中谷雄, 0.6, 55,  -7, -11, 6, 23.1,⑨⑦⑥, 5, 2,Ｎランキング, 75,宮崎北, 0.9, 79,* 12,   4,16,481.2,①②②, 5, 7,Ｆゲイルスパｰキｰ, 90,後藤浩, 0.7, 85,  23, -13,13, 30.7, ⑨⑨
 6, 4, ゼンマツ,---,松岡正, 0.8, 56,  -9,   2, 3,  5.8, ⑤⑦, 6, 5,Ｇスｰパｰシズクン, 52,田面木, 0.7, 50,* -4, -22, 8, 26.1,①①①, 6,11,Ｉアルファオリオン, 80,田中勝, 1.0, 79,  10,   6, 5, 15.9,⑦⑧⑦, 6,12,Ａタマモサポｰト, 93,津村明, 0.8, 86,* 26, -18, 1,  4.0, ⑤⑤
 7,14, モリノマｰケット,---,田中博, 1.3, 52,  -7,  -6, 9, 17.6, ④④, 7,11,Ｄクリノメダリスト, 57,柴山雄, 0.8, 58, -14,*  1, 5, 18.3,⑮⑯⑯, 7, 6,Ｄシビルウォｰ, 82,吉田豊, 1.1, 79,   8,* 12, 3,  9.0,⑯⑯⑮, 7,10,Ｏリキッドノｰツ, 78,石橋脩, 1.0, 85,  18,  -8,14, 45.8, ⑯⑯
 8, 9, サウスクリヨン,---,小林淳, 1.5, 51, -13,   1, 7, 15.2, ⑭⑪, 8, 4,Ｎトウショウザウルス, 42,武士沢, 1.5, 47, -11, -15,11, 55.9,⑭⑬⑭, 8,12,Ｇロｰランウェルズ, 81,伊藤工, 1.4, 76,   8,   6,14,175.6,⑫⑬⑬, 8,15,Ｉタケミカヅチ, 88,武豊  , 1.1, 81,  23, -19, 8, 15.5, ⑧⑧
 9,11, ゲｰムコンセプト,---,木幡初, 1.6, 49,  -8,  -7, 4,  7.5, ⑥⑤, 9,13,Ｌアルカディアシチｰ, 47,江田照, 1.7, 39,* -5, -33,14,156.4,②②②, 9, 9,Ｐクリノダイマオｰ, 72,千葉直, 1.5, 74,   8,   6,15,368.4,⑪⑪⑭, 9, 3,Ｌショウワモダン, 86,勝浦正, 1.2, 81,  25, -21, 6, 12.2, ⑦⑦
10, 3, チャｰムクリｰム,---,津村明, 1.7, 50, -11,  -2,13,106.9, ⑩⑩,10, 9,Ｍメジロデュｰチン, 43,菊沢隆, 1.8, 41, -11, -20,16,283.0,⑩⑪⑪,10,13,Ｅコスモアブソルｰト, 82,丸田恭, 1.6, 75,   9,   3, 8, 53.9,⑮⑭⑩,10,16,Ｇキストゥヘヴン, 89,藤田伸, 1.3, 80,  25, -24,11, 26.9, ⑥⑥
11, 5, ヤマタケディガｰ,---,柴山雄, 1.8, 50, -12,  -3, 6, 13.1, ⑧⑨,11,10,Ｋハノマン, 47,田中勝, 1.8, 44, -11, -20,13,128.9,⑪⑫⑫,11, 3,Ｈエイシンハンコック, 80,岩田康, 1.7, 75,  10,   2, 6, 19.3,⑩⑨⑨,11, 9,Ｃマルカシェンク, 91,福永祐, 1.7, 76,  18, -19, 4,  8.8, ⑮⑭
12,12, ミヤコノモノガタリ,---,田面木, 2.3, 43,  -9, -12,14,110.6, ⑦⑥,12, 1,Ｅウマザイル, 56,四位洋, 1.9, 39,  -9, -26, 2,  4.0,⑦⑧⑨,12, 1,Ｋビッグスワン, 78,蛯名正, 1.8, 74,  10,   0,10, 59.6,④⑥⑧,12, 8,Ｐトップガンジョｰ, 75,柴山雄, 1.8, 74,  18, -20,16,141.0, ⑭⑮
13, 8, エフケｰジャガｰ,---,田中勝, 2.9, 39, -14, -11,12, 87.9, ⑬⑫,13, 8,Ｉマイネビアンカ, 49,津村明, 1.9, 41,  -7, -29,12,103.4,⑥⑤⑤,13,15,Ｏティズインパルス, 73,松岡正, 1.9, 74,* 12,  -5,12, 96.7,③④④,13, 5,Ｅロｰレルゲレイロ, 91,四位洋, 1.8, 74,* 29, -36, 2,  4.4, ①①
14, 2, トｰセンルナｰル,---,赤木高, 3.5, 34, -16, -13,10, 44.3, ⑫⑭,14, 2,Ｆクニノソウシ, 56,丸田恭, 2.0, 40, -12, -20, 7, 25.4,⑬⑮⑬,14, 8,Ｌユｰガットテｰスト, 77,石橋脩, 2.0, 73,  10,  -3,13,116.6,⑨⑦⑤,14,13,Ｎファストロック, 83,ペリエ, 1.9, 73,* 26, -35,10, 24.6, ③③
15,10, キンセｰル,---,黛弘人, 4.8, 26, -25, -13,15,165.0, ⑮⑮,15, 3,Ｈノアブレイク, 51,西田雄, 2.3, 36, -10, -29,15,240.9,⑧⑩⑩,15,14,Ｍメジロアルタイス, 77,小野次, 2.2, 72,   7,   2, 9, 57.8,⑭⑮⑯,15,11,Ｂサイレントプライド, 92,横山典, 3.2, 58,* 26, -53, 3,  8.4, ②②
,,,,,,,,,,,,16, 7,Ｏマイネフォリア, 41,木幡初, 2.6, 33,  -9, -37,10, 31.9,⑤⑥⑦,16,16,Ｊペイデイ, 78,中舘英, 2.3, 71,  11,  -6,11, 80.9,⑥⑤⑥,16, 1,Ｋショウナンアルバ, 87,松岡正, 3.3, 59,* 26, -53,12, 28.1, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:16),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:不良(指数:16),,,,,,,,,,,
単勝:410円 複勝:15=170円 06=150円 07=870円 枠連:560円,,,,,,,,,,,,単勝:540円 複勝:16=170円 06=190円 15=130円 枠連:500円,,,,,,,,,,,,"単勝:680円 複勝:05=240円 10=330円 04=500円 枠連:1,620円",,,,,,,,,,,,"単勝:1,170円 複勝:06=460円 14=1,530円 02=590円 枠連:2,830円",,,,,,,,,,,
"馬連:810円 ワイド:06-15=320円 07-15=3,160円 06-07=2,200円",,,,,,,,,,,,"馬連:1,790円 ワイド:06-16=650円 15-16=350円 06-15=500円",,,,,,,,,,,,"馬連:3,160円 ワイド:05-10=960円 04-05=1,340円 04-10=2,330円",,,,,,,,,,,,"馬連:27,100円 ワイド:06-14=7,680円 02-06=3,100円 02-14=8,800円",,,,,,,,,,,
"馬単:1,740円 3連複:11,580円 3連単:52,840円",,,,,,,,,,,,"馬単:3,380円 3連複:1,930円 3連単:14,860円",,,,,,,,,,,,"馬単:5,940円 3連複:12,990円 3連単:67,340円",,,,,,,,,,,,"馬単:43,070円 3連複:139,830円 3連単:888,960円",,,,,,,,,,,
■ 3R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1300m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｯｶｽｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａサトノバロン, 64,横山典,, 58,  -2,*  2, 2,  4.0, ⑧⑦, 1, 9,Ａハシッテホシｰノ, 68,松岡正,, 71,*  0,*  5, 4,  8.1,⑤⑤⑤, 1, 7,Ｄサンカルロ, 78,吉田豊,, 82,  13,  -1, 1,  3.3, ⑥⑥, 1, 4,Ｋイチライタッチ, 70,柴山雄,, 79,   0,  18,14,103.1, ⑤⑤
 2,11,Ｆシチコウキング, 47,大野拓, 1.0, 52,  -3,  -4,10, 45.2, ⑩⑨, 2, 3,Ｅピサノカルティエ, 61,岩田康, 0.2, 70,  -4,* 14, 2,  5.2,⑩⑫⑫, 2,11,Ａスガノメダリスト, 79,蛯名正, 0.2, 80,  12,  -2, 4,  8.8, ⑧⑧, 2, 2,Ｃメイショウヨシヒサ, 78,福永祐, 0.2, 78,  -4,* 22, 3,  5.7, ⑬⑪
 3, 7,Ｃカズノロマン, 62,内田博, 1.0, 51,  -1,  -9, 1,  1.9, ⑦⑤, 3, 8,Ｂニシノルｰファス, 66,内田博, 0.4, 67,*  0,  -1, 6, 11.6,⑦⑦⑥, 3, 9,Ｈアイアンデュｰク, 68,石橋脩, 0.4, 76,   6,*  4, 9, 23.1, ⑬⑫, 3,14,Ａアポロラムセス, 81,勝浦正, 0.2, 76,*  3,  14, 1,  2.3, ④④
 4, 4,Ｂアイスジャッカ, 62,丸田恭, 1.3, 49,*  0, -12, 3,  7.2, ③③, 4, 4,Ｆトレジャｰバトル, 61,吉田豊, 0.5, 65,*  1,  -6, 5, 10.0,①①①, 4,10,Ｅタイガｰストｰン, 75,後藤浩, 0.6, 73,   8,  -1, 8, 19.2, ⑩⑪, 4,10,Ｆガッサンルｰブル, 75,赤木高, 0.4, 74,  -2,  17,10, 33.5, ⑥⑧
 5, 5,Ｅリスクテｰカｰ, 47,岩田康, 1.6, 47,  -7,  -4, 5, 16.3, ⑭⑫, 5,10,Ｊリコリス, 55,蛯名正, 0.6, 64,*  0,  -6, 7, 17.8,④④③, 5, 2,Ｌツクバホクトオｰ, 57,田中勝, 0.7, 74,  12,  -7, 5,  9.1, ⑦⑦, 5,13,Ｄリンリンリン, 77,内田博, 0.4, 75,*  4,  11, 2,  5.3, ②②
 6, 2,Ｏケイアイシンドウ, 23,柴山雄, 1.7, 48,*  1, -18, 7, 38.7, ①①, 6, 2,Ｈピサノエグゼ, 58,ペリエ, 0.7, 63,*  0,  -5, 1,  2.3,③③④, 6, 6,Ｂダブルウェッジ, 78,内田博, 0.7, 74,* 15, -13, 2,  3.7, ④③, 6,11,Ｌロックリヴァｰ, 69,津村明, 0.5, 74,  -1,  17, 8, 23.6, ⑨⑨
 7,10,Ｄシルクエスポワｰル, 51,大庭和, 2.1, 44, -16,*  7,12,102.1, ⑯⑯, 7, 7,Ｇネコパンチ, 60,赤木高, 1.1, 60,  -1,  -7, 9, 34.2,⑥⑥⑦, 7,13,Ｉジョｰカプチｰノ, 66,中舘英, 1.1, 71,* 16, -17, 7, 19.2, ⑤④, 7, 3,Ｏドリｰムスカイラブ, 66,田中博, 0.8, 72,  -3,  15, 5, 12.5, ⑩⑩
 8, 3,Ｈアイファｰラスカル, 44,小野次, 2.1, 43,*  0, -20,13,102.8, ②②, 8,11,Ｉコスモディアナ, 56,津村明, 1.1, 61,  -2,  -7,11,100.7,⑧⑧⑧, 8, 3,Ｇオメガユリシス, 69,横山典, 1.2, 67,  11, -12,10, 24.8, ⑨⑨, 8, 1,Ｉセイカアレグロ, 72,木幡初, 0.8, 72,  -7,* 20, 9, 24.3, ⑮⑮
 9,13,Ｐコナンビクトリｰ,  4,西田雄, 2.2, 42,  -5, -11,15,142.7, ⑪⑪, 9,12,Ｄヤマニンバッスル, 63,横山典, 2.1, 51,  -3, -17, 3,  6.8,⑪⑩⑪, 9, 5,Ｆメジロチャンプ, 69,福永祐, 1.4, 67,* 16, -22, 6, 12.9, ②②, 9, 6,Ｇソブリンブライト, 73,宮崎北, 1.1, 67,   2,   7,15,183.1, ③③
10, 6,Ｌスタｰノｰブルマン, 38,木幡初, 2.4, 41,  -1, -21, 6, 25.8, ④⑥,10, 1,Ｃリバｰインバウンド, 65,宮崎北, 2.7, 48,  -3, -24,10, 38.1,⑨⑨⑩,10,12,Ｋトップオブピｰコイ, 62,ペリエ, 1.5, 64,  10, -14,12, 92.0, ⑪⑩,10,12,Ｂデュヴァル, 80,ペリエ, 1.1, 68,*  5,   3, 4,  8.9, ①①
11,14,Ｍアリゾナジャガｰ, 35,江田照, 2.7, 41,  -1, -22, 4, 13.9, ⑤⑧,11, 6,Ｌメジロポッタｰ, 47,中舘英, 2.8, 48,*  0, -36, 8, 19.9,②②②,11, 4,Ｃグロｰリｰルピナス, 78,岩田康, 1.7, 64,* 18, -28, 3,  6.6, ①①,11, 5,Ｈグラインダｰ, 72,小林久, 1.2, 68,  -5,  14,13, 98.0, ⑭⑭
12, 9,Ｋテイエムクロヒョｰ, 42,武士沢, 2.8, 39, -15,  -2,16,342.5, ⑮⑮,12, 5,Ｋプラクシス, 54,後藤浩, 3.4, 43,  -2, -39,12,130.3,⑫⑪⑨,12, 1, スマｰトン,---,武豊  , 2.5, 54,  14, -33,11, 45.9, ③⑤,12, 7,Ｎフィンマックｰル, 67,丸田恭, 1.4, 66,  -1,   7,11, 49.7, ⑦⑥
13, 1,Ｎサマｰブリリアント, 31,津村明, 3.1, 36,   0, -27,14,126.7, ⑥④,,,,,,,,,,,,,13, 8,Ｊストロングポイント, 64,藤田伸, 6.4,  3,   4, -67,13, 94.2, ⑫⑬,13, 8,Ｅセイウンマル, 77,大野拓, 1.4, 67,   0,   8, 7, 21.8, ⑧⑦
14,16,Ｊテラモマルゼン, 43,松岡正, 3.1, 37,  -7, -17, 8, 41.6, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｍウェディングライト, 69,吉田豊, 1.5, 66,  -3,  10, 6, 18.9, ⑫⑫
15,15,Ｇカネトシユｰシャ, 45,村田一, 4.3, 33,  -3, -33, 9, 43.7, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｊマルタラヴ, 70,岩田康, 1.8, 63,  -3,   7,12, 96.9, ⑪⑬
16,12,Ｉタツフェニックス, 43,ペリエ, 5.2, 22, -10, -32,11, 68.7, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
