09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:460円 複勝:08=160円 03=130円 12=150円 枠連:570円,,,,,,,,,,,,単勝:610円 複勝:10=190円 11=240円 01=130円 枠連:860円,,,,,,,,,,,,"単勝:1,070円 複勝:02=310円 04=180円 13=270円 枠連:1,590円",,,,,,,,,,,,単勝:270円 複勝:04=140円 06=190円 08=230円 枠連:610円,,,,,,,,,,,
馬連:530円 ワイド:03-08=250円 08-12=470円 03-12=280円,,,,,,,,,,,,"馬連:2,350円 ワイド:10-11=670円 01-10=300円 01-11=440円",,,,,,,,,,,,"馬連:1,950円 ワイド:02-04=790円 02-13=1,090円 04-13=920円",,,,,,,,,,,,馬連:840円 ワイド:04-06=390円 04-08=520円 06-08=950円,,,,,,,,,,,
"馬単:1,550円 3連複:1,100円 3連単:6,840円",,,,,,,,,,,,"馬単:4,480円 3連複:1,900円 3連単:18,420円",,,,,,,,,,,,"馬単:4,490円 3連複:5,200円 3連単:34,270円",,,,,,,,,,,,"馬単:1,380円 3連複:2,390円 3連単:7,190円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,円山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇグランクロワ, 54,福永祐,, 63,   0,* -9, 4,  9.3, ⑦④, 1, 1, ラブミｰチャン,---,浜口楠,, 72,* 13,* -4, 4,  8.2, ①①, 1,15,Ａサマｰウインド, 90,ルメｰ,, 87,*  9,  17, 1,  2.6, ②②, 1, 3,Ｋジャコスキｰ, 69,武豊  ,, 83,* 11,   5, 6, 11.0, ①①
 2, 9,Ｄカネトシパサｰジュ, 56,藤岡佑, 0.0, 63,  -2,* -5, 5,  9.5, ⑪⑩, 2,11,Ｇサリエル, 57,福永祐, 0.2, 68,   9,* -2, 3,  4.4, ⑥⑥, 2, 9,Ｇコンフォｰコ, 80,スミヨ, 0.8, 82,   2,  17, 9, 18.8, ⑨⑨, 2,10,Ｄディｰプスピリット, 75,藤岡佑, 0.4, 81,   6,* 10, 5,  6.4, ⑪⑪
 3,14,Ｆシルクアｰネスト, 55,松山弘, 0.3, 60,   0, -12, 8, 18.5, ⑧⑥, 3, 3,Ａクリスタルボｰイ, 80,藤岡佑, 0.6, 65,  11,  -7, 1,  3.1, ②②, 3,13,Ｉアナモリ, 79,川田将, 0.8, 83,  -2,* 22, 4, 10.4, ⑬⑬, 3, 6,Ｈワキノパワｰ, 71,国分恭, 0.6, 79,   7,   4, 8, 24.4, ⑦⑧
 4,13,Ｅデンコウオクトパス, 55,国分恭, 0.4, 59,  -1, -10, 6, 14.2, ⑩⑨, 4, 7,Ｅケイアイデイジｰ, 61,岩田康, 1.1, 60,  10, -11, 2,  4.0, ④④, 4,14,Ｆスリｰアリスト, 80,武幸四, 0.8, 84,  -1,* 20, 2,  3.9, ⑫⑫, 4,11,Ｅマルサンテクニカル, 75,南井大, 0.6, 78,   4,*  8,13,158.6, ⑬⑬
 5, 2,Ａフォｰスフルバイオ, 63,浜中俊, 0.5, 59,  -1, -12, 1,  2.9, ⑥⑪, 5, 6,Ｄベネラ, 65,熊沢重, 1.1, 62,  11, -12, 6, 12.5, ③③, 5, 7,Ｂスリｰサンビｰム, 84,秋山真, 1.2, 77,   7,   8, 3,  9.8, ③③, 5, 4,Ｃミリオンウェｰブ, 78,角田晃, 0.7, 77,* 11,  -5, 2,  4.4, ②②
 6, 6,Ｃティルス, 57,スミヨ, 0.6, 55,*  2, -22, 2,  4.3, ④①, 6,12,Ｃセイインディア, 66,浜中俊, 1.1, 60,   7,  -8, 7, 15.2, ⑦⑧, 6, 1,Ｅダノンアスカ, 80,小牧太, 1.3, 76,  -1,  15, 8, 18.0, ⑪⑪, 6, 1,Ｌシゲルキリガミネ, 65,秋山真, 0.7, 77,* 10,  -2, 7, 15.2, ④④
 7, 7,Ｈゴｰンハリウッド, 54,小牧太, 0.9, 54,*  1, -23, 7, 18.3, ⑤⑤, 7, 9,Ｂアイシｰクレット, 70,和田竜, 1.2, 59,   9, -11, 5, 10.3, ⑤⑤, 7,11,Ｌエｰシンシｰクルｰ, 73,浜中俊, 1.4, 76,*  9,   4,12, 77.6, ①①, 7,12,Ｇテイエムシバスキｰ, 73,田中健, 0.8, 76,* 10,  -4, 9, 31.4, ⑤⑤
 8,12,Ｋスｰサンキャプテン, 48,和田竜, 1.2, 50,  -2, -24,10, 23.9, ⑨⑧, 8, 5,Ｈアイファｰマｰチス, 54,幸英明, 1.6, 54,   6, -12, 8, 28.6, ⑨⑦, 8,12,Ｃベストオブミｰ, 83,安藤勝, 1.6, 73,   0,  12, 6, 11.5, ⑩⑩, 8,13,Ｂマイネルクラッチ, 78,ルメｰ, 0.8, 76,   7,   1, 3,  4.6, ⑧⑨
