09年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9,16,Ｋポｰルドブラ, 47,東川公, 0.8, 47,  -7,  -6,12,140.8, ⑪⑫, 9,14,Ｄサマｰヒロイン, 55,大野拓, 0.9, 48,  -8, -14, 9, 50.9,⑧⑦⑦, 9,12,Ｋカシノアマゾネス, 57,安藤光, 3.4, 57,   8, -14,11,292.9,⑦⑧⑦, 9,12,Ｈドリｰムブランチ, 62,津村明, 1.1, 58,   3, -14, 7, 11.7, ⑨⑨
10, 7,Ｃアッサイ, 59,太宰啓, 0.9, 49,   1, -13, 7, 33.2, ⑤⑤,10, 8,Ｈエドノジェリモ, 50,藤岡康, 0.9, 50,  -8, -12, 8, 40.4,⑤⑥⑥,10, 3,Ｌカルストンアルプス, 55,鮫島良, 3.6, 61,   3,  -5,12,326.2,⑥⑪⑪,10, 2,Ｋアルテマイスタｰ, 55,藤岡康, 1.3, 55,   0, -13, 8, 12.0, ⑫⑩
11,13,Ｍロックオブゴｰルド, 43,田中健, 1.1, 44,  -6, -11,11, 92.3, ⑨⑪,11, 7,Ｋインタｰメディア, 41,千葉直, 1.1, 49, -12,  -9,16,338.8,⑬⑭⑭,11,11,Ｉレｰザｰウイング, 65,東川公, 4.8, 50,   8, -25, 8,110.3,④⑦⑨,11, 3,Ｌキャラメルボイス, 51,荻野琢, 1.5, 52,   1, -16,15,177.6, ⑬⑪
12,10,Ｎシゲルカジガモリ, 40,長谷川, 1.2, 44, -16,* -5,15,247.9, ⑮⑭,12, 2,Ｊニシノゲルニカ, 48,太宰啓, 1.2, 47,  -9, -15,11,148.4,⑥⑧⑧,12, 4,Ｊスリｰコンコルド, 65,河北通, 5.6, 44,   1, -20, 9,182.7,⑩⑫⑫,12,10, トウホクビジン,---,安部幸, 2.0, 45,  -9, -14,12, 81.5, ⑯⑯
13, 9,Ｇセプテンバｰレイン, 52,田中博, 1.3, 42, -10, -10, 5, 20.1, ⑬⑬,13,15,Ｐユウサンチップ,  2,荻野琢, 1.5, 44, -12, -14,14,171.1,⑭⑮⑮,,,,,,,,,,,,,13,11, スマｰトスパｰクル,---,古川吉, 2.0, 49,*  8, -30, 9, 50.8, ②②
14,15,Ｌラブキュｰト, 47,丸田恭, 1.4, 41,  -6, -13,10, 89.1, ⑩⑨,14, 9,Ｏキタノサング, 21,中村将, 2.0, 37,  -9, -25,13,157.0,⑩⑩⑬,,,,,,,,,,,,,14, 5,Ｉキングスウィｰプ, 61,千葉直, 2.3, 45,*  8, -34,10, 56.3, ①①
15,14,Ｏクニサキレモネｰド, 32,西田雄, 2.6, 28, -14, -18,16,302.0, ⑭⑮,15, 3,Ｎミカミラクル, 23,宮崎北, 2.3, 33,* -6, -35,15,185.8,③③④,,,,,,,,,,,,,15,16, バンダムアクシオン,---,東川公, 3.0, 35,   5, -39,13,152.4, ⑥⑫
16, 4,Ｐハミウケポッポ, 16,大野拓, 3.0, 28, -21, -17,13,161.1, ⑯⑯,16, 1,Ｍチャｰムメイク, 27,津村明, 3.1, 28, -14, -30,12,153.4,⑯⑯⑯,,,,,,,,,,,,,16,14,Ｍバｰティカルライン, 44,丹内祐, 3.2, 31,   0, -38,16,234.0, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:6),,,,,,,,,,,
単勝:120円 複勝:06=110円 12=190円 05=410円 枠連:230円,,,,,,,,,,,,単勝:590円 複勝:11=220円 04=150円 10=140円 枠連:650円,,,,,,,,,,,,"単勝:520円 複勝:10=170円 02=190円 07=370円 枠連:1,130円",,,,,,,,,,,,"単勝:780円 複勝:01=280円 04=220円 13=280円 枠連:1,170円",,,,,,,,,,,
"馬連:430円 ワイド:06-12=240円 05-06=490円 05-12=1,550円",,,,,,,,,,,,"馬連:1,350円 ワイド:04-11=500円 10-11=500円 04-10=220円",,,,,,,,,,,,"馬連:1,250円 ワイド:02-10=330円 07-10=900円 02-07=830円",,,,,,,,,,,,"馬連:2,230円 ワイド:01-04=830円 01-13=1,290円 04-13=1,030円",,,,,,,,,,,
"馬単:520円 3連複:2,190円 3連単:4,610円",,,,,,,,,,,,"馬単:2,780円 3連複:1,430円 3連単:9,080円",,,,,,,,,,,,"馬単:2,630円 3連複:3,920円 3連単:17,970円",,,,,,,,,,,,"馬単:4,710円 3連複:7,050円 3連単:40,480円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａダスタップ, 69,中舘英,, 58,* 12, -22, 1,  3.2,①①①, 1, 4,Ａキリコンサｰト, 67,上野翔,, 67,*  6, -10, 1,  3.6, ①①, 1, 4,Ｏミッキｰラブ, 55,北村友,, 75,  -3,* 15,12, 33.4,⑬⑪⑫, 1, 5,Ａミスズオペラ, 82,中舘英,, 82,*  7,*  8, 1,  1.3,②②②
 2, 8,Ｄメイショウロッコｰ, 59,津村明, 0.0, 59,   7, -12, 3,  5.0,⑧④③, 2, 6,Ｈショウナンダンク, 54,古川吉, 0.2, 61,   0,* -8, 8, 19.2, ⑥④, 2,12,Ｃベルタリド, 73,千葉直, 0.2, 72,   0,   7, 6, 13.3,⑤⑦⑧, 2, 7,Ｂキクカラヴリイ, 77,安部幸, 0.6, 76,   4,   7, 2,  8.4,⑥⑤⑤
 3, 6,Ｉザバトルクラシック, 49,安部幸, 0.3, 59,   1,* -4,12, 73.1,⑩⑨⑨, 3,13,Ｄウインリｰズン, 57,赤木高, 0.4, 57,  -1,  -9, 3,  5.4, ⑧⑥, 3, 7,Ｅオブコｰス, 71,丸田恭, 0.3, 71,  -1,   7, 4,  9.5,⑦⑩⑩, 3, 9,Ｄパッシングマｰク, 72,太宰啓, 1.0, 72,   6,  -3, 5, 16.1,⑤③③
 4, 2,Ｊマルサンエロイカ, 48,太宰啓, 0.3, 57,   0,* -4, 9, 26.5,⑪⑩⑦, 4, 2,Ｇマイネルレンツ, 55,丹内祐, 0.6, 55,  -6,* -5,11, 36.2, ⑪⑦, 4,15,Ｆクロスビスティｰ, 70,宮崎北, 0.3, 68,*  3,  -2, 7, 13.4,②②②, 4, 4,Ｅサイレンスゴｰルド, 70,安藤光, 1.0, 72,   1,   7, 8, 46.5,⑨⑧⑧
 5,13,Ｅワシャモノタリン, 57,中村将, 0.5, 55,  -4,*  2, 7, 17.2,⑯⑬⑫, 5, 3,Ｏフクノライジン, 26,田中博, 0.9, 50,  -9,* -8,12, 74.3, ⑬⑩, 5,16,Ｇスマｰトレディｰ, 69,安藤光, 0.3, 71,   1,   6, 9, 17.0,⑨⑧⑨, 5, 1,Ｃナミダガキラリ, 76,北村友, 1.0, 73,   0,*  9, 3, 12.3,⑧⑨⑨
 6,16,Ｂマルブツハッピｰ, 67,船曳文, 0.7, 54,* 12, -28, 4,  5.9,③②②, 6, 1,Ｅレジャイｰル, 57,藤岡康, 1.2, 48,   1, -22, 5,  9.4, ③②, 6,11,Ａスカイリュウホｰ, 76,中舘英, 0.5, 69,*  2,  -1, 2,  4.8,③③③, 6,10,Ｇアドマイヤカンナ, 69,藤岡康, 1.4, 70,   2,   2, 4, 13.1,⑦⑦⑦
 7, 7,Ｇカンファｰリｰド, 53,大野拓, 0.8, 56,   2, -10, 8, 24.2,⑦⑦⑥, 7,11,Ｊチャペルゴｰルド, 53,北村友, 1.2, 47,  -9, -11, 9, 21.6, ⑭⑭, 7, 5,Ｂウォｰタｰセレネ, 73,芹沢純, 0.5, 69,*  2,   0, 3,  5.1,④⑤④, 7, 6,Ｆグランプリペガサス, 70,東川公, 1.8, 62,   4, -11, 9, 51.2,③④④
 8,11,Ｆマスタｰチアフル, 56,飯田祐, 0.9, 54,   5, -16, 6, 16.5,⑤⑤⑤, 8,12,Ｂヨシインゾｰン, 65,丸田恭, 1.4, 46,*  3, -25, 4,  7.1, ④⑤, 8,10,Ｄテイエムマイサクラ, 72,荻野琢, 0.6, 70,  -4,   9, 1,  4.7,⑭⑭⑭, 8, 8,Ｈナイスシャトル, 68,古川吉, 1.9, 63,   4, -11, 6, 23.7,④⑥⑥
 9, 1,Ｈアイファｰリリアン, 51,東川公, 2.0, 47,   0, -18,13,181.8,⑥⑧⑩, 9,10,Ｍサマｰアドラｰレ, 48,津村明, 1.4, 45,  -4, -19,13,116.5, ⑩⑧, 9, 8,Ｎスマｰトスパイラル, 61,津村明, 0.7, 67,  -1,   1,14,142.1,⑪⑨⑦, 9, 3,Ｉアルトップラン, 66,芹沢純, 1.9, 63,  -1,  -2, 7, 27.6,⑩⑩⑩
10,14,Ｋコスモミラクル, 47,野元昭, 2.2, 46,  -2, -15,10, 31.8,⑭⑪⑪,10, 8,Ｋサイレントボス, 51,的場勇, 1.5, 41,  -8, -16,14,135.3, ⑫⑬,10, 3,Ｉミナミタイヘイヨｰ, 67,赤木高, 0.7, 70,  -5,* 12,10, 20.0,⑮⑮⑯,10, 2,Ｊテイエムカチボシ, 65,田中健, 2.3, 57,*  8, -25,10,123.0,①①①
11, 3,Ｏマチカネオケハザマ, 39,藤岡康, 2.6, 43,  -5, -15, 5, 10.7,⑫⑮⑮,11, 5,Ｌシルクオｰソリティ, 50,武英智, 1.5, 42, -11, -14, 6, 12.6, ⑮⑮,11,13,Ｋポンテディリアルト, 65,的場勇, 0.9, 62,*  2,  -6, 5, 10.0,⑧⑥⑤,,,,,,,,,,,,
12, 5,Ｌマザｰテｰラｰ, 44,田嶋翔, 2.7, 43,  -4, -16,14,284.1,⑬⑭⑭,12, 9,Ｉシルキｰモモ, 54,大野拓, 1.5, 44, -20,* -5,10, 32.9, ⑯⑯,12, 2,Ｈスペシャルウィッチ, 69,大野拓, 1.0, 69,  -4,  11,11, 22.9,⑯⑯⑮,,,,,,,,,,,,
13,10,Ｃテイエムハリアｰ, 61,荻野琢, 2.8, 44,   2, -28, 2,  4.8,④⑥⑧,13,15,Ｐウインクワン, 18,千葉直, 1.9, 38,  -3, -27,16,162.5, ⑨⑪,13, 1,Ｌドリｰムドリｰマｰ, 64,田村太, 1.0, 65,  -3,   2,13, 34.7,⑩⑬⑪,,,,,,,,,,,,
14, 4,Ｍワンパクタイショウ, 43,梶晃啓, 2.8, 44,  -2, -19,15,334.1,⑨⑫⑬,14, 7,Ｃイナズマチｰタｰ, 57,太宰啓, 2.0, 42,*  5, -33, 7, 16.3, ②③,14,14,Ｍミココロ, 62,嘉藤貴, 1.2, 63,  -1,  -3,15,152.8,⑫⑫⑬,,,,,,,,,,,,
15,15,Ｐマイアイシュネル, 33,西田雄, 3.5, 37,  -7, -17,16,394.4,⑮⑯⑯,15,14,Ｆセンシュアルモｰド, 55,宮崎北, 2.2, 36,*  2, -36, 2,  4.9, ⑤⑨,15, 9,Ｊタガノトゥｰリ, 66,田中博, 1.2, 61,*  3, -14, 8, 16.5,①①①,,,,,,,,,,,,
16,12,Ｎアイノタンゴ, 40,鮫島良, 3.5, 39,   7, -42,11, 53.3,②③④,16,16,Ｎスプリングツィイｰ, 33,芹沢純, 3.5, 20,   0, -49,15,135.5, ⑦⑫,16, 6,Ｐシデンカイ, 48,丹内祐, 1.7, 56,*  2, -17,16,215.9,⑥④⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:6),,,,,,,,,,,
"単勝:320円 複勝:09=140円 08=190円 06=1,570円 枠連:440円",,,,,,,,,,,,単勝:360円 複勝:04=150円 06=500円 13=210円 枠連:830円,,,,,,,,,,,,"単勝:3,340円 複勝:04=1,140円 12=440円 07=430円 枠連:1,970円",,,,,,,,,,,,単勝:130円 複勝:05=110円 07=160円 09=320円 枠連:310円,,,,,,,,,,,
"馬連:920円 ワイド:08-09=380円 06-09=1,700円 06-08=4,770円",,,,,,,,,,,,"馬連:3,240円 ワイド:04-06=1,190円 04-13=440円 06-13=2,450円",,,,,,,,,,,,"馬連:25,990円 ワイド:04-12=5,800円 04-07=4,300円 07-12=1,450円",,,,,,,,,,,,馬連:390円 ワイド:05-07=200円 05-09=360円 07-09=970円,,,,,,,,,,,
"馬単:1,470円 3連複:18,100円 3連単:51,710円",,,,,,,,,,,,"馬単:5,220円 3連複:7,580円 3連単:43,690円",,,,,,,,,,,,"馬単:65,950円 3連複:77,800円 3連単:691,450円",,,,,,,,,,,,"馬単:480円 3連複:1,390円 3連単:2,820円",,,,,,,,,,,
■ 3R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2500m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｊマルシゲヨカニセ, 66,北村友,, 72,*  7,   4,10, 41.9, ③③, 1, 6,Ｅグリッタｰエルフ, 70,中舘英,, 69,* -3,* 11, 2,  4.1,①①①, 1,13,Ｅエイトサンデｰ, 72,田辺裕,, 72,   5,* 11, 7, 14.0,④⑤③, 1,10,Ｈシャロｰム, 68,中舘英,, 79,  15, -10, 6, 12.6,⑤③②
 2,15,Ｂエイシンイッテン, 74,中舘英, 0.0, 73,*  6,   5, 2,  4.7, ④④, 2, 9,Ｄサニｰラブカフェ, 72,小島太, 0.0, 69,* -4,* 12, 7, 16.8,②②②, 2, 7,Ｆマイニングゴｰルド, 71,中舘英, 0.0, 74,*  7,   8, 1,  2.6,①①①, 2, 7,Ｊティルフィング, 62,安藤光, 0.2, 77,  13,* -6, 9, 59.3,⑧⑧⑥
 3, 9,Ｅメイショウアｰチャ, 72,藤岡康, 0.1, 70,  -2,*  8, 3,  4.8, ⑨⑧, 3, 5,Ｃビバロングライフ, 73,飯田祐, 0.3, 68,* -4,  10, 3,  6.2,③③③, 3, 5,Ｂシンボリプロキオン, 74,田中博, 0.4, 73,*  6,   7, 3,  7.9,⑧④④, 3, 8,Ｃメイショウイチバン, 76,飯田祐, 0.2, 77,  14, -11, 4,  6.4,⑨⑥④
 4, 2,Ｆケイアイモｰガン, 72,大野拓, 0.2, 71,  -3,*  9, 4,  6.1, ⑦⑦, 4, 4,Ｇラブリｰコンサｰト, 69,的場勇, 0.5, 66,  -5,   9, 5, 14.2,④⑤⑤, 4,11,Ａプレンティスピｰド, 77,丸田恭, 0.4, 73,   2,* 14, 2,  5.9,⑬⑨⑧, 4, 5,Ｉシャイニングデイ, 68,的場勇, 0.7, 71,   9,* -1, 7, 15.3,⑩⑪⑩
 5, 4,Ｃホトダｰ, 74,宮崎北, 0.2, 69,   1,   6, 8, 16.8, ⑤⑤, 5, 7,Ｂキラメキパスワｰド, 74,田中健, 0.6, 67,  -5,* 11, 6, 14.4,⑧⑧⑧, 5, 9,Ｃファイトシｰン, 73,田村太, 0.5, 71,   3,  10, 6, 13.8,⑨⑦⑦, 5, 9,Ｆレゼルブ, 69,北村友, 0.8, 72,  13, -16, 8, 28.7,⑦⑦⑦
 6,10,Ａトップオブボストン, 79,赤木高, 0.3, 69,*  6,   1, 1,  4.7, ②②, 6,13,Ａアンテヴォルテ, 75,北村友, 0.7, 64,  -4,   9, 1,  2.3,⑪⑥⑥, 6, 6,Ｌトウカイゲイル, 58,東川公, 0.6, 71,   3,   9,11, 71.7,⑥⑥⑥, 6, 1,Ｄヴェルトマイスタｰ, 74,小島太, 0.8, 71,* 16, -24, 3,  5.5,②②①
 7,14,Ｈメラトニン, 70,荻野琢, 0.3, 72,*  9,  -1, 5,  7.3, ①①, 7, 1,Ｆテンジンノジョオｰ, 69,西田雄, 1.1, 61,  -6,   6,11, 85.4,⑦⑦⑦, 7, 2,Ｄウィンドチャイム, 72,宮崎北, 0.8, 66,*  6,   2, 5,  8.8,③②②, 7, 6,Ｅスマｰトファントム, 71,藤岡康, 0.9, 72,  12, -12, 2,  4.6,⑪⑨⑨
 8, 6,Ｄテイエムカイブツ, 72,田嶋翔, 0.4, 68,  -5,*  9, 6,  9.7, ⑫⑩, 8,14,Ｉスズカクリアｰ, 65,東川公, 1.2, 62,  -6,   7, 9, 54.1,⑨⑨⑨, 8,14,Ｊミシックキョウト, 70,安部幸, 1.3, 66,*  6,   0,10, 26.9,⑤③⑤, 8,11,Ａアサティスボｰイ, 81,西田雄, 1.1, 70,  15, -25, 1,  2.7,④④③
 9, 5,Ｌラインルｰジュ, 58,田中健, 0.7, 65,  -5,   6,12,113.7, ⑪⑪, 9, 2,Ｋジャングルバｰド, 57,鮫島良, 1.2, 65,  -8,  10, 4,  8.1,⑩⑪⑪, 9,10,Ｈナリタベガ, 71,中村将, 1.4, 64,   1,   8, 8, 16.4,⑭⑬⑩, 9, 3,Ｂフォンテｰヌ, 79,嘉藤貴, 2.5, 61,  15, -42,10, 89.4,③⑤⑧
10,13,Ｇミスタｰオリオン, 70,小林慎, 0.8, 64,  -3,   3, 7, 16.5, ⑧⑨,10, 8,Ｈヨイチイｰスト, 67,梶晃啓, 1.3, 62,  -8,   9,12,131.4,⑫⑬⑫,10,12,Ｉセンノカゼ, 71,北村友, 1.8, 62,  -1,   7, 4,  8.4,⑫⑭⑭,10, 2,Ｇリノｰンランプ, 69,鮫島良, 3.8, 59,* 16, -66, 5,  8.3,①①⑤
11, 3,Ｋフレンチシェフ, 63,津村明, 1.2, 57, -14,   7, 9, 29.5, ⑭⑭,11,11,Ｌフジビヨリ, 49,丸田恭, 1.4, 58,* -4,   1,10, 72.5,⑥④④,11, 1,Ｍフジマサルビｰ, 54,高橋智, 1.9, 62,   1,   1,14,140.8,⑦⑩⑨,11, 4,Ｋアイアムジャンヌ, 57,東川公, 6.1, 16,   9, -79,11,141.1,⑥⑩⑪
12, 8,Ｉレインボｰルシファ, 68,丹内祐, 1.3, 59,   0,  -3,11, 51.3, ⑥⑥,12, 3,Ｊトｰセンベルベット, 58,丹内祐, 1.7, 58,  -6,   2, 8, 53.9,⑬⑩⑩,12, 4,Ｋカシノダンク, 60,西田雄, 2.5, 58,   1,  -2,13,127.3,⑪⑫⑪,,,,,,,,,,,,
13, 1,Ｍカヤドｰノアｰル, 56,千葉直, 1.6, 54,  -6,  -3,15,260.6, ⑩⑫,13,12,Ｍユウフジ, 43,二本柳, 2.7, 52,  -9,  -1,14,163.3,⑭⑭⑬,13, 3,Ｎエリモアミｰゴ, 51,荻野琢, 2.5, 61,   1,  -2,12, 89.2,⑩⑪⑬,,,,,,,,,,,,
14, 7,Ｎオｰドリｰロｰズ, 56,田中博, 1.9, 52, -20,   4,16,311.3, ⑮⑮,14,10,Ｎカルストンレコｰド,-37,安部幸, 6.6, 24,  -7, -38,13,149.1,⑤⑫⑭,14, 8,Ｇショウナンナイト, 71,赤木高, 8.4, 20,   3, -57, 9, 18.2,②⑧⑫,,,,,,,,,,,,
15,12, メイプルブレイド,---,古川吉, 1.9, 51, -19,   3,13,221.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｏトヨサンラッキｰ, 52,北村浩, 2.2, 49, -10,  -5,14,241.3, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
