09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,日田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄスナｰクレナｰド, 62,松山弘,, 64,  -1,*  3, 3,  7.3, ⑥④, 1,13,Ｆトｰセンウｰノ, 54,幸英明,, 66,*  4,* -5, 5, 11.1,③②②, 1, 3,Ｄトップサンダｰ, 67,和田竜,, 68,   6,  -7, 1,  2.6,③③③, 1, 6,Ｆハマノモナｰク, 70,渡辺薫,, 75,  -1,* 11, 3,  7.0, ⑭⑬
 2, 8,Ａマレンゴ, 67,赤木高, 0.1, 65,*  3,   0, 2,  4.2, ②②, 2, 1,Ｂタケカジョウオｰ, 67,鮫島良, 0.3, 63,*  9, -18, 2,  3.4,①①①, 2, 1,Ｈメイクデュｰス, 59,幸英明, 0.1, 66,* 12, -21, 5, 16.2,①①①, 2,12,Ｍファルクス, 65,小牧太, 0.0, 74,   0,* 10, 1,  3.4, ⑪⑩
 3,14,Ｉオｰセロワ, 49,鮫島良, 0.4, 62,*  5,  -4, 1,  2.4, ①①, 3, 9,Ｃオカゲサマデ, 60,中村将, 0.9, 58,  -3,* -5, 4,  9.7,⑭⑪⑩, 3, 9,Ａマルサンリタｰン, 79,太宰啓, 0.2, 65,* 10, -18, 2,  3.5,②②②, 3, 7,Ａサイキョウヒカリ, 86,松山弘, 0.1, 75,   6,   3, 2,  4.8, ⑥⑤
 4, 4,Ｅリキドｰ, 60,上村洋, 0.5, 61,   2,  -3, 7, 16.9, ④③, 4,16,Ｉアドマイヤレッド, 51,小牧太, 1.1, 58,  -7,*  2, 6, 17.9,⑯⑯⑯, 4, 4,Ｂトミケンプライム, 72,上村洋, 0.4, 69,   5,* -3, 4,  5.4,⑦⑥⑥, 4,10,Ｂピエナプリンセス, 76,安藤光, 0.2, 73,   5,   2, 8, 28.7, ⑦⑥
 5, 3,Ｃエリモフリｰダム, 64,渡辺薫, 0.8, 56,  -8,*  1, 4,  8.3, ⑪⑪, 5, 2,Ａアグネスクイｰン, 68,上村洋, 1.2, 53,   2, -21, 1,  2.3,④③③, 5, 2,Ｇテイエムセイラン, 62,安藤光, 0.8, 60,   3, -11, 7, 29.6,⑤⑤⑤, 5, 5,Ｈハｰトランドノリカ, 68,中村将, 0.3, 70,  -1,*  7,11, 29.7, ⑬⑪
 6, 6,Ｇハイウイング, 55,高野容, 0.9, 57,  -3,  -3, 9, 35.1, ⑧⑥, 6, 6,Ｍレナプリンセス, 46,酒井学, 1.4, 51,   1, -21,13,145.9,⑤⑤④, 6, 5,Ｉアスカノユタカ, 55,酒井学, 0.9, 61,   2,  -7, 8, 62.6,⑥⑦⑦, 6, 8,Ｊロングゼネラル, 67,飯田祐, 0.5, 66,  -5,*  8,10, 29.2, ⑯⑰
 7,12,Ｋシゲルフゲンダケ, 47,国分恭, 1.0, 55,*  3,  -9,13,180.3, ③⑤, 7, 5,Ｎトｰセンバタｰル, 45,太宰啓, 1.4, 52,  -1, -15,11, 71.8,⑨⑨⑧, 7, 8,Ｅエメラルドミスト, 65,鮫島良, 1.0, 63,   1,* -5, 3,  4.6,⑧⑧⑧, 7,15,Ｅランラン, 71,鮫島良, 0.6, 65,  -4,   6,14, 48.1, ⑮⑯
