09年 9月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9, 7,Ｆチキリパンドラ, 48,幸英明, 2.8, 34, -19, -10, 5, 13.2, ⑩⑩, 9, 4,Ｃニシノアッシュ, 63,松田大, 0.8, 57,*  1, -13, 4, 15.7, ②②, 9, 2,Ｈエバｰブライト, 70,宮崎北, 1.4, 69,   3,   6,12,185.5,⑩⑨⑧, 9,16,Ｆゴｰルドサクセス, 69,福永祐, 0.7, 59, -17,   6, 5, 11.5, ⑰⑰
10, 6,Ｇリリｰマルレｰン, 44,丸山元, 3.2, 30, -19, -15, 6, 23.7, ⑨⑨,10,12,Ｉストリｰトダンス, 54,大野拓, 1.0, 56,  -3,  -8,10, 59.3, ⑧⑦,10, 1,Ｅトウショウアラジン, 72,伊藤直, 2.3, 63,   5,  -5, 6, 24.6,⑬⑥⑥,10,14,Ｄサラトガティプトン, 73,木幡初, 0.8, 57, -17,   5, 7, 16.6, ⑯⑯
11, 8,Ｊフィッシュダイブ, 37,荻野琢, 3.2, 31, -25,  -9,12,376.9, ⑫⑫,11, 3,Ｋサリｰル, 52,藤岡佑, 1.1, 53,*  3, -19,13,134.7, ①①,11,12,Ｄシンボリプロキオン, 72,吉田隼, 2.5, 62,   4,  -6, 7, 28.5,⑧⑦⑦,11,17,Ｍサンゴシック, 63,松田大, 0.8, 56, -15,   2,12, 53.3, ⑬⑪
12, 9,Ｌテイエムハクリュウ, 23,和田竜, 4.0, 22, -17, -24,10, 72.3, ⑥⑦,12, 5,Ｊエプソムアビリティ, 54,西田雄, 1.2, 57, -13,*  6,17,452.4, ⑰⑰,12, 3,Ｆメイスンファｰスト, 72,的場勇, 2.8, 62,   1,  -2, 3,  7.6,⑪⑫⑫,12, 7,Ｊコスモジャイロ, 66,石橋脩, 1.0, 53,  -9,  -6,10, 23.3, ④⑥
,,,,,,,,,,,,13, 8,Ｆマスタｰディアナ, 56,的場勇, 1.3, 52,  -9,  -3,12,127.2, ⑬⑬,13,13,Ｍサウスゴｰルド, 54,丸田恭, 4.6, 48,   0, -17,10, 72.3,⑨⑬⑬,13, 4,Ｃエｰシンシｰクルｰ, 73,池添謙, 1.1, 52,  -9,  -7, 2,  5.4, ⑤④
,,,,,,,,,,,,14,11,Ｒコｰトデュロｰヌ, 39,丸山元, 1.9, 46,  -8, -13,14,256.7, ⑩⑪,,,,,,,,,,,,,14, 9,Ｎニシノクイック, 62,藤岡佑, 1.2, 50, -14,  -3,15,133.9, ⑫⑭
,,,,,,,,,,,,15, 1,Ｑカフェジャイアント, 42,中舘英, 2.1, 45,  -7, -18,11,105.7, ⑥⑧,,,,,,,,,,,,,15, 5,Ｑブルｰヴァンパイヤ, 51,和田竜, 1.3, 50, -17,  -1,17,212.0, ⑮⑮
,,,,,,,,,,,,16,10,Ｐマルタカクリスタル, 42,丹内祐, 2.1, 45, -13,  -7,18,497.5, ⑱⑱,,,,,,,,,,,,,16,18,Ｏマイネアリス, 61,丹内祐, 1.3, 49, -15,  -3,14,121.1, ⑭⑫
,,,,,,,,,,,,17, 2,Ｏレディラブノット, 44,石橋脩, 3.1, 33,  -6, -34,15,297.5, ⑤⑤,,,,,,,,,,,,,17, 3,Ｇポルタノｰヴァ, 67,宮崎北, 1.7, 43, -13, -11,13, 77.8, ⑩⑩
,,,,,,,,,,,,18,17,Ｍデキシｰスウィング, 51,上村洋, 3.6, 28, -13, -29,16,422.2, ⑮⑯,,,,,,,,,,,,,18,13,Ｒリッカモｰメント, 45,安藤光, 2.7, 31, -11, -25,18,361.6, ⑧⑨
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
"単勝:390円 複勝:01=120円 05=180円 11=110円 枠連:1,120円",,,,,,,,,,,,"単勝:160円 複勝:18=110円 16=420円 07=760円 枠連:1,060円",,,,,,,,,,,,"単勝:200円 複勝:07=110円 11=520円 09=130円 枠連:1,220円",,,,,,,,,,,,"単勝:2,300円 複勝:06=670円 12=1,170円 08=480円 枠連:13,440円",,,,,,,,,,,
"馬連:1,240円 ワイド:01-05=400円 01-11=160円 05-11=350円",,,,,,,,,,,,"馬連:960円 ワイド:16-18=420円 07-18=1,020円 07-16=7,130円",,,,,,,,,,,,"馬連:3,170円 ワイド:07-11=970円 07-09=230円 09-11=1,320円",,,,,,,,,,,,"馬連:27,010円 ワイド:06-12=6,860円 06-08=2,700円 08-12=6,530円",,,,,,,,,,,
"馬単:2,540円 3連複:910円 3連単:7,010円",,,,,,,,,,,,"馬単:1,520円 3連複:12,770円 3連単:35,970円",,,,,,,,,,,,"馬単:4,210円 3連複:3,860円 3連単:22,050円",,,,,,,,,,,,"馬単:62,950円 3連複:105,490円 3連単:721,620円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■11R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,十日町特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａヒットメｰカｰ, 68,国分恭,, 78,* 12,* -4, 3,  3.9, ④③, 1, 8,Ｋシルクドルフィン, 58,津村明,, 67,  -5,*  8,10, 54.7,⑧⑥⑤, 1, 2,Ｆコスモオｰ, 66,石橋脩,, 70,   5,   1, 3,  5.2, ④③, 1, 2,Ｃテイエムヨカドｰ, 76,藤岡佑,, 76,  -1,* 14, 3,  6.2, ⑥⑤
 2,11,Ｂニシノマナザシ, 64,佐藤哲, 1.2, 63,* 14, -24, 1,  2.9, ②②, 2, 4,Ｊヒミノリュウオウ, 61,幸英明, 0.0, 67,* -2,   4, 3,  6.0,②②②, 2, 8,Ｊラピッドガｰル, 60,中舘英, 0.3, 67,   6,  -2, 7, 46.4, ③④, 2,10,Ｋエｰシンクｰルディ, 49,福永祐, 0.2, 74,  -1,  12, 4,  7.6, ⑦⑦
 3, 1,Ｅトｰセンウィン, 48,川田将, 1.4, 64,   8,*-17, 4,  6.7, ⑨⑨, 3, 2,Ｈアウロｰラ, 62,国分恭, 0.1, 65,* -4,   5,14,184.5,③③④, 3, 7,Ｄパワｰウェｰブ, 72,松山弘, 0.3, 64,  -4,*  8, 5, 13.1, ⑩⑩, 3, 3,Ａペプチドアトム, 81,和田竜, 0.2, 74,*  5,   7, 1,  2.1, ①①
 4,13,Ｊヴィｰヴァギブソン, 40,福永祐, 1.4, 63,* 14, -27, 7, 24.9, ③④, 4, 1,Ｃエリモアクアポリス, 68,的場勇, 0.1, 65,  -5,* 10, 1,  2.5,⑥⑧⑧, 4, 9,Ｃミッキｰシュタルク, 72,小野次, 0.3, 67,   5,   0, 2,  3.5, ⑤⑥, 4, 4,Ｂドリｰムクラウン, 78,石橋脩, 0.6, 71,   0,   8, 2,  3.3, ⑤⑥
 5, 6,Ｉコスモヘレノス, 41,丹内祐, 1.5, 61,  11, -24, 9, 58.6, ⑥⑤, 5, 9,Ａドリｰムタフキｰク, 72,木幡初, 0.3, 64,  -4,   5, 5,  8.4,⑤⑤⑥, 5,11,Ｂキョウエイエルメス, 74,丸田恭, 0.4, 67,*  8,  -4, 4, 13.1, ②②, 5,11,Ｇスイｰトフィズ, 73,黛弘人, 0.7, 69,  -3,   9, 7, 33.4, ⑧⑨
 6,12,Ｍサザンクロスレディ, 37,鮫島良, 2.0, 58,  10, -27, 5, 14.3, ⑧⑧, 6,12,Ｐシルクエリタｰジュ, 38,中村将, 0.5, 64,  -8,*  8,13,130.1,⑩⑪⑪, 6,10,Ｉパックノオトウト, 62,津村明, 0.5, 63,   0,   2, 9, 65.0, ⑦⑦, 6, 5,Ｅスリｰサンフレンチ, 75,幸英明, 0.7, 69,  -4,  10, 6, 29.6, ⑨⑧
 7, 4,Ｄトｰアボンジョルノ, 49,大野拓, 2.4, 53,   8, -30,10, 59.1, ⑩⑩, 7, 3,Ｌインザブラック, 58,吉田隼, 0.5, 62,  -5,   4, 8, 47.1,⑨⑩⑩, 7,13,Ｅロｰドレンジャｰ, 69,大野拓, 0.6, 64,   3,  -1, 6, 28.8, ⑥⑤, 7, 9,Ｉブルｰアイガｰ, 69,中村将, 0.7, 69,  -7,* 14,11,112.5, ⑪⑩
 8, 5,Ｇイニモニマニモ, 47,宮崎北, 2.6, 51,   7, -30,11,114.2, ⑫⑫, 8,16,Ｅイガノハイレディｰ, 65,丹内祐, 0.5, 65,  -4,   5, 6, 10.8,⑫⑦⑦, 8, 1,Ａエｰシンフラクタル, 79,小牧太, 0.9, 63,* 10, -11, 1,  2.0, ①①, 8, 7,Ｆアポインテッドボブ, 73,的場勇, 1.2, 65,   2,   1, 9, 48.6, ③③
 9, 3,Ｆシルクリンカｰン, 47,藤岡佑, 3.0, 48,   9, -40, 2,  3.8, ⑦⑦, 9,11,Ｂホワイトライクミｰ, 69,福永祐, 0.6, 61,* -3,  -1, 4,  7.5,④④③, 9, 4,Ｈフジマサエｰス, 63,木幡初, 1.2, 56, -10,*  6, 8, 62.8, ⑭⑭, 9, 1,Ｊロットオブカクテル, 68,大野拓, 1.5, 63,   1,  -1, 8, 40.1, ④④
10, 9,Ｃバシュペリｰゴ, 51,石橋脩, 3.0, 50,* 13, -49, 8, 35.4, ①①,10, 6,Ｆミシュランシチｰ, 63,佐藤哲, 0.9, 54,* -2, -10, 2,  5.2,①①①,10, 5,Ｇデステニｰアロｰ, 65,丸山元, 1.5, 54,  -5,  -2,11,145.9, ⑪⑫,10, 6,Ｈタムロウイング, 71,国分恭, 1.5, 64,*  3,  -3, 5, 18.1, ②②
11,10,Ｌラド, 40,中舘英, 3.2, 48,  11, -49, 6, 20.2, ⑤⑥,11,13,Ｍマイネルブリオッソ, 57,大野拓, 1.0, 58,  -7,   1, 9, 54.3,⑯⑫⑫,11,12,Ｋスプリングラッキｰ, 58,松田大, 1.6, 56,  -5,  -1,12,199.6, ⑬⑬,11, 8,Ｄスｰパｰガブリン, 75,小牧太, 2.3, 55,  -5,  -2,10, 77.7, ⑩⑪
12, 8,Ｋクロスファイト, 40,上村洋, 3.4, 45,   8, -45,13,270.5, ⑪⑪,12, 5,Ｇセフティファンキｰ, 62,赤木高, 1.1, 59,  -8,   5, 7, 20.9,⑬⑭⑭,12,14,Ｌワンダｰグロｰリｰ, 54,野元昭, 1.7, 54,  -1,  -7,14,470.2, ⑧⑨,,,,,,,,,,,,
13, 2,Ｈトｰセンフリｰジア, 46,田中博, 6.4,  5,   0, -73,12,128.5, ⑬⑬,13,15,Ｉドリｰムパンドラ, 61,丸山元, 1.9, 50, -10,  -4,12, 89.4,⑭⑮⑮,13, 3,Ｍアイファｰラスカル, 47,西田雄, 1.8, 51,  -6,  -4,13,220.3, ⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,14, 7,Ｄフレイムアップ, 65,宮崎北, 2.0, 46,  -9, -10,15,308.9,⑪⑬⑬,14, 6,Ｎザバトルアトラス, 38,和田竜, 2.4, 47,  -3, -11,10, 74.0, ⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｎエリモディｰバ, 56,藤岡康, 2.0, 46,  -5, -17,11, 72.9,⑦⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,10,Ｏルミナスヘイロｰ, 42,田中博, 3.3, 36, -13, -19,16,347.2,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,
単勝:390円 複勝:07=150円 11=130円 01=170円 枠連:500円,,,,,,,,,,,,"単勝:5,470円 複勝:08=1,230円 04=260円 02=4,330円 枠連:7,030円",,,,,,,,,,,,"単勝:520円 複勝:02=180円 08=890円 07=300円 枠連:2,310円",,,,,,,,,,,,"単勝:620円 複勝:02=160円 10=170円 03=110円 枠連:2,300円",,,,,,,,,,,
馬連:570円 ワイド:07-11=280円 01-07=470円 01-11=390円,,,,,,,,,,,,"馬連:14,410円 ワイド:04-08=3,190円 02-08=38,230円 02-04=7,090円",,,,,,,,,,,,"馬連:6,390円 ワイド:02-08=2,220円 02-07=900円 07-08=3,440円",,,,,,,,,,,,"馬連:3,280円 ワイド:02-10=720円 02-03=240円 03-10=360円",,,,,,,,,,,
"馬単:1,330円 3連複:1,330円 3連単:5,530円",,,,,,,,,,,,"馬単:28,660円 3連複:440,070円 3連単:3,252,150円",,,,,,,,,,,,"馬単:10,650円 3連複:20,960円 3連単:93,740円",,,,,,,,,,,,"馬単:6,430円 3連複:1,620円 3連単:15,570円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,粟島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈアルファアップル, 46,川田将,, 63,   0,*  1, 5, 14.6, ⑤⑤, 1, 3,Ａサンデｰロｰズ, 77,和田竜,, 69,*  5,   2, 1,  1.9, ②②, 1, 5,Ａダイワジャンヌ, 77,的場勇,, 85,  -7,* 24, 1,  2.0, ⑨⑦, 1,13,Ａジニオマッジョｰレ, 73,吉田隼,, 81,*  6,   9, 2,  3.2,   
 2, 7,Ａマレンゴ, 68,中舘英, 0.1, 63,*  2,* -1, 1,  2.4, ②②, 2,11,Ｄシュンカジョウ, 72,吉田隼, 0.0, 69,   1,   5, 2,  3.1, ⑥④, 2,16,Ｊアンプレシオネ, 70,太宰啓, 0.2, 79,* -1,  11, 8, 18.6, ①①, 2,12,Ｃミラグロレディ, 69,丸田恭, 0.2, 76,  -4,* 13, 1,  2.7,   
 3, 6,Ｅモスキャンピオン, 59,和田竜, 0.3, 62,*  4,  -5, 4,  9.0, ①①, 3,12,Ｃメジロシｰゴｰ, 73,宮崎北, 0.0, 68,   1,   5, 4, 11.7, ⑦⑤, 3,14,Ｂビｰモブホｰプ, 76,吉田隼, 0.6, 83, -10,* 25, 5, 14.1, ⑭⑬, 3,11,Ｋプリティマリ, 58,宮崎北, 0.3, 76,   4,   6,11, 47.0,   
 4,12,Ｃユリカジョウ, 65,藤岡康, 0.7, 57,   1,  -6, 3,  4.0, ③③, 4,14,Ｂマイディスカバリｰ, 75,藤岡佑, 0.2, 67,*  7,  -2, 3,  7.6, ①①, 4, 4,Ｃメジロスプレンダｰ, 75,大野拓, 0.7, 75,  -5,  11, 3,  8.9, ⑤④, 4, 4,Ｉリｰヴタイム, 61,和田竜, 0.3, 77,   4,   6, 9, 32.0,   
 5, 8,Ｂロｰズエンジェル, 66,大野拓, 0.9, 55,   0,  -7, 2,  3.4, ⑥⑥, 5,15,Ｎコロナ, 53,荻野琢, 0.5, 65,*  5,  -3, 8, 68.9, ③③, 5, 7,Ｇロｰテレジｰナ, 72,石橋脩, 0.7, 80,  -6,  16, 7, 15.9, ⑦⑧, 5, 7,Ｎシャンパンフルｰト, 55,国分恭, 0.3, 76,  -4,* 12,10, 44.3,   
 6, 5,Ｆメイショウケイセイ, 52,船曳文, 1.6, 48,  -3, -11, 7, 59.8, ⑧⑧, 6, 2,Ｅチキリムｰディｰ, 72,幸英明, 0.6, 63,   1,   0, 5, 12.6, ⑤⑦, 6, 9,Ｄハｰマジェスティ, 73,小林慎, 0.8, 80, -11,* 23, 9, 23.8, ⑮⑮, 6,14,Ｍデイロングスプリｰ, 58,中舘英, 0.5, 75,   4,   4, 3,  7.8,   
 7,10,Ｄエリモトゥデイ, 59,松山弘, 1.7, 47,   1, -15, 6, 15.5, ④④, 7,13,Ｋギブミｰアチャンス, 57,古川吉, 0.8, 62,  -5,   4,10, 99.6, ⑫⑪, 7,10,Ｌパｰソナルブレｰン, 69,安藤光, 0.8, 75,  -5,  11,12,115.6, ⑥⑥, 7, 8,Ｄタニノゴッドマザｰ, 67,田中博, 0.7, 70,  -8,   9, 4,  9.0,   
 8, 4,Ｊヨドノカントリｰ, 34,田村太, 1.8, 46,  -5, -10,11,270.9, ⑨⑨, 8, 7,Ｊブルｰスコｰピオン, 57,草野太, 1.0, 59, -17,* 13,13,391.6, ⑮⑮, 8,12,Ｈスイｰトマトルｰフ, 72,川田将, 0.8, 79, -10,  20, 2,  5.9, ⑪⑪, 8,15,Ｈウインペガサス, 61,藤岡康, 0.9, 68,*  7,  -4, 5, 15.5,   
 9,11,Ｌベニアミｰノ, 31,赤木高, 2.5, 40,  -2, -19,10,221.6, ⑦⑦, 9, 1,Ｉチョコフィオｰレ, 60,松田大, 1.0, 63,   1,  -2,11,102.4, ④⑥, 9, 8,Ｆルナフライト, 72,和田竜, 0.8, 73,  -6,   9, 6, 15.4, ④⑤, 9, 9,Ｇリバｰサルブロｰ, 64,太宰啓, 0.9, 67,  -1,   2, 6, 16.1,   
10, 3,Ｋブルｰトゥギャザｰ, 33,丹内祐, 2.6, 38,  -8, -14,12,344.6, ⑫⑪,10, 5,Ｈエレガントフラッグ, 63,丸田恭, 1.1, 59, -13,*  9, 6, 41.8, ⑭⑭,10,11,Ｍシュンドルゴナ, 67,松山弘, 1.4, 71, -11,  13,11, 47.8, ⑫⑫,10, 2,Ｑクｰルドライブ, 43,古川吉, 1.0, 67,   0,  -1, 8, 26.1,   
11, 1,Ｉホクザンフリｰダム, 35,野元昭, 2.9, 36,  -6, -19, 9,217.5, ⑩⑩,11, 9,Ｆリヒタｰ, 64,西田雄, 1.1, 59,  -3,  -1, 9, 97.5, ⑨⑧,11, 2,Ｉケイエスユリ, 70,幸英明, 1.6, 71, -12,  14,10, 39.9, ⑯⑯,11, 3,Ｌマストウインゲｰム, 58,松山弘, 1.0, 64, -10,   6,14, 89.0,   
12, 9,Ｇデンコウヨシキ, 48,幸英明, 3.0, 34,  -6, -19, 8, 82.3, ⑪⑫,12, 8,Ｏキャラメルボイス, 53,小牧太, 1.2, 59,  -9,   5,12,200.4, ⑬⑬,12,15,Ｅカイゼリン, 73,福永祐, 1.8, 64,  -8,   2, 4, 10.7, ⑩⑨,12, 6,Ｂコクトｰ, 70,田面木, 1.1, 64,   0,  -2, 7, 24.2,   
,,,,,,,,,,,,13, 4,Ｌグランドロｰザ, 55,丸山元, 2.1, 50,  -4,  -9,15,475.6, ⑩⑨,13, 6,Ｏポレンティｰナ, 63,丸田恭, 1.9, 56,* -4,  -8,15,241.3, ②③,13,16,Ｏバｰドダムｰル, 49,西田雄, 1.8, 53,  -9,  -4,16,246.9,   
,,,,,,,,,,,,14, 6,Ｍミツアキクイｰン, 54,小野寺, 2.2, 49,  -3, -11,14,408.6, ⑧⑩,14, 1,Ｐエプソムフルｰツ, 62,西田雄, 2.3, 53,  -5, -12,16,274.0, ③②,14,17,Ｆスプリングプラハ, 65,荻野琢, 1.9, 49, -12,  -5,13, 82.6,   
,,,,,,,,,,,,15,10,Ｇエリモリｰガル, 63,松山弘, 2.3, 47,  -4, -11, 7, 57.8, ⑪⑫,15, 3,Ｎマヤノプディｰナ, 63,津村明, 2.4, 58, -11,  -2,14,239.0, ⑬⑭,15,10,Ｐデルマアヌビス, 49,中谷雄, 2.1, 48, -13,  -6,17,339.0,   
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｋリキサンキャロル, 70,赤木高, 5.4, 23,  -8, -52,13,146.2, ⑧⑩,16, 5,Ｅロｰテブリジャｰル, 67,丸山元, 2.1, 48,  -6, -12,12, 74.8,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｊビッグナイト, 58,的場勇, 2.3, 43, -18,  -6,15,140.3,   
